epoch,loss,tiempo_s
1,24.143639,0.2799
2,20.922403,0.0105
3,19.637070,0.0086
4,18.834589,0.0087
5,18.249035,0.0088
6,17.790041,0.0089
7,17.412106,0.0090
8,17.091209,0.0094
9,16.817343,0.0098
10,16.576128,0.0101
11,16.365488,0.0105
12,16.176291,0.0105
13,16.004742,0.0104
14,15.849196,0.0103
15,15.710398,0.0104
16,15.582028,0.0105
17,15.463350,0.0104
18,15.353968,0.0105
19,15.254495,0.0104
20,15.158381,0.0104
21,15.067092,0.0104
22,14.985857,0.0104
23,14.910333,0.0104
24,14.835871,0.0104
25,14.767145,0.0105
26,14.701057,0.0104
27,14.638970,0.0104
28,14.579170,0.0103
29,14.523647,0.0104
30,14.471139,0.0104
31,14.418415,0.0104
32,14.368560,0.0104
33,14.321268,0.0104
34,14.278509,0.0105
35,14.233962,0.0104
36,14.193768,0.0104
37,14.151384,0.0104
38,14.115235,0.0104
39,14.077367,0.0104
40,14.038532,0.0104
41,14.003687,0.0104
42,13.970480,0.0104
43,13.936194,0.0105
44,13.906231,0.0104
45,13.876489,0.0104
46,13.846186,0.0104
47,13.816455,0.0104
48,13.788032,0.0104
49,13.761613,0.0104
50,13.735275,0.0104
51,13.710761,0.0104
52,13.685473,0.0105
53,13.661728,0.0104
54,13.637489,0.0104
55,13.616173,0.0104
56,13.593016,0.0105
57,13.573991,0.0104
58,13.553238,0.0104
59,13.533294,0.0104
60,13.513852,0.0104
61,13.496271,0.0104
62,13.477103,0.0104
63,13.459446,0.0104
64,13.441382,0.0105
65,13.421014,0.0105
66,13.402690,0.0105
67,13.384896,0.0105
68,13.368876,0.0104
69,13.351205,0.0105
70,13.333535,0.0104
71,13.315917,0.0105
72,13.301927,0.0104
73,13.285593,0.0105
74,13.273620,0.0105
75,13.257161,0.0104
76,13.242022,0.0105
77,13.228423,0.0105
78,13.215868,0.0104
79,13.198915,0.0105
80,13.186664,0.0105
81,13.173614,0.0105
82,13.160868,0.0105
83,13.149016,0.0105
84,13.133766,0.0104
85,13.120490,0.0106
86,13.109162,0.0105
87,13.098096,0.0104
88,13.085917,0.0105
89,13.070147,0.0105
90,13.058601,0.0105
91,13.046515,0.0105
92,13.036986,0.0127
93,13.027040,0.0112
94,13.017652,0.0105
95,13.005185,0.0105
96,12.997842,0.0105
97,12.987401,0.0105
98,12.979399,0.0105
99,12.971005,0.0105
100,12.963226,0.0105
101,12.954772,0.0105
102,12.946258,0.0105
103,12.938355,0.0105
104,12.925142,0.0105
105,12.916785,0.0105
