epoch,loss,tiempo_s
1,12.658522,0.3145
2,7.981019,0.0121
3,7.453580,0.0101
4,7.212671,0.0104
5,7.061023,0.0109
6,6.949661,0.0116
7,6.862213,0.0121
8,6.793041,0.0122
9,6.733879,0.0115
10,6.682073,0.0100
11,6.637082,0.0098
12,6.595405,0.0096
13,6.558224,0.0088
14,6.524471,0.0090
15,6.491775,0.0096
16,6.462675,0.0103
17,6.434562,0.0109
18,6.409742,0.0116
19,6.384862,0.0115
20,6.361417,0.0115
21,6.340216,0.0115
22,6.318366,0.0117
23,6.299314,0.0121
24,6.279061,0.0102
25,6.261639,0.0099
26,6.244177,0.0111
27,6.228060,0.0116
28,6.211397,0.0121
29,6.195787,0.0120
30,6.181239,0.0115
31,6.166402,0.0116
32,6.152311,0.0121
33,6.138507,0.0121
34,6.126334,0.0121
35,6.113585,0.0120
36,6.101167,0.0115
37,6.089730,0.0116
38,6.078290,0.0121
39,6.066916,0.0121
40,6.055438,0.0121
41,6.045441,0.0120
42,6.034468,0.0115
43,6.024817,0.0117
44,6.015469,0.0121
45,6.004858,0.0121
46,5.997006,0.0122
47,5.987680,0.0120
48,5.977955,0.0102
49,5.968766,0.0098
50,5.960727,0.0094
51,5.952459,0.0094
52,5.944199,0.0097
53,5.935651,0.0108
54,5.928763,0.0112
55,5.919381,0.0115
56,5.912117,0.0115
57,5.905248,0.0117
58,5.896620,0.0121
59,5.889492,0.0121
60,5.881976,0.0121
61,5.874837,0.0121
62,5.867908,0.0116
63,5.861929,0.0117
64,5.855373,0.0121
65,5.847778,0.0121
66,5.841321,0.0121
67,5.834404,0.0120
68,5.827420,0.0116
69,5.821171,0.0117
70,5.813774,0.0122
71,5.808332,0.0122
72,5.801195,0.0121
73,5.795584,0.0120
74,5.789274,0.0116
75,5.783423,0.0118
76,5.778517,0.0108
77,5.772419,0.0098
78,5.766719,0.0101
79,5.760911,0.0104
80,5.755110,0.0109
81,5.748201,0.0117
82,5.743283,0.0122
83,5.738224,0.0120
84,5.732159,0.0115
85,5.726090,0.0116
86,5.721032,0.0117
87,5.715290,0.0121
88,5.709011,0.0121
89,5.703830,0.0121
90,5.697137,0.0120
91,5.692374,0.0116
92,5.686655,0.0117
93,5.680789,0.0122
94,5.675238,0.0122
95,5.669846,0.0121
96,5.665645,0.0121
97,5.658818,0.0115
98,5.653921,0.0117
99,5.649128,0.0122
100,5.642548,0.0122
101,5.637814,0.0122
102,5.632525,0.0122
103,5.627240,0.0116
104,5.622121,0.0118
105,5.616272,0.0122
106,5.611585,0.0122
107,5.605731,0.0122
108,5.600554,0.0121
