epoch,loss,tiempo_s
1,0.210498,0.1458
2,0.207883,0.0048
3,0.205318,0.0029
4,0.202588,0.0029
5,0.199688,0.0029
6,0.196658,0.0029
7,0.193553,0.0029
8,0.190430,0.0029
9,0.187332,0.0029
10,0.184291,0.0029
11,0.181338,0.0030
12,0.178491,0.0020
13,0.175751,0.0019
14,0.173127,0.0018
15,0.170606,0.0018
16,0.168179,0.0018
17,0.165837,0.0018
18,0.163573,0.0016
19,0.161372,0.0016
20,0.159229,0.0016
21,0.157133,0.0015
22,0.155087,0.0015
23,0.153090,0.0016
24,0.151156,0.0015
25,0.149287,0.0015
26,0.147483,0.0015
27,0.145733,0.0015
28,0.144042,0.0015
29,0.142410,0.0015
30,0.140838,0.0015
31,0.139319,0.0016
32,0.137855,0.0015
33,0.136446,0.0015
34,0.135084,0.0016
35,0.133768,0.0015
36,0.132506,0.0021
37,0.131289,0.0018
38,0.130111,0.0016
39,0.128976,0.0015
40,0.127883,0.0015
41,0.126833,0.0016
42,0.125814,0.0021
43,0.124833,0.0018
44,0.123894,0.0016
45,0.122992,0.0016
46,0.122115,0.0015
47,0.121271,0.0015
48,0.120455,0.0016
49,0.119663,0.0020
50,0.118901,0.0015
51,0.118165,0.0016
52,0.117445,0.0016
53,0.116745,0.0015
54,0.116066,0.0015
55,0.115408,0.0020
56,0.114765,0.0016
57,0.114140,0.0015
58,0.113525,0.0017
59,0.112925,0.0015
60,0.112343,0.0016
61,0.111775,0.0015
62,0.111227,0.0016
63,0.110699,0.0015
64,0.110185,0.0016
65,0.109683,0.0016
66,0.109192,0.0016
67,0.108710,0.0016
68,0.108240,0.0016
69,0.107780,0.0016
70,0.107332,0.0016
71,0.106894,0.0016
72,0.106469,0.0015
73,0.106054,0.0015
74,0.105650,0.0016
75,0.105250,0.0016
76,0.104864,0.0016
77,0.104487,0.0016
78,0.104119,0.0016
79,0.103760,0.0015
80,0.103411,0.0016
81,0.103069,0.0016
82,0.102738,0.0015
83,0.102410,0.0016
84,0.102087,0.0016
85,0.101770,0.0016
86,0.101458,0.0015
87,0.101154,0.0016
88,0.100856,0.0016
89,0.100562,0.0016
90,0.100271,0.0016
91,0.099988,0.0016
92,0.099711,0.0016
93,0.099435,0.0016
94,0.099165,0.0016
95,0.098899,0.0016
96,0.098640,0.0016
97,0.098385,0.0016
98,0.098132,0.0016
99,0.097884,0.0015
100,0.097638,0.0016
101,0.097400,0.0016
102,0.097163,0.0016
103,0.096932,0.0016
104,0.096702,0.0016
105,0.096479,0.0016
106,0.096260,0.0016
107,0.096038,0.0016
108,0.095823,0.0016
109,0.095609,0.0016
110,0.095396,0.0016
111,0.095188,0.0016
112,0.094979,0.0016
113,0.094773,0.0016
114,0.094571,0.0016
115,0.094368,0.0016
116,0.094171,0.0016
117,0.093973,0.0016
118,0.093779,0.0016
119,0.093591,0.0016
120,0.093403,0.0016
121,0.093219,0.0017
122,0.093035,0.0016
123,0.092853,0.0017
124,0.092674,0.0016
125,0.092493,0.0016
126,0.092319,0.0016
127,0.092139,0.0016
128,0.091966,0.0022
129,0.091794,0.0027
130,0.091623,0.0023
131,0.091456,0.0019
132,0.091287,0.0020
133,0.091118,0.0016
134,0.090953,0.0016
135,0.090786,0.0016
136,0.090622,0.0016
137,0.090457,0.0016
138,0.090298,0.0016
139,0.090137,0.0016
140,0.089976,0.0016
141,0.089821,0.0017
142,0.089661,0.0019
143,0.089511,0.0020
144,0.089354,0.0016
145,0.089210,0.0016
146,0.089056,0.0019
147,0.088912,0.0016
148,0.088767,0.0016
149,0.088622,0.0018
150,0.088479,0.0030
151,0.088341,0.0016
152,0.088198,0.0016
153,0.088064,0.0016
154,0.087927,0.0016
155,0.087793,0.0016
156,0.087660,0.0016
157,0.087525,0.0016
158,0.087398,0.0016
159,0.087265,0.0016
160,0.087138,0.0016
161,0.087009,0.0016
162,0.086884,0.0016
163,0.086757,0.0016
164,0.086629,0.0016
