epoch,loss,tiempo_s
1,7.434645,0.3021
2,6.468584,0.0098
3,6.083905,0.0085
4,5.843658,0.0086
5,5.668918,0.0086
6,5.531995,0.0089
7,5.419357,0.0094
8,5.324175,0.0100
9,5.243063,0.0103
10,5.171970,0.0103
11,5.109267,0.0103
12,5.052876,0.0103
13,5.001865,0.0102
14,4.956556,0.0102
15,4.915776,0.0102
16,4.878016,0.0102
17,4.842468,0.0102
18,4.810514,0.0102
19,4.780085,0.0102
20,4.752572,0.0103
21,4.726376,0.0103
22,4.701671,0.0102
23,4.678690,0.0102
24,4.656957,0.0102
25,4.636146,0.0102
26,4.616528,0.0102
27,4.596663,0.0102
28,4.579958,0.0102
29,4.563771,0.0102
30,4.547268,0.0086
31,4.532169,0.0085
32,4.517389,0.0086
33,4.503661,0.0088
34,4.490096,0.0093
35,4.476793,0.0098
36,4.463528,0.0102
37,4.451591,0.0102
38,4.439610,0.0102
39,4.427611,0.0102
40,4.416528,0.0103
41,4.405661,0.0102
42,4.394146,0.0102
43,4.384249,0.0103
44,4.374534,0.0102
45,4.364511,0.0102
46,4.355213,0.0103
47,4.345388,0.0102
48,4.336469,0.0103
49,4.326921,0.0102
50,4.318181,0.0102
51,4.309557,0.0103
52,4.301055,0.0102
53,4.292422,0.0103
54,4.284347,0.0102
55,4.275712,0.0102
56,4.268430,0.0137
57,4.260973,0.0097
58,4.252777,0.0098
59,4.245363,0.0098
60,4.237353,0.0103
61,4.229922,0.0102
62,4.222051,0.0102
63,4.214978,0.0102
64,4.208484,0.0103
65,4.202103,0.0103
66,4.195473,0.0103
67,4.188849,0.0102
68,4.182354,0.0102
69,4.176819,0.0102
70,4.170157,0.0103
71,4.164140,0.0103
72,4.158337,0.0103
73,4.152923,0.0103
74,4.147213,0.0103
75,4.142404,0.0102
76,4.136349,0.0103
77,4.131255,0.0103
78,4.126126,0.0103
79,4.121270,0.0103
80,4.116136,0.0103
81,4.111254,0.0102
82,4.107075,0.0103
83,4.103129,0.0103
84,4.097986,0.0103
85,4.093354,0.0103
86,4.089213,0.0103
87,4.084817,0.0103
88,4.080524,0.0103
89,4.076140,0.0103
90,4.072548,0.0103
91,4.068213,0.0103
92,4.064329,0.0103
93,4.061218,0.0103
94,4.056878,0.0103
95,4.053027,0.0103
96,4.048114,0.0103
97,4.044000,0.0103
98,4.040323,0.0103
99,4.036385,0.0103
100,4.031815,0.0103
101,4.029054,0.0103
102,4.025587,0.0103
103,4.021746,0.0103
104,4.018593,0.0103
105,4.015329,0.0103
106,4.011485,0.0104
107,4.007990,0.0103
108,4.005680,0.0103
109,4.002618,0.0103
110,3.999351,0.0103
111,3.995608,0.0103
112,3.992259,0.0103
113,3.989391,0.0103
114,3.985585,0.0104
115,3.982934,0.0103
116,3.980816,0.0103
117,3.976735,0.0103
118,3.973960,0.0103
119,3.970901,0.0104
120,3.967900,0.0103
121,3.964661,0.0103
122,3.962720,0.0103
123,3.960279,0.0103
124,3.958063,0.0103
125,3.955272,0.0104
126,3.952499,0.0103
127,3.949437,0.0103
128,3.947144,0.0142
129,3.944606,0.0096
130,3.942435,0.0099
131,3.940082,0.0098
132,3.938043,0.0085
133,3.935408,0.0085
134,3.934064,0.0085
135,3.931505,0.0085
136,3.929176,0.0087
137,3.926482,0.0092
138,3.923957,0.0096
139,3.920044,0.0099
140,3.917303,0.0103
141,3.915180,0.0103
142,3.911855,0.0104
143,3.909698,0.0103
144,3.908211,0.0103
145,3.907596,0.0103
146,3.904455,0.0104
147,3.901983,0.0103
148,3.899169,0.0104
149,3.897367,0.0105
150,3.894962,0.0104
151,3.892978,0.0104
152,3.891283,0.0104
153,3.888764,0.0103
154,3.887699,0.0103
155,3.884283,0.0104
156,3.882567,0.0104
157,3.879776,0.0103
158,3.877210,0.0104
159,3.875493,0.0104
160,3.874415,0.0103
161,3.872897,0.0104
162,3.870490,0.0104
163,3.868070,0.0104
164,3.864675,0.0104
165,3.862808,0.0104
166,3.859632,0.0104
167,3.856960,0.0104
168,3.854873,0.0104
169,3.853120,0.0104
170,3.852103,0.0104
171,3.851111,0.0104
172,3.849836,0.0104
173,3.848086,0.0104
174,3.844959,0.0104
175,3.841926,0.0104
176,3.839706,0.0104
177,3.836885,0.0104
178,3.835095,0.0104
179,3.832435,0.0104
180,3.830622,0.0104
181,3.829308,0.0104
182,3.827609,0.0104
183,3.825550,0.0104
184,3.823314,0.0104
185,3.821261,0.0104
186,3.819484,0.0105
187,3.817223,0.0103
188,3.815565,0.0104
189,3.814300,0.0104
190,3.812778,0.0103
191,3.811079,0.0104
192,3.808973,0.0104
193,3.806295,0.0104
194,3.804247,0.0104
195,3.802181,0.0104
196,3.799241,0.0104
197,3.797497,0.0105
198,3.794683,0.0113
199,3.791359,0.0106
200,3.789620,0.0100
201,3.787185,0.0099
202,3.785429,0.0096
203,3.783514,0.0100
204,3.781707,0.0105
205,3.780162,0.0104
206,3.778098,0.0105
207,3.776233,0.0104
208,3.774531,0.0105
209,3.772353,0.0105
210,3.768363,0.0104
211,3.764893,0.0105
212,3.760647,0.0104
213,3.757556,0.0105
214,3.755605,0.0104
215,3.753831,0.0104
216,3.753410,0.0106
217,3.752017,0.0104
218,3.751275,0.0105
219,3.750447,0.0104
220,3.747797,0.0104
221,3.745632,0.0105
222,3.743941,0.0105
223,3.741652,0.0104
224,3.738493,0.0104
225,3.734632,0.0105
226,3.731021,0.0104
227,3.727814,0.0105
228,3.724461,0.0104
229,3.722556,0.0105
230,3.720520,0.0105
231,3.720570,0.0105
232,3.721816,0.0105
233,3.721685,0.0105
234,3.719930,0.0105
235,3.717722,0.0104
236,3.714634,0.0105
237,3.712396,0.0105
238,3.708965,0.0104
239,3.705153,0.0105
240,3.702428,0.0105
241,3.700944,0.0105
242,3.698653,0.0105
243,3.695445,0.0105
244,3.693660,0.0105
245,3.691362,0.0106
246,3.689388,0.0104
247,3.684973,0.0105
248,3.679776,0.0104
249,3.677283,0.0105
250,3.673209,0.0105
251,3.668751,0.0105
252,3.665625,0.0105
253,3.662691,0.0105
254,3.661494,0.0105
255,3.659955,0.0105
256,3.657126,0.0105
257,3.653338,0.0105
258,3.648731,0.0104
259,3.646101,0.0105
260,3.644421,0.0105
261,3.642518,0.0105
262,3.639724,0.0105
263,3.636120,0.0105
264,3.634839,0.0105
265,3.632277,0.0105
266,3.631015,0.0105
267,3.629445,0.0105
268,3.627629,0.0105
269,3.623185,0.0105
270,3.618762,0.0105
271,3.617467,0.0105
272,3.618417,0.0105
273,3.615687,0.0106
274,3.610917,0.0105
275,3.606433,0.0105
276,3.606404,0.0105
277,3.607089,0.0105
278,3.607420,0.0106
279,3.606211,0.0105
280,3.603507,0.0105
281,3.600968,0.0105
282,3.599181,0.0105
283,3.596188,0.0106
284,3.593226,0.0106
285,3.589715,0.0105
286,3.584877,0.0105
287,3.580048,0.0105
288,3.574697,0.0106
289,3.568251,0.0106
290,3.563063,0.0105
291,3.559339,0.0106
292,3.556032,0.0105
293,3.554230,0.0106
294,3.552912,0.0105
295,3.550998,0.0106
296,3.548604,0.0106
297,3.549138,0.0106
298,3.550447,0.0106
299,3.546106,0.0106
300,3.539228,0.0106
301,3.533927,0.0106
302,3.533056,0.0106
303,3.533032,0.0106
304,3.534206,0.0106
305,3.536458,0.0106
306,3.537998,0.0105
307,3.538127,0.0106
308,3.536699,0.0106
309,3.538112,0.0106
310,3.546568,0.0106
311,3.553333,0.0106
312,3.553517,0.0106
313,3.548776,0.0106
314,3.541969,0.0106
315,3.535893,0.0106
316,3.530442,0.0107
317,3.523132,0.0106
318,3.518367,0.0107
319,3.514137,0.0106
320,3.508915,0.0106
321,3.502716,0.0106
322,3.496525,0.0106
323,3.490735,0.0106
324,3.485674,0.0106
325,3.483552,0.0106
326,3.483506,0.0106
327,3.479246,0.0106
328,3.474965,0.0106
329,3.475496,0.0106
330,3.478166,0.0106
331,3.480283,0.0106
332,3.477380,0.0106
333,3.466137,0.0107
334,3.454010,0.0107
335,3.445638,0.0106
336,3.442318,0.0106
337,3.446098,0.0107
338,3.450953,0.0107
339,3.455496,0.0107
340,3.458539,0.0107
341,3.458487,0.0107
342,3.453829,0.0107
343,3.447009,0.0107
344,3.438033,0.0107
345,3.431120,0.0107
346,3.424991,0.0107
347,3.419140,0.0106
348,3.414984,0.0106
349,3.414514,0.0107
350,3.419416,0.0107
351,3.419726,0.0107
352,3.414100,0.0107
353,3.406348,0.0108
354,3.398557,0.0107
355,3.392866,0.0107
356,3.389260,0.0107
357,3.388675,0.0107
358,3.390971,0.0107
359,3.393033,0.0107
360,3.391475,0.0106
361,3.390284,0.0107
362,3.381431,0.0107
363,3.375366,0.0107
364,3.371717,0.0106
365,3.366852,0.0107
366,3.360106,0.0107
367,3.355475,0.0107
368,3.348662,0.0107
369,3.341013,0.0107
370,3.336416,0.0107
371,3.332547,0.0107
372,3.328777,0.0107
373,3.324754,0.0107
374,3.324595,0.0107
375,3.324825,0.0107
376,3.322875,0.0107
377,3.318875,0.0108
378,3.314358,0.0107
379,3.307131,0.0107
380,3.300067,0.0108
381,3.299010,0.0107
382,3.297313,0.0107
383,3.297893,0.0108
384,3.297871,0.0107
385,3.302161,0.0107
386,3.306363,0.0107
387,3.305446,0.0107
388,3.300696,0.0102
389,3.296001,0.0104
390,3.289526,0.0107
391,3.281471,0.0108
392,3.272245,0.0108
393,3.266834,0.0107
394,3.266108,0.0108
395,3.262332,0.0108
396,3.255534,0.0108
397,3.249530,0.0108
398,3.247781,0.0107
399,3.246492,0.0108
400,3.243708,0.0108
401,3.240622,0.0104
402,3.235688,0.0100
403,3.229998,0.0103
404,3.223027,0.0103
405,3.215894,0.0104
406,3.205384,0.0103
407,3.194963,0.0103
408,3.187307,0.0103
409,3.184410,0.0103
410,3.183296,0.0103
411,3.179705,0.0103
412,3.175261,0.0103
413,3.171741,0.0103
414,3.175024,0.0103
415,3.178925,0.0104
416,3.169879,0.0103
417,3.154986,0.0103
418,3.143425,0.0103
419,3.142576,0.0103
420,3.145064,0.0103
421,3.149707,0.0104
422,3.157102,0.0103
423,3.160522,0.0103
424,3.154113,0.0103
425,3.141902,0.0103
426,3.128532,0.0103
427,3.116718,0.0104
428,3.107252,0.0103
429,3.108948,0.0104
430,3.108719,0.0104
431,3.106891,0.0104
432,3.104192,0.0104
433,3.103314,0.0104
434,3.105029,0.0104
435,3.106405,0.0104
436,3.102618,0.0103
437,3.095076,0.0104
438,3.086179,0.0104
439,3.085254,0.0104
440,3.087270,0.0104
441,3.092015,0.0103
442,3.092020,0.0104
443,3.092819,0.0104
444,3.090972,0.0104
445,3.082175,0.0104
446,3.069898,0.0104
447,3.060713,0.0104
448,3.053620,0.0104
449,3.044172,0.0104
450,3.038147,0.0104
451,3.031599,0.0150
452,3.027109,0.0103
453,3.024248,0.0103
454,3.020797,0.0105
455,3.015178,0.0109
456,3.012182,0.0108
457,3.013555,0.0105
458,3.010781,0.0104
459,3.004123,0.0104
460,2.996976,0.0104
461,2.990963,0.0104
462,2.985831,0.0105
463,2.982559,0.0104
464,2.968907,0.0105
465,2.962059,0.0104
466,2.964139,0.0105
467,2.965798,0.0105
468,2.970512,0.0105
469,2.976898,0.0104
470,2.975345,0.0106
471,2.969062,0.0110
472,2.962322,0.0110
473,2.958613,0.0110
474,2.953719,0.0110
475,2.951962,0.0109
476,2.949587,0.0108
477,2.951754,0.0104
478,2.946129,0.0105
479,2.942561,0.0105
480,2.936213,0.0105
481,2.931100,0.0105
482,2.928615,0.0105
483,2.922941,0.0105
484,2.918180,0.0105
485,2.916738,0.0105
486,2.918069,0.0106
487,2.914171,0.0105
488,2.916073,0.0105
489,2.922194,0.0105
490,2.930264,0.0105
491,2.939510,0.0105
492,2.947357,0.0105
493,2.947909,0.0106
494,2.939486,0.0105
495,2.933005,0.0105
496,2.933563,0.0105
497,2.934016,0.0105
498,2.928869,0.0105
499,2.928179,0.0105
500,2.934831,0.0105
501,2.937986,0.0105
502,2.937018,0.0105
503,2.926096,0.0105
504,2.910247,0.0105
505,2.903940,0.0105
506,2.902424,0.0106
507,2.893208,0.0109
508,2.881363,0.0106
509,2.872430,0.0105
510,2.866925,0.0106
511,2.863057,0.0106
512,2.869931,0.0106
513,2.881685,0.0106
514,2.881749,0.0106
515,2.872427,0.0106
516,2.861555,0.0105
517,2.851977,0.0106
518,2.842618,0.0106
519,2.828600,0.0106
520,2.811310,0.0106
521,2.802386,0.0106
522,2.792847,0.0106
523,2.779640,0.0106
524,2.772259,0.0106
525,2.768896,0.0107
526,2.767127,0.0106
527,2.759714,0.0106
528,2.754155,0.0106
529,2.752772,0.0106
530,2.755182,0.0106
531,2.755177,0.0106
532,2.760007,0.0106
533,2.770674,0.0106
534,2.783882,0.0106
535,2.794370,0.0106
536,2.799114,0.0107
537,2.795465,0.0106
538,2.787000,0.0106
539,2.779011,0.0107
540,2.769764,0.0106
541,2.755510,0.0107
542,2.754293,0.0106
543,2.763522,0.0106
544,2.765798,0.0107
545,2.763889,0.0106
546,2.757950,0.0106
547,2.748340,0.0107
548,2.740598,0.0107
549,2.726435,0.0104
550,2.711566,0.0098
551,2.700041,0.0100
552,2.698425,0.0102
553,2.701892,0.0103
554,2.699413,0.0103
555,2.692315,0.0103
556,2.687342,0.0103
557,2.684108,0.0105
558,2.686129,0.0106
559,2.685685,0.0108
560,2.685452,0.0107
561,2.683871,0.0107
562,2.679668,0.0107
563,2.675228,0.0107
564,2.669665,0.0107
565,2.661186,0.0107
566,2.652623,0.0107
567,2.640093,0.0107
568,2.633842,0.0107
569,2.643297,0.0107
570,2.650550,0.0107
571,2.644918,0.0107
572,2.635778,0.0108
573,2.633060,0.0107
574,2.624511,0.0108
575,2.618597,0.0107
576,2.618105,0.0105
577,2.613096,0.0104
578,2.616519,0.0104
579,2.619204,0.0104
580,2.616024,0.0104
581,2.615485,0.0104
582,2.610178,0.0105
583,2.599239,0.0104
584,2.592731,0.0105
585,2.588615,0.0105
586,2.596110,0.0105
587,2.609292,0.0105
588,2.614976,0.0101
589,2.612267,0.0105
590,2.607321,0.0102
591,2.598581,0.0103
592,2.582932,0.0105
593,2.573416,0.0105
594,2.577212,0.0106
595,2.596387,0.0108
596,2.622789,0.0108
597,2.640728,0.0108
598,2.654953,0.0108
599,2.661652,0.0108
600,2.661405,0.0104
601,2.656580,0.0097
602,2.647073,0.0100
603,2.638667,0.0101
604,2.628958,0.0103
605,2.615125,0.0103
606,2.599154,0.0103
607,2.585690,0.0103
608,2.570978,0.0105
609,2.562951,0.0105
610,2.556088,0.0105
611,2.548302,0.0105
612,2.536087,0.0106
613,2.526140,0.0105
614,2.522582,0.0106
615,2.518202,0.0105
616,2.517534,0.0105
617,2.517647,0.0105
618,2.512902,0.0105
619,2.503233,0.0105
620,2.496558,0.0106
621,2.491800,0.0109
622,2.484801,0.0109
623,2.478151,0.0109
624,2.474298,0.0109
625,2.472366,0.0109
626,2.470140,0.0109
627,2.466604,0.0109
628,2.468418,0.0109
629,2.470655,0.0109
630,2.470671,0.0109
631,2.468917,0.0109
632,2.480221,0.0106
633,2.471742,0.0106
634,2.464177,0.0107
635,2.456996,0.0106
636,2.458441,0.0107
637,2.464339,0.0107
638,2.473504,0.0107
639,2.489010,0.0107
640,2.514560,0.0108
641,2.519970,0.0109
642,2.508230,0.0111
643,2.503297,0.0110
644,2.511071,0.0110
645,2.524177,0.0110
646,2.534685,0.0110
647,2.541302,0.0110
648,2.547585,0.0108
649,2.545521,0.0108
650,2.540279,0.0106
651,2.536781,0.0107
652,2.534102,0.0107
653,2.527583,0.0106
654,2.520188,0.0107
655,2.508241,0.0107
656,2.498788,0.0107
657,2.491928,0.0107
658,2.482014,0.0107
659,2.474492,0.0107
660,2.452362,0.0109
661,2.434004,0.0109
662,2.427837,0.0109
663,2.419229,0.0109
664,2.412912,0.0112
665,2.409914,0.0112
666,2.401983,0.0112
667,2.395466,0.0110
668,2.398173,0.0111
669,2.398505,0.0109
670,2.391936,0.0109
671,2.389388,0.0107
672,2.392282,0.0108
673,2.386912,0.0110
674,2.381525,0.0109
675,2.375014,0.0111
676,2.380618,0.0112
677,2.385182,0.0111
678,2.380679,0.0111
679,2.376711,0.0112
680,2.373771,0.0112
681,2.370506,0.0110
682,2.368054,0.0109
683,2.365929,0.0109
684,2.362789,0.0109
685,2.355997,0.0109
686,2.350527,0.0109
687,2.350194,0.0110
688,2.352760,0.0111
689,2.355724,0.0111
690,2.359733,0.0112
691,2.361945,0.0112
692,2.371621,0.0114
693,2.381177,0.0114
694,2.388314,0.0113
695,2.392804,0.0111
696,2.392370,0.0111
697,2.384781,0.0111
698,2.376418,0.0112
699,2.367964,0.0113
700,2.362171,0.0115
701,2.363895,0.0114
702,2.359380,0.0115
703,2.353341,0.0117
704,2.347908,0.0115
705,2.340863,0.0120
706,2.334541,0.0118
707,2.326356,0.0114
708,2.318514,0.0116
709,2.308340,0.0116
710,2.302931,0.0117
711,2.306808,0.0116
712,2.309975,0.0115
713,2.312927,0.0115
714,2.314072,0.0115
715,2.310696,0.0115
716,2.312186,0.0116
717,2.309822,0.0118
718,2.299459,0.0120
719,2.290937,0.0118
720,2.280103,0.0116
721,2.272634,0.0117
722,2.270953,0.0117
723,2.264928,0.0119
724,2.263642,0.0119
725,2.266540,0.0120
726,2.272200,0.0120
727,2.268516,0.0118
728,2.260107,0.0119
729,2.253735,0.0120
730,2.251245,0.0120
731,2.251835,0.0122
732,2.250715,0.0120
733,2.249946,0.0120
734,2.248245,0.0119
735,2.250031,0.0121
736,2.247742,0.0121
737,2.243850,0.0122
738,2.242479,0.0122
739,2.244927,0.0121
740,2.256634,0.0122
741,2.275221,0.0122
742,2.268086,0.0124
743,2.250544,0.0123
744,2.262429,0.0124
745,2.284851,0.0123
746,2.285143,0.0125
747,2.268974,0.0126
748,2.258500,0.0125
749,2.265968,0.0125
750,2.269038,0.0127
751,2.264240,0.0127
752,2.259470,0.0128
753,2.256214,0.0127
754,2.253514,0.0128
755,2.244110,0.0129
756,2.231413,0.0129
757,2.226929,0.0130
758,2.224156,0.0130
759,2.218453,0.0131
760,2.212361,0.0131
761,2.205442,0.0133
762,2.197501,0.0134
763,2.189655,0.0135
764,2.184267,0.0134
765,2.181442,0.0134
766,2.180104,0.0135
767,2.205164,0.0134
768,2.231075,0.0135
769,2.238842,0.0135
770,2.228534,0.0136
771,2.207714,0.0136
772,2.186253,0.0137
773,2.175462,0.0136
774,2.172656,0.0137
775,2.172456,0.0137
776,2.172872,0.0137
777,2.177022,0.0137
778,2.180284,0.0138
779,2.182811,0.0138
780,2.179965,0.0138
781,2.169127,0.0139
782,2.163234,0.0138
783,2.168992,0.0138
784,2.186785,0.0142
785,2.204125,0.0139
786,2.209366,0.0138
787,2.205537,0.0140
788,2.193794,0.0137
789,2.180380,0.0138
790,2.165968,0.0137
791,2.156273,0.0138
792,2.149637,0.0142
793,2.150375,0.0139
794,2.152618,0.0142
795,2.151344,0.0140
796,2.143229,0.0141
797,2.140194,0.0146
798,2.138501,0.0142
799,2.138791,0.0145
800,2.137453,0.0148
801,2.140019,0.0145
802,2.145263,0.0148
803,2.149811,0.0145
804,2.151547,0.0149
805,2.153604,0.0150
806,2.156308,0.0152
807,2.155926,0.0152
808,2.154230,0.0149
809,2.161678,0.0153
810,2.166944,0.0157
811,2.164768,0.0155
812,2.153677,0.0158
813,2.145102,0.0154
814,2.143413,0.0155
815,2.145658,0.0160
816,2.157468,0.0156
817,2.171599,0.0157
818,2.190757,0.0159
819,2.204993,0.0162
820,2.205122,0.0165
821,2.195451,0.0163
822,2.180133,0.0160
823,2.189561,0.0161
824,2.214851,0.0167
825,2.228309,0.0164
826,2.230771,0.0164
827,2.225523,0.0167
828,2.208300,0.0173
829,2.197821,0.0166
830,2.207352,0.0171
831,2.222436,0.0168
832,2.226682,0.0171
833,2.227435,0.0170
834,2.224673,0.0170
835,2.218972,0.0176
836,2.208330,0.0177
837,2.188256,0.0174
838,2.172901,0.0175
839,2.166794,0.0180
840,2.176921,0.0181
841,2.183719,0.0177
842,2.173679,0.0184
843,2.171348,0.0184
844,2.180516,0.0185
845,2.181603,0.0181
846,2.165285,0.0182
847,2.141356,0.0188
848,2.117313,0.0190
849,2.099913,0.0186
850,2.100378,0.0192
851,2.107962,0.0205
852,2.106540,0.0191
853,2.100995,0.0191
854,2.094687,0.0197
855,2.122530,0.0198
856,2.185989,0.0199
857,2.258068,0.0200
858,2.312198,0.0196
859,2.339931,0.0206
860,2.344202,0.0203
861,2.342212,0.0205
862,2.334047,0.0206
863,2.324400,0.0206
864,2.303025,0.0207
865,2.283263,0.0208
866,2.275105,0.0203
867,2.260874,0.0204
868,2.243294,0.0210
869,2.224010,0.0215
870,2.210174,0.0209
871,2.190100,0.0213
872,2.167028,0.0218
873,2.149235,0.0216
874,2.133405,0.0218
875,2.122769,0.0220
876,2.114939,0.0223
877,2.113286,0.0224
878,2.110519,0.0231
879,2.109499,0.0229
880,2.110723,0.0233
881,2.141435,0.0235
882,2.184932,0.0238
883,2.202597,0.0241
884,2.198214,0.0244
885,2.183572,0.0246
886,2.161920,0.0250
887,2.139362,0.0257
888,2.124547,0.0261
889,2.118176,0.0259
890,2.112125,0.0264
891,2.111033,0.0267
892,2.108669,0.0270
893,2.109498,0.0274
894,2.101741,0.0283
895,2.089985,0.0281
896,2.069298,0.0284
897,2.045129,0.0289
898,2.027395,0.0292
899,2.023386,0.0296
900,2.017998,0.0305
901,2.014655,0.0303
902,2.013975,0.0307
903,2.014779,0.0317
904,2.011624,0.0315
905,2.007315,0.0324
906,2.006984,0.0328
907,2.014179,0.0327
908,2.024219,0.0331
909,2.020675,0.0335
910,2.011369,0.0339
911,2.005674,0.0343
912,1.995236,0.0354
913,1.985390,0.0352
914,1.990687,0.0363
915,1.993694,0.0360
916,1.998193,0.0365
917,1.996521,0.0370
918,1.998643,0.0375
919,1.991614,0.0387
920,1.978346,0.0385
921,1.965284,0.0388
922,1.965752,0.0393
923,1.964770,0.0399
924,1.962191,0.0404
925,1.970724,0.0409
926,1.978066,0.0427
927,1.988124,0.0429
928,2.001359,0.0425
929,1.997236,0.0429
930,1.975573,0.0444
931,1.966452,0.0440
932,1.967624,0.0455
933,1.975453,0.0448
934,1.988710,0.0464
935,1.987599,0.0468
936,1.988194,0.0461
937,1.981994,0.0477
938,1.976575,0.0471
939,1.981306,0.0486
940,1.991515,0.0488
