epoch,loss,tiempo_s
1,14.642120,0.3092
2,8.925900,0.0105
3,8.405953,0.0098
4,8.171795,0.0100
5,8.026542,0.0104
6,7.924723,0.0109
7,7.848597,0.0113
8,7.788804,0.0115
9,7.739358,0.0113
10,7.696884,0.0112
11,7.659185,0.0114
12,7.627934,0.0117
13,7.601401,0.0117
14,7.574306,0.0118
15,7.551622,0.0117
16,7.530182,0.0118
17,7.509996,0.0117
18,7.490904,0.0118
19,7.474230,0.0119
20,7.457248,0.0118
21,7.442429,0.0118
22,7.426858,0.0119
23,7.412512,0.0118
24,7.399858,0.0113
25,7.386438,0.0115
26,7.374198,0.0118
27,7.361942,0.0118
28,7.351532,0.0119
29,7.339296,0.0117
30,7.327975,0.0118
31,7.316494,0.0116
32,7.307505,0.0113
33,7.296482,0.0118
34,7.287565,0.0118
35,7.277730,0.0117
36,7.268401,0.0118
37,7.260272,0.0117
38,7.251455,0.0117
39,7.242569,0.0118
40,7.233480,0.0117
41,7.226086,0.0118
42,7.218138,0.0117
43,7.210035,0.0117
44,7.201941,0.0118
45,7.193455,0.0116
46,7.185874,0.0117
47,7.178457,0.0118
48,7.172239,0.0118
49,7.165110,0.0117
50,7.157579,0.0117
51,7.150565,0.0118
52,7.143315,0.0118
53,7.137894,0.0119
54,7.131256,0.0118
55,7.124066,0.0118
56,7.117727,0.0117
57,7.111045,0.0118
58,7.105401,0.0118
59,7.098495,0.0116
60,7.094306,0.0113
61,7.087019,0.0118
62,7.082333,0.0118
63,7.076106,0.0118
64,7.069649,0.0118
65,7.065322,0.0118
66,7.058069,0.0117
67,7.051332,0.0114
68,7.045293,0.0117
69,7.040369,0.0118
70,7.035156,0.0118
71,7.030120,0.0118
72,7.022571,0.0117
73,7.018200,0.0113
74,7.011741,0.0118
75,7.004818,0.0118
76,6.998809,0.0118
77,6.993199,0.0118
78,6.988141,0.0118
79,6.983059,0.0118
80,6.976071,0.0117
81,6.972023,0.0118
82,6.965386,0.0118
83,6.960498,0.0118
84,6.956021,0.0117
85,6.949870,0.0118
86,6.944571,0.0117
87,6.938985,0.0113
88,6.933516,0.0126
89,6.928335,0.0118
90,6.921679,0.0118
91,6.917659,0.0118
92,6.911982,0.0118
93,6.906451,0.0118
94,6.901651,0.0119
95,6.896615,0.0118
96,6.891394,0.0118
97,6.885997,0.0119
98,6.881227,0.0118
99,6.875340,0.0118
100,6.870672,0.0118
101,6.865045,0.0118
102,6.858847,0.0118
103,6.853222,0.0118
104,6.848382,0.0119
105,6.842371,0.0118
106,6.836829,0.0118
107,6.830739,0.0118
108,6.824850,0.0118
109,6.819644,0.0119
110,6.813511,0.0118
111,6.808263,0.0119
112,6.803164,0.0117
113,6.797512,0.0113
114,6.792507,0.0113
115,6.787421,0.0115
116,6.781647,0.0118
117,6.776628,0.0118
118,6.770612,0.0118
119,6.764855,0.0118
120,6.758708,0.0118
121,6.753937,0.0117
122,6.748133,0.0114
123,6.742920,0.0119
124,6.736668,0.0119
125,6.731072,0.0163
126,6.725756,0.0106
127,6.720950,0.0111
128,6.715897,0.0116
129,6.709233,0.0119
130,6.703987,0.0118
131,6.698684,0.0119
132,6.694622,0.0117
133,6.688060,0.0113
134,6.682652,0.0115
135,6.677163,0.0118
136,6.670666,0.0118
137,6.665575,0.0118
138,6.659784,0.0118
139,6.654325,0.0113
140,6.649158,0.0113
141,6.643720,0.0114
142,6.638149,0.0119
143,6.631497,0.0119
144,6.627015,0.0119
145,6.621486,0.0118
146,6.615331,0.0117
147,6.609037,0.0114
148,6.604894,0.0114
149,6.598089,0.0119
150,6.593945,0.0119
151,6.587033,0.0119
152,6.581435,0.0119
153,6.575496,0.0117
154,6.571457,0.0114
155,6.565262,0.0115
156,6.559192,0.0119
157,6.553586,0.0119
158,6.548544,0.0120
159,6.542475,0.0118
160,6.538200,0.0113
161,6.531299,0.0114
162,6.525063,0.0115
163,6.520882,0.0119
164,6.515185,0.0120
165,6.510085,0.0119
166,6.503909,0.0118
167,6.498930,0.0113
168,6.493495,0.0114
169,6.487239,0.0114
170,6.481753,0.0115
171,6.476632,0.0119
172,6.471476,0.0119
173,6.466179,0.0119
174,6.460464,0.0118
175,6.455783,0.0113
176,6.450457,0.0114
177,6.444876,0.0115
178,6.438901,0.0119
179,6.434319,0.0119
180,6.427297,0.0119
181,6.423071,0.0119
182,6.417680,0.0119
183,6.411458,0.0119
184,6.406272,0.0120
185,6.401358,0.0119
186,6.395471,0.0119
187,6.390394,0.0119
188,6.385531,0.0118
189,6.379422,0.0113
190,6.373385,0.0116
191,6.367201,0.0119
192,6.362758,0.0119
193,6.357267,0.0119
194,6.350539,0.0118
195,6.345824,0.0114
196,6.339341,0.0114
197,6.333164,0.0114
198,6.328338,0.0117
199,6.321724,0.0119
200,6.316939,0.0119
201,6.311180,0.0120
202,6.304745,0.0118
203,6.299046,0.0114
204,6.293556,0.0115
205,6.287113,0.0119
206,6.281118,0.0119
207,6.274202,0.0119
208,6.268913,0.0120
209,6.262923,0.0118
210,6.259108,0.0114
211,6.253011,0.0115
212,6.246423,0.0119
213,6.241943,0.0119
214,6.235532,0.0119
215,6.229485,0.0119
216,6.223995,0.0114
217,6.216759,0.0114
218,6.211503,0.0115
219,6.204882,0.0119
220,6.199429,0.0119
221,6.192956,0.0120
222,6.187336,0.0119
223,6.180998,0.0118
224,6.174445,0.0114
225,6.168220,0.0115
226,6.162457,0.0119
227,6.157783,0.0119
228,6.152145,0.0119
229,6.146208,0.0119
230,6.139830,0.0118
231,6.135040,0.0114
232,6.129672,0.0116
233,6.121901,0.0120
234,6.117146,0.0120
235,6.111121,0.0119
236,6.105432,0.0119
237,6.099731,0.0119
238,6.093369,0.0115
239,6.087753,0.0159
240,6.081747,0.0126
241,6.075920,0.0115
242,6.070560,0.0116
243,6.063907,0.0119
244,6.057582,0.0120
245,6.051125,0.0120
246,6.045982,0.0119
247,6.038590,0.0115
248,6.032941,0.0115
249,6.025643,0.0120
250,6.021026,0.0120
251,6.014216,0.0120
252,6.008874,0.0119
253,6.001426,0.0115
254,5.996669,0.0115
255,5.990361,0.0116
256,5.985466,0.0120
257,5.978828,0.0120
258,5.973506,0.0120
259,5.966295,0.0119
260,5.962604,0.0114
261,5.955711,0.0115
262,5.950168,0.0116
263,5.944064,0.0120
264,5.938718,0.0121
265,5.933109,0.0120
266,5.926250,0.0119
267,5.920257,0.0115
268,5.913124,0.0115
269,5.907605,0.0120
270,5.901881,0.0121
271,5.896527,0.0121
272,5.889864,0.0119
273,5.884324,0.0115
274,5.878937,0.0116
275,5.871476,0.0115
276,5.866240,0.0118
277,5.859344,0.0121
278,5.853919,0.0121
279,5.847534,0.0119
280,5.840052,0.0115
281,5.836296,0.0115
282,5.828582,0.0115
283,5.822431,0.0117
284,5.815877,0.0120
285,5.810789,0.0120
286,5.804702,0.0119
287,5.798278,0.0115
288,5.791669,0.0115
289,5.785715,0.0117
290,5.781744,0.0121
291,5.775094,0.0121
292,5.770447,0.0121
293,5.762914,0.0120
294,5.757313,0.0115
295,5.751030,0.0117
296,5.745162,0.0121
297,5.739000,0.0121
298,5.732543,0.0121
299,5.726474,0.0120
300,5.720947,0.0116
301,5.714881,0.0122
302,5.708824,0.0121
303,5.703350,0.0120
304,5.698236,0.0115
305,5.691066,0.0115
306,5.684398,0.0117
307,5.678993,0.0121
308,5.673695,0.0121
309,5.667822,0.0120
310,5.661634,0.0115
311,5.655612,0.0116
312,5.650459,0.0117
313,5.643744,0.0121
314,5.640026,0.0121
315,5.633666,0.0121
316,5.628013,0.0120
317,5.621457,0.0116
318,5.613644,0.0117
319,5.608304,0.0122
320,5.602491,0.0121
321,5.597928,0.0121
322,5.592359,0.0120
323,5.584852,0.0116
324,5.578795,0.0117
325,5.573750,0.0121
326,5.566839,0.0121
327,5.561914,0.0122
328,5.556327,0.0120
329,5.549138,0.0116
330,5.543870,0.0118
331,5.538953,0.0121
332,5.535135,0.0121
333,5.527847,0.0120
