epoch,loss,tiempo_s
1,13.536415,0.2274
2,8.358661,0.0113
3,7.830771,0.0101
4,7.573236,0.0104
5,7.399444,0.0108
6,7.271187,0.0111
7,7.177979,0.0114
8,7.105725,0.0118
9,7.044564,0.0125
10,6.987041,0.0124
11,6.937668,0.0124
12,6.899149,0.0118
13,6.866442,0.0119
14,6.833797,0.0123
15,6.802158,0.0123
16,6.775729,0.0123
17,6.751534,0.0121
18,6.724628,0.0117
19,6.702072,0.0120
20,6.681269,0.0123
21,6.658648,0.0124
22,6.637724,0.0121
23,6.620971,0.0117
24,6.602900,0.0118
25,6.587930,0.0122
26,6.569129,0.0123
27,6.550458,0.0122
28,6.536687,0.0121
29,6.519228,0.0117
30,6.502655,0.0120
31,6.485808,0.0123
32,6.467138,0.0122
33,6.453392,0.0121
34,6.436258,0.0117
35,6.420508,0.0118
36,6.406188,0.0122
37,6.389523,0.0122
38,6.375765,0.0122
39,6.361325,0.0122
40,6.345214,0.0117
41,6.332810,0.0118
42,6.317727,0.0122
43,6.304543,0.0123
44,6.290728,0.0122
45,6.275006,0.0117
46,6.262357,0.0117
47,6.248391,0.0122
48,6.234437,0.0123
49,6.220454,0.0122
50,6.207479,0.0117
51,6.193089,0.0117
52,6.180756,0.0118
53,6.167411,0.0194
54,6.156166,0.0113
55,6.143275,0.0119
56,6.130804,0.0123
57,6.119053,0.0122
58,6.106426,0.0122
59,6.093174,0.0117
60,6.080506,0.0119
61,6.068894,0.0123
62,6.057158,0.0123
63,6.046136,0.0122
64,6.032290,0.0117
65,6.021581,0.0119
66,6.010884,0.0123
67,5.998102,0.0123
68,5.988112,0.0121
69,5.977144,0.0117
70,5.964873,0.0117
71,5.954818,0.0118
72,5.943976,0.0123
73,5.932659,0.0123
74,5.920523,0.0123
75,5.911195,0.0122
76,5.902071,0.0118
77,5.891830,0.0120
78,5.881466,0.0123
79,5.870241,0.0124
80,5.859541,0.0122
81,5.849516,0.0117
82,5.839686,0.0119
83,5.829497,0.0123
84,5.819858,0.0123
85,5.810978,0.0122
86,5.801512,0.0117
87,5.790908,0.0117
88,5.782098,0.0119
89,5.773037,0.0123
90,5.763438,0.0123
91,5.753525,0.0121
92,5.743238,0.0117
93,5.735265,0.0118
94,5.725977,0.0123
95,5.717181,0.0123
96,5.707859,0.0123
97,5.699275,0.0117
98,5.690357,0.0117
99,5.682248,0.0119
100,5.673900,0.0123
101,5.665186,0.0123
102,5.656333,0.0122
103,5.648656,0.0117
104,5.640213,0.0117
105,5.631501,0.0119
106,5.624681,0.0124
107,5.617475,0.0123
108,5.608149,0.0121
109,5.599438,0.0117
110,5.591861,0.0117
111,5.584548,0.0120
112,5.576597,0.0123
113,5.568624,0.0123
114,5.561452,0.0122
115,5.553401,0.0118
116,5.545769,0.0119
117,5.537688,0.0123
118,5.530618,0.0123
119,5.522446,0.0121
120,5.515611,0.0117
121,5.507370,0.0104
122,5.499708,0.0111
123,5.492296,0.0110
124,5.485052,0.0110
125,5.477026,0.0115
126,5.469864,0.0121
127,5.462992,0.0153
128,5.456038,0.0113
129,5.448755,0.0116
130,5.440621,0.0123
131,5.433419,0.0123
132,5.425916,0.0123
133,5.417880,0.0117
134,5.410036,0.0118
135,5.402274,0.0118
136,5.394287,0.0122
137,5.388229,0.0123
138,5.380515,0.0123
139,5.372737,0.0122
140,5.365183,0.0117
141,5.359047,0.0119
142,5.350223,0.0123
143,5.342895,0.0123
144,5.336206,0.0122
145,5.328526,0.0117
146,5.321548,0.0099
147,5.313941,0.0099
148,5.307107,0.0095
149,5.299397,0.0095
150,5.292141,0.0104
151,5.284587,0.0113
152,5.277747,0.0114
153,5.270130,0.0119
154,5.262683,0.0123
155,5.255928,0.0123
156,5.248276,0.0122
157,5.240743,0.0118
158,5.232882,0.0118
159,5.225653,0.0118
160,5.219399,0.0122
161,5.211961,0.0123
162,5.204836,0.0121
163,5.197932,0.0118
164,5.189501,0.0117
165,5.182503,0.0119
166,5.175748,0.0123
167,5.168187,0.0124
168,5.162474,0.0122
169,5.155130,0.0117
170,5.147421,0.0118
171,5.140883,0.0119
172,5.133988,0.0124
173,5.126644,0.0123
174,5.119845,0.0122
175,5.111468,0.0117
176,5.104213,0.0119
177,5.097742,0.0141
178,5.090039,0.0119
179,5.083892,0.0122
180,5.076467,0.0117
181,5.069469,0.0118
182,5.060872,0.0123
183,5.053292,0.0123
184,5.046082,0.0123
185,5.038654,0.0122
186,5.030785,0.0117
187,5.023968,0.0120
188,5.016818,0.0123
189,5.009643,0.0123
190,5.001602,0.0122
191,4.993636,0.0117
192,4.986092,0.0119
193,4.980494,0.0123
194,4.972046,0.0123
195,4.965360,0.0122
196,4.958468,0.0118
197,4.949958,0.0117
198,4.942794,0.0119
199,4.936107,0.0123
200,4.928542,0.0123
201,4.919902,0.0123
202,4.913457,0.0117
203,4.906024,0.0116
204,4.898075,0.0120
205,4.890041,0.0123
206,4.882351,0.0123
207,4.874819,0.0122
208,4.868137,0.0117
209,4.860123,0.0118
210,4.852431,0.0123
211,4.844493,0.0123
212,4.838199,0.0123
213,4.830982,0.0117
214,4.822692,0.0118
215,4.814835,0.0119
216,4.807447,0.0123
217,4.800119,0.0123
218,4.792730,0.0122
219,4.783641,0.0117
220,4.775757,0.0118
221,4.769354,0.0124
222,4.761759,0.0124
223,4.754639,0.0123
224,4.747983,0.0122
225,4.739837,0.0117
226,4.732658,0.0120
227,4.725198,0.0124
228,4.718967,0.0124
229,4.711073,0.0122
230,4.705969,0.0118
231,4.700679,0.0118
232,4.695122,0.0124
233,4.690579,0.0124
234,4.684049,0.0122
235,4.677092,0.0117
236,4.669705,0.0118
237,4.663891,0.0119
238,4.656107,0.0124
239,4.649232,0.0123
240,4.640432,0.0123
241,4.631687,0.0122
242,4.623610,0.0118
243,4.614833,0.0123
244,4.605615,0.0123
245,4.596727,0.0123
246,4.589410,0.0122
247,4.581889,0.0117
248,4.575136,0.0119
249,4.567788,0.0123
250,4.561019,0.0123
251,4.554709,0.0122
252,4.548833,0.0117
253,4.542747,0.0120
254,4.537862,0.0124
255,4.531569,0.0123
256,4.524436,0.0123
257,4.516809,0.0117
258,4.509605,0.0118
259,4.501499,0.0120
260,4.493597,0.0123
261,4.485039,0.0123
262,4.477283,0.0123
263,4.468044,0.0118
264,4.459635,0.0118
265,4.451847,0.0120
266,4.444543,0.0124
267,4.436300,0.0123
268,4.428462,0.0123
269,4.421488,0.0118
270,4.415100,0.0119
271,4.407539,0.0123
272,4.401878,0.0124
273,4.396405,0.0122
274,4.389965,0.0117
275,4.383543,0.0119
276,4.374753,0.0123
277,4.367004,0.0123
278,4.359354,0.0122
279,4.352545,0.0118
280,4.345196,0.0118
281,4.338985,0.0120
282,4.332941,0.0123
283,4.326233,0.0123
284,4.318993,0.0122
285,4.312185,0.0117
286,4.307952,0.0117
287,4.303341,0.0120
288,4.297281,0.0124
289,4.290474,0.0123
290,4.282891,0.0122
291,4.278445,0.0118
292,4.274951,0.0120
293,4.269224,0.0124
294,4.260600,0.0117
295,4.253128,0.0099
296,4.246457,0.0100
297,4.240804,0.0102
298,4.235568,0.0105
299,4.228650,0.0108
300,4.222261,0.0114
301,4.214431,0.0113
302,4.207078,0.0110
303,4.199572,0.0116
304,4.192294,0.0124
305,4.185226,0.0124
306,4.176427,0.0113
307,4.169032,0.0100
308,4.163944,0.0097
309,4.159227,0.0096
310,4.153944,0.0097
311,4.146279,0.0109
312,4.139748,0.0111
313,4.135802,0.0115
314,4.134798,0.0113
315,4.131433,0.0113
316,4.126254,0.0118
317,4.119196,0.0124
318,4.110266,0.0124
319,4.101163,0.0123
320,4.090741,0.0141
321,4.081486,0.0124
322,4.074965,0.0123
323,4.070021,0.0123
324,4.066314,0.0119
325,4.061126,0.0120
326,4.055379,0.0124
327,4.048081,0.0124
328,4.040833,0.0123
329,4.033854,0.0118
330,4.027045,0.0120
331,4.020278,0.0124
332,4.011427,0.0124
333,4.007093,0.0123
334,4.002316,0.0118
335,3.997198,0.0118
336,3.991079,0.0120
337,3.980852,0.0106
338,3.974600,0.0102
339,3.971095,0.0113
340,3.966461,0.0118
341,3.959083,0.0123
342,3.954039,0.0118
343,3.946926,0.0118
344,3.936619,0.0120
345,3.932346,0.0125
346,3.928297,0.0124
347,3.919488,0.0123
348,3.911689,0.0118
349,3.907688,0.0120
350,3.903639,0.0124
351,3.897286,0.0124
352,3.892861,0.0122
353,3.886315,0.0119
354,3.881814,0.0118
355,3.874732,0.0120
356,3.869835,0.0125
357,3.863261,0.0124
358,3.855033,0.0123
359,3.846876,0.0119
360,3.844044,0.0120
361,3.842036,0.0124
362,3.835724,0.0124
363,3.830677,0.0123
364,3.826677,0.0118
365,3.826789,0.0120
366,3.830944,0.0124
367,3.832913,0.0124
368,3.834247,0.0123
369,3.832381,0.0118
370,3.824106,0.0118
371,3.818801,0.0121
372,3.807334,0.0124
373,3.793532,0.0125
374,3.780956,0.0123
375,3.768036,0.0118
376,3.757179,0.0120
377,3.749025,0.0124
378,3.743191,0.0124
379,3.736918,0.0150
380,3.729218,0.0127
381,3.723602,0.0125
382,3.718498,0.0123
383,3.712798,0.0119
384,3.706889,0.0121
385,3.700957,0.0125
386,3.696266,0.0125
387,3.694658,0.0123
388,3.692582,0.0118
389,3.694440,0.0121
390,3.689177,0.0125
391,3.682803,0.0124
392,3.675858,0.0124
393,3.667108,0.0118
394,3.662088,0.0121
395,3.667803,0.0124
396,3.658941,0.0125
397,3.643218,0.0123
398,3.631986,0.0118
399,3.628139,0.0121
400,3.624460,0.0124
401,3.618821,0.0126
402,3.611477,0.0123
403,3.603519,0.0118
404,3.597406,0.0120
405,3.596744,0.0125
406,3.590497,0.0124
407,3.583042,0.0124
408,3.579012,0.0120
409,3.572338,0.0121
410,3.565684,0.0125
411,3.557969,0.0124
412,3.553431,0.0124
413,3.545760,0.0120
414,3.540866,0.0122
415,3.538276,0.0125
416,3.528722,0.0125
417,3.521994,0.0124
418,3.514978,0.0119
419,3.508354,0.0121
420,3.502743,0.0125
421,3.499833,0.0125
422,3.495229,0.0124
423,3.488013,0.0119
424,3.487777,0.0121
425,3.485083,0.0125
426,3.482322,0.0125
427,3.478978,0.0124
428,3.472029,0.0119
429,3.466262,0.0121
430,3.459152,0.0125
431,3.459234,0.0125
432,3.454934,0.0124
433,3.448041,0.0119
434,3.445092,0.0121
435,3.433322,0.0125
436,3.434912,0.0124
437,3.439283,0.0124
438,3.436874,0.0118
439,3.438009,0.0117
440,3.433858,0.0125
441,3.426965,0.0124
442,3.419002,0.0124
443,3.412450,0.0119
444,3.407333,0.0119
445,3.404075,0.0121
446,3.397340,0.0125
447,3.389584,0.0124
448,3.382912,0.0119
449,3.372634,0.0119
450,3.363394,0.0121
451,3.357117,0.0108
452,3.352873,0.0101
453,3.352679,0.0102
454,3.351601,0.0105
455,3.345478,0.0108
456,3.340482,0.0116
457,3.331402,0.0124
458,3.320748,0.0120
459,3.318597,0.0120
460,3.312858,0.0121
461,3.307577,0.0126
462,3.305220,0.0125
463,3.308452,0.0125
464,3.307863,0.0120
465,3.311986,0.0122
466,3.316796,0.0126
467,3.317653,0.0124
468,3.310841,0.0119
469,3.305987,0.0120
470,3.297312,0.0122
471,3.295464,0.0126
472,3.280874,0.0124
473,3.273142,0.0119
474,3.262168,0.0116
475,3.252845,0.0121
476,3.249101,0.0125
477,3.257636,0.0125
478,3.268346,0.0125
479,3.255288,0.0121
480,3.240517,0.0126
481,3.233776,0.0125
482,3.229245,0.0125
483,3.220778,0.0120
484,3.218476,0.0122
485,3.221833,0.0125
486,3.215729,0.0126
487,3.203847,0.0124
488,3.202523,0.0120
489,3.200098,0.0122
490,3.193127,0.0126
491,3.185476,0.0125
492,3.180371,0.0125
493,3.176725,0.0119
494,3.174607,0.0120
495,3.177421,0.0126
496,3.171720,0.0126
497,3.164951,0.0124
498,3.158751,0.0121
499,3.153818,0.0122
500,3.145744,0.0126
501,3.149123,0.0126
502,3.146626,0.0125
503,3.143833,0.0120
504,3.133014,0.0123
505,3.140178,0.0126
506,3.178855,0.0126
507,3.207357,0.0125
508,3.222264,0.0131
509,3.200286,0.0125
510,3.175019,0.0126
511,3.154863,0.0125
512,3.136864,0.0120
513,3.130093,0.0120
514,3.134046,0.0126
515,3.141684,0.0126
516,3.150726,0.0125
517,3.160055,0.0120
518,3.167416,0.0124
519,3.155395,0.0126
520,3.144945,0.0125
521,3.142816,0.0120
522,3.115305,0.0117
523,3.099367,0.0124
524,3.087126,0.0126
525,3.079264,0.0125
526,3.091096,0.0121
527,3.095016,0.0122
528,3.072268,0.0126
529,3.070236,0.0126
530,3.069739,0.0125
531,3.060975,0.0120
532,3.064703,0.0123
533,3.064051,0.0127
534,3.064340,0.0126
535,3.054099,0.0125
536,3.046333,0.0122
537,3.043926,0.0126
538,3.038660,0.0127
539,3.026153,0.0125
540,3.033505,0.0121
541,3.066765,0.0120
542,3.058938,0.0127
543,3.060269,0.0127
544,3.058280,0.0127
545,3.057359,0.0122
546,3.045516,0.0124
547,3.050765,0.0128
548,3.049325,0.0126
549,3.039860,0.0121
550,3.028261,0.0118
551,3.026461,0.0123
552,3.031784,0.0129
553,3.008355,0.0128
554,2.993626,0.0126
555,2.978021,0.0121
556,2.967098,0.0124
557,2.978079,0.0129
558,2.984448,0.0127
559,3.016507,0.0122
560,3.056143,0.0119
561,3.051765,0.0124
562,3.047752,0.0128
563,3.060186,0.0128
564,3.057394,0.0121
565,3.048727,0.0117
566,3.052134,0.0121
567,3.043677,0.0128
568,3.026954,0.0128
569,3.019033,0.0121
570,3.004456,0.0117
571,2.986658,0.0121
572,2.977469,0.0128
573,2.963334,0.0127
574,2.941154,0.0120
575,2.934625,0.0118
576,2.935564,0.0121
577,2.934656,0.0128
578,2.927610,0.0154
579,2.928020,0.0119
580,2.934083,0.0119
581,2.935089,0.0127
582,2.924881,0.0127
583,2.915107,0.0121
584,2.913881,0.0118
585,2.913034,0.0122
586,2.918203,0.0127
587,2.933016,0.0127
588,2.938269,0.0121
589,2.927224,0.0118
590,2.910870,0.0122
591,2.897118,0.0127
592,2.886544,0.0127
593,2.884652,0.0122
594,2.884502,0.0119
595,2.873320,0.0121
596,2.863188,0.0130
597,2.855927,0.0128
598,2.854998,0.0121
599,2.870612,0.0118
600,2.864017,0.0120
601,2.855058,0.0124
602,2.845837,0.0126
603,2.845281,0.0122
604,2.840101,0.0128
605,2.833805,0.0129
606,2.839013,0.0128
607,2.842813,0.0118
608,2.828658,0.0121
609,2.819668,0.0128
610,2.822721,0.0127
611,2.809154,0.0121
612,2.797337,0.0119
613,2.791012,0.0124
614,2.786711,0.0128
615,2.789654,0.0127
616,2.794861,0.0122
617,2.796695,0.0131
618,2.792620,0.0129
619,2.802372,0.0127
620,2.783078,0.0121
621,2.781969,0.0118
622,2.778641,0.0122
623,2.775027,0.0129
624,2.775589,0.0127
625,2.756989,0.0122
626,2.741709,0.0119
627,2.733371,0.0126
628,2.727070,0.0129
629,2.744966,0.0128
630,2.735304,0.0122
631,2.716224,0.0122
632,2.716611,0.0129
633,2.704720,0.0129
634,2.713269,0.0127
