epoch,loss,tiempo_s
1,11.362105,0.1618
2,6.021983,0.0240
3,5.409079,0.0237
4,5.117223,0.0237
5,4.934355,0.0237
6,4.804175,0.0231
7,4.703198,0.0217
8,4.622719,0.0217
9,4.555117,0.0216
10,4.495576,0.0216
11,4.444618,0.0215
12,4.397985,0.0216
13,4.356882,0.0216
14,4.319079,0.0216
15,4.284348,0.0216
16,4.251492,0.0216
17,4.221392,0.0216
18,4.193652,0.0216
19,4.167993,0.0213
20,4.143400,0.0208
21,4.120902,0.0208
22,4.099554,0.0208
23,4.079567,0.0208
24,4.059513,0.0212
25,4.040379,0.0209
26,4.022243,0.0208
27,4.005271,0.0208
28,3.988434,0.0209
29,3.973319,0.0208
30,3.957443,0.0208
31,3.942314,0.0209
32,3.927575,0.0209
33,3.913997,0.0209
34,3.899725,0.0208
35,3.886943,0.0209
36,3.873767,0.0208
37,3.861518,0.0209
38,3.848106,0.0209
39,3.836936,0.0208
40,3.825208,0.0208
41,3.813756,0.0209
42,3.802936,0.0209
43,3.791892,0.0209
44,3.781949,0.0209
45,3.771129,0.0208
46,3.761217,0.0209
47,3.751903,0.0209
48,3.742356,0.0209
49,3.733044,0.0209
50,3.723896,0.0209
51,3.714844,0.0209
52,3.705337,0.0209
53,3.696313,0.0209
54,3.687539,0.0209
55,3.679566,0.0209
56,3.671027,0.0209
57,3.662814,0.0209
58,3.654284,0.0209
59,3.645758,0.0209
60,3.638308,0.0209
61,3.630264,0.0209
62,3.622672,0.0209
63,3.615445,0.0209
64,3.606815,0.0209
65,3.599314,0.0209
66,3.592338,0.0209
67,3.585624,0.0209
68,3.577197,0.0209
69,3.569312,0.0209
70,3.562658,0.0209
71,3.555396,0.0209
72,3.548214,0.0209
73,3.541406,0.0209
74,3.535097,0.0209
75,3.528435,0.0209
76,3.520593,0.0209
77,3.514095,0.0209
78,3.507975,0.0209
79,3.501070,0.0209
80,3.494517,0.0209
81,3.487418,0.0210
82,3.481542,0.0209
83,3.475346,0.0209
84,3.468472,0.0210
85,3.461725,0.0209
86,3.455517,0.0209
87,3.449660,0.0210
88,3.442922,0.0214
89,3.437523,0.0209
90,3.430702,0.0210
91,3.424665,0.0209
92,3.418443,0.0210
93,3.412783,0.0210
94,3.406561,0.0209
95,3.400368,0.0210
96,3.395168,0.0209
97,3.389609,0.0209
98,3.382981,0.0210
99,3.377321,0.0209
100,3.371630,0.0209
101,3.366037,0.0209
102,3.360010,0.0209
103,3.353947,0.0209
104,3.348636,0.0210
105,3.343680,0.0210
106,3.337306,0.0210
107,3.331895,0.0210
108,3.326752,0.0210
109,3.321462,0.0210
110,3.316303,0.0210
111,3.310024,0.0210
112,3.304924,0.0210
113,3.300017,0.0210
114,3.294326,0.0210
115,3.288530,0.0210
116,3.283796,0.0210
117,3.278106,0.0210
118,3.272515,0.0210
119,3.266913,0.0210
120,3.262177,0.0210
121,3.256155,0.0210
122,3.251203,0.0215
123,3.245613,0.0210
124,3.241281,0.0210
125,3.235831,0.0210
126,3.229287,0.0210
127,3.225110,0.0210
128,3.219966,0.0211
129,3.214756,0.0210
130,3.209170,0.0210
131,3.204525,0.0210
132,3.199049,0.0210
133,3.194041,0.0210
134,3.188276,0.0210
135,3.182694,0.0210
136,3.178268,0.0210
137,3.172822,0.0210
138,3.167415,0.0210
139,3.161180,0.0211
140,3.156718,0.0210
141,3.152063,0.0211
142,3.146104,0.0211
143,3.141209,0.0211
144,3.135252,0.0210
145,3.130276,0.0210
146,3.125561,0.0210
147,3.120676,0.0210
148,3.115978,0.0210
149,3.111143,0.0210
150,3.105734,0.0211
151,3.101031,0.0211
152,3.095904,0.0229
153,3.090409,0.0211
154,3.085418,0.0211
155,3.080904,0.0211
156,3.075505,0.0211
157,3.070523,0.0211
158,3.065459,0.0211
159,3.059735,0.0211
