epoch,loss,tiempo_s
1,9.752131,0.3278
2,5.962747,0.0114
3,5.441072,0.0104
4,5.188247,0.0107
5,5.020062,0.0109
6,4.891230,0.0158
7,4.786200,0.0132
8,4.696673,0.0115
9,4.617510,0.0125
10,4.547938,0.0124
11,4.483642,0.0119
12,4.424547,0.0117
13,4.369220,0.0122
14,4.317503,0.0126
15,4.268031,0.0125
16,4.222085,0.0120
17,4.177815,0.0119
18,4.136311,0.0121
19,4.097788,0.0125
20,4.061016,0.0124
21,4.024392,0.0124
22,3.991149,0.0119
23,3.957499,0.0121
24,3.925140,0.0124
25,3.893963,0.0123
26,3.863827,0.0123
27,3.834483,0.0119
28,3.805522,0.0119
29,3.776183,0.0125
30,3.748458,0.0124
31,3.722118,0.0123
32,3.697779,0.0118
33,3.673357,0.0119
34,3.649145,0.0120
35,3.625935,0.0125
36,3.602925,0.0124
37,3.582072,0.0123
38,3.560820,0.0118
39,3.540328,0.0119
40,3.520224,0.0104
41,3.500258,0.0102
42,3.480997,0.0111
43,3.462530,0.0118
44,3.443677,0.0124
45,3.425531,0.0123
46,3.406780,0.0118
47,3.389593,0.0120
48,3.371869,0.0124
49,3.353731,0.0124
50,3.336525,0.0123
51,3.319603,0.0118
52,3.303432,0.0119
53,3.286302,0.0120
54,3.269898,0.0124
55,3.253494,0.0124
56,3.237032,0.0123
57,3.220228,0.0119
58,3.204716,0.0119
59,3.189383,0.0124
60,3.175561,0.0125
61,3.160037,0.0123
62,3.144747,0.0119
63,3.129274,0.0120
64,3.114226,0.0124
65,3.099780,0.0125
66,3.085483,0.0123
67,3.070245,0.0118
68,3.057354,0.0120
69,3.042235,0.0125
70,3.028019,0.0125
71,3.013515,0.0123
72,2.999430,0.0119
73,2.984510,0.0120
74,2.970236,0.0124
75,2.956401,0.0124
76,2.942641,0.0123
77,2.929660,0.0119
78,2.915549,0.0118
79,2.901419,0.0120
80,2.889283,0.0125
81,2.875269,0.0124
82,2.861469,0.0123
83,2.849062,0.0119
84,2.835524,0.0119
85,2.821232,0.0126
86,2.807980,0.0124
87,2.795373,0.0123
88,2.781913,0.0118
89,2.768394,0.0119
90,2.756294,0.0120
91,2.742765,0.0125
92,2.729789,0.0124
93,2.716059,0.0125
94,2.702959,0.0118
95,2.689002,0.0120
96,2.676253,0.0124
97,2.664383,0.0124
98,2.651288,0.0123
99,2.637787,0.0118
100,2.625127,0.0118
101,2.611345,0.0121
102,2.599104,0.0125
103,2.585063,0.0125
