epoch,loss,tiempo_s
1,10.942972,0.0076
2,6.013625,0.0075
3,5.490875,0.0076
4,5.253093,0.0076
5,5.101007,0.0075
6,4.989322,0.0075
7,4.900854,0.0075
8,4.826183,0.0075
9,4.760290,0.0075
10,4.703870,0.0075
11,4.653136,0.0075
12,4.606300,0.0075
13,4.563344,0.0075
14,4.523209,0.0075
15,4.487205,0.0075
16,4.450988,0.0075
17,4.418690,0.0075
18,4.386568,0.0075
19,4.355503,0.0075
20,4.327788,0.0075
21,4.301561,0.0075
22,4.275584,0.0075
23,4.249352,0.0075
24,4.224845,0.0075
25,4.202726,0.0075
26,4.178975,0.0075
27,4.155959,0.0075
28,4.134295,0.0075
29,4.113397,0.0075
30,4.094170,0.0075
31,4.074314,0.0075
32,4.056015,0.0075
33,4.037992,0.0075
34,4.020364,0.0075
35,4.002952,0.0075
36,3.986244,0.0075
37,3.970193,0.0075
38,3.954663,0.0075
39,3.939393,0.0075
40,3.923320,0.0075
41,3.907596,0.0075
42,3.894225,0.0075
43,3.878256,0.0075
44,3.864386,0.0075
45,3.850939,0.0075
46,3.837124,0.0075
47,3.823545,0.0075
48,3.810187,0.0075
49,3.797800,0.0075
50,3.785520,0.0075
51,3.773015,0.0075
52,3.760683,0.0075
53,3.747464,0.0075
54,3.735259,0.0075
55,3.724002,0.0075
56,3.713608,0.0075
57,3.701899,0.0075
58,3.690142,0.0075
59,3.678879,0.0075
60,3.668365,0.0075
61,3.657181,0.0075
62,3.645595,0.0075
63,3.635727,0.0075
64,3.626648,0.0075
65,3.616633,0.0075
66,3.607547,0.0075
67,3.596832,0.0075
68,3.587049,0.0075
69,3.577399,0.0075
70,3.567160,0.0075
71,3.558361,0.0075
72,3.548378,0.0075
73,3.539747,0.0075
74,3.529028,0.0075
75,3.520118,0.0075
76,3.510908,0.0075
77,3.501495,0.0075
78,3.492357,0.0075
79,3.482214,0.0075
80,3.473233,0.0075
81,3.463759,0.0075
82,3.454761,0.0075
