epoch,loss,tiempo_s
1,9.641626,0.2784
2,5.880048,0.0108
3,5.363862,0.0098
4,5.114834,0.0103
5,4.949568,0.0107
6,4.822937,0.0109
7,4.719849,0.0113
8,4.632292,0.0117
9,4.552879,0.0116
10,4.482674,0.0118
11,4.419073,0.0122
12,4.361881,0.0122
13,4.307403,0.0121
14,4.255677,0.0120
15,4.207804,0.0120
16,4.162122,0.0117
17,4.119716,0.0121
18,4.076913,0.0120
19,4.038450,0.0120
20,4.001010,0.0119
21,3.964318,0.0118
22,3.929095,0.0116
23,3.894827,0.0120
24,3.862073,0.0121
25,3.831437,0.0120
26,3.801512,0.0121
27,3.771284,0.0119
28,3.742231,0.0114
29,3.713635,0.0116
30,3.686472,0.0120
31,3.659103,0.0120
32,3.632246,0.0120
33,3.607532,0.0120
34,3.581629,0.0114
35,3.558815,0.0115
36,3.535693,0.0116
37,3.513451,0.0120
38,3.491929,0.0120
39,3.470783,0.0119
40,3.449659,0.0118
41,3.429869,0.0115
42,3.409844,0.0115
43,3.391863,0.0120
44,3.371867,0.0120
45,3.352383,0.0120
46,3.333936,0.0120
47,3.316383,0.0118
48,3.298461,0.0114
49,3.281190,0.0117
50,3.263595,0.0119
51,3.246152,0.0120
52,3.228978,0.0120
53,3.212607,0.0119
54,3.195100,0.0115
55,3.178684,0.0115
56,3.162553,0.0119
57,3.146122,0.0120
58,3.129653,0.0120
59,3.113346,0.0119
60,3.097379,0.0115
61,3.082629,0.0116
62,3.066876,0.0120
63,3.051977,0.0120
64,3.036489,0.0120
65,3.021951,0.0120
66,3.007319,0.0119
67,2.992102,0.0115
68,2.977785,0.0119
69,2.962895,0.0120
70,2.948013,0.0120
71,2.933057,0.0119
72,2.919754,0.0114
73,2.905958,0.0114
74,2.890640,0.0116
75,2.876473,0.0120
76,2.862605,0.0120
77,2.848753,0.0120
78,2.834323,0.0119
79,2.820673,0.0114
80,2.806703,0.0116
81,2.792047,0.0120
82,2.777356,0.0120
83,2.762804,0.0120
84,2.749120,0.0118
85,2.734082,0.0115
86,2.719892,0.0115
87,2.706704,0.0115
88,2.693215,0.0120
89,2.679688,0.0120
90,2.666289,0.0120
91,2.651961,0.0129
92,2.637730,0.0112
93,2.624340,0.0113
94,2.610478,0.0119
95,2.596393,0.0120
96,2.582456,0.0120
97,2.568178,0.0120
98,2.553643,0.0119
99,2.539932,0.0115
100,2.525274,0.0117
101,2.511019,0.0119
102,2.498195,0.0120
103,2.483517,0.0120
104,2.469642,0.0119
105,2.456777,0.0115
106,2.442989,0.0116
107,2.430067,0.0119
108,2.416588,0.0120
109,2.402786,0.0120
110,2.389149,0.0119
111,2.375476,0.0115
112,2.362263,0.0116
113,2.349760,0.0108
114,2.336120,0.0099
115,2.322206,0.0100
116,2.308868,0.0104
117,2.294675,0.0107
118,2.281436,0.0112
119,2.267505,0.0117
120,2.254439,0.0120
121,2.242383,0.0119
122,2.229591,0.0115
123,2.217319,0.0162
124,2.205510,0.0119
125,2.192234,0.0120
126,2.178933,0.0115
127,2.166028,0.0115
128,2.152965,0.0116
129,2.138425,0.0120
130,2.126363,0.0120
131,2.112962,0.0120
132,2.100319,0.0120
133,2.088239,0.0119
134,2.075675,0.0114
135,2.062084,0.0116
136,2.049557,0.0120
137,2.036375,0.0120
138,2.023972,0.0120
139,2.010846,0.0119
140,1.997839,0.0115
141,1.985293,0.0117
142,1.973144,0.0120
143,1.960474,0.0120
144,1.947679,0.0120
145,1.934862,0.0119
146,1.922935,0.0115
147,1.911688,0.0115
148,1.900183,0.0116
149,1.888632,0.0120
150,1.876123,0.0120
151,1.866019,0.0120
152,1.855172,0.0119
153,1.844034,0.0115
154,1.832823,0.0116
155,1.822373,0.0120
156,1.812149,0.0120
157,1.801547,0.0120
158,1.790990,0.0121
159,1.780883,0.0119
160,1.770450,0.0115
161,1.760357,0.0118
162,1.750250,0.0121
163,1.739975,0.0121
164,1.729758,0.0120
165,1.720144,0.0119
166,1.710338,0.0115
167,1.701004,0.0117
168,1.691751,0.0120
169,1.681957,0.0121
170,1.672045,0.0121
171,1.663113,0.0120
172,1.653787,0.0115
173,1.644976,0.0117
174,1.634918,0.0120
175,1.625509,0.0120
176,1.616438,0.0121
177,1.608254,0.0120
178,1.599899,0.0115
179,1.590762,0.0117
180,1.580471,0.0121
181,1.571213,0.0120
182,1.562829,0.0120
183,1.554690,0.0120
184,1.546879,0.0115
185,1.537657,0.0115
186,1.529119,0.0117
187,1.520993,0.0121
188,1.513604,0.0120
189,1.506687,0.0120
190,1.499855,0.0116
191,1.492805,0.0116
192,1.485791,0.0117
193,1.478482,0.0121
194,1.470946,0.0121
195,1.463248,0.0119
196,1.456607,0.0115
197,1.449678,0.0115
198,1.442038,0.0116
199,1.435395,0.0121
200,1.428813,0.0107
201,1.421818,0.0121
202,1.415705,0.0120
203,1.409983,0.0120
204,1.405008,0.0115
205,1.398462,0.0117
206,1.391745,0.0121
207,1.386271,0.0121
208,1.380308,0.0121
209,1.373902,0.0119
210,1.367472,0.0115
211,1.361698,0.0116
212,1.355897,0.0120
213,1.349780,0.0120
214,1.343944,0.0121
215,1.337457,0.0119
216,1.332014,0.0115
217,1.327507,0.0116
218,1.322020,0.0120
219,1.316616,0.0120
220,1.310583,0.0162
221,1.304699,0.0127
222,1.298500,0.0121
223,1.293740,0.0121
224,1.290615,0.0120
225,1.287046,0.0115
226,1.282587,0.0115
227,1.277462,0.0117
228,1.271291,0.0120
229,1.266145,0.0121
230,1.261491,0.0119
231,1.257367,0.0115
232,1.253151,0.0116
233,1.250170,0.0117
234,1.245741,0.0121
235,1.239681,0.0120
236,1.235048,0.0120
237,1.230576,0.0119
238,1.226147,0.0115
239,1.220779,0.0117
240,1.214564,0.0121
241,1.208525,0.0121
242,1.203832,0.0120
243,1.199095,0.0121
244,1.193940,0.0120
245,1.189260,0.0116
246,1.185284,0.0122
247,1.181738,0.0121
248,1.178699,0.0120
249,1.176088,0.0120
250,1.173480,0.0115
251,1.169605,0.0115
252,1.165999,0.0118
253,1.162819,0.0121
254,1.160331,0.0121
255,1.158167,0.0120
256,1.156631,0.0116
257,1.154120,0.0116
258,1.150777,0.0116
259,1.147184,0.0121
260,1.143444,0.0121
261,1.139327,0.0120
262,1.135290,0.0120
263,1.131255,0.0116
264,1.126742,0.0117
265,1.121427,0.0121
266,1.116721,0.0121
267,1.111742,0.0121
268,1.106824,0.0120
269,1.103471,0.0116
270,1.099372,0.0117
271,1.095090,0.0121
272,1.090984,0.0121
273,1.087308,0.0121
274,1.082119,0.0115
275,1.077001,0.0104
276,1.071593,0.0121
277,1.066591,0.0121
278,1.061861,0.0121
279,1.058378,0.0121
280,1.056024,0.0121
281,1.055358,0.0120
282,1.056303,0.0116
283,1.057472,0.0117
284,1.057904,0.0121
285,1.056950,0.0121
286,1.054200,0.0121
287,1.051359,0.0115
288,1.048565,0.0099
289,1.045158,0.0100
290,1.040430,0.0104
291,1.033788,0.0107
292,1.029261,0.0110
293,1.024580,0.0112
294,1.022090,0.0112
295,1.019877,0.0116
296,1.015240,0.0121
297,1.011150,0.0121
298,1.005958,0.0120
299,1.002142,0.0116
300,0.998236,0.0115
301,0.993913,0.0124
302,0.988416,0.0120
303,0.983282,0.0108
304,0.978833,0.0100
305,0.974672,0.0099
306,0.969557,0.0099
307,0.965270,0.0110
308,0.960355,0.0112
309,0.956352,0.0113
310,0.954655,0.0113
311,0.952500,0.0119
312,0.949544,0.0121
313,0.946086,0.0121
314,0.943226,0.0120
