epoch,loss,tiempo_s
1,11.163519,0.0075
2,7.602372,0.0074
3,7.163853,0.0074
4,6.957393,0.0074
5,6.823604,0.0074
6,6.728050,0.0074
7,6.651598,0.0074
8,6.587502,0.0074
9,6.535451,0.0074
10,6.487534,0.0074
11,6.443799,0.0074
12,6.404707,0.0074
13,6.365739,0.0074
14,6.330008,0.0074
15,6.296709,0.0074
16,6.264826,0.0074
17,6.233268,0.0074
18,6.205092,0.0074
19,6.176860,0.0074
20,6.150318,0.0074
21,6.123291,0.0074
22,6.098528,0.0074
23,6.073516,0.0074
24,6.048907,0.0074
25,6.025747,0.0074
26,6.003527,0.0074
27,5.980553,0.0074
28,5.960474,0.0074
29,5.939454,0.0074
30,5.919429,0.0074
31,5.899626,0.0074
32,5.879981,0.0074
33,5.861488,0.0074
34,5.843993,0.0074
35,5.825909,0.0074
36,5.809515,0.0074
37,5.793370,0.0074
38,5.776791,0.0074
39,5.762048,0.0074
40,5.746496,0.0074
41,5.732197,0.0074
42,5.718595,0.0074
43,5.704061,0.0074
44,5.690760,0.0074
45,5.678224,0.0074
46,5.665244,0.0075
47,5.653332,0.0075
48,5.639950,0.0075
49,5.626371,0.0075
50,5.614171,0.0075
51,5.600499,0.0075
52,5.591570,0.0074
53,5.578360,0.0075
54,5.566624,0.0075
55,5.555410,0.0075
56,5.545268,0.0075
57,5.535069,0.0075
58,5.524338,0.0075
59,5.514841,0.0075
60,5.503384,0.0075
61,5.494626,0.0075
62,5.483040,0.0075
63,5.474000,0.0075
64,5.464728,0.0075
65,5.455558,0.0075
66,5.447669,0.0075
67,5.436760,0.0075
68,5.428003,0.0075
69,5.418786,0.0075
70,5.409493,0.0075
71,5.400229,0.0075
72,5.391542,0.0075
73,5.382140,0.0075
74,5.374696,0.0075
75,5.365576,0.0075
76,5.355199,0.0075
77,5.346417,0.0075
78,5.337107,0.0075
79,5.329272,0.0075
80,5.320664,0.0075
81,5.312230,0.0075
82,5.304357,0.0075
83,5.296184,0.0075
84,5.289052,0.0075
85,5.280171,0.0075
86,5.270560,0.0075
87,5.263415,0.0075
88,5.255516,0.0075
89,5.248405,0.0075
90,5.241433,0.0075
91,5.233342,0.0075
92,5.226287,0.0075
93,5.219968,0.0075
94,5.211892,0.0075
95,5.204507,0.0075
96,5.197224,0.0075
97,5.192207,0.0075
98,5.186168,0.0076
99,5.178857,0.0075
100,5.171862,0.0075
101,5.164770,0.0075
102,5.157676,0.0075
103,5.151442,0.0075
104,5.145889,0.0075
105,5.139755,0.0075
106,5.133573,0.0076
107,5.126938,0.0076
108,5.120037,0.0076
109,5.113838,0.0076
110,5.107511,0.0076
111,5.100061,0.0076
112,5.093556,0.0076
113,5.086179,0.0076
114,5.081312,0.0076
115,5.074715,0.0076
116,5.071046,0.0076
117,5.066640,0.0076
118,5.062089,0.0076
119,5.055983,0.0076
120,5.050780,0.0076
121,5.046234,0.0076
122,5.041293,0.0076
123,5.036128,0.0076
124,5.029349,0.0076
125,5.022136,0.0076
126,5.014156,0.0076
127,5.007067,0.0076
128,5.001392,0.0076
129,4.994728,0.0076
130,4.989580,0.0076
131,4.984998,0.0076
132,4.978910,0.0076
133,4.972246,0.0076
134,4.965520,0.0076
135,4.960308,0.0076
136,4.952424,0.0076
137,4.947683,0.0076
138,4.942161,0.0076
139,4.935075,0.0076
140,4.930624,0.0076
141,4.923144,0.0076
142,4.919211,0.0077
143,4.915001,0.0076
144,4.910483,0.0077
145,4.906702,0.0076
146,4.901986,0.0076
147,4.897369,0.0077
148,4.892787,0.0077
149,4.887972,0.0077
150,4.884527,0.0076
151,4.879706,0.0076
152,4.874549,0.0077
153,4.868789,0.0077
154,4.865028,0.0077
155,4.858277,0.0077
156,4.852096,0.0077
157,4.847777,0.0077
158,4.842709,0.0077
159,4.835134,0.0077
160,4.829166,0.0077
161,4.822629,0.0077
162,4.818993,0.0077
163,4.814701,0.0077
164,4.809485,0.0077
165,4.807419,0.0077
166,4.800852,0.0077
167,4.795656,0.0077
168,4.788964,0.0077
169,4.782972,0.0077
170,4.776554,0.0077
171,4.771154,0.0077
172,4.767551,0.0077
173,4.762322,0.0077
174,4.756558,0.0077
175,4.753066,0.0077
