epoch,loss,tiempo_s
1,11.354372,0.1635
2,5.964862,0.0241
3,5.352967,0.0238
4,5.060484,0.0244
5,4.877315,0.0237
6,4.748301,0.0228
7,4.648525,0.0219
8,4.569313,0.0219
9,4.501253,0.0218
10,4.443282,0.0222
11,4.392015,0.0219
12,4.345530,0.0222
13,4.304949,0.0219
14,4.268237,0.0219
15,4.233610,0.0216
16,4.202278,0.0211
17,4.172226,0.0211
18,4.145566,0.0211
19,4.119865,0.0210
20,4.095604,0.0210
21,4.073492,0.0210
22,4.051739,0.0210
23,4.030916,0.0210
24,4.012130,0.0210
25,3.993374,0.0210
26,3.975618,0.0210
27,3.958283,0.0210
28,3.941837,0.0210
29,3.926232,0.0210
30,3.911422,0.0210
31,3.896168,0.0210
32,3.881997,0.0217
33,3.867340,0.0211
34,3.853894,0.0210
35,3.840217,0.0210
36,3.828187,0.0211
37,3.815864,0.0211
38,3.803501,0.0211
39,3.791907,0.0211
40,3.780589,0.0211
41,3.769015,0.0211
42,3.758047,0.0210
43,3.746744,0.0211
44,3.736352,0.0211
45,3.726344,0.0210
46,3.715671,0.0211
47,3.705491,0.0211
48,3.696896,0.0211
49,3.686487,0.0211
50,3.677307,0.0211
51,3.668184,0.0211
52,3.659132,0.0211
53,3.649938,0.0211
54,3.641631,0.0211
55,3.633982,0.0211
56,3.624803,0.0211
57,3.616868,0.0211
58,3.608476,0.0211
59,3.600115,0.0211
60,3.592898,0.0211
61,3.584196,0.0211
62,3.576658,0.0211
63,3.569025,0.0211
64,3.561293,0.0211
65,3.553789,0.0211
66,3.546631,0.0211
67,3.539516,0.0211
68,3.532663,0.0211
69,3.524791,0.0211
70,3.517874,0.0211
71,3.510841,0.0211
72,3.504123,0.0211
73,3.496826,0.0212
74,3.490248,0.0212
75,3.483666,0.0211
76,3.476483,0.0211
77,3.470011,0.0211
78,3.463195,0.0211
79,3.456956,0.0211
80,3.450091,0.0211
81,3.443156,0.0215
82,3.437571,0.0211
83,3.430985,0.0210
84,3.425228,0.0211
85,3.418466,0.0211
86,3.412813,0.0212
87,3.406311,0.0211
88,3.400440,0.0211
89,3.394381,0.0211
90,3.388513,0.0211
91,3.381360,0.0211
92,3.376372,0.0212
93,3.370724,0.0211
94,3.364409,0.0211
95,3.358699,0.0211
96,3.353209,0.0211
97,3.347107,0.0211
98,3.341347,0.0211
99,3.335392,0.0211
100,3.329628,0.0211
101,3.323795,0.0211
102,3.318070,0.0211
103,3.312583,0.0211
104,3.307497,0.0211
105,3.302036,0.0212
106,3.295947,0.0212
107,3.290412,0.0212
108,3.284808,0.0212
109,3.279080,0.0212
110,3.274326,0.0212
111,3.268435,0.0212
112,3.262945,0.0212
113,3.257802,0.0212
114,3.252301,0.0213
115,3.246645,0.0212
116,3.240793,0.0212
117,3.235266,0.0212
118,3.229919,0.0212
119,3.225581,0.0212
120,3.220068,0.0212
121,3.215219,0.0212
122,3.209489,0.0212
123,3.204088,0.0216
124,3.199553,0.0212
125,3.193465,0.0212
126,3.188396,0.0212
127,3.183165,0.0212
128,3.177345,0.0212
129,3.172140,0.0212
130,3.166511,0.0212
131,3.160806,0.0212
132,3.155982,0.0212
133,3.150797,0.0212
134,3.145268,0.0212
135,3.140382,0.0212
136,3.135003,0.0212
137,3.129499,0.0212
138,3.124251,0.0212
139,3.119668,0.0212
140,3.114383,0.0212
141,3.109688,0.0212
142,3.104295,0.0212
143,3.098591,0.0212
144,3.093896,0.0212
145,3.088230,0.0212
146,3.083080,0.0212
147,3.078159,0.0212
148,3.072734,0.0212
149,3.067854,0.0212
150,3.063143,0.0212
151,3.057564,0.0212
152,3.052664,0.0213
153,3.048073,0.0213
154,3.042403,0.0228
155,3.037195,0.0217
156,3.032360,0.0212
157,3.027507,0.0212
158,3.022712,0.0212
159,3.017362,0.0213
160,3.013014,0.0213
161,3.008047,0.0212
162,3.003152,0.0213
163,2.998088,0.0213
164,2.993093,0.0212
165,2.987988,0.0213
166,2.983356,0.0217
167,2.978495,0.0217
168,2.973439,0.0213
169,2.968139,0.0213
170,2.962499,0.0213
171,2.958073,0.0217
172,2.952730,0.0213
173,2.947226,0.0213
174,2.942026,0.0217
175,2.937660,0.0213
176,2.933400,0.0213
177,2.927768,0.0213
178,2.923294,0.0213
179,2.918700,0.0213
180,2.913718,0.0213
181,2.908615,0.0217
182,2.903204,0.0212
183,2.898836,0.0213
184,2.893689,0.0213
185,2.888780,0.0213
186,2.884000,0.0213
187,2.879337,0.0213
188,2.874283,0.0213
189,2.869481,0.0213
190,2.864789,0.0213
191,2.859867,0.0213
192,2.855421,0.0220
193,2.850625,0.0213
194,2.845545,0.0213
195,2.840219,0.0216
196,2.835220,0.0214
197,2.830971,0.0214
198,2.825919,0.0213
199,2.821184,0.0213
200,2.817058,0.0213
201,2.811318,0.0214
202,2.806079,0.0214
203,2.801403,0.0214
204,2.796222,0.0214
205,2.792693,0.0214
206,2.787550,0.0213
207,2.783093,0.0213
208,2.778491,0.0213
209,2.773995,0.0213
210,2.769477,0.0214
211,2.764558,0.0214
212,2.760707,0.0214
213,2.755254,0.0214
214,2.750192,0.0214
215,2.745864,0.0214
216,2.741836,0.0214
217,2.736764,0.0214
218,2.731855,0.0214
219,2.727402,0.0214
220,2.722687,0.0214
221,2.717798,0.0214
222,2.712777,0.0214
223,2.708099,0.0214
224,2.703687,0.0214
225,2.698722,0.0214
226,2.694136,0.0214
227,2.689750,0.0214
