epoch,loss,tiempo_s
1,10.814641,0.0228
2,7.147923,0.0208
3,6.622757,0.0209
4,6.383962,0.0209
5,6.242966,0.0209
6,6.145296,0.0209
7,6.069190,0.0209
8,6.004652,0.0209
9,5.949787,0.0209
10,5.904578,0.0209
11,5.860467,0.0209
12,5.826352,0.0209
13,5.790236,0.0209
14,5.759562,0.0209
15,5.731145,0.0209
16,5.705468,0.0209
17,5.679256,0.0209
18,5.656323,0.0210
19,5.631973,0.0209
20,5.610966,0.0209
21,5.588551,0.0210
22,5.569828,0.0210
23,5.548684,0.0210
24,5.529631,0.0209
25,5.510038,0.0209
26,5.493162,0.0209
27,5.475891,0.0210
28,5.458766,0.0210
29,5.442100,0.0210
30,5.425356,0.0210
31,5.407856,0.0210
32,5.392093,0.0210
33,5.378033,0.0210
34,5.363479,0.0210
35,5.345903,0.0210
36,5.334058,0.0210
37,5.320268,0.0210
38,5.307252,0.0210
39,5.294990,0.0209
40,5.281714,0.0210
41,5.269732,0.0210
42,5.258147,0.0210
43,5.245976,0.0210
44,5.236921,0.0210
45,5.224945,0.0210
46,5.215118,0.0210
47,5.205817,0.0210
48,5.194375,0.0210
49,5.185356,0.0210
50,5.175374,0.0210
51,5.167342,0.0210
52,5.159342,0.0210
53,5.151128,0.0210
54,5.140789,0.0214
55,5.133922,0.0210
56,5.124803,0.0210
57,5.117939,0.0210
58,5.109653,0.0210
59,5.101660,0.0210
60,5.093178,0.0210
61,5.086011,0.0211
62,5.077591,0.0211
63,5.070328,0.0210
64,5.063448,0.0211
65,5.056783,0.0210
66,5.051324,0.0211
67,5.044483,0.0211
68,5.036829,0.0211
69,5.030380,0.0211
70,5.023319,0.0211
71,5.016055,0.0211
72,5.010356,0.0211
73,5.004995,0.0211
74,4.996369,0.0211
75,4.989026,0.0211
76,4.984577,0.0211
77,4.978070,0.0211
78,4.972485,0.0211
79,4.965913,0.0211
80,4.959570,0.0211
81,4.953346,0.0211
82,4.946843,0.0211
83,4.940386,0.0215
84,4.935167,0.0211
85,4.927383,0.0211
86,4.923298,0.0211
87,4.919040,0.0211
88,4.912437,0.0212
89,4.905987,0.0212
90,4.899608,0.0212
91,4.893752,0.0211
92,4.888165,0.0211
93,4.882980,0.0212
94,4.877255,0.0211
95,4.869864,0.0211
96,4.864827,0.0212
97,4.860671,0.0211
98,4.855116,0.0212
99,4.849863,0.0212
100,4.845422,0.0212
101,4.838753,0.0212
102,4.834466,0.0212
103,4.828958,0.0219
104,4.825025,0.0212
105,4.821189,0.0212
106,4.816436,0.0212
107,4.813589,0.0212
108,4.806623,0.0212
109,4.800719,0.0212
110,4.798417,0.0212
111,4.795427,0.0212
112,4.788012,0.0213
113,4.782325,0.0212
114,4.777595,0.0212
115,4.773911,0.0212
116,4.768788,0.0212
117,4.765403,0.0212
118,4.759866,0.0213
119,4.755811,0.0213
120,4.750656,0.0213
121,4.744345,0.0213
122,4.739661,0.0213
123,4.735458,0.0217
124,4.734646,0.0217
125,4.727849,0.0213
126,4.724161,0.0213
127,4.719308,0.0213
128,4.709927,0.0213
129,4.707633,0.0213
130,4.703923,0.0213
131,4.699998,0.0213
132,4.693398,0.0213
133,4.685909,0.0213
134,4.685314,0.0213
135,4.680787,0.0213
136,4.675913,0.0213
137,4.672274,0.0214
138,4.667259,0.0214
139,4.661728,0.0214
140,4.658076,0.0214
141,4.651947,0.0214
