epoch,loss,tiempo_s
1,5.242344,1.8390
2,4.343274,0.0147
3,3.991966,0.0157
4,3.766670,0.0148
5,3.604186,0.0100
6,3.482168,0.0159
7,3.379136,0.0158
8,3.290730,0.0122
9,3.213392,0.0127
10,3.143208,0.0158
11,3.084534,0.0138
12,3.031121,0.0113
13,2.980952,0.0157
14,2.937577,0.0149
15,2.894452,0.0100
16,2.854943,0.0158
17,2.818349,0.0158
18,2.782097,0.0121
19,2.748752,0.0126
20,2.716285,0.0158
21,2.686379,0.0140
22,2.658142,0.0113
23,2.629889,0.0157
24,2.604097,0.0150
25,2.577422,0.0100
26,2.552557,0.0158
27,2.526372,0.0158
28,2.505891,0.0122
29,2.483393,0.0127
30,2.460827,0.0158
31,2.441005,0.0139
32,2.420816,0.0113
33,2.401334,0.0157
34,2.384281,0.0149
35,2.366564,0.0101
36,2.348029,0.0160
37,2.331197,0.0158
38,2.313950,0.0123
39,2.296442,0.0127
40,2.279637,0.0158
41,2.264179,0.0137
42,2.246607,0.0113
43,2.232731,0.0157
44,2.219812,0.0148
45,2.205491,0.0101
46,2.193218,0.0159
47,2.180416,0.0158
48,2.167042,0.0123
49,2.152716,0.0127
50,2.141922,0.0157
51,2.128923,0.0142
52,2.117081,0.0127
53,2.103620,0.0158
54,2.093730,0.0136
55,2.081152,0.0113
56,2.070142,0.0157
57,2.060180,0.0147
58,2.049769,0.0100
59,2.037425,0.0159
60,2.025981,0.0158
61,2.015947,0.0121
62,2.009411,0.0127
63,1.999904,0.0158
64,1.988796,0.0135
65,1.979860,0.0113
66,1.970595,0.0157
67,1.962628,0.0149
68,1.955080,0.0100
69,1.947536,0.0159
70,1.938988,0.0158
71,1.930757,0.0124
72,1.924358,0.0127
73,1.915964,0.0157
74,1.908849,0.0136
75,1.900393,0.0113
76,1.892620,0.0157
77,1.885717,0.0149
78,1.876928,0.0100
79,1.869754,0.0159
80,1.862436,0.0158
81,1.855894,0.0123
82,1.847985,0.0127
83,1.840649,0.0158
84,1.833743,0.0138
85,1.826691,0.0113
86,1.820664,0.0157
87,1.813086,0.0147
88,1.806170,0.0101
89,1.800760,0.0159
90,1.795884,0.0158
91,1.789572,0.0123
92,1.780890,0.0127
93,1.776194,0.0158
94,1.770801,0.0137
95,1.764367,0.0112
96,1.760897,0.0157
97,1.757402,0.0148
98,1.753550,0.0100
99,1.749017,0.0159
100,1.743583,0.0158
101,1.736765,0.0115
102,1.732488,0.0159
103,1.727427,0.0157
104,1.721471,0.0125
105,1.715340,0.0127
106,1.710019,0.0158
107,1.704681,0.0140
108,1.699672,0.0113
109,1.694803,0.0157
110,1.689413,0.0177
111,1.685373,0.0101
112,1.680568,0.0157
113,1.675553,0.0158
114,1.671260,0.0117
115,1.665699,0.0159
116,1.660129,0.0158
117,1.654320,0.0125
118,1.650750,0.0128
119,1.645553,0.0158
120,1.641249,0.0141
121,1.637114,0.0113
122,1.634288,0.0158
123,1.629917,0.0152
124,1.626223,0.0100
125,1.622668,0.0160
126,1.619425,0.0157
127,1.615334,0.0126
128,1.612424,0.0127
129,1.609982,0.0158
130,1.606247,0.0140
131,1.600407,0.0113
132,1.596011,0.0157
133,1.592277,0.0150
134,1.586493,0.0100
135,1.583145,0.0160
136,1.579862,0.0158
137,1.576192,0.0124
138,1.572103,0.0127
139,1.567896,0.0158
140,1.565945,0.0139
141,1.563704,0.0113
142,1.560899,0.0157
143,1.557543,0.0149
144,1.552793,0.0100
145,1.549189,0.0159
146,1.544462,0.0157
147,1.540816,0.0123
148,1.536827,0.0127
149,1.533293,0.0158
150,1.529668,0.0137
151,1.526217,0.0110
152,1.523299,0.0157
153,1.519717,0.0149
154,1.518489,0.0100
155,1.516941,0.0159
156,1.516284,0.0158
157,1.514511,0.0123
158,1.513392,0.0127
159,1.511936,0.0157
160,1.509447,0.0137
161,1.506642,0.0113
162,1.502795,0.0157
163,1.498690,0.0150
164,1.496054,0.0101
165,1.494567,0.0160
166,1.494731,0.0158
167,1.494789,0.0125
168,1.492949,0.0127
169,1.490180,0.0157
170,1.487313,0.0137
171,1.484154,0.0113
172,1.480522,0.0157
173,1.476745,0.0150
174,1.473855,0.0101
175,1.469265,0.0160
176,1.464000,0.0158
177,1.460985,0.0125
178,1.459689,0.0127
179,1.459917,0.0158
180,1.458006,0.0139
181,1.456016,0.0113
182,1.454613,0.0157
183,1.452051,0.0150
184,1.449510,0.0101
185,1.445828,0.0160
186,1.442447,0.0158
187,1.440972,0.0125
188,1.438043,0.0127
189,1.436124,0.0158
190,1.433817,0.0138
191,1.431155,0.0113
192,1.428192,0.0157
193,1.426402,0.0149
194,1.423950,0.0101
195,1.422272,0.0159
196,1.419316,0.0158
197,1.415492,0.0126
198,1.412455,0.0127
199,1.411382,0.0158
200,1.410486,0.0139
201,1.407622,0.0110
202,1.403761,0.0157
203,1.399158,0.0150
204,1.395241,0.0101
205,1.392542,0.0160
206,1.389227,0.0158
207,1.386619,0.0127
208,1.384228,0.0127
209,1.382003,0.0158
210,1.381074,0.0141
211,1.381375,0.0113
212,1.382643,0.0157
213,1.382403,0.0151
214,1.380401,0.0101
215,1.377601,0.0159
216,1.376819,0.0158
217,1.374828,0.0128
218,1.372020,0.0127
219,1.369034,0.0158
220,1.367461,0.0141
221,1.365909,0.0113
222,1.364619,0.0158
223,1.362615,0.0152
224,1.359298,0.0101
225,1.357179,0.0159
226,1.354087,0.0158
227,1.352378,0.0129
228,1.351744,0.0128
229,1.351367,0.0158
230,1.350733,0.0143
231,1.349606,0.0113
232,1.348240,0.0158
233,1.347867,0.0152
234,1.348141,0.0101
235,1.347126,0.0159
236,1.345054,0.0158
237,1.341486,0.0129
238,1.339458,0.0128
239,1.340287,0.0159
240,1.342181,0.0143
241,1.344194,0.0114
242,1.343278,0.0158
243,1.337861,0.0152
244,1.334054,0.0101
245,1.331330,0.0159
246,1.328938,0.0158
247,1.327125,0.0130
248,1.327391,0.0128
249,1.326467,0.0158
250,1.324502,0.0145
251,1.323021,0.0110
252,1.319715,0.0157
253,1.317915,0.0156
254,1.313781,0.0101
255,1.311578,0.0160
256,1.310672,0.0159
257,1.308136,0.0132
258,1.307205,0.0128
259,1.307122,0.0158
260,1.309049,0.0147
261,1.309568,0.0114
262,1.308496,0.0158
263,1.307255,0.0156
264,1.304859,0.0101
265,1.304615,0.0159
266,1.302413,0.0159
267,1.297276,0.0134
268,1.293763,0.0127
269,1.291158,0.0158
270,1.288132,0.0142
271,1.285091,0.0113
272,1.283709,0.0157
273,1.284452,0.0152
274,1.287353,0.0101
275,1.290935,0.0159
276,1.292482,0.0158
277,1.290176,0.0128
