epoch,loss,tiempo_s
1,4.053739,0.2359
2,3.314897,0.0093
3,3.025358,0.0079
4,2.848676,0.0079
5,2.724026,0.0091
6,2.631603,0.0065
7,2.558233,0.0092
8,2.498935,0.0094
9,2.449455,0.0081
10,2.401388,0.0095
11,2.360882,0.0082
12,2.318915,0.0096
13,2.283928,0.0096
14,2.250970,0.0082
15,2.218886,0.0096
16,2.189079,0.0096
17,2.160214,0.0082
18,2.130399,0.0096
19,2.106583,0.0096
20,2.078533,0.0082
21,2.056821,0.0096
22,2.032811,0.0082
23,2.009609,0.0095
24,1.993100,0.0062
25,1.968620,0.0055
26,1.946712,0.0054
27,1.924950,0.0055
28,1.904690,0.0114
29,1.882839,0.0094
30,1.864044,0.0095
31,1.847239,0.0094
32,1.830095,0.0081
33,1.812535,0.0095
34,1.794977,0.0084
35,1.776148,0.0074
36,1.759721,0.0055
37,1.741728,0.0090
38,1.727609,0.0097
39,1.710653,0.0095
40,1.700035,0.0095
41,1.687454,0.0095
42,1.671087,0.0095
43,1.655086,0.0096
44,1.642315,0.0082
45,1.632566,0.0082
46,1.617355,0.0082
47,1.605947,0.0082
48,1.596366,0.0096
49,1.585446,0.0082
50,1.572397,0.0096
51,1.561472,0.0082
52,1.551304,0.0082
53,1.542555,0.0096
54,1.530943,0.0095
55,1.517183,0.0081
56,1.505098,0.0095
57,1.493742,0.0082
58,1.481897,0.0082
59,1.471296,0.0097
60,1.458336,0.0073
61,1.449442,0.0055
62,1.438102,0.0055
63,1.428654,0.0055
64,1.418549,0.0059
65,1.411912,0.0110
66,1.401429,0.0093
67,1.391233,0.0080
68,1.382134,0.0094
69,1.375506,0.0081
70,1.368484,0.0081
71,1.359581,0.0095
72,1.353165,0.0081
73,1.344162,0.0081
74,1.333236,0.0081
75,1.324758,0.0081
76,1.318228,0.0082
77,1.308549,0.0095
78,1.301950,0.0095
79,1.294281,0.0082
80,1.286359,0.0082
81,1.279584,0.0089
82,1.271642,0.0056
83,1.262590,0.0060
84,1.255659,0.0084
85,1.251611,0.0097
86,1.244088,0.0081
87,1.236065,0.0095
88,1.228588,0.0082
89,1.222108,0.0082
90,1.217376,0.0095
91,1.211381,0.0081
92,1.205140,0.0082
93,1.199783,0.0082
94,1.193465,0.0095
95,1.188841,0.0082
96,1.185301,0.0082
97,1.181798,0.0096
98,1.176298,0.0095
99,1.170750,0.0082
100,1.168186,0.0074
101,1.164292,0.0056
102,1.158473,0.0055
103,1.153336,0.0055
104,1.146312,0.0061
105,1.142044,0.0113
106,1.137023,0.0094
107,1.133344,0.0095
108,1.128821,0.0094
109,1.123610,0.0081
110,1.118141,0.0082
111,1.116861,0.0082
112,1.114785,0.0082
113,1.111427,0.0097
114,1.108288,0.0096
115,1.105674,0.0097
116,1.103120,0.0096
117,1.098167,0.0096
118,1.093414,0.0096
119,1.089999,0.0096
120,1.085134,0.0096
121,1.082011,0.0082
122,1.078537,0.0096
123,1.076233,0.0095
124,1.074083,0.0096
125,1.069775,0.0096
126,1.065775,0.0071
127,1.063488,0.0074
128,1.061777,0.0055
129,1.058268,0.0088
130,1.055220,0.0098
131,1.053556,0.0081
132,1.052334,0.0081
133,1.050913,0.0081
134,1.047644,0.0095
135,1.045645,0.0081
136,1.042558,0.0095
137,1.041784,0.0062
138,1.039838,0.0055
139,1.039098,0.0055
140,1.037179,0.0061
141,1.033979,0.0112
142,1.029010,0.0081
143,1.025279,0.0094
144,1.024290,0.0081
145,1.022415,0.0095
146,1.020050,0.0095
147,1.019983,0.0082
148,1.018147,0.0116
149,1.015210,0.0097
150,1.013592,0.0096
151,1.011981,0.0096
152,1.010546,0.0096
