epoch,loss,tiempo_s
1,9.518788,0.1600
2,4.177719,0.0087
3,3.649278,0.0079
4,3.421010,0.0079
5,3.289549,0.0079
6,3.201183,0.0079
7,3.135431,0.0080
8,3.082630,0.0079
9,3.038189,0.0079
10,2.998944,0.0079
11,2.963206,0.0079
12,2.929692,0.0079
13,2.897436,0.0079
14,2.867537,0.0079
15,2.839334,0.0079
16,2.812817,0.0079
17,2.785623,0.0079
18,2.759558,0.0079
19,2.733399,0.0071
20,2.708694,0.0070
21,2.684646,0.0070
22,2.661194,0.0070
23,2.638723,0.0070
24,2.615788,0.0071
25,2.593903,0.0070
26,2.572834,0.0070
27,2.551516,0.0070
28,2.530716,0.0070
29,2.511015,0.0070
30,2.492499,0.0070
31,2.474346,0.0070
32,2.455400,0.0070
33,2.437427,0.0071
34,2.420301,0.0070
35,2.404045,0.0070
36,2.386926,0.0070
37,2.371480,0.0070
38,2.356560,0.0070
39,2.341069,0.0070
40,2.325981,0.0070
41,2.311009,0.0070
42,2.297051,0.0070
43,2.284575,0.0075
44,2.272371,0.0070
45,2.257965,0.0070
46,2.244383,0.0070
47,2.231392,0.0067
48,2.218866,0.0064
49,2.206163,0.0064
50,2.194412,0.0064
51,2.181908,0.0064
52,2.169753,0.0064
53,2.157902,0.0068
54,2.146595,0.0064
55,2.135195,0.0064
56,2.122554,0.0064
57,2.110067,0.0064
58,2.099015,0.0064
59,2.087191,0.0064
60,2.075513,0.0064
61,2.065398,0.0064
62,2.053551,0.0064
63,2.042432,0.0064
64,2.031433,0.0064
65,2.019519,0.0068
66,2.008991,0.0068
67,1.996959,0.0064
68,1.987224,0.0064
69,1.976203,0.0064
70,1.966402,0.0064
71,1.955418,0.0064
72,1.944067,0.0064
73,1.933610,0.0064
74,1.923168,0.0064
75,1.912695,0.0064
76,1.901193,0.0064
77,1.889780,0.0064
78,1.879917,0.0064
79,1.870040,0.0064
80,1.859654,0.0064
81,1.848589,0.0064
82,1.836410,0.0068
83,1.825984,0.0064
84,1.816172,0.0064
85,1.805081,0.0064
86,1.794888,0.0064
87,1.784958,0.0064
88,1.775010,0.0064
89,1.764440,0.0064
90,1.754083,0.0064
91,1.743346,0.0064
92,1.732649,0.0064
93,1.722249,0.0064
94,1.713063,0.0064
95,1.702335,0.0064
96,1.690906,0.0064
97,1.680843,0.0064
98,1.670105,0.0064
99,1.661368,0.0068
100,1.651165,0.0064
101,1.640855,0.0064
102,1.631895,0.0064
103,1.620999,0.0064
104,1.610832,0.0064
105,1.600825,0.0064
106,1.591257,0.0064
107,1.581829,0.0064
108,1.571227,0.0064
109,1.561723,0.0064
110,1.552748,0.0064
111,1.543343,0.0064
112,1.534221,0.0064
113,1.523716,0.0064
114,1.513205,0.0064
115,1.503181,0.0064
116,1.493074,0.0064
117,1.484694,0.0064
118,1.475177,0.0064
119,1.465340,0.0064
120,1.455378,0.0064
121,1.444940,0.0064
122,1.436262,0.0069
123,1.426175,0.0064
124,1.415503,0.0064
125,1.407007,0.0064
126,1.397851,0.0064
127,1.388264,0.0064
128,1.379802,0.0064
129,1.370050,0.0064
130,1.359614,0.0064
131,1.350201,0.0064
132,1.340001,0.0064
133,1.330467,0.0064
134,1.321453,0.0064
135,1.310650,0.0064
136,1.300438,0.0064
137,1.290427,0.0064
138,1.281271,0.0064
139,1.272817,0.0065
140,1.263746,0.0065
141,1.254196,0.0065
142,1.243434,0.0064
143,1.234857,0.0064
144,1.226078,0.0064
145,1.216192,0.0064
146,1.206553,0.0064
147,1.197513,0.0064
148,1.189437,0.0064
149,1.178744,0.0065
150,1.169863,0.0065
151,1.161527,0.0065
152,1.153077,0.0064
153,1.141871,0.0068
154,1.132553,0.0064
155,1.122718,0.0064
156,1.113908,0.0064
157,1.104265,0.0064
158,1.095149,0.0069
159,1.084675,0.0064
160,1.076508,0.0064
161,1.066103,0.0064
162,1.056648,0.0069
163,1.047960,0.0064
164,1.038779,0.0064
165,1.028601,0.0064
166,1.018537,0.0064
167,1.009258,0.0064
168,0.998528,0.0064
169,0.988364,0.0064
170,0.979266,0.0064
171,0.969157,0.0064
172,0.959309,0.0064
173,0.950073,0.0064
174,0.941016,0.0064
175,0.932986,0.0072
176,0.923744,0.0064
177,0.914344,0.0064
178,0.904658,0.0064
179,0.892867,0.0064
180,0.884123,0.0064
181,0.874159,0.0064
182,0.865194,0.0064
183,0.856240,0.0065
184,0.846913,0.0064
185,0.838281,0.0064
186,0.829095,0.0064
187,0.820527,0.0064
188,0.812236,0.0065
189,0.801403,0.0065
190,0.789461,0.0064
191,0.781183,0.0064
192,0.774700,0.0064
193,0.766540,0.0064
194,0.756888,0.0064
195,0.748757,0.0064
196,0.739569,0.0064
197,0.728702,0.0064
198,0.721303,0.0064
199,0.712259,0.0065
200,0.701716,0.0066
201,0.691943,0.0072
202,0.682941,0.0065
203,0.674837,0.0065
204,0.665248,0.0065
205,0.657359,0.0064
206,0.647729,0.0064
207,0.639027,0.0065
208,0.630502,0.0064
209,0.620501,0.0064
210,0.612532,0.0064
211,0.605362,0.0065
212,0.596452,0.0064
213,0.588844,0.0065
214,0.583364,0.0064
215,0.577395,0.0072
216,0.570121,0.0065
217,0.563710,0.0064
218,0.559731,0.0064
219,0.552432,0.0065
220,0.545281,0.0065
221,0.537045,0.0064
222,0.529864,0.0064
223,0.520912,0.0064
224,0.511814,0.0064
225,0.502172,0.0065
226,0.494454,0.0073
227,0.485912,0.0072
228,0.478637,0.0065
229,0.469807,0.0065
230,0.460884,0.0065
231,0.453585,0.0065
232,0.445798,0.0065
233,0.438218,0.0065
234,0.429896,0.0065
235,0.421357,0.0065
236,0.413846,0.0065
237,0.407181,0.0065
238,0.398099,0.0065
239,0.390409,0.0065
240,0.384036,0.0065
241,0.376759,0.0065
242,0.369023,0.0065
243,0.360043,0.0065
244,0.353723,0.0065
245,0.347471,0.0065
246,0.340486,0.0065
247,0.333716,0.0065
248,0.329664,0.0065
249,0.322873,0.0065
250,0.314300,0.0065
251,0.307568,0.0065
252,0.300379,0.0065
253,0.294341,0.0065
254,0.288263,0.0074
255,0.281398,0.0065
256,0.275798,0.0068
257,0.271078,0.0065
258,0.264832,0.0065
259,0.257654,0.0065
260,0.249892,0.0065
261,0.243599,0.0065
262,0.237336,0.0065
263,0.232012,0.0065
264,0.226293,0.0068
265,0.219813,0.0065
266,0.213810,0.0065
267,0.207718,0.0065
268,0.202169,0.0065
269,0.196586,0.0065
270,0.194653,0.0065
271,0.189968,0.0065
272,0.186597,0.0065
273,0.182436,0.0065
274,0.178923,0.0065
275,0.175168,0.0065
276,0.168792,0.0065
277,0.163556,0.0065
278,0.160653,0.0065
279,0.158085,0.0074
280,0.153113,0.0065
281,0.149439,0.0065
282,0.146232,0.0065
283,0.142629,0.0065
284,0.138075,0.0065
285,0.133985,0.0065
286,0.127464,0.0065
287,0.122279,0.0065
288,0.116159,0.0065
289,0.110651,0.0065
290,0.106021,0.0065
291,0.099956,0.0065
292,0.096343,0.0065
293,0.090824,0.0065
294,0.084460,0.0065
295,0.080691,0.0073
296,0.075826,0.0065
297,0.073052,0.0065
298,0.069757,0.0065
299,0.062626,0.0065
300,0.057485,0.0065
301,0.052842,0.0065
302,0.048211,0.0065
303,0.045652,0.0065
304,0.042154,0.0065
305,0.036632,0.0065
306,0.032895,0.0065
307,0.025219,0.0065
308,0.019476,0.0065
309,0.013940,0.0065
310,0.010007,0.0065
311,0.005432,0.0065
312,0.000451,0.0065
313,-0.002668,0.0065
314,-0.007145,0.0065
315,-0.009746,0.0065
316,-0.014559,0.0065
317,-0.017928,0.0065
318,-0.022639,0.0065
319,-0.028109,0.0065
320,-0.031717,0.0065
321,-0.034401,0.0065
322,-0.039146,0.0065
323,-0.043376,0.0065
324,-0.048337,0.0065
325,-0.053604,0.0065
326,-0.058428,0.0065
327,-0.060988,0.0065
328,-0.064875,0.0065
329,-0.069628,0.0065
330,-0.072387,0.0065
331,-0.076971,0.0065
332,-0.079264,0.0069
333,-0.083309,0.0065
334,-0.086352,0.0065
335,-0.089146,0.0065
336,-0.092958,0.0065
337,-0.095327,0.0065
338,-0.098354,0.0069
339,-0.102882,0.0065
340,-0.106576,0.0065
341,-0.110335,0.0065
342,-0.114828,0.0065
343,-0.118300,0.0065
344,-0.121246,0.0065
345,-0.123016,0.0065
346,-0.126575,0.0065
347,-0.128943,0.0065
348,-0.128835,0.0065
349,-0.122589,0.0065
350,-0.109885,0.0065
351,-0.096231,0.0065
352,-0.083805,0.0065
353,-0.070644,0.0065
354,-0.062576,0.0065
355,-0.058818,0.0065
356,-0.058318,0.0065
357,-0.059022,0.0065
358,-0.061634,0.0065
359,-0.066929,0.0065
360,-0.073962,0.0065
361,-0.080303,0.0065
362,-0.087612,0.0073
363,-0.093659,0.0065
364,-0.099998,0.0065
365,-0.105175,0.0065
366,-0.112339,0.0065
367,-0.117867,0.0065
368,-0.124400,0.0065
369,-0.129167,0.0065
370,-0.131844,0.0065
371,-0.135097,0.0065
372,-0.138675,0.0065
373,-0.142523,0.0065
374,-0.148345,0.0065
375,-0.152669,0.0065
376,-0.157523,0.0065
377,-0.163865,0.0065
378,-0.169599,0.0065
379,-0.173380,0.0065
380,-0.177114,0.0065
381,-0.179719,0.0065
382,-0.181967,0.0065
383,-0.183689,0.0065
384,-0.185379,0.0065
385,-0.188737,0.0065
386,-0.192657,0.0073
387,-0.197146,0.0069
388,-0.198878,0.0065
389,-0.202243,0.0065
390,-0.201418,0.0065
391,-0.204734,0.0065
392,-0.208138,0.0065
393,-0.211561,0.0066
394,-0.212218,0.0065
395,-0.213194,0.0065
396,-0.216699,0.0065
397,-0.220044,0.0065
398,-0.220919,0.0065
399,-0.222175,0.0066
400,-0.224106,0.0065
401,-0.229550,0.0065
402,-0.232325,0.0066
403,-0.234661,0.0065
404,-0.235589,0.0065
