epoch,loss,tiempo_s
1,12.344538,0.2461
2,7.433142,0.0240
3,6.957630,0.0233
4,6.678286,0.0232
5,6.496637,0.0231
6,6.360538,0.0231
7,6.253671,0.0231
8,6.160348,0.0231
9,6.080083,0.0231
10,6.012564,0.0231
11,5.955862,0.0231
12,5.905666,0.0231
13,5.860233,0.0226
14,5.818092,0.0209
15,5.780346,0.0208
16,5.745249,0.0207
17,5.713312,0.0207
18,5.682569,0.0207
19,5.653806,0.0207
20,5.626849,0.0207
21,5.600767,0.0211
22,5.575013,0.0212
23,5.552064,0.0207
24,5.529057,0.0207
25,5.506620,0.0207
26,5.485360,0.0207
27,5.464869,0.0207
28,5.444746,0.0207
29,5.423940,0.0207
30,5.403842,0.0207
31,5.385014,0.0207
32,5.364980,0.0207
33,5.346173,0.0207
34,5.326714,0.0207
35,5.308013,0.0207
36,5.289744,0.0207
37,5.271158,0.0207
38,5.252599,0.0207
39,5.232912,0.0207
40,5.214066,0.0207
41,5.195182,0.0207
42,5.176252,0.0207
43,5.157106,0.0207
44,5.137530,0.0207
45,5.119123,0.0207
46,5.098252,0.0207
47,5.078162,0.0207
48,5.057326,0.0207
49,5.037928,0.0207
50,5.017075,0.0207
51,4.995712,0.0211
52,4.974224,0.0207
53,4.951826,0.0207
54,4.929212,0.0207
55,4.906114,0.0207
56,4.884524,0.0207
57,4.861814,0.0208
58,4.836953,0.0207
59,4.814216,0.0209
60,4.790609,0.0208
61,4.767313,0.0209
62,4.742866,0.0208
63,4.717650,0.0207
64,4.693013,0.0208
65,4.667638,0.0208
66,4.641621,0.0208
67,4.615400,0.0208
68,4.588772,0.0208
69,4.562717,0.0208
70,4.535775,0.0208
71,4.509261,0.0208
72,4.482826,0.0208
73,4.455155,0.0208
74,4.428401,0.0208
75,4.401294,0.0208
76,4.373973,0.0208
77,4.345712,0.0208
78,4.316905,0.0208
79,4.289121,0.0208
80,4.260856,0.0208
81,4.232171,0.0211
82,4.203405,0.0209
83,4.173814,0.0209
84,4.144269,0.0212
85,4.114271,0.0210
86,4.085740,0.0208
87,4.055576,0.0208
88,4.025386,0.0208
89,3.995175,0.0208
90,3.965021,0.0208
91,3.935071,0.0208
92,3.904814,0.0208
93,3.875115,0.0208
94,3.845789,0.0212
95,3.815453,0.0208
96,3.784580,0.0212
97,3.754546,0.0208
98,3.725019,0.0208
99,3.694121,0.0208
100,3.662863,0.0208
101,3.632181,0.0208
102,3.600996,0.0208
103,3.568890,0.0208
104,3.537998,0.0208
105,3.506189,0.0208
106,3.474386,0.0208
107,3.442056,0.0208
108,3.409825,0.0208
109,3.377552,0.0208
110,3.345103,0.0208
111,3.312635,0.0212
112,3.279668,0.0212
113,3.246556,0.0208
114,3.212956,0.0208
115,3.180418,0.0208
116,3.147257,0.0208
117,3.113993,0.0208
118,3.079616,0.0208
119,3.047310,0.0209
120,3.013664,0.0208
121,2.981627,0.0208
122,2.948040,0.0208
123,2.914282,0.0208
124,2.881667,0.0213
125,2.848663,0.0212
126,2.814842,0.0209
127,2.781863,0.0213
128,2.748397,0.0226
129,2.715364,0.0209
130,2.682076,0.0208
131,2.648442,0.0208
132,2.615017,0.0209
133,2.582704,0.0209
134,2.550905,0.0210
135,2.518858,0.0213
136,2.487251,0.0214
137,2.456035,0.0209
138,2.426823,0.0208
139,2.399563,0.0209
140,2.374099,0.0209
141,2.350329,0.0209
142,2.328175,0.0209
143,2.307555,0.0209
144,2.288059,0.0209
145,2.269543,0.0209
146,2.253021,0.0209
147,2.237598,0.0209
148,2.222932,0.0209
149,2.208827,0.0215
150,2.195311,0.0209
151,2.181949,0.0209
152,2.168648,0.0209
153,2.155292,0.0209
154,2.142995,0.0209
155,2.130991,0.0209
156,2.118728,0.0213
157,2.107003,0.0209
158,2.095847,0.0219
159,2.084170,0.0209
160,2.073066,0.0215
161,2.062353,0.0212
162,2.051859,0.0217
163,2.040939,0.0208
164,2.030896,0.0209
165,2.020970,0.0209
166,2.011841,0.0209
167,2.001665,0.0209
168,1.991505,0.0209
169,1.981492,0.0209
170,1.972548,0.0209
171,1.963577,0.0209
172,1.954893,0.0209
173,1.946776,0.0209
174,1.939800,0.0209
175,1.931943,0.0209
176,1.924433,0.0209
177,1.916380,0.0209
178,1.908785,0.0216
179,1.900924,0.0209
180,1.893469,0.0209
181,1.886384,0.0209
182,1.880153,0.0209
183,1.873454,0.0209
184,1.867456,0.0209
185,1.860745,0.0209
186,1.854339,0.0209
187,1.848117,0.0213
188,1.842522,0.0209
189,1.836969,0.0209
190,1.831844,0.0209
191,1.826832,0.0209
192,1.822445,0.0209
193,1.818808,0.0216
194,1.814504,0.0209
195,1.810086,0.0209
196,1.806102,0.0208
197,1.802632,0.0209
198,1.797642,0.0209
199,1.793380,0.0209
200,1.788303,0.0209
201,1.782771,0.0209
202,1.777828,0.0209
203,1.772514,0.0209
204,1.768213,0.0209
205,1.763437,0.0209
206,1.760208,0.0209
207,1.756351,0.0223
208,1.753139,0.0209
209,1.749380,0.0209
210,1.745000,0.0209
211,1.740249,0.0209
212,1.734603,0.0209
213,1.728747,0.0209
214,1.723949,0.0209
215,1.718115,0.0209
216,1.713758,0.0209
217,1.709306,0.0209
218,1.706045,0.0209
219,1.703417,0.0209
220,1.700590,0.0209
221,1.698783,0.0209
222,1.696694,0.0209
223,1.693978,0.0209
224,1.691084,0.0209
225,1.688183,0.0209
226,1.685066,0.0209
227,1.681351,0.0209
228,1.678222,0.0209
229,1.675056,0.0209
230,1.671666,0.0209
231,1.668619,0.0215
232,1.665299,0.0209
233,1.661424,0.0209
234,1.657578,0.0209
235,1.654511,0.0215
236,1.650748,0.0209
237,1.646799,0.0214
238,1.642818,0.0209
239,1.639571,0.0209
240,1.637066,0.0209
241,1.635758,0.0209
242,1.634432,0.0210
243,1.632882,0.0209
244,1.632342,0.0209
245,1.630611,0.0217
246,1.629365,0.0209
247,1.628228,0.0209
248,1.625634,0.0209
249,1.623450,0.0210
250,1.621481,0.0209
251,1.619233,0.0209
252,1.616711,0.0210
253,1.614423,0.0210
254,1.610439,0.0210
255,1.606849,0.0210
256,1.602681,0.0210
257,1.599119,0.0210
258,1.596419,0.0210
259,1.592885,0.0209
260,1.588658,0.0209
261,1.584485,0.0209
262,1.579286,0.0210
263,1.574733,0.0210
264,1.569567,0.0210
265,1.564034,0.0210
266,1.558390,0.0210
267,1.553164,0.0210
268,1.549397,0.0209
269,1.546734,0.0210
270,1.544240,0.0214
271,1.543071,0.0210
272,1.542682,0.0210
273,1.542227,0.0210
274,1.541419,0.0210
275,1.539507,0.0210
276,1.537650,0.0210
277,1.535106,0.0210
278,1.533282,0.0210
279,1.531439,0.0210
280,1.529612,0.0210
281,1.527285,0.0210
282,1.524746,0.0210
283,1.522294,0.0211
284,1.522941,0.0210
285,1.525180,0.0210
286,1.528599,0.0210
287,1.531626,0.0210
288,1.535121,0.0210
289,1.538246,0.0210
290,1.539919,0.0210
291,1.542860,0.0210
292,1.544563,0.0210
293,1.547050,0.0210
294,1.549481,0.0210
295,1.550468,0.0210
296,1.552429,0.0210
297,1.553810,0.0217
298,1.556415,0.0210
299,1.559677,0.0210
300,1.564979,0.0210
301,1.570218,0.0210
302,1.575141,0.0210
303,1.580903,0.0210
304,1.584515,0.0210
305,1.587036,0.0210
306,1.587832,0.0210
307,1.588315,0.0210
308,1.587872,0.0210
309,1.588049,0.0210
310,1.587945,0.0210
311,1.587489,0.0210
312,1.586211,0.0210
313,1.585054,0.0210
314,1.583465,0.0210
315,1.581099,0.0210
316,1.579105,0.0210
317,1.575380,0.0210
318,1.571582,0.0210
319,1.567764,0.0210
320,1.564039,0.0210
321,1.562198,0.0210
322,1.562582,0.0210
323,1.564346,0.0210
324,1.566833,0.0214
325,1.571329,0.0210
326,1.575537,0.0210
327,1.580019,0.0214
328,1.585679,0.0210
329,1.589654,0.0217
330,1.594642,0.0210
331,1.599720,0.0210
332,1.604540,0.0214
333,1.607721,0.0210
334,1.608776,0.0210
335,1.607388,0.0210
336,1.603503,0.0210
337,1.600247,0.0211
338,1.598308,0.0211
339,1.597586,0.0211
340,1.596142,0.0210
341,1.594993,0.0210
342,1.593015,0.0210
343,1.590083,0.0211
344,1.585672,0.0210
345,1.579924,0.0211
346,1.573961,0.0211
347,1.567394,0.0218
348,1.561587,0.0210
349,1.555373,0.0210
350,1.550813,0.0210
351,1.546009,0.0210
352,1.541191,0.0211
353,1.535609,0.0210
354,1.530949,0.0210
355,1.526297,0.0212
356,1.520505,0.0211
357,1.515092,0.0210
358,1.508395,0.0211
359,1.501862,0.0210
360,1.496405,0.0210
361,1.490787,0.0211
362,1.484293,0.0211
363,1.477438,0.0211
364,1.470876,0.0210
365,1.464113,0.0211
366,1.458463,0.0211
367,1.451797,0.0211
368,1.445724,0.0211
369,1.440933,0.0218
370,1.437168,0.0211
371,1.436017,0.0211
372,1.435236,0.0211
373,1.435020,0.0210
374,1.434418,0.0210
375,1.432263,0.0210
376,1.430122,0.0210
377,1.430071,0.0211
378,1.433374,0.0210
379,1.439375,0.0210
380,1.447465,0.0215
381,1.458999,0.0211
382,1.471589,0.0211
383,1.483021,0.0211
384,1.493685,0.0211
385,1.501070,0.0211
386,1.505906,0.0211
387,1.508492,0.0211
388,1.508949,0.0211
389,1.507584,0.0213
390,1.505391,0.0211
391,1.504139,0.0211
392,1.502756,0.0211
393,1.502364,0.0211
394,1.502277,0.0211
395,1.501776,0.0211
396,1.502013,0.0211
397,1.500915,0.0211
398,1.499625,0.0211
399,1.497811,0.0214
400,1.494879,0.0211
401,1.490801,0.0211
402,1.484662,0.0215
403,1.478095,0.0211
404,1.470387,0.0214
405,1.463162,0.0211
406,1.456792,0.0211
407,1.451905,0.0211
408,1.446779,0.0211
409,1.442811,0.0211
410,1.438780,0.0211
411,1.434037,0.0211
412,1.428813,0.0211
413,1.424300,0.0212
414,1.418950,0.0211
415,1.414219,0.0219
416,1.411513,0.0215
