frame_idx,psnr,ssim,lpips,psnr_temporal
0,36.582066,0.984697,0.024230,
1,35.806572,0.981030,0.031935,41.948669
2,35.000191,0.974240,0.048064,40.419652
3,35.493446,0.977533,0.042438,40.946447
4,35.521080,0.977837,0.040763,40.927015
5,35.673073,0.978093,0.038834,40.934512
6,35.905205,0.979035,0.036726,41.054404
7,35.844112,0.978783,0.035045,40.908117
8,36.041115,0.979766,0.032029,40.855249
9,36.025116,0.979463,0.034250,40.939239
10,36.024651,0.979355,0.033922,40.561140
11,36.174961,0.979707,0.032763,40.499248
12,35.917252,0.978778,0.033562,40.351180
13,36.086472,0.979867,0.033083,40.232326
14,35.828823,0.979329,0.034104,40.051203
15,35.849274,0.978658,0.031458,40.126907
16,36.207115,0.979855,0.031717,39.905109
17,35.930515,0.978566,0.032919,40.029802
18,35.939945,0.978948,0.032816,39.892810
19,35.740925,0.978508,0.033227,39.910915
20,35.680691,0.978398,0.032462,39.570911
21,35.699333,0.978417,0.031206,39.546512
22,35.526905,0.978053,0.030524,39.937132
23,35.612835,0.977911,0.031161,39.456438
24,35.558243,0.977750,0.032341,39.355655
25,35.490139,0.977621,0.034200,39.278486
26,35.426056,0.977608,0.034508,39.157114
27,34.963558,0.977223,0.034400,38.794661
28,34.828999,0.976864,0.035055,38.538259
29,35.009590,0.976081,0.035443,38.802200
30,34.899902,0.975567,0.034891,38.674173
31,35.125050,0.975787,0.034672,38.773964
32,34.962296,0.975167,0.033083,38.950671
33,35.180374,0.975883,0.031823,38.871410
34,35.235939,0.975894,0.031728,39.001515
35,34.848999,0.975308,0.033383,38.735729
36,34.953613,0.974777,0.033437,38.747675
37,34.648075,0.973709,0.035260,38.560072
38,34.508636,0.973811,0.035765,38.150099
39,34.560482,0.974032,0.036686,38.074185
40,33.235325,0.972420,0.039876,37.210020
41,33.377766,0.972242,0.041086,36.635065
42,33.124035,0.971874,0.040097,36.735313
43,34.117348,0.973098,0.039715,36.835664
44,33.823914,0.972652,0.038903,37.361458
45,33.852108,0.972697,0.036944,37.214664
46,34.231365,0.972999,0.038147,37.501431
47,34.306557,0.973199,0.036933,37.735041
48,34.909504,0.975348,0.033004,38.148850
49,34.718864,0.974917,0.034509,38.532010
50,34.639824,0.974354,0.033751,38.349283
51,34.611382,0.973933,0.034317,38.080878
52,34.054657,0.972771,0.037171,37.885781
53,33.984409,0.972626,0.036453,37.426776
54,32.920464,0.971340,0.038339,36.672846
55,33.199280,0.971146,0.041296,36.269125
56,33.110138,0.969559,0.040408,36.397231
57,33.026131,0.968885,0.040991,36.471785
58,33.509041,0.970031,0.040025,36.664483
59,33.909046,0.970694,0.040021,36.932221
60,33.959587,0.970757,0.038670,37.290842
61,34.079178,0.970859,0.038615,37.567234
62,33.869713,0.971044,0.038760,37.562742
63,33.905251,0.971516,0.037536,38.289997
64,33.854671,0.969823,0.039102,37.358186
65,33.387119,0.969203,0.041874,36.969221
66,33.552643,0.968789,0.043616,36.833483
67,32.986397,0.967645,0.044384,36.644021
68,32.440277,0.968279,0.045611,35.900369
69,32.411793,0.968602,0.045947,35.651257
70,33.010666,0.969259,0.045274,35.794251
71,32.302773,0.966876,0.048121,35.763847
72,32.792919,0.968013,0.045447,35.880991
73,33.086586,0.968112,0.044713,36.279570
74,33.118378,0.967786,0.045261,36.332543
75,33.538151,0.968542,0.043465,36.568550
76,33.799896,0.969800,0.042202,37.049771
77,33.997646,0.971416,0.040120,37.779337
78,33.858761,0.970621,0.040169,37.273804
79,33.723518,0.970251,0.043157,37.231155
80,33.778965,0.970900,0.040669,37.138200
81,33.643745,0.969961,0.043126,37.020514
82,33.022568,0.969916,0.043256,36.486324
83,33.108402,0.971720,0.042395,36.242037
84,32.716129,0.971160,0.043072,36.055044
85,32.860031,0.970259,0.045141,35.997424
86,33.280029,0.969934,0.044935,36.594716
87,33.723106,0.971360,0.040054,36.757447
88,33.921825,0.971460,0.038963,37.180296
89,34.167007,0.971628,0.039006,37.493794
90,34.090378,0.972125,0.038582,37.582062
91,33.977291,0.971085,0.038713,38.048518
92,33.303635,0.969563,0.039925,37.052608
93,33.166718,0.969073,0.042767,36.565926
94,32.392143,0.968705,0.044201,36.068062
95,32.079437,0.967704,0.046573,35.478297
96,31.981680,0.968437,0.048271,35.309123
97,32.209057,0.968816,0.048602,35.371090
98,32.875610,0.969923,0.045915,35.705647
99,32.948925,0.969294,0.043446,36.034094
100,32.749008,0.968500,0.046213,36.041700
101,32.759834,0.969601,0.044041,35.929526
102,33.549667,0.969748,0.044437,36.433010
103,33.198277,0.969066,0.045365,36.473563
104,33.317005,0.969603,0.043287,36.493717
105,32.534470,0.967565,0.045830,36.304532
106,32.075089,0.966649,0.045556,35.367588
107,32.783566,0.967729,0.045703,35.427409
108,32.778343,0.967568,0.043168,35.941584
109,32.654305,0.967834,0.045916,35.788811
110,32.712372,0.968240,0.048235,35.983557
111,33.087372,0.969114,0.045531,36.228575
112,32.634007,0.967801,0.048316,36.149083
113,32.367191,0.966303,0.049784,35.564019
114,32.795593,0.966436,0.051223,35.804086
115,32.896675,0.966494,0.047844,36.167462
116,32.688374,0.965375,0.048778,35.980911
117,32.942059,0.967703,0.047607,35.962546
118,32.868729,0.967375,0.045055,36.557249
119,32.656788,0.965828,0.043668,36.170596
120,32.469440,0.965139,0.045815,35.896842
121,32.603069,0.965696,0.047061,35.802529
122,32.290352,0.963426,0.050318,35.672846
123,32.349319,0.964245,0.051657,35.399959
124,32.303146,0.964343,0.052377,35.857999
125,32.772938,0.966186,0.050455,36.262055
126,32.724140,0.965814,0.049831,35.949240
127,32.708477,0.966150,0.046958,36.015541
128,32.762386,0.966263,0.050282,35.904614
129,32.675705,0.965484,0.051234,36.139265
130,32.859653,0.966838,0.046633,36.015828
131,32.955208,0.966423,0.046616,36.202606
132,33.102333,0.967054,0.045339,36.352080
133,32.910343,0.966238,0.045415,36.314960
134,32.345425,0.964032,0.049454,35.997140
135,32.426773,0.965201,0.046721,35.585037
136,32.088779,0.963673,0.049688,35.253491
137,31.800014,0.962178,0.053631,35.071573
138,31.833157,0.963097,0.051899,34.844992
139,32.214542,0.964129,0.051953,35.954386
140,32.095619,0.963350,0.052872,35.492017
141,32.449532,0.965237,0.049442,35.294264
142,32.528816,0.965269,0.048420,35.783412
143,32.626289,0.964689,0.049627,35.808926
144,32.678364,0.965743,0.047124,35.901426
145,32.929314,0.967653,0.044044,36.350843
146,32.293850,0.964311,0.044993,36.022145
147,32.369228,0.963707,0.045422,35.560986
148,32.634300,0.965198,0.046800,35.707730
149,31.987246,0.963576,0.047992,35.524705
150,32.542244,0.965302,0.049034,35.615733
151,32.682365,0.965889,0.047630,35.918587
152,32.797859,0.966355,0.047339,36.821551
153,32.532082,0.962842,0.050969,36.261623
154,31.851940,0.956123,0.059900,35.251286
155,32.238461,0.960724,0.051006,35.396844
156,32.305077,0.962581,0.046938,35.690221
157,32.605827,0.963214,0.044374,35.825083
158,32.661125,0.964447,0.045450,35.948212
159,32.318359,0.963191,0.045967,36.252402
160,32.506435,0.963861,0.044378,35.926940
161,32.020657,0.962584,0.045923,35.602268
162,31.872347,0.962255,0.045922,35.043254
163,31.801977,0.961125,0.049374,34.985530
164,31.605343,0.960619,0.051152,34.792242
165,32.019802,0.963142,0.049255,35.130237
166,32.273422,0.963995,0.049192,35.792077
167,32.276249,0.964379,0.049093,35.734862
168,32.043640,0.962939,0.047727,35.464502
169,32.035267,0.962580,0.047646,35.354589
170,32.165726,0.963768,0.043723,35.521449
171,32.208996,0.963780,0.043549,35.535200
172,32.125336,0.964406,0.045513,35.501387
173,31.829416,0.964074,0.046275,35.636077
174,30.911633,0.960152,0.047375,34.519356
175,30.639097,0.961215,0.045845,33.772606
176,29.545731,0.958234,0.050843,32.758774
177,28.542643,0.957664,0.053964,31.486687
178,28.217630,0.955727,0.059439,30.827340
179,28.569290,0.956596,0.058084,31.037062
180,28.511990,0.956677,0.057308,31.243409
181,28.521769,0.955109,0.059004,31.248613
182,28.820015,0.956479,0.054880,31.282723
183,29.429438,0.957310,0.053465,31.778459
184,30.307945,0.958738,0.053997,32.616924
185,30.545809,0.957489,0.051280,33.237416
186,30.983299,0.957281,0.055433,33.777226
187,32.144836,0.960705,0.052106,34.727383
188,32.393452,0.963145,0.047813,35.415976
189,32.163364,0.960584,0.055171,35.422381
190,31.431854,0.959148,0.055457,34.932598
191,31.504089,0.959730,0.057943,34.442604
192,31.417322,0.961147,0.054001,34.560762
193,30.946800,0.960478,0.055224,34.449687
194,31.117975,0.960996,0.054039,34.031849
195,30.911594,0.960361,0.054871,33.962499
196,30.834679,0.960316,0.056286,33.969334
197,30.659809,0.960701,0.054589,33.808672
198,30.842541,0.960703,0.054280,33.600576
199,30.634907,0.961305,0.055075,33.645111
200,31.602623,0.963286,0.051466,34.256584
201,31.593987,0.961807,0.052289,34.715835
202,31.945467,0.962362,0.050047,34.933089
203,31.824047,0.961065,0.054848,35.139679
204,31.706402,0.961536,0.055375,35.171560
205,31.276922,0.959994,0.056607,35.048512
206,31.317638,0.959480,0.060899,34.570971
207,31.577850,0.959979,0.062306,34.650429
208,30.852835,0.957843,0.067182,34.365637
209,30.474680,0.954000,0.068979,33.825705
210,30.053440,0.952662,0.070143,33.339023
211,29.644005,0.951588,0.073787,32.979378
212,30.308487,0.954909,0.069163,32.991751
213,30.673487,0.955634,0.068816,33.786421
214,30.367071,0.954031,0.073222,33.498682
215,30.576096,0.955761,0.075542,33.563181
216,30.068035,0.954906,0.078559,33.326420
217,29.868866,0.954513,0.080993,32.920938
218,29.592735,0.954497,0.083043,32.911871
219,29.523764,0.953921,0.085686,32.588889
220,30.085453,0.957224,0.079553,33.165068
221,30.370396,0.954985,0.079941,33.669442
222,29.821903,0.952410,0.084517,33.181900
223,29.244385,0.945966,0.090605,32.456197
224,29.100113,0.945616,0.090806,31.912192
225,29.110638,0.945538,0.087975,31.788192
226,29.409678,0.946567,0.088581,32.055175
227,28.659134,0.944011,0.091592,32.357390
228,29.363132,0.947830,0.082975,31.861614
229,29.367805,0.947723,0.085133,32.231764
230,29.352783,0.948505,0.082299,32.258280
231,29.770443,0.951863,0.080790,32.541076
232,29.678917,0.950479,0.089452,32.846893
233,30.396994,0.952320,0.084566,32.937982
234,30.139603,0.951842,0.087133,33.154933
235,29.964176,0.953431,0.084278,33.337129
236,29.716761,0.950128,0.089058,32.838297
237,29.408331,0.947692,0.092622,32.376874
238,28.985909,0.944256,0.095420,32.031832
239,29.335125,0.947624,0.090571,32.100631
240,28.899986,0.945173,0.093507,32.095596
241,29.659931,0.948638,0.093381,32.672952
242,29.435789,0.949453,0.087077,32.521007
243,29.688242,0.950723,0.085994,32.331545
244,29.819931,0.953040,0.084942,32.582618
245,29.527931,0.951571,0.087679,32.632623
246,29.685125,0.952071,0.088430,32.679363
247,30.158054,0.956353,0.084082,33.263433
248,30.613680,0.956678,0.081494,33.854568
249,30.159607,0.953438,0.083961,33.445396
250,29.349356,0.946459,0.092557,32.632407
251,29.209740,0.945674,0.094975,32.010307
252,29.493938,0.947429,0.090243,32.024109
253,29.614622,0.947792,0.097195,32.380305
254,30.131115,0.950880,0.089841,33.034587
255,29.737442,0.949997,0.086452,33.123285
256,29.934456,0.952631,0.081377,32.758170
257,30.185001,0.952245,0.084094,32.736054
258,30.285034,0.954051,0.083318,33.033315
259,29.848808,0.951371,0.086628,33.048465
260,30.134441,0.953711,0.084621,32.823757
261,30.482950,0.956796,0.081543,33.610064
262,30.459860,0.955413,0.083888,33.708392
263,30.131325,0.953488,0.082121,33.286959
264,29.422674,0.948085,0.088699,32.708473
265,29.708654,0.948608,0.082830,32.218260
266,28.103207,0.943813,0.088969,31.688309
267,28.491514,0.945117,0.080082,31.359536
268,29.891922,0.949530,0.077209,31.976685
269,30.467457,0.953064,0.073648,33.244524
270,31.012772,0.959107,0.066201,34.066648
271,31.001881,0.959036,0.064082,34.192804
272,31.501940,0.961411,0.061849,34.639106
273,30.703716,0.959322,0.064113,34.365860
274,30.611935,0.957501,0.061080,33.652173
275,30.725803,0.957984,0.063990,33.673647
276,30.310040,0.959273,0.066740,33.765907
277,30.165510,0.956391,0.069381,33.300579
278,30.164333,0.953717,0.070077,33.116976
279,30.433256,0.952362,0.070953,33.310938
280,30.581650,0.954641,0.067351,33.306938
281,31.334171,0.959108,0.058854,33.976643
282,31.928036,0.962976,0.058317,35.079934
283,32.615208,0.966613,0.056771,36.066369
284,31.941185,0.964603,0.060964,36.301613
285,32.006264,0.965051,0.060840,35.610735
286,30.935482,0.961826,0.063694,34.796617
287,30.605026,0.959126,0.065002,33.941372
288,30.385696,0.960513,0.064717,33.688550
289,29.531895,0.957616,0.069629,33.171459
290,30.113565,0.957437,0.070075,32.953181
291,30.234873,0.955885,0.070149,33.307359
292,30.310520,0.954806,0.069063,33.266118
293,31.058437,0.955864,0.065701,33.639004
294,31.322258,0.959461,0.062910,34.200287
295,31.931341,0.963238,0.058813,35.498493
296,32.027214,0.963776,0.057805,35.803676
297,31.828775,0.963797,0.056767,35.254321
298,31.210304,0.961408,0.060497,34.728212
299,30.325460,0.958962,0.063734,34.051708
300,30.517288,0.961032,0.062265,33.676015
301,30.162247,0.961465,0.064560,33.806158
302,30.658350,0.960729,0.065042,33.949953
303,31.158998,0.959437,0.061947,34.597009
304,30.955408,0.954396,0.064857,34.228133
305,30.477140,0.951940,0.064244,33.890111
306,30.727060,0.947482,0.078290,33.541732
307,31.745865,0.955706,0.066483,34.919025
308,31.783201,0.958119,0.063011,35.598870
309,32.099312,0.959570,0.061982,36.142403
310,31.439344,0.958800,0.066334,35.337073
311,30.994400,0.956149,0.070912,34.658292
312,29.987972,0.954021,0.076324,33.697179
313,29.378757,0.950821,0.079772,32.694470
314,29.434986,0.949439,0.079531,32.425395
315,30.042839,0.947673,0.074317,32.621501
316,29.774542,0.946166,0.080201,32.762709
317,29.827866,0.948596,0.079901,32.773014
318,29.435459,0.945687,0.084557,32.834832
319,29.109859,0.941061,0.089817,32.196194
320,29.347353,0.945585,0.085213,32.147669
321,28.627739,0.942442,0.088327,32.194299
322,28.717068,0.940175,0.091478,32.077840
323,28.821510,0.942860,0.089015,32.030448
324,28.977856,0.940421,0.093326,31.885957
325,29.448908,0.943901,0.087887,32.109290
326,29.402637,0.945141,0.091862,32.455688
327,29.458349,0.947632,0.090454,32.539200
328,29.923651,0.949554,0.089744,32.748452
329,29.800114,0.949016,0.089958,33.043613
330,30.297485,0.951099,0.084897,33.607307
331,29.799179,0.948544,0.089281,33.204781
332,29.574600,0.946237,0.088332,32.661110
333,29.184559,0.943138,0.089233,32.446389
334,29.821705,0.945894,0.087641,32.298442
335,28.694408,0.942582,0.092287,32.117508
336,29.601162,0.945398,0.087820,32.278297
337,29.381168,0.945395,0.090927,32.551652
338,29.344103,0.945391,0.090228,32.370201
339,29.733307,0.947472,0.088969,32.418556
340,30.147205,0.949031,0.090465,32.814376
341,30.215652,0.950424,0.086143,33.262446
342,29.951668,0.948550,0.090883,33.277269
343,29.928505,0.946489,0.093565,32.994090
344,30.081179,0.949922,0.089461,33.186022
345,29.784122,0.948855,0.090335,33.028608
346,29.380688,0.945369,0.093613,32.446427
347,29.395275,0.945059,0.094647,32.337950
348,29.722231,0.946086,0.093851,32.398143
349,28.764484,0.943126,0.098378,32.223449
350,28.951908,0.945346,0.096997,32.476970
351,29.294579,0.947376,0.092971,32.274833
352,30.096552,0.950051,0.089230,32.652028
353,29.538033,0.947743,0.089371,32.702465
354,29.904652,0.952033,0.086724,32.568643
355,30.035339,0.951659,0.085555,32.948788
356,30.440834,0.953682,0.086000,33.154075
357,30.198101,0.952699,0.087876,33.752982
358,30.220875,0.951149,0.089782,33.333340
359,29.954006,0.949705,0.087592,32.932452
360,29.950045,0.949746,0.086384,32.894404
361,30.312025,0.951513,0.081041,33.005646
362,29.801065,0.948812,0.088533,32.866950
363,29.246510,0.947435,0.093061,32.605387
364,30.108868,0.951631,0.084113,32.633079
365,30.116426,0.953621,0.080195,33.161092
366,30.412226,0.954316,0.077411,33.220011
367,30.646065,0.955479,0.076181,33.525378
368,30.995594,0.956823,0.072114,33.799893
369,31.242760,0.959488,0.070279,34.074920
370,31.718151,0.961280,0.069796,34.627242
371,31.407009,0.959979,0.068505,35.287336
372,30.703213,0.956633,0.072639,34.225784
373,30.102726,0.951856,0.077453,33.416473
374,29.537947,0.950363,0.076015,32.831683
375,29.839060,0.951021,0.074659,32.725580
376,29.188383,0.949940,0.073543,32.425563
377,30.255167,0.954596,0.069152,32.765343
378,30.516291,0.956974,0.064717,33.929075
379,31.046904,0.961268,0.060885,34.294981
380,31.014187,0.963105,0.059467,34.680613
381,31.633970,0.964398,0.055636,34.717052
382,31.203491,0.964096,0.055779,34.804864
383,30.579136,0.962508,0.060591,34.474964
384,31.143301,0.963673,0.059134,34.371195
385,30.745125,0.961216,0.060033,34.584910
386,30.181334,0.956926,0.064747,33.486821
387,30.441515,0.955880,0.062235,33.427277
388,30.912867,0.956573,0.061706,33.812447
389,31.517555,0.959529,0.056304,34.388586
390,32.206779,0.963640,0.055159,35.192669
391,32.599964,0.965612,0.052347,36.891917
392,32.558712,0.965540,0.053233,36.702974
393,31.906244,0.963230,0.058913,35.733497
394,31.749428,0.963919,0.057404,35.383157
395,31.832697,0.964160,0.055868,35.146480
396,31.455772,0.963033,0.056546,35.018518
397,30.976212,0.962152,0.055345,34.505182
398,30.407875,0.960572,0.059199,33.993074
399,30.987576,0.960634,0.059779,33.859394
400,30.953598,0.958443,0.058284,34.128098
401,31.481247,0.959952,0.057220,34.228055
402,31.780874,0.961448,0.056255,34.900047
403,31.801136,0.963170,0.056585,35.403957
404,31.923960,0.965507,0.051437,36.233321
405,32.438137,0.966490,0.050192,36.222322
406,32.507099,0.965960,0.047769,35.911020
407,31.869907,0.965664,0.047709,35.454543
408,31.172253,0.964040,0.051343,34.660823
409,31.793705,0.965871,0.050868,34.717875
410,31.617392,0.966607,0.053035,35.227764
411,31.661474,0.965476,0.052451,35.701209
412,31.782969,0.962798,0.054329,35.057495
413,32.221748,0.962832,0.053942,35.411860
414,32.575592,0.964194,0.048947,35.700106
415,32.578918,0.965877,0.047045,35.991766
416,32.696663,0.966466,0.047120,36.477171
417,32.975475,0.966976,0.049409,38.317016
418,32.320885,0.964556,0.051768,36.525400
419,31.694645,0.961819,0.055313,35.280019
420,31.466837,0.961126,0.055003,34.746241
421,30.824863,0.959299,0.058527,34.116509
422,30.823462,0.958125,0.062483,33.864630
423,30.555513,0.957051,0.062494,33.767175
424,30.506002,0.959512,0.061680,33.554171
425,30.715595,0.957592,0.065125,33.757367
426,31.227341,0.956770,0.067299,34.199623
427,31.053057,0.955235,0.066785,34.113381
428,30.785934,0.953610,0.069547,33.953329
429,31.092226,0.955230,0.067630,34.134651
430,30.833845,0.954038,0.070961,34.150904
431,30.631001,0.953403,0.069862,34.019012
432,30.188709,0.952489,0.072324,33.367914
433,30.090912,0.951631,0.073881,33.022835
434,30.223024,0.953716,0.074027,32.896235
435,30.255398,0.954917,0.072367,33.117397
436,30.495197,0.955395,0.075096,33.266938
437,30.732922,0.956589,0.070603,33.891949
438,30.728617,0.956159,0.071312,34.080997
439,30.717167,0.956841,0.072116,33.795630
440,30.331791,0.955595,0.073560,33.592700
441,30.675352,0.955680,0.072094,33.472859
442,31.198643,0.956270,0.072882,33.794278
443,30.665054,0.954560,0.076687,33.875125
444,31.049351,0.956383,0.071343,33.895748
445,30.923910,0.956327,0.069093,34.097916
446,30.886240,0.956803,0.068775,33.816136
447,30.405315,0.956259,0.070491,33.570838
448,30.196543,0.955715,0.071960,33.348550
449,30.471964,0.957536,0.069447,34.111816
450,30.572721,0.955717,0.069934,33.909424
451,31.150667,0.955914,0.070940,33.941391
452,31.003839,0.955844,0.071787,34.233482
453,30.589115,0.953371,0.073239,33.885487
454,30.208128,0.951967,0.075366,33.337822
455,29.782341,0.950271,0.076885,32.892834
456,30.456484,0.951937,0.075344,33.014493
457,30.413044,0.949882,0.076653,33.485917
458,29.400671,0.941522,0.094182,32.947496
459,30.137066,0.946319,0.085452,32.933948
460,30.122129,0.950974,0.080320,33.234804
461,30.492340,0.952222,0.078879,33.451009
462,30.345757,0.952712,0.080455,33.716725
463,30.436985,0.951865,0.081052,33.613336
464,30.798096,0.953969,0.077353,33.800130
465,31.156342,0.956361,0.073679,34.175175
466,30.879860,0.954656,0.073852,34.129208
467,30.899349,0.953757,0.073810,33.918951
468,30.165497,0.950456,0.077657,33.456380
469,30.154657,0.950520,0.076634,33.039280
470,30.338646,0.952429,0.072771,33.085686
471,30.430910,0.952575,0.078179,33.277161
472,30.387526,0.951354,0.076583,33.483582
473,30.572681,0.953457,0.071677,33.434881
474,30.720911,0.953916,0.073017,33.594690
475,30.711037,0.954316,0.072743,33.748781
476,31.163250,0.956442,0.068461,33.868899
477,30.566683,0.954355,0.069035,33.937911
478,30.987896,0.956555,0.070373,33.987324
479,30.776222,0.956382,0.071807,34.272039
480,30.572193,0.956775,0.070841,34.229727
481,29.892811,0.954569,0.071844,33.336601
482,30.851219,0.954617,0.068799,33.247931
483,30.601498,0.954465,0.067553,33.618557
484,29.642134,0.951520,0.072159,33.140687
485,30.700081,0.956181,0.063116,33.463720
486,31.383898,0.959390,0.060272,34.398558
487,31.810787,0.961201,0.057466,35.055423
488,31.902557,0.963312,0.053279,35.138960
489,32.039024,0.964822,0.052341,35.427984
490,31.758650,0.965544,0.050545,35.226141
491,31.894543,0.965958,0.048776,35.049296
492,31.952160,0.965568,0.048749,35.246885
493,31.138287,0.964560,0.056310,34.755063
494,30.874002,0.961752,0.058150,34.444930
495,31.502325,0.960103,0.057309,34.264758
496,30.765478,0.957117,0.059215,34.228191
497,31.635149,0.958369,0.057821,34.201941
498,31.960281,0.961343,0.053148,34.969946
499,31.987892,0.961977,0.052392,35.439009
500,32.554806,0.965257,0.048760,36.008110
501,32.900272,0.966218,0.047944,36.204991
502,32.259449,0.965259,0.051985,35.816660
503,32.256042,0.965429,0.050649,35.526908
504,32.494904,0.965266,0.049622,35.576186
505,31.532240,0.964731,0.048499,35.268864
506,31.231045,0.965926,0.051926,34.721369
507,32.250481,0.965407,0.050779,35.472675
508,31.704235,0.963214,0.051886,35.290713
509,32.362209,0.963862,0.049182,35.185638
510,32.286346,0.963636,0.051557,35.528403
511,32.445820,0.965230,0.049515,35.642399
512,32.684998,0.967155,0.047373,36.020572
513,32.661949,0.967985,0.044864,36.889348
514,33.131222,0.968423,0.042594,36.335491
515,32.609024,0.966996,0.046148,36.114638
516,33.199848,0.968225,0.045848,36.183764
517,32.746349,0.966223,0.047671,36.289881
518,32.476532,0.966386,0.048863,35.793524
519,32.446266,0.967678,0.048995,35.582216
520,30.748592,0.964605,0.053818,35.189770
521,32.288326,0.966009,0.047656,34.598835
522,32.347187,0.965100,0.049835,35.662270
523,32.631401,0.966843,0.045813,35.703368
524,32.706429,0.966701,0.046088,35.763748
525,33.016850,0.968115,0.044868,36.234810
526,33.017796,0.968781,0.044706,36.575212
527,33.123203,0.968295,0.043865,37.198400
528,32.490200,0.965343,0.046081,36.106830
529,32.319683,0.964172,0.049335,35.602200
530,32.506447,0.965836,0.050851,35.506201
531,32.822510,0.966572,0.051008,35.850770
532,31.240784,0.963717,0.055750,34.932350
533,31.689896,0.965276,0.054076,34.509439
534,31.796566,0.965683,0.055991,35.159334
535,32.076847,0.963515,0.055967,35.034315
536,31.735329,0.962979,0.058199,34.964864
537,32.187191,0.963381,0.056984,35.014305
538,32.775948,0.965885,0.054042,35.513088
539,32.625141,0.964918,0.056764,35.819351
540,32.658371,0.965132,0.058706,35.914664
541,32.513565,0.964889,0.057999,35.789216
542,32.512375,0.964763,0.058413,35.687550
543,32.500641,0.965872,0.061578,35.590752
