epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.195372,0.195372,0.215910,0.000000,20.524
2,0.182661,0.182661,0.217182,0.000000,20.261
3,0.170993,0.170993,0.226195,0.123178,20.294
4,0.160222,0.160222,0.235275,0.176343,20.335
5,0.150268,0.150268,0.244297,0.280966,20.357
6,0.141095,0.141095,0.253135,0.366799,20.391
7,0.132665,0.132665,0.261675,0.440575,20.422
8,0.124938,0.124938,0.269812,0.554597,20.454
9,0.117870,0.117870,0.277455,0.715301,20.491
10,0.111419,0.111419,0.284523,0.911642,20.514
11,0.105545,0.105545,0.290947,1.133209,20.549
12,0.100206,0.100206,0.296667,1.357330,20.577
13,0.095363,0.095363,0.301642,1.586129,20.602
14,0.090976,0.090976,0.305844,1.827293,20.628
15,0.087006,0.087006,0.309255,2.068783,20.662
16,0.083419,0.083419,0.311872,2.310583,20.683
17,0.080177,0.080177,0.313705,2.547391,20.710
18,0.077242,0.077242,0.314772,2.766697,20.730
19,0.074579,0.074579,0.315104,2.970268,20.754
20,0.072153,0.072153,0.314739,3.156007,20.777
21,0.069933,0.069933,0.313726,3.321376,20.800
22,0.067890,0.067890,0.312116,3.468912,20.821
23,0.065998,0.065998,0.309967,3.598646,20.835
24,0.064235,0.064235,0.307339,3.712176,20.851
25,0.062587,0.062587,0.304292,3.811634,20.868
26,0.061037,0.061037,0.300883,3.899141,20.888
27,0.059574,0.059574,0.297172,3.977407,20.903
28,0.058187,0.058187,0.293207,4.048573,20.914
29,0.056870,0.056870,0.289036,4.114465,20.927
30,0.055615,0.055615,0.284702,4.176878,20.943
31,0.054418,0.054418,0.280238,4.236478,20.959
32,0.053273,0.053273,0.275679,4.293261,20.969
33,0.052177,0.052177,0.271048,4.347190,20.973
34,0.051125,0.051125,0.266370,4.399438,20.988
35,0.050115,0.050115,0.261665,4.452842,20.990
36,0.049144,0.049144,0.256949,4.510605,21.004
37,0.048209,0.048209,0.252231,4.574997,21.014
38,0.047308,0.047308,0.247524,4.648027,21.025
39,0.046440,0.046440,0.242834,4.732467,21.034
40,0.045604,0.045604,0.238164,4.828335,21.041
41,0.044797,0.044797,0.233520,4.936492,21.046
42,0.044020,0.044020,0.228902,5.058809,21.046
43,0.043272,0.043272,0.224309,5.193612,21.060
44,0.042551,0.042551,0.219742,5.337092,21.067
45,0.041858,0.041858,0.215203,5.485589,21.069
46,0.041190,0.041190,0.210690,5.634549,21.082
47,0.040548,0.040548,0.206205,5.787779,21.095
48,0.039929,0.039929,0.201746,5.941087,21.093
