frame_idx,psnr,ssim,lpips,psnr_temporal
0,36.779293,0.985294,0.022392,
1,36.043945,0.981578,0.031386,42.005436
2,35.346310,0.975053,0.046140,40.602165
3,35.710381,0.978287,0.037891,41.053606
4,35.756401,0.978664,0.038442,41.131388
5,35.954617,0.978943,0.035470,41.202355
6,36.072243,0.979698,0.034252,41.168087
7,36.031368,0.979464,0.032400,41.026934
8,36.203167,0.980309,0.029813,40.980326
9,36.249710,0.980165,0.031185,41.051151
10,36.179592,0.979892,0.031986,40.706857
11,36.354202,0.980233,0.031276,40.585460
12,36.073032,0.979397,0.031881,40.472655
13,36.308979,0.980536,0.029901,40.370421
14,36.010242,0.979966,0.031882,40.204912
15,36.043518,0.979413,0.030176,40.289436
16,36.328217,0.980313,0.029073,40.020085
17,36.091972,0.979187,0.030388,40.086326
18,36.058548,0.979511,0.030749,39.958703
19,35.920277,0.979163,0.032156,39.997026
20,35.838017,0.978987,0.030565,39.689701
21,35.845783,0.979000,0.030064,39.717147
22,35.697041,0.978676,0.028966,40.022279
23,35.746658,0.978440,0.029715,39.571754
24,35.578197,0.978216,0.030974,39.392958
25,35.577812,0.978153,0.033286,39.254358
26,35.618164,0.978295,0.032832,39.274724
27,35.166851,0.977919,0.031842,38.986399
28,35.030869,0.977502,0.032336,38.664628
29,35.180717,0.976819,0.034032,38.991767
30,34.971535,0.976079,0.033084,38.755499
31,35.189774,0.976327,0.032823,38.805864
32,35.128201,0.976008,0.032290,39.091898
33,35.229568,0.976422,0.030230,39.032691
34,35.347301,0.976382,0.030464,39.085667
35,34.991444,0.976192,0.031987,38.852157
36,35.088036,0.975438,0.031257,38.875296
37,34.765572,0.974543,0.034184,38.639406
38,34.636349,0.974577,0.034972,38.264476
39,34.392216,0.974205,0.037440,38.071796
40,33.199558,0.972932,0.039471,37.115736
41,33.539936,0.972955,0.039372,36.660741
42,33.725109,0.973053,0.038384,37.124419
43,34.234123,0.973832,0.037557,37.178976
44,33.904667,0.973171,0.038295,37.444502
45,33.891403,0.973247,0.036170,37.230478
46,34.120785,0.973701,0.036672,37.401844
47,34.513241,0.974155,0.035839,37.755550
48,35.029655,0.976102,0.031276,38.253360
49,34.755180,0.975505,0.033426,38.566977
50,34.785210,0.975041,0.032030,38.369551
51,34.664841,0.974455,0.033362,38.156006
52,34.093964,0.973521,0.036345,37.931171
53,33.840797,0.972998,0.035095,37.391220
54,33.888577,0.972952,0.036424,37.093415
55,33.205982,0.971952,0.040144,36.795618
56,33.096233,0.969950,0.040043,36.317361
57,33.180603,0.969823,0.039187,36.507797
58,33.830406,0.971333,0.037717,36.864199
59,33.995548,0.971720,0.039215,37.141636
60,34.259373,0.972012,0.036964,37.468535
61,34.062519,0.971480,0.037260,37.686041
62,34.039230,0.971863,0.038161,37.665195
63,34.085354,0.972460,0.037534,38.412792
64,33.891567,0.970589,0.036935,37.474922
65,33.692390,0.970475,0.039604,37.116424
66,33.647671,0.970320,0.041373,37.039162
67,33.301151,0.968983,0.043053,36.821089
68,32.839523,0.969554,0.043111,36.293268
69,32.415012,0.969422,0.044221,35.887565
70,32.976345,0.970311,0.042620,35.788755
71,32.903912,0.968739,0.047292,36.112255
72,32.969135,0.969174,0.043804,36.248976
73,33.072113,0.969305,0.041143,36.306481
74,33.425472,0.969087,0.041861,36.464117
75,33.639839,0.969685,0.041183,36.780942
76,33.872940,0.970771,0.040943,37.150069
77,34.120041,0.972265,0.038545,37.832145
78,33.926434,0.971246,0.039802,37.390629
79,33.884216,0.971450,0.041960,37.286127
80,33.818325,0.971778,0.039845,37.243008
81,33.845726,0.971133,0.041609,37.109456
82,32.200996,0.970094,0.043542,36.073849
83,32.815937,0.972065,0.041813,35.661316
84,33.303341,0.972458,0.041461,36.180758
85,32.852242,0.970958,0.044337,36.262579
86,33.084167,0.970563,0.042337,36.570925
87,33.558613,0.971757,0.037788,36.609819
88,33.965981,0.972209,0.037643,37.050772
89,34.093975,0.971997,0.037627,37.494943
90,34.027851,0.972825,0.036769,37.588830
91,34.110428,0.972232,0.036324,38.045722
92,33.226654,0.970142,0.038146,37.059609
93,33.086594,0.969559,0.040661,36.460291
94,32.412838,0.969628,0.041650,36.059211
95,32.160164,0.968758,0.044370,35.511301
96,31.649313,0.968413,0.047798,35.199571
97,32.062420,0.969931,0.045607,35.135674
98,33.087585,0.970731,0.041998,35.702598
99,32.930702,0.970145,0.041599,36.140116
100,32.775196,0.969765,0.044270,36.004048
101,32.801464,0.970606,0.042259,36.003375
102,33.584160,0.970488,0.043311,36.459589
103,33.352661,0.970311,0.044536,36.575693
104,33.280579,0.970245,0.042001,36.540635
105,32.277458,0.968073,0.045114,36.089522
106,32.204262,0.967191,0.045344,35.274504
107,32.783173,0.968521,0.044752,35.559379
108,32.648312,0.968320,0.041986,36.125462
109,32.657009,0.968639,0.044792,35.669634
110,32.849834,0.969379,0.045922,36.020563
111,33.023216,0.969598,0.044236,36.283182
112,32.811115,0.969115,0.045696,36.152308
113,32.451515,0.967337,0.047827,35.695650
114,32.907616,0.967581,0.049899,35.874722
115,32.930180,0.967429,0.045059,36.230165
116,32.895924,0.966353,0.046146,36.070692
117,33.173386,0.968855,0.045899,36.134141
118,33.136517,0.968693,0.043707,36.868820
119,32.730309,0.966768,0.042560,36.313254
120,32.485657,0.965657,0.043989,35.924716
121,32.510204,0.966159,0.046113,35.759028
122,32.427986,0.964809,0.048119,35.737154
123,32.469917,0.965117,0.049741,35.480678
124,32.440590,0.965752,0.049776,35.925972
125,32.729141,0.967118,0.048029,36.269614
126,32.864803,0.967044,0.047504,35.940888
127,32.737545,0.966847,0.046165,36.061785
128,32.749905,0.966776,0.048707,35.850614
129,32.792030,0.966339,0.048517,36.159287
130,33.006290,0.967934,0.043681,36.090596
131,32.876114,0.967106,0.043912,36.259918
132,33.151733,0.967897,0.042698,36.346651
133,33.013603,0.967586,0.042382,36.402644
134,32.398106,0.965183,0.046637,36.045681
135,32.387470,0.965746,0.046463,35.613172
136,32.141586,0.964621,0.048429,35.297897
137,31.651237,0.962863,0.053494,35.055835
138,31.831795,0.964576,0.051724,34.963320
139,32.191635,0.965047,0.051274,36.071643
140,32.096790,0.964052,0.052212,35.486553
141,32.426891,0.966158,0.047347,35.264739
142,32.555363,0.966226,0.046275,35.777391
143,32.661385,0.965685,0.046897,35.801737
144,32.732201,0.966892,0.043863,35.935946
145,33.033882,0.968661,0.042252,36.476934
146,32.432247,0.965447,0.043459,36.168829
147,32.492214,0.964711,0.044361,35.684336
148,32.670101,0.965958,0.045364,35.769835
149,32.318226,0.965206,0.046058,35.814626
150,32.664131,0.966181,0.047740,35.816325
151,32.733753,0.966600,0.046537,36.040942
152,32.928291,0.967099,0.045216,36.831388
153,32.639660,0.963976,0.047885,36.348559
154,31.902792,0.957212,0.057839,35.319523
155,32.211060,0.962133,0.048533,35.407881
156,32.332241,0.963492,0.045802,35.682643
157,32.630394,0.964510,0.043650,35.913390
158,32.756466,0.965899,0.042808,36.049937
159,32.368645,0.964490,0.043749,36.356123
160,32.636753,0.965111,0.041999,36.045161
161,32.060093,0.963308,0.045008,35.700880
162,32.147629,0.964058,0.043177,35.217963
163,31.913971,0.962468,0.046242,35.181507
164,31.707039,0.961838,0.047990,34.911825
165,32.081905,0.963817,0.046205,35.182627
166,32.369209,0.965011,0.046397,35.855477
167,32.315384,0.965354,0.047165,35.699431
168,32.122276,0.964506,0.044608,35.539411
169,31.915516,0.963449,0.045352,35.374054
170,32.180679,0.964869,0.041736,35.483911
171,32.197960,0.964842,0.041523,35.524808
172,32.336262,0.965867,0.043326,35.642283
173,31.967089,0.965373,0.043875,35.756347
174,31.015686,0.961477,0.045608,34.674410
175,30.827873,0.962816,0.044458,33.931758
176,29.669147,0.959603,0.048891,32.912939
177,28.374645,0.958426,0.053781,31.495959
178,28.054750,0.956351,0.058018,30.687635
179,28.776495,0.957913,0.056688,31.065970
180,28.581871,0.957499,0.056413,31.383932
181,28.489187,0.956012,0.056551,31.219893
182,28.786543,0.957924,0.053149,31.334739
183,29.406404,0.958638,0.052188,31.698383
184,30.348721,0.960033,0.051240,32.644604
185,30.637369,0.959115,0.049125,33.292681
186,30.929651,0.958066,0.054078,33.771023
187,32.245602,0.961835,0.049650,34.778100
188,32.353119,0.963579,0.046329,35.438464
189,32.157585,0.961505,0.052435,35.465413
190,31.574581,0.960641,0.052092,34.988342
191,31.478767,0.960821,0.054592,34.532479
192,31.460339,0.962270,0.051898,34.596660
193,30.989161,0.961779,0.052862,34.524515
194,31.149899,0.962259,0.050965,34.141762
195,30.880404,0.961251,0.053306,34.005165
196,30.773161,0.961093,0.054463,33.979881
197,30.619335,0.961594,0.052135,33.825969
198,30.523712,0.960976,0.052387,33.514080
199,30.653202,0.962395,0.052260,33.457606
200,31.432276,0.963949,0.050703,34.186292
201,31.600605,0.962619,0.050442,34.669540
202,31.960487,0.963509,0.047844,34.996852
203,31.825733,0.962135,0.053377,35.214783
