epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.212766,0.212766,0.235285,0.000000,20.609
2,0.199806,0.199806,0.235869,0.000000,20.150
3,0.187932,0.187932,0.240382,0.120638,20.160
4,0.177487,0.177487,0.245348,0.191085,20.193
5,0.168381,0.168381,0.250327,0.303049,20.220
6,0.160338,0.160338,0.255245,0.404162,20.244
7,0.153111,0.153111,0.260019,0.483281,20.274
8,0.146541,0.146541,0.264582,0.599453,20.303
9,0.140540,0.140540,0.268867,0.760749,20.336
10,0.135053,0.135053,0.272812,0.950265,20.369
11,0.130033,0.130032,0.276372,1.160430,20.399
12,0.125436,0.125436,0.279519,1.366540,20.418
13,0.121221,0.121221,0.282241,1.576007,20.442
14,0.117349,0.117349,0.284531,1.802752,20.475
15,0.113785,0.113785,0.286392,2.033933,20.508
16,0.110495,0.110495,0.287835,2.270909,20.536
17,0.107454,0.107454,0.288879,2.509742,20.552
18,0.104638,0.104638,0.289539,2.736556,20.581
19,0.102025,0.102025,0.289836,2.952586,20.605
20,0.099597,0.099597,0.289788,3.156361,20.626
21,0.097337,0.097337,0.289413,3.345205,20.641
22,0.095232,0.095232,0.288732,3.521850,20.662
23,0.093267,0.093267,0.287767,3.687019,20.681
24,0.091427,0.091427,0.286544,3.840333,20.707
25,0.089699,0.089699,0.285084,3.982837,20.718
26,0.088071,0.088071,0.283410,4.116264,20.730
27,0.086533,0.086533,0.281541,4.241510,20.753
28,0.085076,0.085075,0.279497,4.359331,20.772
29,0.083691,0.083691,0.277303,4.470868,20.783
30,0.082373,0.082373,0.274980,4.578284,20.790
31,0.081114,0.081114,0.272549,4.682623,20.799
32,0.079908,0.079908,0.270027,4.784522,20.815
33,0.078751,0.078751,0.267430,4.883943,20.825
34,0.077637,0.077637,0.264770,4.982297,20.835
35,0.076563,0.076563,0.262053,5.082957,20.836
36,0.075525,0.075525,0.259284,5.191799,20.856
37,0.074521,0.074521,0.256474,5.313504,20.865
38,0.073547,0.073547,0.253633,5.448730,20.875
39,0.072601,0.072601,0.250767,5.598838,20.881
40,0.071681,0.071681,0.247875,5.763355,20.891
41,0.070786,0.070786,0.244962,5.943193,20.899
42,0.069915,0.069915,0.242033,6.138069,20.912
43,0.069066,0.069066,0.239094,6.348116,20.918
44,0.068237,0.068237,0.236148,6.573865,20.920
45,0.067429,0.067429,0.233192,6.815176,20.932
46,0.066640,0.066640,0.230225,7.069311,20.943
47,0.065869,0.065869,0.227248,7.335168,20.952
48,0.065117,0.065117,0.224259,7.612566,20.953
49,0.064383,0.064383,0.221258,7.898860,20.958
50,0.063666,0.063666,0.218243,8.197381,20.964
51,0.062967,0.062967,0.215213,8.505300,20.969
52,0.062284,0.062284,0.212171,8.816442,20.977
53,0.061617,0.061617,0.209113,9.134192,20.976
54,0.060966,0.060966,0.206041,9.458960,20.989
55,0.060332,0.060332,0.202953,9.794107,21.000
56,0.059713,0.059713,0.199850,10.134041,21.003
57,0.059111,0.059111,0.196730,10.488064,21.009
58,0.058525,0.058525,0.193593,10.850716,21.012
59,0.057954,0.057954,0.190435,11.215475,21.012
60,0.057398,0.057398,0.187256,11.591566,21.021
61,0.056855,0.056855,0.184050,11.960407,21.026
62,0.056325,0.056325,0.180816,12.327784,21.023
