frame_idx,psnr,ssim,lpips,psnr_temporal
0,36.177017,0.983018,0.026728,
1,36.288887,0.981210,0.030810,41.844542
2,36.090492,0.975514,0.043367,41.387197
3,36.291508,0.978740,0.035660,42.188867
4,36.138218,0.978821,0.034068,42.283187
5,36.253880,0.979179,0.031948,42.224609
6,36.407818,0.979987,0.029379,42.234782
7,36.396126,0.979744,0.027801,42.077925
8,36.595959,0.980636,0.026532,42.047000
9,36.502609,0.980182,0.027071,42.033910
10,36.705345,0.980354,0.026445,41.760292
11,36.875305,0.980572,0.026204,41.754547
12,36.663918,0.979804,0.026527,41.646973
13,36.952003,0.980721,0.025855,41.628556
14,36.785198,0.980546,0.026540,41.629593
15,36.655231,0.979753,0.025145,41.712843
16,36.942268,0.980901,0.024923,41.313007
17,36.677727,0.979694,0.026053,41.300504
18,36.708614,0.979967,0.026077,41.075509
19,36.532127,0.979518,0.026842,41.177734
20,36.524128,0.979436,0.026717,40.734970
21,36.519524,0.979493,0.024728,40.787861
22,36.311668,0.978987,0.024582,41.209510
23,36.420673,0.979172,0.026218,40.675795
24,36.398079,0.979226,0.025418,40.686662
25,36.380516,0.978918,0.027394,40.606561
26,36.295422,0.978890,0.028043,40.452130
27,35.667233,0.978224,0.028210,40.160454
28,35.831295,0.977933,0.027839,39.724521
29,35.805531,0.977133,0.028964,40.215507
30,35.886444,0.976833,0.028415,39.966102
31,35.867985,0.976846,0.028897,40.075973
32,35.810089,0.976202,0.027761,40.298822
33,36.041954,0.977096,0.025481,40.326621
34,36.051640,0.976717,0.027028,40.378941
35,35.843700,0.976654,0.027117,40.159867
36,35.861794,0.975979,0.027295,40.093702
37,35.479630,0.974746,0.029979,39.924657
38,35.507095,0.975250,0.030113,39.485867
39,35.499645,0.975106,0.031677,39.485889
40,35.396454,0.974766,0.031509,39.307812
41,35.293377,0.974760,0.032582,39.232523
42,35.194317,0.974608,0.031820,39.355034
43,35.430466,0.975431,0.031365,39.109465
44,35.403851,0.975422,0.030320,39.383803
45,35.393501,0.975155,0.030128,39.300608
46,35.534805,0.975078,0.031191,39.566150
47,35.497810,0.974805,0.029613,39.668538
48,35.708435,0.976385,0.028158,39.659816
49,35.599037,0.976069,0.029767,39.871549
50,35.478260,0.975559,0.028400,39.636138
51,35.572552,0.975281,0.029481,39.410537
52,34.978767,0.974550,0.031455,39.399936
53,35.154816,0.974065,0.030691,39.066275
54,35.124859,0.974370,0.031080,38.830680
55,34.613083,0.974093,0.033113,38.734608
56,34.631351,0.971740,0.034363,38.319247
57,34.759300,0.971738,0.033417,38.722220
58,34.616817,0.972696,0.033095,38.609004
59,34.753078,0.972354,0.033955,38.380797
60,35.187019,0.973073,0.031902,38.795676
61,34.953579,0.972568,0.031086,39.161288
62,34.674252,0.972418,0.031817,38.919765
63,34.704578,0.972680,0.032509,39.434117
64,34.783310,0.971709,0.031881,38.705644
65,34.720577,0.971537,0.033824,38.605475
66,34.746231,0.971448,0.034774,38.576811
67,34.646492,0.971008,0.036123,38.581876
68,34.673153,0.971865,0.035937,38.460000
69,34.478909,0.971547,0.037220,38.466739
70,34.825413,0.972351,0.036657,38.303258
71,34.445110,0.970867,0.039365,38.328073
72,34.465458,0.971363,0.036559,38.143723
73,34.428932,0.971256,0.035442,38.220456
74,34.399296,0.970580,0.036909,38.099536
75,34.430065,0.970712,0.036105,37.974897
76,34.613117,0.971397,0.036473,38.315529
77,34.917122,0.972865,0.034396,38.811578
78,34.798092,0.972475,0.033495,38.624408
79,34.908379,0.973012,0.035503,38.748455
80,35.023445,0.973370,0.032971,38.859694
81,34.552490,0.971748,0.036516,38.522460
82,34.578701,0.972839,0.035308,38.139349
83,34.827866,0.974518,0.034495,38.399121
84,35.144062,0.974898,0.033958,38.704255
85,35.127403,0.973903,0.035064,38.910856
86,34.848976,0.972701,0.034400,38.798965
87,34.901699,0.973585,0.032580,38.591259
88,34.979904,0.973619,0.032093,38.758270
89,34.992538,0.973097,0.031149,38.931452
90,35.019169,0.973855,0.030985,38.858836
91,34.829182,0.972938,0.031722,39.258709
92,34.629677,0.971718,0.032654,38.570659
93,34.869926,0.972364,0.033650,38.466328
94,34.801277,0.972655,0.033363,38.525598
95,34.435707,0.971484,0.035481,38.289653
96,34.624714,0.972197,0.035012,38.354822
97,34.717144,0.972630,0.033907,38.469928
98,34.786400,0.973098,0.034442,38.426875
99,34.609440,0.972392,0.034335,38.299775
100,34.450596,0.971665,0.037727,38.160113
101,34.637173,0.972698,0.034125,38.130288
102,34.493004,0.971796,0.035077,38.240227
103,34.335960,0.971483,0.037964,37.815271
104,34.391636,0.971864,0.034584,37.933813
105,33.828064,0.969924,0.036436,37.871519
106,33.869595,0.969929,0.037247,37.172395
107,34.112179,0.970560,0.038132,37.333535
108,34.053520,0.970297,0.036975,37.568758
109,33.722408,0.970195,0.039588,37.095570
110,33.779064,0.970304,0.041207,37.349125
111,34.023174,0.970716,0.039607,37.505313
112,33.915016,0.969859,0.040620,37.437567
113,33.879807,0.969036,0.040919,37.116577
114,33.840069,0.968516,0.042191,37.316397
115,33.705177,0.968138,0.039361,37.318626
116,33.452106,0.967034,0.040277,36.889210
117,33.819878,0.969316,0.040364,36.908492
118,33.847393,0.969441,0.038737,37.595856
119,33.453300,0.967532,0.038435,37.221077
120,33.501080,0.967522,0.039175,36.971329
121,33.574089,0.967546,0.039624,37.027001
122,33.414040,0.966517,0.042491,36.926364
123,33.543392,0.967037,0.043826,36.742383
124,33.290977,0.966708,0.045300,37.031188
125,33.645851,0.968017,0.043434,37.168714
126,33.768085,0.968185,0.042244,37.113535
127,33.712242,0.968025,0.040606,37.177953
128,33.802406,0.968286,0.041348,37.085647
129,33.619144,0.967675,0.040603,37.388127
130,33.877136,0.968857,0.036590,37.192345
131,33.785686,0.968533,0.039914,37.354510
132,33.864902,0.968778,0.039234,37.329264
133,33.634342,0.967940,0.038023,37.256052
134,33.411003,0.966954,0.041700,37.118864
135,33.313660,0.967064,0.040532,36.793024
136,33.237766,0.966354,0.041852,36.510476
137,32.802559,0.965389,0.045833,36.437916
138,33.130463,0.966369,0.044502,36.227709
139,33.281036,0.966749,0.045093,37.221225
140,33.193890,0.965906,0.046581,36.734155
141,33.229019,0.966857,0.042145,36.492698
142,33.444496,0.967587,0.039999,36.873047
143,33.302288,0.966232,0.040759,36.895647
144,33.450943,0.967548,0.038872,36.865305
145,33.839027,0.969281,0.036079,37.521823
146,33.259140,0.966652,0.037779,37.202193
147,33.148113,0.965669,0.038695,36.611729
148,33.626560,0.967616,0.038468,36.898296
149,33.202213,0.966253,0.039653,37.067235
150,33.506992,0.967685,0.040673,36.971434
151,33.583973,0.967598,0.040541,37.199640
152,33.630398,0.966982,0.042443,37.682055
153,33.556236,0.965468,0.043007,37.494929
154,32.730095,0.958181,0.052883,36.376928
155,33.282272,0.963487,0.043578,36.644548
156,33.152473,0.964634,0.040797,36.947667
157,33.255520,0.964891,0.039552,36.914861
158,33.370995,0.966081,0.039272,36.937008
159,33.120312,0.964873,0.040191,37.281054
160,33.141392,0.965357,0.038357,36.855686
161,32.938381,0.965004,0.038340,36.642858
162,32.907322,0.965388,0.039110,36.389072
163,32.772522,0.964217,0.042312,36.391851
164,32.483353,0.962978,0.043912,36.033054
165,32.866764,0.965039,0.043229,36.207721
166,33.081680,0.965884,0.043788,36.693999
167,33.087933,0.966387,0.043897,36.830086
168,32.808895,0.964994,0.042175,36.703307
169,32.794041,0.964602,0.040822,36.660197
170,33.008801,0.965846,0.036825,36.741902
171,33.149109,0.965911,0.037260,36.617278
172,33.110512,0.965966,0.039362,36.553138
173,32.929863,0.965462,0.039156,36.779060
174,32.340172,0.962700,0.038767,35.990284
175,32.577190,0.964256,0.036396,35.672837
176,32.190617,0.962755,0.040081,35.462169
177,31.611851,0.963253,0.042189,34.889868
178,31.124590,0.962052,0.045218,34.206366
179,31.029903,0.961504,0.044994,34.178034
180,30.976313,0.961919,0.045463,33.953819
181,30.320019,0.959432,0.047553,33.405752
182,30.820808,0.961521,0.044698,33.221054
183,31.254280,0.961846,0.042276,33.760404
184,31.639141,0.961994,0.043549,34.333394
185,31.974117,0.961387,0.043762,34.647662
186,32.386299,0.961530,0.045328,35.129711
187,33.399433,0.964515,0.041202,36.105653
188,33.247082,0.964304,0.040633,36.575351
189,33.360466,0.964213,0.043227,36.548642
190,32.733822,0.963073,0.042253,36.314623
191,32.608498,0.962699,0.046422,35.687627
192,32.571964,0.963380,0.046315,35.816165
193,32.255123,0.963003,0.048577,35.594168
194,32.218594,0.963170,0.046635,35.229221
195,32.029274,0.962504,0.047526,35.165724
196,31.932611,0.962310,0.046729,35.173250
197,32.477516,0.963776,0.044025,35.419561
198,32.503551,0.963641,0.044361,35.681737
199,32.727856,0.964742,0.044941,35.845112
200,32.920891,0.965014,0.042537,36.325478
201,32.784332,0.964161,0.042921,36.234186
202,32.977997,0.964295,0.041550,36.245521
203,32.840065,0.962937,0.046459,36.338197
204,32.992928,0.963629,0.045766,36.547054
205,32.589211,0.961657,0.049052,36.613418
206,32.460987,0.962188,0.050722,35.999077
207,32.629913,0.962702,0.050365,36.096753
208,32.440514,0.961425,0.051246,36.168679
209,32.204281,0.958817,0.054392,35.993398
210,32.197037,0.958268,0.055216,35.690769
211,31.878845,0.956202,0.059982,35.371210
212,32.248516,0.959065,0.056076,35.311172
213,32.074268,0.959091,0.055766,35.743786
214,32.308079,0.959143,0.055990,35.496465
215,32.361549,0.960272,0.057279,35.715110
216,32.344498,0.959327,0.061857,35.725479
217,32.443596,0.959401,0.063451,35.682563
218,32.382225,0.960124,0.062048,35.755272
219,32.049843,0.958840,0.065469,35.486972
220,32.725166,0.962120,0.062136,35.786858
221,32.345028,0.959010,0.064248,36.212899
222,31.885397,0.956391,0.067218,35.279769
223,31.421989,0.952124,0.071238,34.800894
224,30.862429,0.950401,0.075401,34.050291
225,30.522446,0.949529,0.073636,33.551410
226,31.109436,0.951890,0.070498,33.719504
227,30.795221,0.950053,0.075436,34.183062
228,31.175117,0.952764,0.066965,34.191423
229,31.160950,0.951506,0.070543,34.238852
230,31.542952,0.953120,0.069537,34.355854
231,31.990240,0.956559,0.069058,34.766162
232,31.520750,0.954511,0.074278,35.033106
233,31.478359,0.953866,0.072655,34.554786
234,31.257620,0.953707,0.072996,34.452565
235,31.461927,0.955578,0.067327,34.614941
236,31.052658,0.952280,0.073417,34.355854
237,31.234720,0.951863,0.075046,34.198921
238,31.109276,0.950481,0.073753,34.114297
239,31.209091,0.951518,0.073981,34.100100
240,31.223385,0.950822,0.076584,34.166418
241,31.363981,0.952610,0.074740,34.635083
242,31.229847,0.953204,0.068497,34.406863
243,31.465691,0.954301,0.067115,34.339376
244,31.731127,0.956818,0.064484,34.544463
245,31.464338,0.956091,0.067401,34.612590
246,31.804783,0.957250,0.068343,34.632581
247,32.123619,0.960573,0.064286,35.281571
248,31.847351,0.959143,0.064207,35.657692
249,31.790073,0.957268,0.066889,35.127088
250,31.118490,0.951089,0.073852,34.406219
251,30.973108,0.949989,0.075893,33.879719
252,31.195782,0.950933,0.076017,33.917545
253,31.214163,0.952459,0.077827,34.296544
254,31.486874,0.953715,0.073132,34.471635
255,31.376179,0.954389,0.072090,34.813998
256,31.680771,0.955863,0.067328,34.576301
257,31.364916,0.954885,0.072368,34.475642
258,31.829681,0.957384,0.067932,34.495602
259,31.440775,0.956126,0.070059,34.721075
260,31.712845,0.957577,0.067399,34.511431
261,31.978552,0.960273,0.065825,35.022926
262,32.002438,0.959136,0.065878,35.360890
263,31.795990,0.956767,0.066662,35.010659
264,31.304560,0.952461,0.073753,34.523358
265,31.107302,0.951189,0.071183,34.053672
266,30.961420,0.949720,0.071646,33.908721
267,30.984888,0.950648,0.066964,33.854298
268,31.223557,0.952678,0.065548,33.992608
269,31.636286,0.955572,0.063244,34.652067
270,32.419907,0.961096,0.055511,35.611037
271,32.493996,0.962454,0.053166,35.915537
272,32.902374,0.963654,0.052757,36.288580
273,32.670635,0.962860,0.052507,36.416880
274,32.398476,0.960826,0.052999,35.754520
275,32.641300,0.962521,0.052553,35.881030
276,32.525608,0.962596,0.054456,35.951106
277,32.314339,0.960066,0.058056,35.718738
278,32.057762,0.957635,0.060677,35.234872
279,32.109257,0.957097,0.056286,35.121079
280,32.149830,0.958402,0.053324,35.058795
281,32.464489,0.961468,0.050118,35.457577
282,32.980774,0.964422,0.051689,36.179451
283,33.677910,0.967403,0.049872,37.241929
284,33.469292,0.966963,0.049185,37.958055
285,33.572628,0.967289,0.048358,37.621336
286,33.183243,0.964927,0.050904,37.206002
287,32.513607,0.961769,0.053676,36.143335
288,32.572052,0.962712,0.056870,35.869102
289,32.089916,0.961309,0.059373,36.002998
290,32.190403,0.960824,0.059228,35.481084
291,31.978567,0.959539,0.055460,35.413998
292,31.945732,0.958580,0.057134,35.164649
293,32.042164,0.957705,0.057413,35.054302
294,32.310455,0.960429,0.054566,35.399610
295,32.842773,0.963970,0.051043,36.635995
296,32.804653,0.964238,0.049198,36.643956
297,32.899521,0.965103,0.049879,36.417456
