frame_idx,psnr,ssim,lpips,psnr_temporal
0,36.643723,0.984880,0.024363,
1,35.914551,0.981474,0.032831,42.178449
2,35.151917,0.974696,0.049052,40.667902
3,35.577957,0.977876,0.041223,41.184078
4,35.704128,0.978415,0.040340,41.226271
5,35.807316,0.978580,0.038422,41.223654
6,35.964375,0.979345,0.036483,41.276657
7,35.876976,0.979119,0.034877,41.101057
8,36.052727,0.980034,0.032208,40.991924
9,36.086994,0.979756,0.033590,41.112946
10,36.117050,0.979769,0.033676,40.770935
11,36.233055,0.979929,0.032749,40.658366
12,36.029274,0.979224,0.033151,40.557626
13,36.312119,0.980411,0.032445,40.486946
14,35.947578,0.979683,0.033202,40.360229
15,35.995686,0.979197,0.030731,40.386693
16,36.316582,0.980206,0.030800,40.119806
17,35.965424,0.978755,0.032916,40.136711
18,36.042171,0.979313,0.031716,39.947821
19,35.792969,0.978732,0.033287,40.035499
20,35.731529,0.978700,0.032905,39.620932
21,35.753532,0.978721,0.031330,39.687884
22,35.613556,0.978443,0.030464,40.097708
23,35.675846,0.978171,0.030839,39.606536
24,35.668987,0.978247,0.032065,39.522005
25,35.561356,0.977975,0.034224,39.448551
26,35.565533,0.978158,0.034823,39.392402
27,35.083992,0.977762,0.033784,39.038391
28,35.054520,0.977504,0.034101,38.751012
29,35.178665,0.976636,0.035014,39.098764
30,35.060913,0.976002,0.034654,38.908479
31,35.185940,0.976180,0.034628,38.949522
32,35.122753,0.975557,0.034010,39.190652
33,35.212414,0.976065,0.032140,39.095224
34,35.279945,0.976008,0.031996,39.118422
35,35.011490,0.975816,0.032208,38.872833
36,35.081894,0.975224,0.032930,38.927626
37,34.665382,0.974007,0.035866,38.674840
38,34.614105,0.974079,0.035863,38.236139
39,34.608971,0.974340,0.037211,38.242733
40,33.451584,0.973271,0.040191,37.426616
41,33.465057,0.972439,0.042234,36.836011
42,33.707890,0.972696,0.039669,37.157344
43,34.318993,0.973711,0.038822,37.286300
44,33.967194,0.973117,0.038761,37.630248
45,34.020489,0.973332,0.036748,37.430550
46,34.326023,0.973496,0.038207,37.700034
47,34.670959,0.974281,0.036473,38.107224
48,34.948692,0.975906,0.032872,38.484211
49,34.732510,0.975246,0.034684,38.703380
50,34.627892,0.974727,0.033319,38.410215
51,34.697834,0.974464,0.034694,38.187406
52,34.327221,0.973406,0.037067,38.166833
53,33.929840,0.972837,0.037251,37.659669
54,34.168324,0.973052,0.037058,37.396335
55,33.337334,0.971669,0.040793,37.061603
56,33.381203,0.970337,0.039615,36.685409
57,33.054302,0.969390,0.040798,36.671733
58,33.661316,0.970634,0.039693,36.769095
59,33.910965,0.971254,0.040326,37.056646
60,34.260189,0.971758,0.037641,37.432449
61,34.115631,0.971432,0.039196,37.863792
62,33.923267,0.971452,0.039191,37.699619
63,33.996960,0.972137,0.038551,38.416971
64,33.840553,0.970369,0.038249,37.443370
65,33.764030,0.970191,0.040527,37.209924
66,33.738564,0.969963,0.042342,37.188257
67,33.235279,0.968497,0.044272,36.900008
68,32.993198,0.969572,0.043540,36.410654
69,32.811543,0.969650,0.045159,36.178583
70,33.281319,0.970485,0.044324,36.240367
71,32.702694,0.968097,0.047701,36.186176
72,33.154079,0.969290,0.044994,36.288282
73,33.054115,0.968772,0.044254,36.474621
74,33.324757,0.968793,0.044633,36.455570
75,33.620205,0.969189,0.042540,36.733301
76,33.779053,0.970124,0.043284,37.102514
77,34.121605,0.972079,0.040634,37.828029
78,33.897842,0.970941,0.041024,37.408612
79,33.909828,0.971244,0.042946,37.380176
80,33.757965,0.971624,0.039822,37.307259
81,33.863846,0.970832,0.041182,37.151329
82,32.852005,0.970219,0.042410,36.493702
83,33.115265,0.972071,0.042818,36.222517
84,33.862312,0.972951,0.040747,36.704355
85,33.089180,0.970938,0.044536,36.766671
86,33.207912,0.970258,0.044119,36.757171
87,33.571198,0.971645,0.039708,36.689147
88,33.909752,0.971949,0.038677,37.126713
89,34.133266,0.971973,0.037861,37.490259
90,34.096085,0.972605,0.037478,37.732161
91,34.125381,0.971927,0.037459,38.210440
92,33.476414,0.970122,0.039497,37.200702
93,33.337521,0.969830,0.041159,36.740391
94,32.522102,0.969608,0.042886,36.227879
95,32.261806,0.968972,0.045245,35.704284
96,31.887310,0.968723,0.048686,35.408280
97,31.968393,0.969408,0.050055,35.287001
98,33.210102,0.970857,0.044617,35.782369
99,32.976414,0.970097,0.042759,36.257478
100,32.832832,0.969275,0.045387,36.084846
101,33.297470,0.970537,0.044125,36.297411
102,33.587746,0.970168,0.043303,36.782280
103,33.302570,0.969923,0.045342,36.620146
104,33.330894,0.970171,0.042609,36.542889
105,32.268036,0.967698,0.046142,36.172899
106,32.433826,0.967130,0.045452,35.419115
107,32.972694,0.968626,0.045536,35.697967
108,32.843372,0.968383,0.042510,36.175080
109,32.734810,0.968352,0.045444,35.869423
110,32.750343,0.968924,0.048248,36.105468
111,33.211563,0.969731,0.044569,36.348104
112,32.875408,0.968669,0.046937,36.265636
113,32.560547,0.967367,0.048738,35.807177
114,32.873978,0.967209,0.050423,35.967105
115,32.971195,0.967380,0.047060,36.298408
116,32.777470,0.966285,0.047780,36.097952
117,33.013165,0.968454,0.047219,36.080468
118,32.946594,0.968017,0.045476,36.688728
119,32.696869,0.966494,0.044134,36.232086
120,32.530319,0.965839,0.046074,35.967607
121,32.626434,0.966467,0.047280,35.888081
122,32.439777,0.964453,0.049471,35.788530
123,32.404808,0.964863,0.051643,35.534567
124,32.347046,0.965031,0.051971,35.978420
125,32.777130,0.966951,0.049900,36.281101
126,32.841011,0.966446,0.048884,36.059924
127,32.833981,0.966803,0.046763,36.149236
128,32.797874,0.966918,0.049574,36.030759
129,32.749908,0.966230,0.049748,36.214780
130,32.897278,0.967558,0.045760,36.129652
131,33.012825,0.967368,0.045232,36.331715
132,33.044685,0.967469,0.044348,36.381396
133,32.965080,0.966950,0.044804,36.358417
134,32.500404,0.964975,0.049225,36.011251
135,32.426144,0.965990,0.046716,35.716092
136,32.131683,0.964497,0.048288,35.264737
137,31.824427,0.963244,0.053382,35.206288
138,31.793039,0.964218,0.051719,35.019871
139,32.264519,0.965152,0.052450,36.051016
140,32.179283,0.964106,0.053692,35.590562
141,32.455257,0.966062,0.048896,35.337374
142,32.611156,0.966068,0.047847,35.890830
143,32.634258,0.965241,0.049347,35.949845
144,32.699081,0.966400,0.046337,35.941484
145,32.995132,0.968306,0.044378,36.465861
146,32.512978,0.965378,0.043962,36.255957
147,32.463943,0.964821,0.045833,35.696371
148,32.711235,0.966053,0.045282,35.840713
149,32.089417,0.964729,0.047532,35.700758
150,32.632236,0.966046,0.048660,35.751794
151,32.750755,0.966505,0.047390,36.022520
152,32.892986,0.967100,0.046887,36.906114
153,32.575802,0.963879,0.049783,36.396874
154,31.952698,0.957363,0.058631,35.328566
155,32.402176,0.961845,0.049294,35.564713
156,32.382061,0.963266,0.046314,35.880301
157,32.619095,0.964039,0.044325,35.935285
158,32.711967,0.965148,0.044427,36.011174
159,32.386158,0.963960,0.045055,36.361375
160,32.503311,0.964161,0.044205,35.920610
161,32.176430,0.963655,0.045819,35.692483
162,31.948124,0.963340,0.046298,35.201547
163,31.769318,0.961719,0.049720,35.012806
164,31.644615,0.961241,0.050639,34.798241
165,31.975174,0.963749,0.049076,35.218555
166,32.251179,0.964673,0.048990,35.808934
167,32.428898,0.965638,0.048764,35.762876
168,32.085674,0.964164,0.046096,35.597979
169,32.059612,0.963546,0.045568,35.423218
