frame_idx,psnr,ssim,lpips,psnr_temporal
0,36.339046,0.982997,0.026275,
1,36.454159,0.981274,0.027534,41.969212
2,36.115952,0.975192,0.042194,41.443889
3,36.302322,0.978516,0.035990,42.154502
4,36.160770,0.978650,0.033657,42.224156
5,36.269318,0.979058,0.031398,42.228366
6,36.437904,0.979856,0.030100,42.265020
7,36.387524,0.979550,0.028058,42.096448
8,36.564270,0.980325,0.026050,42.020504
9,36.531460,0.980088,0.026632,42.069092
10,36.737522,0.980333,0.025763,41.799468
11,36.875137,0.980326,0.025653,41.774833
12,36.678299,0.979468,0.025944,41.671374
13,36.881859,0.980361,0.025991,41.592368
14,36.813667,0.980334,0.026689,41.581273
15,36.640858,0.979491,0.025101,41.734796
16,36.880913,0.980488,0.025267,41.255750
17,36.600029,0.979220,0.026552,41.208455
18,36.656822,0.979621,0.026178,41.023832
19,36.564354,0.979382,0.027062,41.162862
20,36.557079,0.979378,0.026512,40.820707
21,36.622944,0.979372,0.024825,40.932547
22,36.351612,0.978887,0.024640,41.340818
23,36.427544,0.978706,0.025270,40.771290
24,36.312836,0.978708,0.026010,40.631087
25,36.346657,0.978589,0.027489,40.524484
26,36.294380,0.978523,0.028203,40.394687
27,35.622486,0.977946,0.028148,40.146998
28,35.871658,0.977591,0.027235,39.735836
29,35.900280,0.977075,0.028548,40.314239
30,35.834248,0.976337,0.028746,39.984811
31,35.818447,0.976609,0.028190,40.029191
32,35.822971,0.975852,0.028051,40.200733
33,36.074837,0.976825,0.026171,40.293613
34,36.121632,0.976668,0.026253,40.379482
35,35.876698,0.976578,0.026535,40.208352
36,35.856030,0.975809,0.027449,40.139382
37,35.543674,0.974573,0.029264,39.974123
38,35.490929,0.975002,0.029659,39.539971
39,35.632637,0.975088,0.030123,39.558190
40,35.375252,0.974401,0.031708,39.412131
41,35.295517,0.974568,0.031772,39.222599
42,35.117348,0.974049,0.032502,39.344430
43,35.355976,0.974991,0.031551,38.941480
44,35.472652,0.975294,0.030523,39.323629
45,35.446686,0.974919,0.030355,39.360333
46,35.620529,0.974944,0.031016,39.666140
47,35.532696,0.974596,0.029804,39.781008
48,35.680328,0.976054,0.027622,39.722147
