epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.000005,0.212766,0.235285,0.000000,22.706
2,0.000005,0.212609,0.235043,0.000000,46.765
3,0.000005,0.212453,0.234801,0.000000,46.834
4,0.000005,0.212297,0.234560,0.000000,46.905
5,0.000005,0.212142,0.234320,0.000000,46.851
6,0.000005,0.211987,0.234080,0.000000,46.865
7,0.000005,0.211833,0.233842,0.000000,46.842
8,0.000005,0.211679,0.233604,0.000000,46.811
9,0.000004,0.211525,0.233367,0.000000,46.820
10,0.000004,0.211372,0.233132,0.000000,46.831
11,0.000004,0.211220,0.232897,0.000000,46.856
12,0.000004,0.211068,0.232663,0.000000,46.832
13,0.000004,0.210917,0.232430,0.000000,46.869
14,0.000004,0.210766,0.232198,0.000000,46.825
15,0.000004,0.210616,0.231967,0.000000,46.863
16,0.000004,0.210466,0.231737,0.000000,46.876
17,0.000004,0.210317,0.231508,0.000000,46.870
18,0.000004,0.210168,0.231280,0.000000,46.861
19,0.000004,0.210020,0.231108,0.000000,46.890
20,0.000004,0.209873,0.231016,0.000000,46.898
21,0.000004,0.209726,0.230924,0.000000,46.917
22,0.000004,0.209580,0.230833,0.000000,46.917
23,0.000004,0.209435,0.230742,0.000000,46.912
24,0.000004,0.209290,0.230651,0.000000,46.922
25,0.000004,0.209146,0.230561,0.000000,46.916
26,0.000004,0.209002,0.230471,0.000000,46.951
27,0.000004,0.208859,0.230381,0.000000,46.958
28,0.000004,0.208717,0.230292,0.000000,46.967
29,0.000004,0.208575,0.230203,0.000000,46.978
30,0.000004,0.208435,0.230114,0.000000,46.993
31,0.000004,0.208294,0.230026,0.000000,47.009
32,0.000004,0.208154,0.229938,0.000000,47.006
33,0.000004,0.208015,0.229850,0.000000,47.014
34,0.000004,0.207877,0.229763,0.000000,47.004
35,0.000004,0.207739,0.229676,0.000000,46.980
36,0.000004,0.207602,0.229590,0.000000,47.016
37,0.000004,0.207465,0.229504,0.000000,47.023
38,0.000004,0.207329,0.229418,0.000000,47.036
39,0.000004,0.207194,0.229333,0.000000,47.002
40,0.000004,0.207060,0.229247,0.000000,47.035
41,0.000004,0.206926,0.229163,0.000000,47.016
42,0.000004,0.206792,0.229078,0.000000,47.029
43,0.000004,0.206660,0.228994,0.000000,47.043
44,0.000004,0.206528,0.228911,0.000000,47.023
45,0.000004,0.206396,0.228827,0.000000,47.034
46,0.000004,0.206265,0.228744,0.000000,47.039
47,0.000004,0.206135,0.228662,0.000000,47.049
48,0.000004,0.206006,0.228579,0.000000,47.046
49,0.000004,0.205877,0.228498,0.000000,47.070
50,0.000004,0.205748,0.228416,0.000000,47.064
51,0.000004,0.205621,0.228335,0.000000,47.070
52,0.000004,0.205494,0.228254,0.000000,47.044
53,0.000003,0.205367,0.228173,0.000000,47.064
54,0.000003,0.205241,0.228093,0.000000,47.076
55,0.000003,0.205116,0.228013,0.000000,47.057
56,0.000003,0.204991,0.227933,0.000000,47.070
57,0.000003,0.204867,0.227854,0.000000,47.069
58,0.000003,0.204744,0.227775,0.000000,47.075
59,0.000003,0.204621,0.227696,0.000000,47.072
60,0.000003,0.204498,0.227618,0.000000,47.101
61,0.000003,0.204377,0.227540,0.000000,47.076
62,0.000003,0.204255,0.227462,0.000000,47.058
63,0.000003,0.204135,0.227385,0.000000,47.097
