epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.184504,0.184504,0.191099,0.000000,7.145
2,0.175919,0.175919,0.197551,54132.269531,2.430
3,0.169049,0.169049,0.189318,26064.234375,2.441
4,0.162464,0.162464,0.191784,33028.332031,2.429
5,0.155729,0.155729,0.191602,33479.914062,2.434
6,0.148935,0.148935,0.190199,23477.056641,2.444
7,0.142304,0.142304,0.188781,13263.947266,2.456
8,0.135984,0.135984,0.187951,13784.683594,2.471
9,0.130022,0.130022,0.187688,20161.431641,2.480
10,0.124383,0.124383,0.187664,19424.623047,2.499
11,0.119023,0.119023,0.187585,11919.403320,2.510
12,0.113922,0.113922,0.187305,7612.062988,2.517
13,0.109060,0.109060,0.186853,9653.362305,2.519
14,0.104414,0.104414,0.186334,11957.713867,2.531
15,0.099972,0.099972,0.185811,10369.889648,2.540
16,0.095743,0.095743,0.185302,7493.400879,2.553
17,0.091742,0.091742,0.184780,6562.252930,2.570
18,0.087974,0.087974,0.184191,6883.876953,2.580
19,0.084437,0.084437,0.183520,6669.468750,2.591
20,0.081120,0.081120,0.182809,6011.162109,2.601
21,0.078009,0.078009,0.182137,5616.243164,2.614
22,0.075086,0.075086,0.181578,5208.826172,2.626
23,0.072333,0.072333,0.181156,4516.867188,2.640
24,0.069733,0.069733,0.180825,4016.055420,2.647
25,0.067265,0.067265,0.180491,3938.612305,2.661
26,0.064914,0.064914,0.180059,3808.450928,2.671
27,0.062668,0.062668,0.179481,3404.318848,2.681
28,0.060524,0.060524,0.178779,3091.254883,2.691
29,0.058475,0.058475,0.178023,2981.426514,2.702
30,0.056521,0.056521,0.177289,2763.017578,2.719
31,0.054656,0.054656,0.176612,2448.951172,2.730
32,0.052877,0.052877,0.175972,2355.785156,2.739
33,0.051179,0.051179,0.175312,2397.614258,2.749
34,0.049559,0.049559,0.174567,2217.310791,2.757
35,0.048014,0.048014,0.173707,1882.868652,2.765
36,0.046539,0.046539,0.172741,1739.470459,2.773
37,0.045135,0.045135,0.171710,1776.767334,2.784
38,0.043798,0.043798,0.170649,1732.377319,2.793
39,0.042527,0.042527,0.169571,1574.723022,2.802
40,0.041322,0.041322,0.168460,1439.049805,2.811
41,0.040180,0.040180,0.167283,1353.994385,2.819
42,0.039102,0.039102,0.166021,1304.338135,2.830
43,0.038088,0.038088,0.164671,1293.801025,2.837
44,0.037138,0.037138,0.163256,1251.710815,2.848
45,0.036250,0.036250,0.161798,1130.366943,2.855
46,0.035422,0.035422,0.160313,1033.396118,2.866
47,0.034651,0.034651,0.158799,1032.440186,2.878
48,0.033930,0.033930,0.157241,1029.810181,2.885
49,0.033259,0.033259,0.155628,957.667480,2.893
50,0.032633,0.032633,0.153958,886.778381,2.902
51,0.032050,0.032050,0.152235,860.820068,2.913
52,0.031508,0.031508,0.150465,841.563110,2.919
53,0.031003,0.031003,0.148649,813.927612,2.924
54,0.030534,0.030534,0.146785,784.462341,2.933
55,0.030096,0.030096,0.144869,743.500854,2.941
56,0.029686,0.029686,0.142907,705.643860,2.948
57,0.029301,0.029301,0.140905,691.628662,2.953
58,0.028937,0.028937,0.138865,677.453491,2.962
59,0.028593,0.028593,0.136783,645.247986,2.967
60,0.028267,0.028267,0.134644,618.108032,2.975
61,0.027956,0.027956,0.132433,603.605957,2.985
62,0.027661,0.027661,0.130144,586.833008,2.990
63,0.027379,0.027379,0.127783,569.467102,2.994
64,0.027109,0.027109,0.125362,553.443054,3.002
65,0.026851,0.026851,0.122889,531.730774,3.005
66,0.026602,0.026602,0.120360,512.582275,3.015
67,0.026362,0.026362,0.117760,502.542664,3.022
68,0.026129,0.026129,0.115070,489.554016,3.024
69,0.025903,0.025903,0.112280,471.239807,3.032
70,0.025683,0.025683,0.109385,457.111267,3.033
71,0.025469,0.025469,0.106390,446.258392,3.042
72,0.025261,0.025261,0.103297,434.618561,3.046
73,0.025057,0.025057,0.100105,422.685303,3.049
74,0.024858,0.024858,0.096808,408.915894,3.054
75,0.024662,0.024662,0.093396,395.735199,3.059
76,0.024470,0.024470,0.089869,386.776276,3.068
