frame_idx,psnr,ssim,lpips,psnr_temporal
0,34.797661,0.966330,,
1,35.452324,0.967495,,38.330960
2,34.901093,0.966707,,38.162291
3,35.000332,0.969155,,38.085248
4,35.142910,0.971649,,38.128962
5,35.406433,0.970473,,38.675292
6,35.526489,0.971249,,38.543915
7,34.542084,0.969958,,38.382208
8,34.578167,0.966607,,37.497187
9,34.505524,0.965794,,37.444678
10,33.885075,0.965638,,37.247915
11,34.180634,0.967060,,37.140647
12,35.159809,0.968739,,37.715570
13,34.324272,0.968909,,37.682794
14,34.205406,0.969222,,37.173288
15,33.873817,0.970172,,37.050038
16,33.497459,0.969120,,36.737901
17,33.092484,0.967828,,36.384846
18,33.999935,0.968176,,36.590115
19,34.682297,0.967981,,37.350395
20,33.395809,0.967721,,37.133839
21,33.078411,0.964971,,36.249978
22,33.379402,0.963652,,36.319319
23,33.158722,0.962484,,36.406196
24,33.009563,0.962719,,36.114911
25,32.398727,0.961887,,35.722859
26,32.938709,0.963612,,35.927780
27,32.675125,0.963763,,35.669505
28,32.590382,0.962040,,35.917644
29,31.471020,0.962022,,35.134348
30,31.935328,0.963317,,34.596129
31,32.773838,0.962204,,35.349221
32,32.541004,0.959704,,35.771977
33,32.968174,0.963496,,35.809995
34,33.294785,0.964838,,35.908741
35,32.092682,0.962236,,36.137182
36,31.188267,0.961727,,34.645556
37,31.441881,0.960810,,34.386914
38,31.776455,0.962781,,34.825559
39,32.659561,0.964879,,35.346590
40,32.795586,0.966346,,35.759717
41,33.124477,0.967861,,36.027303
42,34.100624,0.970268,,36.454211
43,33.156075,0.970256,,36.626376
44,32.426838,0.968132,,36.120605
45,33.801113,0.968213,,36.237864
46,33.579048,0.968856,,36.666046
47,32.226124,0.967697,,36.067113
48,33.559227,0.966912,,35.992212
49,34.000809,0.969705,,36.974449
50,33.334660,0.966398,,36.927771
51,33.065331,0.964921,,36.388587
52,34.232735,0.966169,,37.146249
53,34.054646,0.967810,,37.470531
54,33.592705,0.966422,,37.078159
55,33.181137,0.964895,,36.894014
56,32.750443,0.964649,,36.217719
57,33.675644,0.967125,,36.310785
58,32.937111,0.966442,,36.505750
59,33.427567,0.967643,,36.411538
60,33.540684,0.969023,,36.768784
61,33.231457,0.969481,,36.557226
62,33.474579,0.965521,,36.409911
63,31.912470,0.964752,,36.025121
64,32.087177,0.962349,,35.554742
65,32.821072,0.962419,,35.846522
66,32.892147,0.963810,,36.075952
67,33.070366,0.966056,,36.135885
68,33.405388,0.966679,,36.494091
69,32.908924,0.967819,,36.378988
70,33.437752,0.969433,,36.192787
71,33.448811,0.970320,,36.617754
72,33.405735,0.968897,,36.527896
73,32.179714,0.966625,,36.630412
74,33.132236,0.964048,,35.988537
75,32.543915,0.959486,,35.808121
76,32.045998,0.960414,,35.380821
77,32.549271,0.961089,,35.456123
78,32.710472,0.963790,,35.804159
79,32.375916,0.963593,,35.620647
80,31.964241,0.964588,,35.394036
81,32.431000,0.965225,,35.296594
82,32.757816,0.966287,,35.754967
83,32.986179,0.966027,,35.798729
84,32.037266,0.963984,,35.693461
85,32.991299,0.966006,,35.401880
86,33.329155,0.968184,,36.403609
87,32.335976,0.964906,,35.718218
88,32.185944,0.965213,,35.234089
89,32.245461,0.965657,,35.208454
90,33.090576,0.968338,,35.719497
91,33.500679,0.968608,,36.325047
92,33.228367,0.968399,,36.551111
93,34.665844,0.970895,,37.126320
94,34.505730,0.970277,,37.701025
95,34.530685,0.970804,,37.999000
96,35.266632,0.972293,,38.233452
97,34.891773,0.972363,,38.366134
98,35.504875,0.972659,,38.616521
99,34.708580,0.972162,,38.609650
100,34.413460,0.972068,,37.935370
101,33.831825,0.971805,,37.671896
102,34.814041,0.972984,,37.865155
103,34.787899,0.974250,,37.873247
104,35.234596,0.973696,,37.968560
105,34.304478,0.971769,,37.837005
106,33.898750,0.969570,,37.327684
107,34.425636,0.968492,,37.252644
108,34.222401,0.965670,,37.667420
109,33.513359,0.965584,,37.348564
110,34.031292,0.967235,,36.734978
111,33.917488,0.968601,,37.013958
112,34.370323,0.970652,,37.089383
113,34.514538,0.969937,,37.598093
114,34.782303,0.970531,,37.549782
115,35.093086,0.969212,,38.012026
116,34.275509,0.966102,,37.575314
117,34.296535,0.964974,,37.328496
118,34.271103,0.964868,,37.091634
119,34.789082,0.967291,,37.797391
