epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.169505,0.169505,0.195150,0.000000,47.204
2,0.160097,0.160097,0.192352,0.000000,47.894
3,0.151087,0.151087,0.195207,0.058346,47.796
4,0.142814,0.142814,0.198259,0.123685,47.960
5,0.135681,0.135681,0.201243,0.229331,48.192
6,0.129676,0.129676,0.204047,0.221458,48.401
7,0.124592,0.124592,0.206592,0.240460,48.597
8,0.120222,0.120222,0.208827,0.281627,48.743
9,0.116406,0.116406,0.210704,0.345090,48.794
10,0.113026,0.113026,0.212187,0.410738,49.001
11,0.109994,0.109994,0.213260,0.486216,49.088
12,0.107245,0.107245,0.213920,0.560274,49.273
13,0.104726,0.104726,0.214178,0.633749,49.332
14,0.102401,0.102401,0.214055,0.716600,49.325
15,0.100241,0.100241,0.213586,0.798550,49.424
16,0.098223,0.098222,0.212796,0.885418,49.568
17,0.096328,0.096328,0.211711,0.976549,49.597
18,0.094544,0.094544,0.210358,1.063802,49.719
19,0.092859,0.092859,0.208772,1.152951,49.746
20,0.091260,0.091260,0.206988,1.243002,49.843
21,0.089733,0.089733,0.205036,1.334168,49.980
22,0.088267,0.088267,0.202948,1.431332,50.050
23,0.086856,0.086856,0.200754,1.532673,50.024
24,0.085495,0.085495,0.198480,1.638729,50.117
25,0.084181,0.084181,0.196146,1.750793,50.014
26,0.082912,0.082912,0.193771,1.869338,50.116
27,0.081684,0.081684,0.191371,1.995305,50.160
28,0.080494,0.080494,0.188966,2.130854,50.155
29,0.079339,0.079339,0.186562,2.276690,50.221
30,0.078217,0.078217,0.184164,2.430736,50.224
31,0.077127,0.077127,0.181781,2.591180,50.336
32,0.076068,0.076068,0.179418,2.757962,50.378
33,0.075036,0.075036,0.177084,2.931341,50.321
34,0.074031,0.074031,0.174790,3.110362,50.317
35,0.073053,0.073053,0.172540,3.295280,50.392
36,0.072099,0.072099,0.170332,3.487369,50.333
37,0.071168,0.071168,0.168159,3.686630,50.409
38,0.070259,0.070259,0.166016,3.892635,50.469
39,0.069370,0.069370,0.163898,4.107993,50.470
40,0.068499,0.068499,0.161807,4.333632,50.507
41,0.067647,0.067647,0.159746,4.568504,50.508
42,0.066812,0.066812,0.157712,4.810719,50.637
43,0.065996,0.065996,0.155704,5.061831,50.584
44,0.065198,0.065198,0.153718,5.324252,50.477
45,0.064418,0.064418,0.151754,5.599990,50.525
46,0.063654,0.063654,0.149813,5.890870,50.518
47,0.062908,0.062908,0.147894,6.193374,50.523
48,0.062180,0.062180,0.145997,6.508842,50.529
49,0.061470,0.061470,0.144121,6.832487,50.621
50,0.060776,0.060776,0.142267,7.160540,50.605
