frame_idx,psnr,ssim,lpips,psnr_temporal
0,40.030766,0.966006,0.035210,
1,40.925022,0.976006,0.027524,47.645427
2,41.193291,0.977075,0.026198,49.525216
3,41.412891,0.977996,0.025127,50.221862
4,41.523396,0.978359,0.023003,50.046823
5,41.238884,0.975959,0.030468,49.200443
6,42.099373,0.981636,0.017609,50.050649
7,42.395714,0.982698,0.016195,51.199462
8,42.525253,0.983264,0.015011,51.400808
9,42.547878,0.983285,0.014889,51.124568
10,42.309414,0.982748,0.015835,50.900652
11,42.848907,0.984924,0.011383,51.014884
12,42.983643,0.985316,0.011606,51.350159
13,43.026424,0.985423,0.011435,51.324632
14,43.060890,0.985254,0.011393,50.992274
15,42.701553,0.984099,0.014018,50.794857
16,43.183483,0.985903,0.010495,50.389954
17,43.280052,0.986166,0.010596,51.002740
18,43.223362,0.985942,0.011343,50.938603
19,43.273323,0.985993,0.011175,51.240737
20,42.920231,0.984955,0.013657,51.413699
21,43.314857,0.986413,0.009721,51.194329
22,43.416435,0.986739,0.009528,51.514867
23,43.310425,0.986436,0.009980,51.244712
24,43.297188,0.986230,0.011035,50.945620
25,43.025871,0.985361,0.013298,51.290133
26,43.393024,0.986666,0.009744,50.837800
27,43.478188,0.986949,0.009558,51.174924
28,43.428444,0.986829,0.009848,51.368023
29,43.437805,0.986660,0.010111,51.267602
30,43.170506,0.985852,0.012529,51.580589
31,43.583317,0.987195,0.008717,51.230940
32,43.682930,0.987484,0.008814,51.438858
33,43.532196,0.987045,0.009775,51.240167
34,43.569496,0.986940,0.009723,50.986606
35,43.335781,0.986420,0.011523,51.743955
36,43.609779,0.987333,0.009063,51.686029
37,43.639740,0.987491,0.008889,51.578588
38,43.565174,0.987228,0.009883,51.084512
39,43.514122,0.986905,0.010931,50.724492
40,43.192142,0.986197,0.012626,51.057055
41,43.387032,0.986790,0.010844,50.776667
42,43.287292,0.986709,0.011612,50.649902
43,43.253571,0.986632,0.011843,49.960529
44,43.227127,0.986447,0.012452,49.349742
45,42.892586,0.985709,0.014014,49.404482
46,42.927204,0.985819,0.012810,48.737467
47,43.000397,0.985974,0.012914,48.615749
48,42.291454,0.984478,0.015015,48.188634
49,42.434216,0.983934,0.017789,47.800168
50,41.981541,0.983076,0.018909,48.434082
51,42.328789,0.984249,0.015397,47.851126
52,42.524117,0.984925,0.014200,48.017579
53,42.136345,0.984758,0.014241,47.837692
54,42.540016,0.984995,0.015040,47.899269
55,42.160912,0.984860,0.015929,48.904629
56,42.523102,0.985436,0.013502,48.297564
57,42.610149,0.985761,0.014742,48.536131
58,41.872807,0.985227,0.015366,47.991320
59,42.183723,0.984836,0.016530,47.242776
60,41.976463,0.984865,0.016327,47.915168
61,42.450356,0.985522,0.016290,47.719133
62,42.260452,0.985664,0.015126,47.824285
63,41.871140,0.984372,0.019260,47.273189
64,41.544930,0.983800,0.019859,47.258554
65,41.887573,0.984089,0.017180,46.672805
66,41.717525,0.983978,0.018126,46.759301
67,41.133747,0.982962,0.018565,46.303219
68,41.576916,0.983088,0.018036,46.872290
69,41.473907,0.982717,0.018638,48.181546
70,41.728134,0.983616,0.015691,47.892442
71,41.826248,0.983874,0.015632,48.142820
72,41.840740,0.984069,0.015533,48.131638
73,41.978779,0.984356,0.017073,48.291817
74,41.978794,0.984318,0.016994,49.002500
75,42.359867,0.985738,0.014312,48.884605
76,42.530663,0.986353,0.014068,49.203518
77,42.377029,0.986098,0.014100,49.157216
78,42.414833,0.985958,0.014733,48.811250
79,42.097488,0.984906,0.016876,49.179179
80,42.299629,0.985649,0.014360,48.602883
81,42.325520,0.985815,0.013135,49.102294
82,42.136101,0.984975,0.013930,48.985076
83,42.135574,0.984731,0.014556,48.790796
84,41.781799,0.982845,0.020742,48.943434
85,42.299953,0.985464,0.013736,48.868984
86,42.383057,0.985849,0.013261,49.276938
87,42.413807,0.986039,0.013420,49.142454
88,42.476196,0.986057,0.013321,49.147185
89,42.372505,0.985846,0.014601,49.804432
90,42.737255,0.987220,0.011155,50.083417
91,42.782932,0.987388,0.011453,50.033883
92,42.818924,0.987360,0.011456,49.895267
93,42.782021,0.987103,0.012372,50.327565
94,42.442074,0.985737,0.014849,50.344821
95,42.706150,0.986938,0.011462,49.950660
96,42.711830,0.987026,0.011376,50.013065
97,42.611473,0.986755,0.011616,49.721563
98,42.649784,0.986758,0.012005,49.626565
99,42.221733,0.985392,0.015463,49.524368
100,42.210510,0.986146,0.014275,48.651544
101,42.398270,0.986305,0.014258,48.542319
102,42.316933,0.986079,0.013615,48.526481
103,42.381317,0.986066,0.015299,48.523612
104,42.144775,0.985083,0.015561,48.681336
105,42.389763,0.986079,0.013343,48.265890
106,42.322140,0.985813,0.014137,48.425038
107,42.242107,0.985710,0.013590,48.259498
108,42.420609,0.985900,0.013316,48.694843
109,42.054237,0.984613,0.015404,49.001932
110,42.176327,0.985245,0.014006,48.575457
111,42.219398,0.985451,0.014233,48.572582
112,42.057373,0.985261,0.014112,48.332036
113,42.172722,0.985405,0.014060,48.622208
114,41.964989,0.984618,0.016753,49.408356
115,42.340282,0.985895,0.014098,48.541440
116,42.366478,0.986068,0.014411,48.920865
117,42.235371,0.985616,0.014915,48.743715
118,42.136978,0.985100,0.015421,48.831203
119,41.782410,0.983782,0.018504,49.041110
120,42.105270,0.985042,0.015071,48.835661
121,42.053143,0.984917,0.015989,48.786258
122,41.868511,0.984712,0.015429,48.730405
123,41.807461,0.984195,0.015658,48.145468
124,41.453316,0.983256,0.019916,48.196951
125,41.420044,0.983616,0.018164,47.911692
126,40.474152,0.980953,0.025269,47.308046
127,39.136948,0.973876,0.033371,46.480585
128,38.717087,0.968595,0.044316,41.254227
129,40.518234,0.979636,0.024215,45.338248
130,40.929485,0.981426,0.020982,46.745450
131,41.068039,0.981800,0.020128,46.960105
132,41.179527,0.981608,0.021659,46.928807
133,41.022461,0.980221,0.027081,47.410837
134,41.505096,0.982804,0.019170,47.383360
135,41.483948,0.982924,0.017486,47.932567
136,41.412849,0.982718,0.016784,47.839465
137,41.396374,0.982232,0.017834,47.990573
138,41.068504,0.980434,0.023869,48.232385
139,41.374916,0.982786,0.017253,47.975910
140,41.514435,0.983374,0.016941,47.773261
141,41.395306,0.982983,0.016790,47.434780
142,41.350655,0.982430,0.019552,47.063097
143,41.052689,0.981010,0.022682,47.171091
144,41.303963,0.982666,0.020973,46.824026
145,41.415100,0.983229,0.021610,46.880354
146,41.135223,0.982294,0.023655,46.638737
147,41.105186,0.981601,0.024686,46.404695
148,40.718689,0.979778,0.027093,46.883259
149,41.187119,0.981822,0.021552,46.744384
150,41.013634,0.981626,0.021211,46.389727
151,41.066574,0.981849,0.019916,46.178475
152,41.216843,0.982033,0.019937,46.546934
153,41.006466,0.981087,0.022285,47.233915
154,41.138493,0.982574,0.018681,46.932513
155,40.948601,0.982466,0.017767,46.694033
156,41.240746,0.982416,0.018844,46.309422
157,41.084496,0.981801,0.020787,46.364895
158,40.744820,0.980486,0.023925,46.280174
159,41.013142,0.981708,0.020964,46.064177
160,41.323715,0.982358,0.019472,46.386450
161,40.916168,0.982004,0.019245,46.259554
162,41.199371,0.981326,0.021403,45.865503
163,40.747608,0.979954,0.024699,46.375891
164,41.031082,0.981010,0.022328,45.720869
165,41.246185,0.981629,0.021893,45.800188
166,40.696545,0.981264,0.022179,45.613638
167,41.160854,0.980955,0.024529,45.406892
168,40.837700,0.980095,0.025474,46.147357
169,41.392101,0.982049,0.021581,45.725097
170,41.671528,0.982704,0.020443,46.233387
171,41.166275,0.982369,0.021856,46.293397
172,41.304611,0.981750,0.022930,45.633949
173,41.251141,0.981121,0.025360,46.302179
174,41.209225,0.981734,0.022442,46.107118
175,41.699505,0.982574,0.020661,46.047928
176,41.222267,0.981509,0.022332,46.057241
177,41.301430,0.981159,0.023582,45.405261
178,41.195179,0.980704,0.025572,45.785165
179,41.374161,0.981984,0.023701,45.505539
180,41.339981,0.982046,0.024523,45.487064
181,41.133263,0.981391,0.028013,45.426917
182,41.117584,0.980552,0.028010,45.176616
183,40.712757,0.978620,0.031912,44.994452
184,41.067429,0.980060,0.027016,44.636149
185,41.101822,0.980557,0.027268,45.002849
186,41.238930,0.981279,0.026735,44.991602
187,41.180481,0.981244,0.028803,45.490633
188,40.980949,0.979879,0.029063,45.427064
189,41.212753,0.981214,0.025029,45.125258
190,41.546295,0.982040,0.022959,45.598153
191,41.372612,0.981524,0.021173,45.984183
192,41.433243,0.981058,0.021749,46.339280
193,41.085289,0.977951,0.031955,46.328361
194,41.286224,0.981009,0.021899,45.914445
195,41.654694,0.981946,0.020107,45.976156
196,41.775013,0.982289,0.020741,46.330994
197,41.884087,0.982120,0.022338,46.764434
198,41.569000,0.980594,0.025578,47.000279
199,41.899467,0.982365,0.020492,46.609802
200,41.655396,0.982207,0.020639,46.434690
201,41.415543,0.981510,0.022855,45.974713
202,40.951313,0.980382,0.026054,45.596360
203,40.803101,0.978630,0.032485,45.722520
204,41.033329,0.980402,0.026631,45.092658
205,40.819710,0.980584,0.026328,44.794710
206,40.539265,0.979978,0.025797,44.673039
207,40.894207,0.980344,0.025554,45.085566
208,40.717464,0.978864,0.027970,46.016543
209,41.135632,0.980467,0.024259,45.555893
210,41.240540,0.981050,0.022581,45.890538
211,41.018929,0.980218,0.022631,45.709821
212,40.753551,0.979379,0.024430,45.577367
213,40.500916,0.978292,0.027132,45.853044
214,41.100388,0.980704,0.021132,45.867595
215,41.151611,0.981161,0.020355,45.909485
216,41.073051,0.981008,0.021581,45.933385
217,41.075596,0.980581,0.022652,45.901613
218,41.066837,0.979828,0.024270,46.119562
219,41.440472,0.981586,0.020811,46.407083
220,41.536057,0.981905,0.020949,46.295293
221,41.518482,0.981925,0.021629,46.193940
222,41.600868,0.981873,0.022762,46.163372
223,41.508141,0.981213,0.025728,46.282200
224,41.633705,0.982033,0.023090,46.216674
225,41.796551,0.982677,0.022735,46.391414
226,41.505821,0.982109,0.024180,46.168125
227,41.173531,0.981437,0.024432,45.553212
228,41.273178,0.980508,0.026774,45.702126
229,41.550594,0.982095,0.022483,45.826181
230,41.668640,0.982730,0.020415,46.323327
231,41.466698,0.982339,0.020629,46.252776
232,41.340065,0.981796,0.021411,46.165254
233,40.936008,0.980041,0.026069,46.076216
234,41.650623,0.982863,0.018949,46.598798
235,41.629532,0.983349,0.018760,47.568410
236,41.511261,0.982815,0.019346,46.607143
237,41.758747,0.982952,0.021232,46.523665
238,41.610596,0.982206,0.023184,46.731427
239,41.773983,0.983062,0.021561,46.438515
240,41.994980,0.983797,0.019894,46.715740
241,41.819767,0.983362,0.018708,46.754724
242,41.526825,0.982271,0.020771,46.145992
243,41.358753,0.981155,0.022830,46.116270
244,41.393436,0.981735,0.021050,45.792247
245,41.618839,0.982514,0.018906,46.083537
246,41.438812,0.981712,0.020909,46.464287
247,41.500088,0.981576,0.020844,46.386490
248,41.230320,0.979490,0.027956,46.362337
249,41.626312,0.982130,0.019375,46.452440
250,41.541866,0.982310,0.018665,46.617546
251,41.286880,0.981895,0.018848,46.603828
252,41.476437,0.981899,0.018884,46.710111
253,41.150887,0.979620,0.024995,47.249685
254,40.884155,0.979044,0.021520,47.066712
255,39.835934,0.973834,0.025048,47.029716
256,38.976727,0.965322,0.049603,41.854802
257,40.619160,0.977095,0.028075,46.306786
258,40.971493,0.979080,0.023904,47.076150
259,40.906693,0.978971,0.024425,46.503057
260,41.110390,0.979358,0.024097,46.248801
261,41.126663,0.978669,0.028632,46.719698
262,41.559769,0.981301,0.021508,47.256776
263,41.818703,0.982362,0.018896,47.816846
264,41.726345,0.981900,0.018618,47.447699
265,41.627350,0.981152,0.020624,46.928113
266,41.179413,0.979550,0.024186,46.914124
267,41.656078,0.981480,0.019369,46.641890
268,41.586746,0.981422,0.019082,47.009793
269,41.449261,0.981220,0.019983,46.679313
270,41.654472,0.981399,0.020783,46.452336
271,41.369537,0.980432,0.024273,46.716298
272,41.503479,0.981585,0.020386,46.302329
273,41.590111,0.982227,0.020588,46.404512
274,41.444542,0.981813,0.022022,46.338484
275,41.435844,0.981303,0.024070,46.098894
276,41.185528,0.980099,0.026969,46.215617
277,41.666023,0.981637,0.022433,45.853719
278,41.768414,0.981933,0.019004,46.389925
279,41.403976,0.980986,0.021463,46.216273
280,41.240517,0.980303,0.023107,45.651249
281,41.058708,0.978833,0.028136,45.684311
282,41.272636,0.980874,0.020528,45.692954
283,41.663357,0.981582,0.019700,45.952398
284,41.736679,0.981580,0.019861,46.301520
285,41.836975,0.981681,0.021139,46.368370
286,41.829815,0.981229,0.022212,46.934972
287,42.168297,0.982779,0.018813,46.978052
288,42.133011,0.982785,0.018614,47.134181
289,41.970894,0.982409,0.019800,47.127373
290,41.944344,0.981952,0.020732,46.812794
291,41.611652,0.980317,0.024742,46.861978
292,41.859432,0.981438,0.021182,46.459032
293,41.894859,0.981660,0.021146,46.450782
294,41.921787,0.981830,0.021475,46.399755
295,42.113091,0.982288,0.020612,46.619470
296,41.963936,0.981480,0.023441,46.996502
297,42.515091,0.983746,0.017973,47.031724
298,42.590908,0.984146,0.016193,47.644843
299,42.475922,0.983803,0.016380,47.810077
300,42.408684,0.983335,0.017560,47.905086
301,42.059727,0.981872,0.020885,48.101332
302,42.589836,0.983962,0.014671,47.703224
303,42.574768,0.984117,0.014035,48.044060
304,42.420891,0.983567,0.015994,47.756900
305,42.571415,0.983707,0.016026,48.101848
306,42.176582,0.982140,0.020351,48.817091
307,42.619461,0.984111,0.014271,48.440034
308,42.672241,0.984366,0.013653,48.405182
309,42.407875,0.983714,0.014602,47.957569
