frame_idx,psnr,ssim,lpips,psnr_temporal
0,37.735844,0.945561,0.077376,
1,38.742332,0.962364,0.058049,45.926611
2,38.833424,0.962937,0.058903,47.689225
3,38.789150,0.962972,0.061908,48.190516
4,38.482605,0.960686,0.065141,48.035068
5,28.316401,0.814568,0.187826,34.625999
6,38.336853,0.960497,0.068468,34.698796
7,23.084858,0.613515,0.343996,29.206620
8,20.804657,0.499147,0.434396,31.404565
9,24.750154,0.707418,0.261499,29.949264
10,38.323441,0.960608,0.067270,30.910307
11,28.791550,0.849241,0.132502,35.151088
12,29.307331,0.860105,0.124622,37.448103
13,38.793987,0.965230,0.056721,35.723253
14,29.319626,0.863573,0.124309,35.724575
15,29.571859,0.870134,0.120067,37.517039
16,38.881172,0.966230,0.053374,35.998098
17,29.683573,0.873189,0.112871,36.102931
18,27.606060,0.817761,0.167758,36.437529
19,31.335001,0.901855,0.097452,36.319856
20,39.082848,0.967168,0.053674,37.991027
21,39.372452,0.969811,0.044924,50.490549
22,32.266998,0.919204,0.081851,39.035272
23,28.952024,0.858766,0.134896,38.522766
24,29.443415,0.869302,0.129298,39.116071
25,33.061977,0.926842,0.081361,38.753323
26,39.487324,0.970743,0.044144,40.074394
27,39.574863,0.971290,0.043249,50.199723
28,34.328613,0.941630,0.065807,41.620080
29,31.746796,0.911083,0.089441,41.449034
30,33.582794,0.931902,0.075966,41.779209
31,39.449265,0.970820,0.042762,40.716817
32,35.049870,0.946049,0.055083,42.439267
33,35.087345,0.946295,0.055862,45.064161
34,39.504608,0.970748,0.042226,42.395967
35,33.998589,0.938667,0.067164,41.196759
36,31.900200,0.919221,0.075297,42.697411
37,33.694118,0.939442,0.058854,42.069939
38,39.791340,0.972420,0.039995,40.588616
39,33.890720,0.941884,0.057826,40.742198
40,33.829132,0.942174,0.058624,42.608104
41,39.809872,0.972915,0.039561,40.776188
42,34.587646,0.948667,0.051573,41.518420
43,39.988007,0.974066,0.037830,41.410880
44,33.394665,0.940745,0.060715,39.956184
45,39.779839,0.973153,0.041487,39.947185
46,31.798079,0.926003,0.070406,38.223944
47,29.545830,0.903959,0.091970,37.847332
48,31.236460,0.920200,0.076185,37.642856
49,39.445248,0.971030,0.045701,37.599435
50,31.654819,0.922449,0.077555,38.209698
51,30.052530,0.905161,0.085209,39.038696
52,31.234228,0.921984,0.071642,38.816610
53,39.730591,0.973407,0.039675,37.662949
54,31.672506,0.927708,0.071164,38.153455
55,31.728163,0.930283,0.072182,38.474606
56,39.654671,0.974131,0.037657,38.246588
57,33.623196,0.944413,0.057664,40.336663
58,39.719265,0.974887,0.036315,40.325565
59,30.360641,0.920147,0.079434,36.724206
60,28.724937,0.903990,0.097284,36.402957
61,30.108910,0.918475,0.079623,36.546415
62,39.753609,0.976218,0.033034,36.464417
63,31.015131,0.925573,0.074045,37.407357
64,39.147327,0.974165,0.038099,37.412975
65,30.916183,0.924690,0.075338,37.227612
66,39.134243,0.974946,0.033740,37.273378
67,29.107723,0.901077,0.098277,35.452067
68,27.946270,0.879121,0.118396,35.985422
69,28.209269,0.883722,0.113677,36.723179
70,30.328053,0.915481,0.076155,37.159387
71,38.651825,0.972684,0.036093,36.842285
72,38.633678,0.972673,0.036579,47.501035
73,30.950443,0.921643,0.082169,37.483798
74,31.088852,0.921975,0.087014,37.558876
75,38.834625,0.974071,0.034969,37.678291
76,31.329182,0.924989,0.077643,37.926042
77,31.023415,0.917259,0.082194,39.083218
78,32.973274,0.937008,0.064896,39.385159
79,38.624832,0.972640,0.038671,39.916664
80,33.876045,0.945306,0.055421,40.931519
81,33.920345,0.944831,0.053479,42.103929
82,38.722469,0.973012,0.036594,41.043038
83,33.285454,0.939613,0.054858,40.247676
84,33.007980,0.935213,0.063506,40.742932
