epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.112964,0.112964,0.121046,0.000000,12.688
2,0.105362,0.105362,0.120089,0.000000,1.582
3,0.098650,0.098650,0.122373,0.159294,1.120
4,0.092708,0.092708,0.123414,0.227179,1.325
5,0.087425,0.087425,0.123193,0.400238,1.602
6,0.082689,0.082689,0.121798,0.671780,1.608
7,0.078406,0.078406,0.119414,0.931431,1.102
8,0.074505,0.074505,0.116287,1.233544,1.395
9,0.070939,0.070939,0.112672,1.651443,1.715
10,0.067671,0.067671,0.108811,2.189559,1.676
11,0.064673,0.064673,0.104893,2.829797,1.161
12,0.061919,0.061919,0.101054,3.519232,1.184
13,0.059386,0.059386,0.097372,4.243749,1.806
14,0.057049,0.057049,0.094982,5.025384,1.778
15,0.054886,0.054886,0.092794,5.874257,1.809
16,0.052874,0.052874,0.090573,6.797235,1.885
17,0.050995,0.050995,0.088327,7.780680,1.388
18,0.049233,0.049233,0.086063,8.795547,1.068
19,0.047575,0.047575,0.083789,9.828895,1.142
20,0.046012,0.046012,0.081515,10.875768,1.402
21,0.044535,0.044535,0.079249,11.933799,1.186
22,0.043137,0.043137,0.076992,13.002256,1.088
23,0.041811,0.041811,0.074748,14.071833,1.269
24,0.040554,0.040554,0.072521,15.131079,1.298
25,0.039362,0.039362,0.070313,16.166786,1.348
26,0.038232,0.038232,0.068128,17.168362,1.176
27,0.037160,0.037160,0.065969,18.131834,1.147
28,0.036143,0.036143,0.063844,19.053379,1.235
29,0.035178,0.035178,0.061759,19.926708,1.287
30,0.034262,0.034262,0.059722,20.747644,1.199
31,0.033391,0.033391,0.057736,21.510853,1.231
32,0.032564,0.032564,0.055809,22.214798,1.133
33,0.031777,0.031777,0.053945,22.857067,1.028
34,0.031028,0.031028,0.052149,23.440142,1.039
35,0.030315,0.030315,0.050426,23.965237,1.242
36,0.029637,0.029637,0.048776,24.435127,2.119
37,0.028991,0.028991,0.047204,24.848480,2.001
38,0.028376,0.028376,0.045708,25.205685,1.758
39,0.027790,0.027790,0.044289,25.504898,1.804
40,0.027232,0.027232,0.042946,25.751118,1.147
41,0.026699,0.026699,0.041676,25.947853,1.116
42,0.026190,0.026190,0.040478,26.097349,1.323
43,0.025704,0.025704,0.039349,26.203777,1.309
44,0.025241,0.025241,0.038292,26.271740,1.133
45,0.024797,0.024797,0.037302,26.310173,1.189
46,0.024374,0.024374,0.036378,26.318222,1.342
47,0.023971,0.023971,0.035514,26.295012,1.814
48,0.023584,0.023584,0.034707,26.246790,1.660
49,0.023214,0.023214,0.033952,26.178795,1.765
50,0.022859,0.022859,0.033244,26.088638,2.030
51,0.022518,0.022518,0.032580,25.979610,1.778
52,0.022191,0.022191,0.031957,25.858234,2.154
53,0.021876,0.021876,0.031371,25.725492,2.529
54,0.021573,0.021573,0.030821,25.587719,2.253
55,0.021282,0.021282,0.030302,25.441042,2.548
56,0.021002,0.021002,0.029814,25.284994,2.205
57,0.020732,0.020733,0.029354,25.123238,2.535
58,0.020472,0.020472,0.028918,24.969097,2.539
59,0.020221,0.020221,0.028503,24.819662,2.259
60,0.019980,0.019980,0.028108,24.671558,2.544
61,0.019747,0.019746,0.027730,24.538767,1.817
62,0.019521,0.019521,0.027368,24.398914,1.326
63,0.019303,0.019303,0.027021,24.245743,1.272
64,0.019092,0.019092,0.026688,24.080889,2.225
65,0.018889,0.018889,0.026368,23.910706,2.286
66,0.018691,0.018691,0.026061,23.735447,2.290
67,0.018500,0.018500,0.025765,23.570974,2.290
68,0.018314,0.018314,0.025479,23.428192,2.292
69,0.018135,0.018135,0.025204,23.284420,1.250
70,0.017961,0.017961,0.024939,23.145256,1.722
71,0.017792,0.017792,0.024682,23.001568,2.117
72,0.017629,0.017629,0.024433,22.869997,2.210
73,0.017469,0.017469,0.024191,22.744095,2.272
74,0.017314,0.017314,0.023955,22.625250,1.303
75,0.017164,0.017164,0.023727,22.513556,1.733
76,0.017017,0.017017,0.023504,22.402695,2.274
77,0.016875,0.016875,0.023288,22.289143,2.097
78,0.016736,0.016736,0.023078,22.172712,2.087
79,0.016601,0.016601,0.022874,22.050903,1.911
80,0.016471,0.016471,0.022675,21.930790,1.153
81,0.016343,0.016343,0.022480,21.807514,1.640
82,0.016218,0.016218,0.022290,21.687481,1.653
83,0.016097,0.016097,0.022105,21.567310,1.697
84,0.015979,0.015979,0.021925,21.431311,1.161
85,0.015864,0.015864,0.021749,21.303249,1.850
86,0.015751,0.015751,0.021576,21.188660,1.969
87,0.015641,0.015641,0.021482,21.058270,1.924
88,0.015534,0.015534,0.021392,20.932430,1.429
89,0.015430,0.015430,0.021303,20.803995,1.403
90,0.015328,0.015328,0.021216,20.671507,1.666
91,0.015228,0.015228,0.021131,20.552776,1.669
92,0.015131,0.015131,0.021048,20.424614,1.118
93,0.015035,0.015035,0.020966,20.285927,1.108
94,0.014942,0.014942,0.020885,20.155895,1.274
95,0.014851,0.014851,0.020806,20.031849,1.258
96,0.014762,0.014762,0.020729,19.920523,1.291
97,0.014675,0.014675,0.020654,19.817036,1.239
98,0.014590,0.014590,0.020579,19.708872,1.152
99,0.014507,0.014507,0.020505,19.596294,1.166
100,0.014425,0.014425,0.020435,19.492813,1.205
101,0.014345,0.014345,0.020364,19.397560,1.137
102,0.014267,0.014267,0.020295,19.311726,1.291
103,0.014191,0.014191,0.020227,19.217468,1.167
104,0.014116,0.014116,0.020160,19.118982,1.192
105,0.014042,0.014042,0.020096,19.029022,1.165
106,0.013970,0.013970,0.020031,18.939114,1.095
107,0.013900,0.013900,0.019968,18.852707,1.039
108,0.013831,0.013831,0.019905,18.779470,1.040
