epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.113532,0.113532,0.121218,0.000000,11.925
2,0.105292,0.105292,0.117990,0.000000,11.657
3,0.097901,0.097901,0.120556,0.139743,11.674
4,0.091377,0.091377,0.123425,0.205263,11.687
5,0.085697,0.085697,0.126498,0.386765,11.689
6,0.080782,0.080782,0.129635,0.693935,11.703
7,0.076523,0.076523,0.132673,0.983429,11.710
8,0.072807,0.072807,0.135462,1.323733,11.722
9,0.069530,0.069530,0.137887,1.781561,11.732
10,0.066605,0.066605,0.139873,2.356572,11.738
11,0.063964,0.063964,0.141388,3.041446,11.748
12,0.061554,0.061554,0.142431,3.783443,11.768
13,0.059335,0.059335,0.143025,4.557973,11.773
14,0.057279,0.057279,0.143205,5.373309,11.781
15,0.055365,0.055365,0.143014,6.233963,11.785
16,0.053575,0.053575,0.142499,7.151399,11.793
17,0.051899,0.051899,0.141704,8.120630,11.791
18,0.050326,0.050326,0.140676,9.114389,11.800
19,0.048848,0.048848,0.139458,10.115974,11.807
20,0.047458,0.047458,0.138087,11.119381,11.811
21,0.046146,0.046146,0.136597,12.124744,11.811
22,0.044905,0.044905,0.135016,13.136309,11.819
23,0.043729,0.043729,0.133368,14.149763,11.817
24,0.042613,0.042613,0.131672,15.155134,11.825
25,0.041554,0.041554,0.129944,16.142342,11.827
26,0.040547,0.040547,0.128197,17.102713,11.832
27,0.039589,0.039589,0.126440,18.028412,11.831
28,0.038676,0.038676,0.124680,18.914478,11.831
29,0.037807,0.037807,0.122925,19.760614,11.834
30,0.036977,0.036977,0.121178,20.567007,11.832
31,0.036186,0.036186,0.119442,21.327988,11.833
32,0.035431,0.035431,0.117722,22.033192,11.840
33,0.034710,0.034710,0.116019,22.674322,11.842
34,0.034022,0.034022,0.114335,23.248297,11.843
35,0.033366,0.033366,0.112671,23.757103,11.842
36,0.032741,0.032741,0.111025,24.202745,11.847
37,0.032144,0.032144,0.109400,24.584358,11.845
38,0.031573,0.031573,0.107795,24.899563,11.847
39,0.031028,0.031028,0.106210,25.151505,11.847
40,0.030507,0.030507,0.104643,25.351480,11.847
41,0.030008,0.030008,0.103095,25.512386,11.843
42,0.029531,0.029531,0.101563,25.640312,11.845
43,0.029074,0.029074,0.100049,25.740139,11.849
44,0.028636,0.028636,0.098550,25.814426,11.847
45,0.028216,0.028216,0.097068,25.864220,11.848
46,0.027811,0.027811,0.095603,25.896366,11.849
47,0.027423,0.027423,0.094156,25.913494,11.847
48,0.027049,0.027049,0.092725,25.909946,11.850
49,0.026689,0.026689,0.091311,25.885448,11.849
50,0.026342,0.026342,0.089913,25.839291,11.856
51,0.026008,0.026008,0.088531,25.774555,11.852
52,0.025686,0.025686,0.087163,25.688862,11.854
53,0.025374,0.025374,0.085807,25.584961,11.854
54,0.025074,0.025074,0.084465,25.468697,11.853
55,0.024783,0.024783,0.083136,25.342676,11.849
56,0.024502,0.024502,0.081819,25.212831,11.852
57,0.024230,0.024230,0.080513,25.078625,11.851
58,0.023966,0.023966,0.079219,24.934025,11.853
59,0.023711,0.023711,0.077938,24.791973,11.853
60,0.023464,0.023464,0.076670,24.651260,11.854
61,0.023224,0.023224,0.075416,24.510536,11.854
62,0.022992,0.022992,0.074175,24.365292,11.855
63,0.022766,0.022766,0.072947,24.215736,11.856
64,0.022548,0.022548,0.071734,24.059504,11.855
65,0.022335,0.022335,0.070535,23.900963,11.858
66,0.022128,0.022128,0.069350,23.734837,11.854
67,0.021927,0.021927,0.068180,23.557417,11.856
68,0.021732,0.021732,0.067025,23.377621,11.860
69,0.021542,0.021542,0.065885,23.208019,11.855
70,0.021358,0.021358,0.064758,23.036022,11.860
71,0.021178,0.021178,0.063647,22.866720,11.856
72,0.021004,0.021004,0.062551,22.698374,11.858
73,0.020833,0.020833,0.061469,22.535236,11.859
74,0.020668,0.020668,0.060403,22.366951,11.861
75,0.020506,0.020506,0.059352,22.212839,11.861
76,0.020348,0.020348,0.058317,22.069225,11.857
77,0.020195,0.020195,0.057296,21.927296,11.855
78,0.020045,0.020045,0.056290,21.780489,11.858
79,0.019899,0.019899,0.055300,21.631901,11.858
80,0.019756,0.019756,0.054326,21.474651,11.860
81,0.019617,0.019617,0.053368,21.318558,11.860
82,0.019481,0.019481,0.052426,21.162344,11.864
83,0.019349,0.019349,0.051502,21.007587,11.861
84,0.019219,0.019219,0.050594,20.854847,11.864
85,0.019093,0.019093,0.049701,20.698772,11.864
86,0.018969,0.018969,0.048822,20.539429,11.863
87,0.018848,0.018848,0.047960,20.385719,11.857
88,0.018731,0.018731,0.047116,20.234779,11.862
89,0.018616,0.018616,0.046292,20.084215,11.862
90,0.018503,0.018503,0.045488,19.935307,11.862
91,0.018393,0.018393,0.044700,19.801189,11.861
92,0.018286,0.018286,0.043932,19.680408,11.861
93,0.018181,0.018181,0.043181,19.562365,11.865
94,0.018078,0.018078,0.042449,19.445324,11.856
95,0.017978,0.017978,0.041738,19.336254,11.861
96,0.017879,0.017879,0.041049,19.223816,11.864
97,0.017783,0.017783,0.040382,19.122974,11.860
