frame_idx,psnr,ssim,lpips,psnr_temporal
0,36.600273,0.932553,0.114826,
1,37.157619,0.949283,0.090709,44.658741
2,37.290379,0.950119,0.088891,45.500235
3,37.559662,0.952609,0.087704,46.517633
4,37.624172,0.953360,0.083360,46.396802
5,37.390018,0.948266,0.099849,46.125257
6,38.058151,0.958266,0.073832,46.880118
7,38.308495,0.960186,0.067193,47.780648
8,38.411335,0.961131,0.065468,48.056306
9,38.413387,0.961347,0.064497,47.771300
10,38.335861,0.960619,0.066172,47.802495
11,38.780594,0.964778,0.054040,48.099006
12,38.867897,0.965446,0.053547,47.999900
13,38.966835,0.965778,0.052633,48.031386
14,38.971718,0.965643,0.053514,47.909870
15,38.684177,0.963652,0.059244,47.626492
16,39.037769,0.967144,0.049842,47.001664
17,39.196774,0.967902,0.048615,47.444388
18,39.155415,0.967656,0.050311,47.654570
19,39.207855,0.967790,0.049786,48.036202
20,39.010311,0.966156,0.054653,48.675772
21,39.286743,0.968857,0.044671,48.627117
22,39.388042,0.969435,0.043945,48.426138
23,39.325325,0.968994,0.044679,48.122046
24,39.270397,0.968499,0.046477,47.977793
25,39.174377,0.967483,0.049740,48.668274
26,39.448940,0.970000,0.041934,48.363309
27,39.533936,0.970685,0.041282,48.487971
28,39.520023,0.970692,0.041416,49.009561
29,39.520985,0.970291,0.042957,48.874732
30,39.385704,0.969122,0.046380,49.537871
31,39.665810,0.971515,0.038802,49.218104
32,39.792477,0.972226,0.038309,49.114607
33,39.725159,0.971757,0.039708,48.916067
34,39.665421,0.971355,0.040257,48.798354
35,39.538330,0.970576,0.043285,49.590051
36,39.787003,0.972434,0.037554,49.425325
37,39.813923,0.972839,0.036168,49.137739
38,39.768398,0.972596,0.036979,48.472737
39,39.702560,0.972124,0.038557,48.145190
40,39.536228,0.971186,0.041907,48.606145
41,39.678757,0.972272,0.037748,48.283216
42,39.491825,0.971829,0.038569,47.583423
43,39.484756,0.971862,0.039079,46.701711
44,39.250359,0.971063,0.042113,46.007902
45,38.994862,0.969758,0.045281,45.659376
46,39.064053,0.970657,0.041837,45.184422
47,39.057171,0.970854,0.041663,45.087563
48,38.686272,0.969519,0.043186,44.757629
