epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.113233,0.113233,0.121033,0.000000,30.825
2,0.106947,0.106947,0.119333,0.000000,28.926
3,0.101223,0.101222,0.120943,0.187791,30.738
4,0.095982,0.095982,0.121770,0.250062,30.779
5,0.091164,0.091163,0.122009,0.407644,30.815
6,0.086717,0.086717,0.121808,0.721979,30.833
7,0.082601,0.082601,0.121261,0.986864,30.899
8,0.078785,0.078785,0.120430,1.299057,30.864
9,0.075247,0.075247,0.119355,1.745536,30.918
10,0.071972,0.071972,0.118067,2.340923,30.943
11,0.068943,0.068943,0.116592,3.067700,30.982
12,0.066148,0.066148,0.114952,3.856582,30.970
13,0.063567,0.063567,0.113171,4.691546,31.087
14,0.061179,0.061179,0.111272,5.602306,31.011
15,0.058962,0.058962,0.109278,6.602989,31.098
16,0.056893,0.056893,0.107209,7.703198,31.118
17,0.054954,0.054954,0.105082,8.889716,31.095
18,0.053128,0.053128,0.102910,10.126097,31.143
19,0.051404,0.051404,0.100707,11.391379,31.115
20,0.049775,0.049775,0.098484,12.678090,31.132
21,0.048233,0.048233,0.096252,13.980837,31.122
22,0.046772,0.046772,0.094022,15.295446,31.150
23,0.045389,0.045389,0.091799,16.610165,31.166
24,0.044078,0.044078,0.089588,17.906593,31.179
25,0.042838,0.042838,0.087394,19.168118,31.171
26,0.041664,0.041664,0.085216,20.382965,31.203
27,0.040551,0.040551,0.083057,21.542492,31.172
28,0.039496,0.039496,0.080916,22.638540,31.203
29,0.038495,0.038495,0.078793,23.665979,31.221
30,0.037544,0.037544,0.076688,24.617554,31.222
31,0.036640,0.036640,0.074602,25.490715,31.257
32,0.035779,0.035779,0.072536,26.291267,31.250
33,0.034957,0.034957,0.070495,27.028280,31.247
34,0.034174,0.034174,0.068482,27.703274,31.230
35,0.033425,0.033425,0.066501,28.312687,31.266
36,0.032710,0.032710,0.064555,28.859390,31.264
37,0.032028,0.032028,0.062648,29.345428,31.267
38,0.031375,0.031375,0.060781,29.768242,31.305
39,0.030752,0.030752,0.058959,30.119495,31.297
40,0.030156,0.030156,0.057185,30.396439,31.299
41,0.029587,0.029587,0.055464,30.602665,31.277
42,0.029043,0.029043,0.053800,30.740349,31.315
43,0.028523,0.028523,0.052196,30.814789,31.304
44,0.028025,0.028025,0.050656,30.836319,31.297
45,0.027550,0.027550,0.049184,30.812407,31.326
46,0.027097,0.027097,0.047776,30.748573,31.313
47,0.026664,0.026664,0.046429,30.651859,31.287
48,0.026250,0.026250,0.045140,30.522999,31.336
49,0.025853,0.025853,0.043909,30.364683,31.286
50,0.025472,0.025472,0.042733,30.181808,31.304
51,0.025107,0.025107,0.041610,29.974710,31.314
52,0.024755,0.024755,0.040537,29.745693,31.323
53,0.024418,0.024418,0.039514,29.492840,31.292
54,0.024094,0.024094,0.038541,29.223595,31.309
55,0.023782,0.023782,0.037615,28.941376,31.310
56,0.023481,0.023481,0.036735,28.655525,31.299
57,0.023191,0.023191,0.035982,28.380398,31.305
58,0.022912,0.022912,0.035442,28.110168,31.302
59,0.022642,0.022642,0.034930,27.837215,31.317
60,0.022381,0.022381,0.034440,27.570467,31.312
61,0.022128,0.022128,0.033970,27.310131,31.307
62,0.021884,0.021884,0.033518,27.055658,31.316
63,0.021647,0.021647,0.033085,26.811985,31.289
64,0.021418,0.021418,0.032668,26.570776,31.315
65,0.021195,0.021195,0.032269,26.340073,31.303
66,0.020979,0.020979,0.031886,26.113630,31.295
67,0.020770,0.020770,0.031516,25.904886,31.348
68,0.020567,0.020567,0.031158,25.700706,31.311
69,0.020370,0.020370,0.030813,25.503208,31.298
70,0.020179,0.020179,0.030479,25.304699,31.309
71,0.019993,0.019993,0.030154,25.120556,31.332
72,0.019812,0.019812,0.029840,24.939642,31.311
73,0.019636,0.019636,0.029535,24.761284,31.332
74,0.019465,0.019465,0.029239,24.579496,31.312
75,0.019298,0.019298,0.028951,24.409954,31.288
76,0.019136,0.019136,0.028672,24.252499,31.340
77,0.018978,0.018978,0.028401,24.094219,31.309
78,0.018824,0.018824,0.028138,23.941956,31.301
79,0.018674,0.018674,0.027885,23.791889,31.299
80,0.018528,0.018528,0.027637,23.638945,31.307
81,0.018385,0.018385,0.027397,23.482805,31.304
82,0.018246,0.018246,0.027161,23.335377,31.317
83,0.018111,0.018111,0.026931,23.193462,31.322
84,0.017979,0.017979,0.026706,23.045403,31.306
85,0.017850,0.017850,0.026486,22.899261,31.307
86,0.017724,0.017724,0.026271,22.755939,31.315
87,0.017600,0.017600,0.026060,22.621218,31.316
88,0.017480,0.017480,0.025854,22.492044,31.296
89,0.017362,0.017362,0.025655,22.355831,31.351
90,0.017248,0.017248,0.025466,22.220293,31.303
91,0.017136,0.017136,0.025282,22.084967,31.315
92,0.017026,0.017026,0.025102,21.952562,31.323
93,0.016918,0.016918,0.024927,21.818249,31.297
94,0.016813,0.016813,0.024755,21.686234,31.324
95,0.016711,0.016711,0.024589,21.561649,31.323
96,0.016610,0.016610,0.024426,21.441708,31.305
97,0.016512,0.016512,0.024266,21.332348,31.300
98,0.016415,0.016415,0.024110,21.214268,31.297
99,0.016321,0.016321,0.023957,21.097696,31.303
100,0.016229,0.016229,0.023807,20.985081,31.307
101,0.016138,0.016138,0.023661,20.876331,31.326
102,0.016049,0.016049,0.023517,20.766188,31.330
103,0.015962,0.015962,0.023376,20.665478,31.291
104,0.015877,0.015877,0.023238,20.566887,31.291
105,0.015793,0.015793,0.023103,20.474342,31.307
106,0.015712,0.015712,0.022971,20.383156,31.307
107,0.015632,0.015632,0.022841,20.294518,31.296
108,0.015553,0.015553,0.022714,20.210266,31.325
109,0.015476,0.015476,0.022590,20.131283,31.297
110,0.015400,0.015400,0.022468,20.054653,31.282
111,0.015325,0.015325,0.022348,19.985847,31.312
112,0.015253,0.015253,0.022231,19.916702,31.306
113,0.015181,0.015181,0.022116,19.858677,31.295
114,0.015111,0.015111,0.022002,19.806187,31.331
115,0.015041,0.015041,0.021890,19.748276,31.317
116,0.014974,0.014974,0.021781,19.699745,31.305
117,0.014907,0.014907,0.021673,19.649473,31.318
118,0.014841,0.014841,0.021567,19.607676,31.313
119,0.014777,0.014777,0.021462,19.559715,31.298
120,0.014714,0.014714,0.021360,19.511799,31.345
121,0.014652,0.014652,0.021259,19.473705,31.321
122,0.014591,0.014591,0.021160,19.434122,31.306
123,0.014530,0.014530,0.021062,19.392128,31.309
124,0.014472,0.014472,0.020966,19.355814,31.297
125,0.014413,0.014413,0.020871,19.321442,31.293
126,0.014356,0.014356,0.020777,19.285080,31.318
127,0.014300,0.014300,0.020685,19.236750,31.339
128,0.014245,0.014245,0.020594,19.196606,31.297
129,0.014190,0.014190,0.020504,19.165245,31.293
130,0.014137,0.014137,0.020416,19.129984,31.312
131,0.014084,0.014084,0.020328,19.102766,31.319
132,0.014032,0.014032,0.020253,19.071682,31.293
133,0.013981,0.013981,0.020201,19.035252,31.326
134,0.013931,0.013931,0.020149,19.006599,31.313
135,0.013881,0.013881,0.020098,18.973694,31.286
136,0.013832,0.013832,0.020048,18.938717,31.311
137,0.013784,0.013784,0.019998,18.914351,31.303
138,0.013737,0.013737,0.019949,18.890173,31.304
139,0.013690,0.013690,0.019901,18.856918,31.355
140,0.013644,0.013644,0.019854,18.827675,31.323
141,0.013599,0.013599,0.019807,18.797722,31.304
142,0.013555,0.013555,0.019760,18.769157,31.300
143,0.013511,0.013511,0.019714,18.748631,31.311
144,0.013467,0.013467,0.019670,18.720369,31.305
145,0.013425,0.013425,0.019625,18.697201,31.307
146,0.013382,0.013382,0.019580,18.673637,31.334
147,0.013341,0.013341,0.019537,18.641960,31.293
148,0.013300,0.013300,0.019494,18.616806,31.300
149,0.013260,0.013260,0.019452,18.594694,31.306
150,0.013220,0.013220,0.019409,18.571295,31.317
151,0.013181,0.013181,0.019367,18.555437,31.304
152,0.013142,0.013142,0.019326,18.525467,31.324
153,0.013104,0.013104,0.019286,18.501221,31.317
154,0.013066,0.013066,0.019245,18.471951,31.319
155,0.013029,0.013029,0.019204,18.445024,31.311
156,0.012992,0.012992,0.019165,18.423306,31.315
157,0.012956,0.012956,0.019126,18.408325,31.319
158,0.012921,0.012920,0.019087,18.396761,31.338
159,0.012885,0.012885,0.019049,18.379358,31.281
160,0.012850,0.012850,0.019011,18.359806,31.314
161,0.012816,0.012816,0.018974,18.344101,31.294
162,0.012782,0.012782,0.018937,18.322916,31.291
163,0.012748,0.012748,0.018901,18.308472,31.285
164,0.012715,0.012715,0.018865,18.285206,31.308
165,0.012683,0.012683,0.018830,18.260988,31.294
166,0.012650,0.012650,0.018795,18.244320,31.307
167,0.012618,0.012618,0.018760,18.224758,31.318
168,0.012587,0.012587,0.018725,18.218616,31.331
169,0.012556,0.012556,0.018691,18.196672,31.300
170,0.012525,0.012525,0.018658,18.177044,31.324
171,0.012495,0.012495,0.018625,18.170456,31.313
172,0.012465,0.012465,0.018591,18.149473,31.311
173,0.012435,0.012435,0.018559,18.137440,31.329
174,0.012406,0.012406,0.018526,18.121578,31.312
175,0.012377,0.012377,0.018494,18.104076,31.321
176,0.012348,0.012348,0.018462,18.092428,31.312
177,0.012320,0.012320,0.018431,18.083469,31.311
178,0.012292,0.012292,0.018400,18.072744,31.306
179,0.012264,0.012264,0.018369,18.058487,31.311
180,0.012237,0.012237,0.018339,18.046080,31.352
181,0.012210,0.012210,0.018309,18.030918,31.322
182,0.012183,0.012183,0.018279,18.024059,31.292
183,0.012157,0.012157,0.018248,18.011177,31.328
184,0.012131,0.012131,0.018219,18.002514,31.303
185,0.012105,0.012105,0.018191,17.993484,31.293
186,0.012079,0.012079,0.018162,17.971165,31.319
187,0.012054,0.012054,0.018133,17.966515,31.318
188,0.012029,0.012029,0.018105,17.950027,31.308
189,0.012004,0.012004,0.018076,17.936691,31.306
190,0.011980,0.011980,0.018049,17.934944,31.303
191,0.011956,0.011956,0.018021,17.921734,31.306
192,0.011932,0.011932,0.017994,17.912243,31.314
193,0.011908,0.011908,0.017967,17.904322,31.351
194,0.011884,0.011884,0.017940,17.896709,31.285
195,0.011861,0.011861,0.017913,17.888809,31.307
196,0.011838,0.011838,0.017887,17.882774,31.317
197,0.011816,0.011816,0.017860,17.872715,31.326
198,0.011793,0.011793,0.017835,17.864929,31.299
199,0.011771,0.011771,0.017809,17.857555,31.330
200,0.011748,0.011748,0.017783,17.847130,31.317
201,0.011726,0.011726,0.017759,17.838823,31.332
202,0.011705,0.011705,0.017734,17.829933,31.324
203,0.011683,0.011683,0.017709,17.814350,31.308
204,0.011662,0.011662,0.017685,17.808895,31.319
205,0.011641,0.011641,0.017661,17.800859,31.340
206,0.011620,0.011620,0.017637,17.791504,31.312
207,0.011599,0.011599,0.017614,17.785786,31.291
208,0.011579,0.011579,0.017590,17.769548,31.347
