frame_idx,psnr,ssim,lpips,psnr_temporal
0,37.830704,0.946617,0.074946,
1,38.759243,0.962518,0.056993,45.982019
2,38.807106,0.962962,0.058820,47.645383
3,38.832504,0.963077,0.060931,48.080579
4,38.506668,0.960894,0.065706,48.053704
5,28.683907,0.829580,0.188795,35.027172
6,38.232761,0.959954,0.069444,35.116347
7,26.359951,0.780935,0.204989,32.603098
8,27.168539,0.808296,0.170363,34.900997
9,38.303318,0.960391,0.067566,33.446323
10,28.547991,0.847834,0.140204,34.950668
11,28.932877,0.857783,0.129934,37.092960
12,38.695850,0.964527,0.058587,35.332724
13,29.906673,0.880112,0.111404,36.394107
14,29.872454,0.882213,0.106147,37.990614
15,38.656460,0.963683,0.060762,36.313165
16,30.412161,0.892973,0.098835,36.859483
17,30.647097,0.898030,0.096846,38.252795
18,39.112175,0.967396,0.053090,37.128191
19,32.211159,0.917508,0.081814,38.934873
20,32.838829,0.923809,0.084694,41.404908
21,39.261631,0.968732,0.048003,39.781542
22,32.884476,0.928082,0.071168,39.706793
23,32.870533,0.927842,0.069573,41.118752
24,39.305305,0.968762,0.048344,39.674956
25,33.131023,0.930458,0.074568,40.093060
26,33.440376,0.934382,0.066576,41.470377
27,39.559990,0.970822,0.043411,40.379476
28,34.950455,0.946329,0.059068,42.343921
29,35.397259,0.948514,0.058460,44.231089
30,39.316448,0.969208,0.047352,43.025625
31,35.411850,0.949252,0.052185,42.900072
32,35.732929,0.951397,0.052306,44.951818
33,39.753704,0.972055,0.040756,43.276501
34,36.010017,0.952900,0.053750,43.675224
35,35.958683,0.953043,0.056028,46.033921
36,39.765610,0.972437,0.039039,43.803919
37,35.240253,0.951308,0.049936,42.546405
38,34.957081,0.948731,0.051482,43.538595
39,39.768379,0.972556,0.039673,42.046230
40,34.071392,0.943986,0.058598,41.083720
41,33.274590,0.938533,0.055866,41.736219
42,39.843487,0.973322,0.038682,40.008002
43,32.427937,0.931315,0.066225,38.959994
44,31.642574,0.925855,0.071757,38.970391
45,39.715057,0.972896,0.041792,38.070352
46,32.012604,0.928058,0.068331,38.430651
47,31.454008,0.927997,0.072614,38.686036
48,39.847141,0.973383,0.039573,37.829191
49,32.219612,0.929871,0.070465,38.715486
50,32.574497,0.929717,0.068673,40.184945
51,39.727139,0.972896,0.038626,39.137942
52,32.281269,0.931215,0.068191,38.770545
53,31.733820,0.928224,0.070292,38.939269
54,39.540104,0.972644,0.040841,38.225088
55,31.601410,0.930379,0.068223,38.169111
56,31.940891,0.932860,0.065377,38.737292
57,39.757874,0.974703,0.037045,38.485711
58,31.578779,0.931567,0.069451,38.072813
59,30.467804,0.921761,0.076101,37.854420
60,39.350300,0.973760,0.038721,36.852036
61,30.559645,0.923201,0.077055,36.913568
62,30.410822,0.919190,0.080174,36.885164
63,39.270893,0.974720,0.036153,36.711290
64,30.115459,0.913434,0.086356,36.492135
65,29.904770,0.912995,0.082840,35.895519
66,39.216114,0.975143,0.033198,36.209611
67,29.932980,0.911394,0.086863,36.277427
68,30.636818,0.916594,0.077707,36.476867
69,38.307404,0.970440,0.042288,37.202951
70,31.193521,0.920225,0.065635,37.719181
71,31.211836,0.919050,0.067634,38.515108
72,38.669334,0.972614,0.036510,37.777000
73,30.761879,0.917829,0.081610,37.263785
74,31.035748,0.920787,0.087631,37.628546
75,38.930023,0.973979,0.035665,37.608448
76,31.915361,0.930278,0.075113,38.545480
77,32.739445,0.934844,0.066884,39.576121
78,38.936195,0.974362,0.035655,39.508922
79,33.774082,0.942438,0.063337,40.895923
80,34.220303,0.946995,0.056241,41.723470
81,38.878674,0.973700,0.035774,41.406772
82,33.673660,0.943829,0.054827,40.725736
83,33.194363,0.939391,0.052495,41.377848
84,38.470303,0.969664,0.044575,40.131669
85,33.130417,0.937357,0.054161,39.983745
86,33.271854,0.938702,0.054566,40.715579
87,38.885635,0.973753,0.035719,40.145290
88,34.611633,0.947669,0.052447,41.857210
89,34.863319,0.950029,0.054281,43.451883
90,38.998024,0.974814,0.032832,42.498076
91,34.018520,0.946866,0.051082,41.126047
92,33.676598,0.944872,0.052211,42.181961
93,38.992001,0.974853,0.033673,40.791329
94,33.909054,0.944345,0.055383,41.216622
95,34.298035,0.950080,0.049246,42.434785
