epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.113532,0.113532,0.121218,0.000000,14.756
2,0.106557,0.106557,0.119241,0.000000,15.712
3,0.100218,0.100218,0.123064,0.138608,19.882
4,0.094547,0.094547,0.127165,0.203348,16.493
5,0.089530,0.089530,0.131241,0.383221,15.921
6,0.085104,0.085104,0.134881,0.685279,18.849
7,0.081191,0.081191,0.138480,0.970218,18.975
8,0.077715,0.077715,0.141849,1.307786,18.887
9,0.074607,0.074607,0.144973,1.764622,16.780
10,0.071805,0.071805,0.147844,2.341301,15.436
11,0.069256,0.069256,0.150458,3.031525,20.132
12,0.066919,0.066919,0.152816,3.783476,20.432
13,0.064764,0.064764,0.154916,4.573592,18.640
14,0.062765,0.062765,0.156759,5.409420,18.497
15,0.060900,0.060900,0.158348,6.294137,18.801
16,0.059153,0.059153,0.159691,7.239727,18.120
17,0.057510,0.057510,0.160798,8.240884,13.461
18,0.055961,0.055961,0.161681,9.269766,19.405
19,0.054496,0.054496,0.162355,10.308795,19.245
20,0.053106,0.053106,0.162833,11.352802,14.691
21,0.051784,0.051784,0.163128,12.405239,19.066
22,0.050525,0.050525,0.163253,13.471057,17.841
23,0.049322,0.049322,0.163221,14.545479,20.238
24,0.048171,0.048171,0.163040,15.616814,19.205
25,0.047071,0.047071,0.162719,16.671356,13.527
26,0.046018,0.046018,0.162267,17.699244,19.634
27,0.045010,0.045010,0.161690,18.695618,20.560
28,0.044046,0.044046,0.160995,19.657536,20.423
29,0.043124,0.043124,0.160190,20.578936,18.553
30,0.042240,0.042240,0.159279,21.456802,19.303
31,0.041395,0.041395,0.158270,22.292143,18.185
32,0.040585,0.040585,0.157168,23.082699,14.911
33,0.039812,0.039812,0.155977,23.819338,17.248
34,0.039073,0.039073,0.154703,24.492268,17.794
35,0.038368,0.038368,0.153352,25.098137,14.628
36,0.037696,0.037696,0.151930,25.641485,18.534
37,0.037055,0.037055,0.150441,26.127281,20.273
38,0.036443,0.036443,0.148892,26.554085,19.657
39,0.035860,0.035860,0.147284,26.918407,20.129
40,0.035303,0.035303,0.145625,27.224594,14.884
41,0.034771,0.034771,0.143916,27.481462,12.295
42,0.034264,0.034264,0.142165,27.697506,11.779
43,0.033778,0.033778,0.140372,27.880373,11.799
44,0.033313,0.033313,0.138542,28.032396,11.793
45,0.032866,0.032866,0.136678,28.147873,11.797
46,0.032438,0.032438,0.134780,28.228491,11.791
47,0.032026,0.032026,0.132852,28.282434,11.788
48,0.031631,0.031631,0.130895,28.312798,11.799
49,0.031251,0.031251,0.128909,28.310158,11.796
50,0.030884,0.030884,0.126896,28.270229,11.799
51,0.030531,0.030531,0.124854,28.198608,11.794
52,0.030191,0.030191,0.122784,28.100834,11.809
53,0.029862,0.029862,0.120687,27.983650,11.806
54,0.029544,0.029544,0.118562,27.853050,11.806
55,0.029237,0.029237,0.116409,27.706268,11.800
56,0.028939,0.028939,0.114230,27.547207,11.797
57,0.028651,0.028651,0.112027,27.389366,11.808
58,0.028372,0.028372,0.109805,27.227840,11.803
59,0.028101,0.028101,0.107566,27.062971,11.810
60,0.027838,0.027838,0.105319,26.894505,11.797
61,0.027583,0.027583,0.103071,26.716003,11.816
62,0.027335,0.027335,0.100824,26.541256,11.810
63,0.027094,0.027094,0.098578,26.379780,11.811
64,0.026860,0.026860,0.096333,26.224655,11.805
65,0.026631,0.026631,0.094134,26.073582,11.802
66,0.026409,0.026409,0.092457,25.932589,11.811
67,0.026192,0.026192,0.090778,25.787054,11.807
68,0.025981,0.025981,0.089097,25.633303,12.747
69,0.025776,0.025776,0.087416,25.468929,19.491
70,0.025576,0.025576,0.085740,25.298922,19.729
71,0.025380,0.025380,0.084072,25.121971,20.139
72,0.025190,0.025190,0.082420,24.944717,16.878
73,0.025004,0.025004,0.080786,24.757977,14.892
74,0.024823,0.024823,0.079167,24.581005,18.410
75,0.024646,0.024646,0.077559,24.414539,14.846
76,0.024473,0.024473,0.075961,24.233154,20.253
77,0.024305,0.024305,0.074375,24.058277,19.099
78,0.024141,0.024141,0.072806,23.890255,14.744
79,0.023981,0.023981,0.071254,23.723911,16.095
80,0.023825,0.023825,0.069719,23.562393,19.666
81,0.023672,0.023672,0.068202,23.406364,19.528
82,0.023524,0.023524,0.066708,23.245426,19.616
83,0.023378,0.023378,0.065247,23.079784,15.645
84,0.023237,0.023237,0.063826,22.914091,16.798
85,0.023098,0.023098,0.062448,22.757782,18.832
86,0.022963,0.022963,0.061114,22.598280,19.127
87,0.022832,0.022832,0.059820,22.453957,20.539
88,0.022703,0.022703,0.058569,22.315487,15.217
89,0.022578,0.022578,0.057361,22.166943,18.486
90,0.022456,0.022456,0.056204,22.028408,14.799
91,0.022336,0.022336,0.055098,21.887072,18.771
92,0.022220,0.022220,0.054045,21.752523,18.853
93,0.022105,0.022105,0.053062,21.624718,17.435
94,0.021994,0.021994,0.052427,21.497562,13.625
95,0.021885,0.021885,0.051831,21.372812,19.659
96,0.021778,0.021778,0.051287,21.252226,19.239
97,0.021674,0.021674,0.050789,21.139343,19.450
98,0.021572,0.021572,0.050302,21.034822,18.629
99,0.021472,0.021472,0.049826,20.938141,14.961
100,0.021374,0.021374,0.049370,20.844126,18.540
101,0.021278,0.021278,0.048937,20.748457,18.899
102,0.021184,0.021184,0.048529,20.659256,20.503
103,0.021092,0.021092,0.048134,20.584776,17.745
104,0.021002,0.021002,0.047743,20.514469,15.897
105,0.020913,0.020913,0.047360,20.455469,16.511
106,0.020826,0.020826,0.046982,20.390076,15.895
107,0.020741,0.020741,0.046621,20.322317,20.531
108,0.020658,0.020658,0.046274,20.254208,18.133
109,0.020576,0.020576,0.045933,20.182377,15.930
110,0.020495,0.020495,0.045608,20.115078,18.410
111,0.020416,0.020416,0.045290,20.043882,18.046
112,0.020339,0.020339,0.044980,19.993910,19.595
113,0.020262,0.020262,0.044688,19.934361,20.152
114,0.020187,0.020187,0.044404,19.881058,14.012
115,0.020114,0.020114,0.044123,19.827820,19.943
116,0.020041,0.020041,0.043855,19.774879,17.460
117,0.019970,0.019970,0.043595,19.730827,19.537
118,0.019900,0.019900,0.043335,19.684238,19.689
119,0.019832,0.019832,0.043085,19.639809,13.612
120,0.019764,0.019764,0.042842,19.590570,17.450
121,0.019698,0.019698,0.042600,19.548229,14.356
122,0.019632,0.019632,0.042363,19.504274,18.968
123,0.019568,0.019568,0.042129,19.465706,20.148
124,0.019504,0.019504,0.041898,19.438324,18.062
125,0.019442,0.019442,0.041677,19.397591,13.265
126,0.019380,0.019380,0.041453,19.366539,19.002
127,0.019320,0.019320,0.041235,19.335819,20.022
128,0.019260,0.019260,0.041024,19.305111,20.520
129,0.019201,0.019201,0.040811,19.274780,17.372
130,0.019143,0.019143,0.040608,19.246990,14.445
131,0.019086,0.019086,0.040403,19.224293,20.333
132,0.019030,0.019030,0.040204,19.199112,17.205
133,0.018974,0.018974,0.040011,19.174345,20.237
134,0.018920,0.018920,0.039816,19.157906,18.299
135,0.018866,0.018866,0.039634,19.134586,14.072
136,0.018813,0.018813,0.039447,19.124479,15.251
137,0.018760,0.018760,0.039265,19.110001,19.230
138,0.018708,0.018708,0.039094,19.094481,18.781
139,0.018657,0.018657,0.038919,19.080143,20.013
140,0.018607,0.018607,0.038743,19.066326,15.570
141,0.018557,0.018557,0.038576,19.057819,17.215
142,0.018508,0.018508,0.038414,19.040932,19.466
143,0.018460,0.018460,0.038249,19.029755,18.629
144,0.018412,0.018412,0.038087,19.028893,19.707
145,0.018365,0.018365,0.037933,19.016674,15.359
146,0.018318,0.018318,0.037779,19.017193,16.966
147,0.018272,0.018272,0.037628,19.016773,18.762
148,0.018227,0.018227,0.037475,19.009094,19.529
149,0.018182,0.018182,0.037329,19.007942,19.950
150,0.018138,0.018138,0.037187,19.002558,15.161
151,0.018094,0.018094,0.037043,18.999004,15.164
152,0.018051,0.018051,0.036903,19.000427,15.681
153,0.018009,0.018009,0.036765,19.001671,19.999
154,0.017967,0.017967,0.036629,19.002563,19.694
155,0.017925,0.017925,0.036497,19.002682,18.398
156,0.017884,0.017884,0.036366,19.004112,13.208
157,0.017844,0.017844,0.036233,19.002254,20.590
158,0.017804,0.017804,0.036109,18.998051,17.860
159,0.017764,0.017764,0.035980,18.990944,20.370
160,0.017725,0.017725,0.035858,18.979256,18.309
161,0.017686,0.017686,0.035728,18.975952,14.191
162,0.017648,0.017648,0.035612,18.967617,18.236
163,0.017610,0.017610,0.035490,18.963636,19.488
164,0.017572,0.017572,0.035374,18.960564,20.184
165,0.017535,0.017535,0.035251,18.953278,18.649
166,0.017499,0.017499,0.035141,18.954863,13.766
167,0.017463,0.017463,0.035020,18.951107,19.834
168,0.017427,0.017427,0.034912,18.949257,21.166
169,0.017391,0.017391,0.034800,18.951759,17.531
170,0.017356,0.017356,0.034687,18.944696,17.627
171,0.017322,0.017322,0.034579,18.945518,13.601
172,0.017287,0.017287,0.034474,18.944895,17.999
173,0.017253,0.017253,0.034367,18.944780,17.919
174,0.017220,0.017220,0.034262,18.945026,16.914
175,0.017186,0.017186,0.034157,18.939804,18.117
176,0.017153,0.017153,0.034057,18.935978,18.593
177,0.017121,0.017121,0.033954,18.939678,17.993
178,0.017088,0.017088,0.033857,18.936287,15.801
179,0.017057,0.017057,0.033758,18.936060,14.553
180,0.017025,0.017025,0.033660,18.936813,17.338
181,0.016994,0.016994,0.033563,18.935333,18.177
182,0.016963,0.016963,0.033465,18.936455,17.164
183,0.016932,0.016932,0.033372,18.931885,18.226
184,0.016902,0.016902,0.033278,18.935364,18.005
185,0.016872,0.016872,0.033184,18.932138,17.851
186,0.016842,0.016842,0.033093,18.932877,15.102
187,0.016812,0.016812,0.033004,18.930012,14.506
188,0.016783,0.016783,0.032916,18.928625,17.859
189,0.016754,0.016754,0.032826,18.934286,18.102
190,0.016726,0.016726,0.032739,18.928745,17.305
191,0.016697,0.016697,0.032658,18.933384,17.985
192,0.016669,0.016669,0.032566,18.935143,17.529
193,0.016641,0.016641,0.032484,18.930597,18.257
194,0.016613,0.016613,0.032409,18.931152,14.737
195,0.016586,0.016586,0.032318,18.924633,15.366
196,0.016559,0.016559,0.032254,18.918135,16.301
197,0.016532,0.016532,0.032167,18.917639,15.291
198,0.016505,0.016505,0.032096,18.915531,18.355
199,0.016479,0.016479,0.032008,18.913630,17.563
