epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.113233,0.113233,0.121033,0.000000,9.135
2,0.107791,0.107791,0.119604,0.000000,10.609
3,0.102738,0.102738,0.123302,0.186908,10.621
4,0.098034,0.098034,0.127059,0.249208,10.674
5,0.093649,0.093649,0.130493,0.407088,10.657
6,0.089555,0.089555,0.133453,0.722273,10.707
7,0.085732,0.085732,0.135853,0.988181,10.757
8,0.082166,0.082166,0.137654,1.302352,10.807
9,0.078844,0.078844,0.138854,1.752651,10.778
10,0.075757,0.075757,0.139472,2.353878,10.808
11,0.072896,0.072896,0.139546,3.089793,10.821
12,0.070246,0.070246,0.139131,3.891673,10.815
13,0.067792,0.067792,0.138278,4.743539,10.823
14,0.065512,0.065512,0.137041,5.675347,10.831
15,0.063387,0.063387,0.135469,6.701638,10.830
16,0.061399,0.061399,0.133606,7.833471,10.841
17,0.059530,0.059530,0.131494,9.058616,10.845
18,0.057768,0.057768,0.129168,10.339920,10.850
19,0.056102,0.056102,0.126660,11.655966,10.874
20,0.054524,0.054524,0.123996,12.996926,10.854
21,0.053029,0.053029,0.121200,14.359202,10.876
22,0.051611,0.051611,0.118296,15.739130,10.871
23,0.050266,0.050266,0.115306,17.126337,10.876
24,0.048990,0.048990,0.112252,18.503483,10.884
25,0.047780,0.047780,0.109152,19.851849,10.893
26,0.046632,0.046632,0.106023,21.157688,10.881
27,0.045543,0.045543,0.102879,22.409025,10.902
28,0.044508,0.044508,0.099737,23.598637,10.892
29,0.043523,0.043523,0.096608,24.719048,10.890
30,0.042586,0.042586,0.093509,25.763025,10.925
31,0.041693,0.041693,0.090455,26.723307,10.914
32,0.040840,0.040840,0.087462,27.602116,10.929
33,0.040024,0.040024,0.084540,28.409389,10.910
34,0.039245,0.039245,0.081697,29.151522,10.924
35,0.038499,0.038499,0.078942,29.829506,10.924
36,0.037785,0.037785,0.076283,30.442745,10.921
37,0.037101,0.037101,0.073729,30.985075,10.943
38,0.036447,0.036447,0.071277,31.451143,10.940
39,0.035820,0.035820,0.068920,31.841618,10.944
40,0.035221,0.035221,0.066652,32.158844,10.932
41,0.034648,0.034648,0.064470,32.413101,10.918
42,0.034099,0.034099,0.062369,32.617104,10.936
43,0.033573,0.033573,0.060343,32.773857,10.920
44,0.033071,0.033071,0.058389,32.886978,10.953
45,0.032590,0.032590,0.056713,32.953438,10.939
46,0.032131,0.032131,0.055208,32.974422,10.941
47,0.031691,0.031691,0.053788,32.959068,10.965
48,0.031271,0.031271,0.052453,32.924801,10.946
49,0.030870,0.030870,0.051196,32.870132,10.951
50,0.030485,0.030485,0.050013,32.789001,10.961
51,0.030117,0.030117,0.048910,32.674854,10.943
52,0.029763,0.029763,0.047889,32.519127,10.967
53,0.029423,0.029423,0.046940,32.336727,10.944
54,0.029097,0.029097,0.046057,32.121796,10.955
55,0.028783,0.028783,0.045239,31.881273,10.950
56,0.028481,0.028481,0.044481,31.632311,10.967
57,0.028190,0.028190,0.043774,31.376654,10.948
58,0.027910,0.027910,0.043118,31.122568,10.957
59,0.027640,0.027640,0.042506,30.875357,10.965
60,0.027380,0.027380,0.041936,30.637642,10.953
61,0.027128,0.027128,0.041399,30.401054,10.956
62,0.026884,0.026884,0.040891,30.172722,10.966
63,0.026648,0.026648,0.040409,29.936266,10.959
64,0.026419,0.026419,0.039953,29.696445,10.961
65,0.026197,0.026197,0.039519,29.453388,10.964
66,0.025982,0.025982,0.039103,29.209114,10.958
67,0.025773,0.025773,0.038705,28.969261,10.948
68,0.025570,0.025570,0.038323,28.734638,10.953
69,0.025372,0.025372,0.037954,28.498882,10.963
70,0.025181,0.025181,0.037599,28.263645,10.957
71,0.024994,0.024994,0.037256,28.024454,10.957
72,0.024813,0.024813,0.036924,27.792601,10.951
73,0.024637,0.024637,0.036604,27.567139,10.944
74,0.024465,0.024465,0.036293,27.347431,10.951
75,0.024297,0.024297,0.035992,27.144463,10.962
76,0.024135,0.024135,0.035700,26.962177,10.966
77,0.023976,0.023976,0.035417,26.784149,10.972
78,0.023821,0.023821,0.035142,26.613352,10.958
79,0.023670,0.023670,0.034874,26.454130,10.962
80,0.023522,0.023522,0.034613,26.306282,10.952
81,0.023378,0.023378,0.034359,26.165413,10.963
82,0.023237,0.023237,0.034113,26.020411,10.959
83,0.023100,0.023100,0.033872,25.876995,10.971
84,0.022966,0.022966,0.033638,25.737537,10.955
85,0.022834,0.022834,0.033412,25.589481,10.946
86,0.022706,0.022706,0.033190,25.437817,10.962
87,0.022580,0.022580,0.032975,25.282625,10.965
88,0.022457,0.022457,0.032765,25.137556,10.954
89,0.022337,0.022337,0.032559,24.988609,10.962
90,0.022218,0.022218,0.032358,24.854834,10.947
91,0.022102,0.022102,0.032161,24.722330,10.956
