frame_idx,psnr,ssim,lpips,psnr_temporal
0,36.354549,0.928650,0.127331,
1,36.940155,0.945700,0.100132,44.085999
2,37.292336,0.949417,0.091330,45.711255
3,37.376495,0.950627,0.089454,46.250332
4,37.520164,0.951980,0.086727,46.122266
5,37.314030,0.946885,0.101956,45.731057
6,37.991112,0.957414,0.074410,46.575128
7,38.243374,0.959577,0.068225,47.502517
8,38.309776,0.960367,0.066218,47.579837
9,38.255497,0.960192,0.066172,47.245857
10,38.166138,0.959519,0.067701,47.208036
11,38.596794,0.963735,0.055652,47.511470
12,38.695175,0.964479,0.055536,47.347881
13,38.775948,0.964768,0.054568,47.377846
14,38.801701,0.964678,0.055148,47.232488
15,38.506744,0.962652,0.060477,47.083812
16,38.824760,0.966139,0.051397,46.410117
17,38.927982,0.966709,0.050408,46.676595
18,38.953957,0.966645,0.051025,46.911727
19,39.009060,0.966732,0.051142,47.400426
20,38.834259,0.965260,0.056322,48.034192
21,39.090046,0.967871,0.046869,48.027161
22,39.152653,0.968311,0.045470,47.681514
23,39.065361,0.967709,0.046898,47.305727
24,38.992668,0.967207,0.049292,47.196409
25,38.908566,0.966234,0.052692,47.843060
26,39.186462,0.968833,0.044330,47.529914
27,39.302238,0.969647,0.043327,47.830741
28,39.333088,0.969841,0.042966,48.555987
29,39.354012,0.969532,0.044146,48.477041
30,39.203854,0.968278,0.048043,49.159165
31,39.461842,0.970651,0.039795,48.800593
32,39.593292,0.971369,0.039323,48.621997
33,39.523071,0.970980,0.041009,48.480758
34,39.499088,0.970600,0.041239,48.386951
35,39.383537,0.969914,0.044452,49.268272
36,39.603970,0.971756,0.038371,49.024790
37,39.626846,0.972166,0.036837,48.565053
38,39.572399,0.971778,0.037213,47.985916
39,39.469391,0.971078,0.039632,47.568177
40,39.338871,0.970232,0.043269,48.062426
41,39.382664,0.970913,0.039948,47.615435
42,39.180752,0.970535,0.040795,46.798233
43,39.089775,0.970020,0.041483,45.832731
44,38.672676,0.968602,0.046023,44.886989
45,38.189243,0.966662,0.050162,44.076697
46,38.326523,0.967558,0.046120,43.553558
47,38.510372,0.968442,0.044586,43.718858
48,38.302563,0.967460,0.044945,43.774168
49,38.326611,0.966480,0.047170,43.712701
50,38.152889,0.965216,0.050105,44.413213
51,38.349651,0.967045,0.044892,43.982725
52,38.373650,0.967476,0.045969,44.134458
53,38.179497,0.967022,0.047959,43.908241
54,38.280102,0.966995,0.049524,44.185562
55,38.229591,0.966030,0.052915,45.171081
56,29.969044,0.914852,0.091795,36.499836
57,26.240681,0.828031,0.195060,35.356666
58,21.245872,0.669097,0.365889,31.275821
59,17.313778,0.507926,0.503762,29.540357
60,15.174881,0.398813,0.581981,30.289188
61,14.064456,0.327546,0.619855,32.047156
62,13.589270,0.291719,0.639960,33.614177
63,13.306556,0.267268,0.653670,33.967702
64,13.195573,0.257132,0.661772,34.107658
65,13.094467,0.252952,0.662058,33.958603
66,13.076668,0.251828,0.663766,34.497697
67,13.158326,0.260835,0.659816,34.508242
68,13.310474,0.274882,0.649586,34.327711
69,13.658314,0.300413,0.636410,34.550089
70,14.251186,0.349038,0.608389,34.252113
71,15.367719,0.422589,0.561657,32.920539
72,17.597292,0.531274,0.480899,30.896967
73,21.674545,0.686839,0.345666,29.340167
74,26.145651,0.828488,0.188876,31.355350
75,29.948568,0.909994,0.097964,35.174941
76,37.933464,0.968307,0.044134,36.641919
77,37.994190,0.969257,0.041577,45.251229
78,38.020218,0.969383,0.042369,44.794337
79,37.948826,0.968332,0.045993,45.388167
80,38.176529,0.970341,0.039496,45.346469
81,38.171974,0.970291,0.036580,45.630296
82,38.217625,0.969661,0.037232,45.735516
83,37.986069,0.968048,0.039236,45.410155
84,37.712044,0.964913,0.049118,45.312344
85,38.051029,0.968639,0.038969,44.929691
86,38.139462,0.969422,0.039140,45.078914
87,38.234562,0.970087,0.038452,45.219982
88,38.221622,0.969861,0.039536,45.449036
89,38.192089,0.969766,0.041328,46.104450
90,38.451504,0.971825,0.035345,46.612330
91,38.553143,0.972119,0.035403,45.971882
92,38.498245,0.971836,0.035729,46.067114
93,38.578667,0.972040,0.036008,46.400321
94,38.353611,0.969967,0.040738,46.707171
95,38.583675,0.972019,0.034773,46.468786
96,38.548431,0.972042,0.034849,46.619669
97,38.494427,0.971905,0.035335,46.562342
98,38.279758,0.970763,0.036414,46.025948
99,37.709358,0.968157,0.044694,45.010180
100,37.915295,0.969953,0.039598,44.169357
101,37.998775,0.970052,0.040785,44.487485
102,37.840363,0.969114,0.041412,44.273732
103,36.763565,0.965804,0.050336,42.645807
104,37.168575,0.964537,0.048656,42.325833
105,37.328011,0.966595,0.043910,42.509868
106,37.476791,0.967037,0.042057,42.786917
107,37.731476,0.967952,0.041840,43.296565
108,37.936989,0.968725,0.040267,44.260173
109,37.689259,0.966848,0.045207,44.594439
110,37.844070,0.968169,0.041214,44.575580
111,37.547131,0.967605,0.041459,43.822455
112,37.715588,0.968479,0.040527,43.434048
113,37.596863,0.967885,0.041032,44.081874
114,37.720795,0.967274,0.044738,44.871479
115,38.081928,0.969660,0.039753,44.529284
116,38.077137,0.969895,0.039884,44.991298
117,38.019730,0.969073,0.042594,45.067153
118,37.838749,0.967728,0.044598,44.636520
119,37.553093,0.965237,0.049400,44.686872
120,37.990669,0.968663,0.043860,44.688645
121,37.834946,0.968113,0.046204,44.724424
122,37.703434,0.967664,0.043846,44.620257
123,37.469593,0.965820,0.047744,43.709509
124,36.804745,0.962278,0.054907,42.863314
125,36.652580,0.962533,0.050890,41.782612
126,36.147755,0.959710,0.057677,41.227975
127,35.743462,0.954573,0.063029,41.049311
128,35.408939,0.948185,0.077844,38.603229
129,35.613419,0.957384,0.058640,40.736721
130,36.129612,0.959329,0.055717,40.620969
131,36.510818,0.960887,0.053856,41.347087
132,36.485035,0.960422,0.057219,41.695569
133,36.591972,0.958503,0.064402,42.079524
134,37.049873,0.963721,0.051345,42.266823
135,37.355846,0.964936,0.048373,43.174237
136,37.177574,0.964747,0.046291,43.562744
137,37.017857,0.963549,0.047264,43.568495
138,36.998363,0.960419,0.057490,43.654496
139,37.199432,0.963870,0.048031,43.717269
140,37.362782,0.965571,0.046926,43.583448
141,37.325928,0.965505,0.045710,43.568239
142,37.062012,0.963278,0.049948,43.140307
143,36.625145,0.959850,0.058078,42.561108
144,36.747639,0.963307,0.051432,41.982859
145,36.888916,0.965280,0.050176,41.986267
146,36.898769,0.964942,0.051700,41.911845
147,36.608730,0.963132,0.056935,41.658072
148,36.239658,0.959448,0.064761,41.497006
149,36.459175,0.961966,0.057381,41.357498
150,36.571144,0.962465,0.053584,41.275749
151,36.214584,0.961521,0.052314,41.139533
152,36.419277,0.961471,0.053423,41.228309
153,36.227074,0.959851,0.056583,41.770562
154,36.175266,0.961648,0.051276,41.208006
155,36.018719,0.961356,0.048501,40.921884
156,36.377579,0.962202,0.048177,40.838731
157,36.510540,0.962758,0.050009,41.630251
158,35.747589,0.958821,0.056965,41.187307
159,35.841057,0.959949,0.051843,40.480124
160,36.559605,0.962502,0.050308,40.978611
161,36.514954,0.962092,0.048764,41.351417
162,36.593826,0.960867,0.052231,41.278240
163,36.481857,0.958702,0.057728,41.541140
164,36.876442,0.962404,0.049950,41.370435
165,37.390266,0.964316,0.050824,42.019739
166,37.456631,0.965181,0.049856,42.604688
167,37.622944,0.964249,0.053413,42.884641
168,37.484947,0.963099,0.054831,43.328447
169,37.922165,0.966410,0.050120,42.858999
170,37.961433,0.965389,0.049812,43.414194
171,28.657700,0.904176,0.095321,35.022534
172,25.603775,0.827440,0.190489,34.341111
173,21.954514,0.715621,0.325071,31.702185
174,18.617516,0.608780,0.430927,30.488850
175,16.525070,0.524789,0.501244,31.566625
176,15.372370,0.460053,0.540576,33.014165
177,14.762617,0.415170,0.568676,33.688329
178,14.441232,0.383717,0.586707,33.943549
179,14.241490,0.367455,0.592615,34.521367
180,14.196404,0.361611,0.594103,34.590665
181,14.208804,0.361186,0.593374,33.892919
182,14.266632,0.368360,0.590965,34.041151
183,14.413614,0.382104,0.586781,33.979027
184,14.694633,0.413173,0.573613,34.019016
185,15.208406,0.454383,0.548808,33.755102
186,16.140898,0.512903,0.512332,33.247132
187,18.002489,0.597326,0.446466,31.707411
188,21.438923,0.702080,0.342799,30.345420
189,25.666237,0.821592,0.208782,31.217263
190,29.331623,0.906644,0.097943,34.153234
191,37.947060,0.965112,0.049489,35.755787
192,37.550110,0.963814,0.051742,43.191035
193,37.484001,0.960027,0.066806,42.818248
194,37.495609,0.963521,0.052423,42.541908
195,37.463661,0.963366,0.050190,42.049298
196,37.367462,0.963300,0.051118,41.853727
197,37.298664,0.962614,0.052944,42.094731
198,37.113518,0.960642,0.056817,42.071867
199,37.420876,0.963367,0.048329,42.004652
200,37.484577,0.964101,0.046816,42.095019
201,37.365490,0.963778,0.051035,42.039415
202,37.275578,0.963482,0.054998,42.389648
203,37.608074,0.962068,0.060025,43.139032
204,28.028002,0.890820,0.111382,34.311970
205,25.023014,0.814823,0.211582,33.635821
206,21.482361,0.710077,0.330012,31.355562
207,18.401741,0.601122,0.436514,30.561253
208,16.534660,0.514389,0.506068,31.836123
209,15.511064,0.453706,0.542694,32.781283
210,14.835329,0.410682,0.568135,31.698392
211,14.458117,0.381376,0.583966,33.809952
212,14.209808,0.364686,0.593136,34.260185
213,14.096773,0.355095,0.599828,35.251559
214,13.991032,0.360708,0.592937,33.617854
