frame_idx,psnr,ssim,lpips,psnr_temporal
0,37.697811,0.944265,0.082496,
1,38.593819,0.960957,0.062439,45.629985
2,38.723518,0.961810,0.060663,47.123683
3,38.693748,0.961786,0.063653,47.987829
4,38.520714,0.960448,0.068860,48.063680
5,30.375763,0.870871,0.149050,36.897650
6,38.185455,0.959110,0.070917,37.004784
7,28.797058,0.851330,0.145424,35.225913
8,29.104309,0.860386,0.131919,37.168348
9,38.145729,0.959037,0.070197,35.558307
10,30.445242,0.887580,0.113291,37.081955
11,31.067577,0.897502,0.100224,39.756734
12,38.689266,0.963982,0.059675,37.710796
13,31.600109,0.908763,0.090720,38.296022
14,31.654877,0.912516,0.086904,39.930908
15,38.605438,0.962955,0.062658,38.331273
16,31.984787,0.918174,0.081896,38.621750
17,32.502815,0.924361,0.078701,39.653313
18,39.023899,0.966566,0.054583,39.262581
19,33.884655,0.935950,0.072260,40.973664
20,34.541328,0.940284,0.075096,42.632976
21,39.124191,0.967726,0.049335,42.053089
22,34.069313,0.940979,0.062343,41.148282
23,33.825478,0.938374,0.062984,42.177083
24,39.146400,0.967752,0.050436,40.857726
25,33.939526,0.939586,0.069088,41.118962
26,34.305424,0.942840,0.061821,42.037741
27,39.420807,0.969963,0.044730,41.464512
28,35.939487,0.953318,0.055960,43.783226
29,36.238411,0.954039,0.056258,44.944167
30,39.192219,0.968195,0.049108,44.302146
31,36.311562,0.954438,0.050431,44.226727
32,36.709209,0.957002,0.049211,45.712870
33,39.625565,0.971110,0.042147,44.713088
34,36.740818,0.957814,0.050420,44.820174
35,36.518623,0.957102,0.054380,46.743339
36,39.606239,0.971482,0.040751,44.702658
37,35.966805,0.955692,0.048329,43.552723
38,35.498165,0.952489,0.050380,44.072117
39,39.614937,0.971484,0.042071,42.726190
40,34.600300,0.948183,0.057391,41.750614
41,33.698677,0.942822,0.053778,42.082647
42,39.684772,0.972328,0.040754,40.494363
43,32.627563,0.935148,0.063138,39.165883
44,31.900423,0.930583,0.066656,39.283916
45,39.482414,0.971552,0.043789,38.331343
46,32.292374,0.931912,0.063338,38.713824
47,31.839153,0.932509,0.069621,38.913651
48,39.640388,0.972186,0.041320,38.210936
49,32.704185,0.933825,0.067176,39.220748
50,32.791931,0.932850,0.067570,40.387213
51,39.510963,0.971669,0.041532,39.353904
52,32.423729,0.933520,0.064384,38.907049
53,31.719173,0.929623,0.067743,38.922771
54,39.386024,0.971544,0.043101,38.188697
55,31.787811,0.932990,0.068040,38.355705
56,32.121506,0.934711,0.065219,38.687406
57,39.538704,0.973530,0.039194,38.675437
58,31.626547,0.933318,0.070010,38.140047
59,30.302334,0.922478,0.076715,37.868844
60,39.137215,0.972344,0.041013,36.668764
61,30.639736,0.925366,0.073365,36.998543
62,30.386311,0.921357,0.078429,36.748955
63,39.070885,0.973375,0.038431,36.685525
64,30.384010,0.917261,0.083943,36.788617
65,30.303104,0.918237,0.082621,35.941047
66,38.995193,0.973658,0.035589,36.643676
67,29.986944,0.915636,0.083348,36.307152
68,30.791796,0.919437,0.075249,36.422854
69,38.085133,0.968622,0.044935,37.357680
70,31.326427,0.922105,0.064837,37.832092
71,31.389627,0.920979,0.066101,38.605183
72,38.494774,0.971190,0.038563,37.967931
73,30.894913,0.920507,0.080909,37.396177
74,31.145615,0.922523,0.085773,37.708762
75,38.723217,0.972599,0.037437,37.724899
76,32.119247,0.932374,0.071391,38.756633
77,32.964588,0.936749,0.065385,39.693752
78,38.751732,0.973079,0.036637,39.754173
79,33.752655,0.942407,0.062686,40.849953
80,34.350056,0.947922,0.056355,41.756648
81,38.674984,0.972408,0.037351,41.603168
82,33.817394,0.945292,0.054400,40.906453
83,33.321606,0.941385,0.053258,41.393032
84,38.238373,0.967788,0.047685,40.288531
85,33.271072,0.939453,0.054635,40.145662
86,33.577579,0.940966,0.055094,40.801458
87,38.704025,0.972491,0.037486,40.514784
88,34.793533,0.949027,0.052442,42.073159
89,35.171383,0.951692,0.054952,43.775033
90,38.808220,0.973650,0.034616,42.978513
91,34.268093,0.948479,0.050434,41.440075
92,33.893322,0.946123,0.052075,42.156272
93,38.836159,0.973761,0.035351,41.098681
94,33.449318,0.944931,0.056067,40.585703
95,34.149792,0.950967,0.049667,42.357162
96,38.945145,0.974292,0.034404,41.383908
97,34.738319,0.952357,0.047355,42.187004
98,33.869221,0.949280,0.049356,42.580395
99,38.560932,0.971752,0.039557,40.934857
100,33.284870,0.945350,0.052338,40.222930
101,33.198830,0.944123,0.055469,40.765692
102,38.843559,0.973977,0.034798,40.022608
103,32.245804,0.934089,0.062455,38.923478
104,31.644896,0.927375,0.064075,38.975707
105,38.933266,0.974422,0.032801,38.183247
106,32.353863,0.934048,0.056117,38.993084
107,33.127625,0.939160,0.054592,39.986788
108,38.740189,0.972945,0.035879,40.010335
109,33.409370,0.942460,0.056161,40.498126
110,33.484196,0.944363,0.051544,41.121448
111,38.780170,0.973071,0.035658,40.442375
112,33.327438,0.941425,0.055168,40.183588
113,33.346649,0.942972,0.055696,40.580034
114,38.364555,0.971065,0.039701,40.523997
115,33.649174,0.941814,0.053917,40.516454
116,33.488190,0.942483,0.058743,41.351563
117,38.662407,0.973044,0.036339,40.520402
118,32.833904,0.939649,0.062781,39.692447
119,32.948448,0.939448,0.062182,40.962404
120,38.566746,0.972146,0.039113,39.938553
121,33.824768,0.945154,0.058110,40.899356
122,33.199615,0.940626,0.057539,42.140012
123,38.527382,0.971896,0.039155,40.102990
124,32.049149,0.931231,0.069318,38.839930
125,30.899698,0.926124,0.070809,37.647070
126,38.079487,0.969208,0.042169,37.392943
127,30.806313,0.921291,0.077301,37.528733
128,31.068838,0.918613,0.091447,36.398272
129,37.603237,0.966172,0.048079,37.863437
130,31.391542,0.929905,0.068220,38.040540
131,31.478205,0.928935,0.067363,38.565582
132,38.079487,0.969198,0.044734,38.082496
133,32.127747,0.927057,0.081686,38.938561
134,32.770962,0.935871,0.068010,39.000226
135,38.188240,0.969719,0.043899,39.716498
136,32.711502,0.936849,0.064721,39.612878
137,32.465263,0.933921,0.064667,39.759909
138,37.713497,0.965463,0.051448,39.386543
139,32.835480,0.934794,0.060370,39.775766
140,33.289383,0.938929,0.061265,40.531093
141,38.215698,0.971112,0.039780,40.182512
142,32.549614,0.931518,0.066576,39.282953
143,31.813736,0.922646,0.076341,39.090784
144,38.190456,0.971169,0.040140,38.460334
145,32.096714,0.930678,0.069848,38.735850
146,31.525879,0.927662,0.073084,38.488762
147,38.007172,0.969920,0.044633,38.022353
148,31.254568,0.923735,0.084430,37.894236
149,30.787661,0.918325,0.080200,37.288231
150,38.130585,0.971115,0.042251,37.184973
151,30.726101,0.918590,0.074419,37.115098
152,30.936260,0.922458,0.070851,37.028780
153,37.530411,0.967010,0.050654,37.437791
154,31.014910,0.926085,0.069297,37.493847
155,30.886520,0.924361,0.064463,37.330681
156,37.952679,0.970568,0.041539,37.312042
157,31.747692,0.928411,0.067108,38.307300
158,31.039837,0.923778,0.071503,37.851955
159,38.045662,0.969683,0.043495,37.455756
160,30.773930,0.924026,0.066290,37.139755
161,30.629923,0.921544,0.065716,37.456587
162,38.130642,0.969004,0.044107,36.900163
163,30.091785,0.912081,0.084036,36.459379
164,30.998810,0.918564,0.077084,36.546562
165,38.718246,0.971578,0.041080,37.332319
