epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.057608,0.057608,0.059246,0.000000,3.846
2,0.052384,0.052384,0.066281,12794.838867,3.609
3,0.047653,0.047653,0.070845,10760.724609,3.608
4,0.043339,0.043339,0.073137,9258.795898,3.612
5,0.039343,0.039343,0.073824,11365.248047,3.616
6,0.035717,0.035717,0.074388,10804.847656,3.621
7,0.032507,0.032507,0.075316,8799.954102,3.624
8,0.029712,0.029712,0.076619,10194.078125,3.627
9,0.027304,0.027304,0.077924,13255.375977,3.631
10,0.025240,0.025240,0.078775,13279.632812,3.634
11,0.023470,0.023470,0.078991,11232.148438,3.639
12,0.021939,0.021939,0.078631,10729.531250,3.643
13,0.020593,0.020593,0.077862,12132.615234,3.646
14,0.019386,0.019386,0.076855,12870.708984,3.648
15,0.018289,0.018289,0.075707,12112.644531,3.652
16,0.017286,0.017286,0.074456,11426.130859,3.655
17,0.016366,0.016366,0.073087,11747.429688,3.659
18,0.015522,0.015522,0.071564,12211.548828,3.661
19,0.014746,0.014746,0.069886,11967.156250,3.664
20,0.014033,0.014033,0.068100,11365.848633,3.668
21,0.013377,0.013377,0.066285,11006.264648,3.669
22,0.012771,0.012771,0.064504,10811.537109,3.671
23,0.012210,0.012210,0.062769,10475.878906,3.672
24,0.011691,0.011691,0.061055,10060.286133,3.673
25,0.011209,0.011209,0.059313,9761.736328,3.676
26,0.010764,0.010764,0.057513,9540.751953,3.679
27,0.010353,0.010353,0.055662,9272.708984,3.680
28,0.009976,0.009976,0.053804,8965.711914,3.683
29,0.009630,0.009630,0.052000,8669.181641,3.685
30,0.009312,0.009312,0.050303,8370.423828,3.685
31,0.009021,0.009021,0.048728,8061.479980,3.688
32,0.008752,0.008752,0.047248,7758.526367,3.689
33,0.008504,0.008504,0.045810,7444.868164,3.691
34,0.008273,0.008273,0.044368,7113.670898,3.693
35,0.008058,0.008058,0.042894,6822.335449,3.694
36,0.007857,0.007857,0.041392,6598.337402,3.694
37,0.007669,0.007669,0.039891,6374.396484,3.695
38,0.007494,0.007494,0.038424,6105.756836,3.697
39,0.007331,0.007331,0.037014,5848.415039,3.700
40,0.007178,0.007178,0.035671,5645.749023,3.700
41,0.007036,0.007036,0.034390,5450.859375,3.701
42,0.006902,0.006902,0.033156,5224.754883,3.701
43,0.006776,0.006776,0.031958,5002.062500,3.702
44,0.006657,0.006657,0.030786,4814.639648,3.703
45,0.006545,0.006545,0.029632,4645.298828,3.703
46,0.006439,0.006439,0.028496,4477.542480,3.705
47,0.006338,0.006338,0.027386,4319.014160,3.704
48,0.006242,0.006242,0.026305,4174.377930,3.707
49,0.006151,0.006151,0.025262,4039.948486,3.707
50,0.006064,0.006064,0.024262,3913.587158,3.709
51,0.005982,0.005982,0.023306,3790.723145,3.707
52,0.005904,0.005904,0.022392,3668.413330,3.709
53,0.005830,0.005830,0.021510,3553.336426,3.710
54,0.005759,0.005759,0.020654,3448.321289,3.710
55,0.005691,0.005691,0.019819,3348.282471,3.712
56,0.005626,0.005626,0.019004,3254.110352,3.712
57,0.005563,0.005563,0.018215,3170.597656,3.713
58,0.005503,0.005503,0.017457,3092.937744,3.713
59,0.005445,0.005445,0.016733,3015.961426,3.714
60,0.005390,0.005390,0.016044,2942.754395,3.714
61,0.005337,0.005337,0.015386,2874.149658,3.715
62,0.005287,0.005287,0.014755,2806.189453,3.715
63,0.005238,0.005238,0.014151,2740.355225,3.716
64,0.005192,0.005192,0.013575,2679.951172,3.715
65,0.005147,0.005147,0.013027,2623.946777,3.717
66,0.005104,0.005104,0.012509,2570.308594,3.716
67,0.005062,0.005062,0.012019,2519.026123,3.717
68,0.005022,0.005022,0.011558,2470.145508,3.717
69,0.004984,0.004984,0.011124,2422.726074,3.719
70,0.004948,0.004948,0.010720,2376.272705,3.719
71,0.004913,0.004913,0.010344,2330.340820,3.718
72,0.004879,0.004879,0.009997,2286.334717,3.720
73,0.004847,0.004847,0.009673,2245.142090,3.719
74,0.004816,0.004816,0.009373,2206.385498,3.719
75,0.004786,0.004786,0.009094,2168.738770,3.721
76,0.004757,0.004757,0.008834,2133.191406,3.720
77,0.004730,0.004730,0.008594,2098.742432,3.721
78,0.004703,0.004703,0.008375,2064.298828,3.721
79,0.004678,0.004678,0.008172,2030.112793,3.721
80,0.004654,0.004654,0.007985,1996.903076,3.721
81,0.004630,0.004630,0.007812,1964.645630,3.722
82,0.004608,0.004608,0.007651,1933.639404,3.722
83,0.004586,0.004586,0.007502,1904.057861,3.723
84,0.004565,0.004565,0.007363,1875.610718,3.723
85,0.004545,0.004545,0.007235,1847.453491,3.723
86,0.004526,0.004526,0.007115,1820.429810,3.723
87,0.004507,0.004507,0.007003,1793.262817,3.724
88,0.004489,0.004489,0.006901,1767.163452,3.724
89,0.004472,0.004472,0.006805,1741.578369,3.725
90,0.004455,0.004455,0.006717,1717.093750,3.726
91,0.004438,0.004438,0.006636,1693.290405,3.724
92,0.004423,0.004423,0.006560,1670.467285,3.723
93,0.004407,0.004407,0.006488,1648.126953,3.725
94,0.004392,0.004392,0.006453,1626.923096,3.725
95,0.004378,0.004378,0.006441,1606.011963,3.726
96,0.004364,0.004364,0.006428,1585.439697,3.726
97,0.004350,0.004350,0.006416,1565.996338,3.727
98,0.004337,0.004337,0.006405,1546.653076,3.726
99,0.004324,0.004324,0.006392,1528.177979,3.727
100,0.004312,0.004312,0.006382,1510.359863,3.726
101,0.004300,0.004300,0.006370,1493.183105,3.727
102,0.004288,0.004288,0.006360,1476.250000,3.726
103,0.004276,0.004276,0.006348,1459.677368,3.726
104,0.004265,0.004265,0.006339,1443.568970,3.726
105,0.004254,0.004254,0.006328,1427.894531,3.726
106,0.004243,0.004243,0.006318,1412.710449,3.726
107,0.004233,0.004233,0.006309,1397.610596,3.727
108,0.004223,0.004223,0.006298,1383.149414,3.726
109,0.004213,0.004213,0.006290,1369.370728,3.728
110,0.004203,0.004203,0.006281,1355.471191,3.727
111,0.004193,0.004193,0.006271,1341.954102,3.727
112,0.004184,0.004184,0.006262,1329.005981,3.728
113,0.004175,0.004175,0.006254,1316.017090,3.728
114,0.004166,0.004166,0.006245,1303.613525,3.728
115,0.004157,0.004157,0.006236,1291.209961,3.729
116,0.004149,0.004149,0.006229,1279.272461,3.729
117,0.004140,0.004140,0.006221,1267.653809,3.729
118,0.004132,0.004132,0.006214,1255.757202,3.729
119,0.004124,0.004124,0.006207,1244.890869,3.728
120,0.004116,0.004116,0.006199,1234.077759,3.729
121,0.004109,0.004109,0.006192,1222.908936,3.730
122,0.004101,0.004101,0.006185,1212.685547,3.730
123,0.004094,0.004094,0.006178,1202.290405,3.729
124,0.004086,0.004086,0.006170,1192.330078,3.731
125,0.004079,0.004079,0.006165,1182.762695,3.728
126,0.004072,0.004072,0.006157,1172.935425,3.729
127,0.004066,0.004066,0.006151,1163.691406,3.730
128,0.004059,0.004059,0.006144,1154.455811,3.728
129,0.004052,0.004052,0.006139,1145.368774,3.729
130,0.004045,0.004045,0.006131,1136.465576,3.730
131,0.004039,0.004039,0.006126,1127.595093,3.729
132,0.004033,0.004033,0.006118,1119.259033,3.730
133,0.004027,0.004027,0.006113,1110.904907,3.731
134,0.004021,0.004021,0.006107,1102.513184,3.730
135,0.004015,0.004015,0.006102,1094.402588,3.730
136,0.004009,0.004009,0.006096,1086.365356,3.731
137,0.004003,0.004003,0.006090,1078.586182,3.730
138,0.003997,0.003997,0.006086,1070.806152,3.731
139,0.003992,0.003992,0.006080,1063.139526,3.731
140,0.003986,0.003986,0.006074,1055.610229,3.731
141,0.003981,0.003981,0.006069,1048.165283,3.731
142,0.003975,0.003975,0.006064,1040.763916,3.732
143,0.003970,0.003970,0.006058,1033.648804,3.733
144,0.003965,0.003965,0.006053,1026.577515,3.731
145,0.003959,0.003959,0.006048,1019.870239,3.732
146,0.003954,0.003954,0.006043,1012.752380,3.731
147,0.003949,0.003949,0.006039,1006.251282,3.732
148,0.003944,0.003944,0.006033,999.487549,3.732
149,0.003940,0.003940,0.006028,993.097534,3.732
150,0.003935,0.003935,0.006023,986.360718,3.732
151,0.003930,0.003930,0.006018,980.471558,3.732
152,0.003925,0.003925,0.006014,973.677979,3.732
153,0.003921,0.003921,0.006009,968.045593,3.732
154,0.003916,0.003916,0.006005,961.490234,3.733
155,0.003912,0.003912,0.006000,955.767273,3.731
156,0.003908,0.003908,0.005996,950.025085,3.731
157,0.003903,0.003903,0.005991,943.974487,3.733
158,0.003899,0.003899,0.005988,938.328186,3.733
159,0.003895,0.003895,0.005982,932.523926,3.733
160,0.003890,0.003890,0.005978,927.192017,3.735
161,0.003886,0.003886,0.005975,921.546143,3.733
162,0.003882,0.003882,0.005968,916.207031,3.732
163,0.003878,0.003878,0.005967,910.642090,3.732
164,0.003874,0.003874,0.005960,905.557495,3.730
165,0.003870,0.003870,0.005958,900.170776,3.733
166,0.003866,0.003866,0.005953,894.951904,3.734
167,0.003863,0.003863,0.005950,889.940918,3.733
168,0.003859,0.003859,0.005945,885.152466,3.734
169,0.003855,0.003855,0.005941,880.033997,3.735
170,0.003852,0.003852,0.005938,874.984070,3.733
171,0.003848,0.003848,0.005933,870.054443,3.735
172,0.003844,0.003844,0.005929,865.299255,3.735
173,0.003841,0.003841,0.005926,860.435303,3.733
174,0.003838,0.003838,0.005921,855.727356,3.734
175,0.003834,0.003834,0.005919,851.248657,3.734
176,0.003831,0.003831,0.005915,846.818115,3.734
177,0.003828,0.003828,0.005911,841.987122,3.735
178,0.003824,0.003824,0.005908,837.703857,3.734
179,0.003821,0.003821,0.005905,833.312256,3.734
180,0.003818,0.003818,0.005901,828.885986,3.735
181,0.003815,0.003815,0.005898,824.424194,3.735
182,0.003811,0.003811,0.005894,820.226257,3.735
183,0.003808,0.003808,0.005892,815.979858,3.735
184,0.003805,0.003805,0.005888,811.794495,3.735
185,0.003802,0.003802,0.005885,807.473999,3.735
186,0.003799,0.003799,0.005881,803.397522,3.737
187,0.003796,0.003796,0.005879,799.400635,3.736
188,0.003793,0.003793,0.005876,795.497803,3.735
189,0.003790,0.003790,0.005872,791.615967,3.737
190,0.003788,0.003788,0.005870,787.489685,3.736
191,0.003785,0.003785,0.005867,783.567627,3.735
192,0.003782,0.003782,0.005863,779.856445,3.735
193,0.003779,0.003779,0.005861,775.926025,3.736
194,0.003776,0.003776,0.005857,772.526550,3.737
195,0.003774,0.003774,0.005855,768.816772,3.736
196,0.003771,0.003771,0.005851,764.937866,3.736
197,0.003768,0.003768,0.005850,761.570618,3.735
198,0.003766,0.003766,0.005846,758.053894,3.737
199,0.003763,0.003763,0.005845,754.148682,3.736
200,0.003760,0.003760,0.005840,751.087524,3.736
201,0.003758,0.003758,0.005839,747.416931,3.737
202,0.003755,0.003755,0.005836,743.974731,3.735
