frame_idx,psnr,ssim,lpips,psnr_temporal
0,50.306377,0.994633,,
1,50.965305,0.995015,,61.521586
2,51.059830,0.995085,,63.803295
3,51.153572,0.995231,,61.435323
4,51.141773,0.995225,,63.153208
5,51.050041,0.995134,,62.966304
6,51.193943,0.995299,,61.486784
7,51.323753,0.995338,,61.793696
8,51.374481,0.995358,,62.000128
9,51.326019,0.995360,,60.565727
10,51.251366,0.995326,,61.593420
11,51.099300,0.995228,,61.694303
12,51.037415,0.995152,,60.123082
13,51.097496,0.995166,,61.581386
14,51.169125,0.995140,,60.716325
15,51.251068,0.995192,,58.469083
16,51.180450,0.995255,,59.073131
17,50.868477,0.995092,,59.054064
18,50.611042,0.994694,,56.715997
19,50.589771,0.994540,,56.628757
20,50.777966,0.994958,,56.449534
21,49.965534,0.993950,,56.030936
22,50.551952,0.994102,,55.470285
23,50.967316,0.994659,,56.691399
24,50.998520,0.994505,,57.181108
25,50.967262,0.994502,,56.737339
26,50.773300,0.994463,,57.240459
27,50.756363,0.994237,,57.284503
28,50.757324,0.994265,,56.612115
29,50.683331,0.994184,,57.127256
30,50.062252,0.993196,,54.705199
31,50.144363,0.993243,,55.760156
32,49.751225,0.992724,,56.631678
33,49.863945,0.993300,,55.811665
34,49.895035,0.993310,,55.360445
35,48.671741,0.993050,,55.012209
36,42.532936,0.991831,,48.425737
37,46.769886,0.992204,,47.923384
38,45.858353,0.991631,,49.798906
39,45.306858,0.990785,,49.130117
40,48.786335,0.992509,,52.410503
41,44.848499,0.990992,,50.771543
42,43.127483,0.989914,,50.869027
43,42.965256,0.989443,,52.131688
44,44.726940,0.990468,,51.946112
45,45.742588,0.990775,,51.021015
46,42.476326,0.990510,,47.177609
47,42.243607,0.990132,,45.787454
48,48.380371,0.991463,,47.981711
49,46.111263,0.990729,,50.865216
50,44.230293,0.989420,,48.883573
51,46.158615,0.990155,,50.445215
52,44.300541,0.989398,,49.624525
53,44.224556,0.989289,,51.986825
54,45.141071,0.989094,,51.755140
55,46.387787,0.989735,,49.761532
56,46.704605,0.990209,,50.856563
57,47.830143,0.990516,,52.035914
58,47.876896,0.990567,,52.017889
59,47.552643,0.989882,,52.152912
60,47.901035,0.990138,,51.680747
61,47.843418,0.989963,,52.081928
62,48.028465,0.989927,,52.401004
63,48.318314,0.990165,,52.389997
64,48.278431,0.990421,,52.527390
65,48.227592,0.990491,,52.838274
66,48.171902,0.990416,,52.708491
67,41.732361,0.989002,,47.351311
68,42.581581,0.988550,,45.549727
69,44.070076,0.988404,,46.628044
70,44.103451,0.988124,,46.942659
71,45.088951,0.988706,,50.855006
72,44.410904,0.988464,,49.928238
73,43.125526,0.987172,,48.604621
74,43.280025,0.986803,,50.132933
75,43.522396,0.986281,,49.777995
76,44.013588,0.987411,,49.437465
77,44.416279,0.987774,,49.666334
78,45.340851,0.988804,,49.258627
79,46.099415,0.989132,,49.616031
80,39.308537,0.987604,,44.864551
81,42.485462,0.988191,,43.927945
82,44.336876,0.988083,,46.902894
83,43.635719,0.986785,,47.337839
84,44.524574,0.987490,,49.903975
85,44.213539,0.987463,,49.339050
86,43.026161,0.985898,,49.302626
87,42.819252,0.985124,,49.889327
88,41.656097,0.985429,,47.515083
89,39.833073,0.984706,,44.848706
90,45.097679,0.987414,,45.130693
91,43.496460,0.986014,,47.406724
92,42.174477,0.984077,,47.684474
93,44.447514,0.986656,,47.913264
94,42.852867,0.985976,,47.676690
95,41.701614,0.984295,,48.420942
96,41.696587,0.984629,,49.080338
97,41.976898,0.984161,,48.630483
98,42.212067,0.984143,,46.822617
99,42.598949,0.984322,,46.089475
100,43.256630,0.986040,,48.409808
101,39.705872,0.984052,,44.852508
102,43.344223,0.985148,,45.097945
103,44.237743,0.985673,,47.717942
104,43.256126,0.985240,,47.419756
105,41.675323,0.984570,,46.575834
106,38.790314,0.983136,,43.314060
107,39.780972,0.983028,,42.771147
108,39.809433,0.981322,,44.241161
109,41.423603,0.983010,,46.554549
110,40.362724,0.981705,,46.353857
111,40.267826,0.981135,,44.887277
112,39.513912,0.980253,,44.454006
113,39.910603,0.980757,,46.218332
114,36.967903,0.979220,,42.495250
115,39.283607,0.980136,,41.737622
116,41.440865,0.981247,,44.526185
117,41.535149,0.981819,,45.756637
118,41.484013,0.981437,,47.747603
119,42.599968,0.982318,,47.562604
120,41.358089,0.981559,,47.187207
121,41.350838,0.981872,,47.776828
122,41.592579,0.981381,,48.046206
123,38.648880,0.981405,,44.077330
124,41.024460,0.981982,,43.496873
125,42.738857,0.983365,,45.769700
126,43.962143,0.984102,,47.088739
127,43.183018,0.983157,,48.154041
128,43.313145,0.983651,,48.170048
129,42.856617,0.982382,,47.594761
130,42.256523,0.982283,,47.501842
131,38.483234,0.980865,,44.189673
132,39.907288,0.982117,,42.972060
133,42.708916,0.983458,,44.881036
134,42.964382,0.983510,,47.417662
135,42.685379,0.982917,,47.330476
136,43.705143,0.983761,,47.421864
137,43.013260,0.983314,,48.095326
138,42.854671,0.983480,,48.640654
139,43.463383,0.983372,,48.800462
140,44.837334,0.984986,,48.958280
141,42.112003,0.983746,,47.075903
142,40.110813,0.983239,,44.652758
143,43.451996,0.983504,,45.465573
144,43.572769,0.983781,,47.260079
145,44.083237,0.984557,,49.356467
146,44.140129,0.984008,,49.067105
147,42.581726,0.981533,,48.405101
148,42.237206,0.981373,,48.006622
149,42.816277,0.982038,,48.101841
150,42.980076,0.982197,,47.892870
151,43.204365,0.983037,,47.528139
152,43.317986,0.983441,,48.455036
153,43.975212,0.984081,,48.332090
154,44.472603,0.984290,,48.382888
155,44.771980,0.985317,,49.162234
156,45.313107,0.986651,,49.539340
157,45.798409,0.987258,,50.280380
158,44.863392,0.986859,,50.052844
159,43.644432,0.986083,,49.159758
160,41.900917,0.984989,,46.554735
161,44.391815,0.986712,,47.069488
162,45.320038,0.986700,,49.269609
163,43.968491,0.985933,,48.962249
164,45.240932,0.987089,,50.207086
165,44.430637,0.986707,,50.235864
166,44.296684,0.986036,,50.694728
167,44.467663,0.986161,,50.026994
168,44.620033,0.986155,,49.455056
169,44.695328,0.986318,,49.757418
170,44.895874,0.986755,,50.097608
171,45.252041,0.986380,,49.818454
172,45.773960,0.987286,,49.715994
173,46.321136,0.988243,,51.127549
174,46.374832,0.987821,,51.282712
175,46.483418,0.988225,,50.833901
176,46.163857,0.988060,,51.251107
177,46.441750,0.988445,,51.278877
178,46.492424,0.988184,,51.358329
179,46.902908,0.988591,,51.840853
180,47.008759,0.989133,,51.403619
181,46.839668,0.988915,,52.305088
182,47.041115,0.988993,,52.022320
183,47.602726,0.989805,,51.966537
184,47.015839,0.989439,,52.157162
185,47.031075,0.989423,,52.403710
186,47.310722,0.989908,,52.527160
187,47.200066,0.989651,,52.240900
188,46.980175,0.989645,,52.850759
189,47.350052,0.990150,,53.354079
190,47.948757,0.990831,,53.064645
191,47.933174,0.990857,,52.731926
192,47.210979,0.989961,,53.018211
193,47.084385,0.989733,,53.309906
194,47.846241,0.990825,,53.091474
195,48.204330,0.991023,,53.228223
196,47.965767,0.990466,,52.881171
197,47.591339,0.990493,,53.785869
198,47.687073,0.990623,,53.652575
199,47.421299,0.989991,,52.632745
200,47.719177,0.990473,,53.164486
201,48.175667,0.991069,,53.757101
202,48.275150,0.991278,,53.545663
203,48.442909,0.991219,,53.858080
204,48.603874,0.991464,,53.963648
205,48.272285,0.991175,,53.980016
206,48.111626,0.991058,,54.385442
207,47.474319,0.990595,,53.499286
208,47.577316,0.990785,,53.285370
209,47.850700,0.990800,,53.669958
210,47.988014,0.990890,,52.770461
211,47.909676,0.990775,,53.747866
212,48.045158,0.991127,,54.091579
213,48.095375,0.991087,,53.441947
214,48.090801,0.990904,,53.510236
215,48.127941,0.990832,,53.693616
216,48.162273,0.991088,,54.275292
217,48.502865,0.991659,,54.053520
218,48.766190,0.992005,,54.640595
219,48.506897,0.991613,,54.658334
220,48.556385,0.991613,,54.082903
221,48.366600,0.991762,,54.842503
222,48.240120,0.991606,,55.044322
223,48.456573,0.991791,,54.268882
224,48.681381,0.991991,,54.687983
225,48.825512,0.992020,,54.690838
226,48.794575,0.991906,,54.387166
227,48.858643,0.991933,,55.135451
228,48.872128,0.992078,,54.957996
229,48.664776,0.991890,,54.262817
230,48.396458,0.991362,,53.885801
231,48.015858,0.991306,,54.310484
232,48.928226,0.991991,,54.239122
233,49.026600,0.991952,,54.742061
234,48.683304,0.991676,,54.886345
235,48.791023,0.991824,,54.369959
236,48.578392,0.991607,,53.914756
237,48.127934,0.991326,,55.047084
238,48.688999,0.991822,,54.477812
239,49.100651,0.992103,,55.104090
240,49.048256,0.991859,,53.675335
241,48.935173,0.991968,,54.532506
242,48.484035,0.991230,,55.744439
243,48.850998,0.991770,,54.738888
244,48.919559,0.991955,,54.408585
245,48.741154,0.991714,,54.868287
246,48.524567,0.991359,,55.033437
247,48.720024,0.991485,,54.735737
248,49.005920,0.991897,,55.227071
249,48.739666,0.991690,,55.260097
250,48.211136,0.991431,,54.831273
251,48.643055,0.991654,,55.436328
252,48.778145,0.991655,,54.689577
253,48.144279,0.991053,,54.456675
254,48.181473,0.991025,,54.813919
