epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.058420,0.058420,0.062983,0.000000,2.890
2,0.052601,0.052602,0.062567,78211.671875,2.583
3,0.047626,0.047626,0.066230,275162.562500,2.590
4,0.043434,0.043434,0.069489,551574.312500,2.606
5,0.039964,0.039964,0.072097,881766.312500,2.626
6,0.037121,0.037121,0.073906,1248421.000000,2.641
7,0.034795,0.034795,0.074863,1641206.125000,2.656
8,0.032880,0.032880,0.075004,2054984.750000,2.656
9,0.031285,0.031285,0.074420,2487450.000000,2.666
10,0.029940,0.029940,0.073226,2937203.250000,2.676
11,0.028790,0.028790,0.071543,3402802.250000,2.690
12,0.027791,0.027791,0.069484,3882698.750000,2.704
13,0.026910,0.026910,0.067152,4375524.000000,2.714
14,0.026124,0.026124,0.064640,4880210.000000,2.724
15,0.025413,0.025413,0.062024,5396095.000000,2.732
16,0.024764,0.024764,0.059365,5922856.500000,2.739
17,0.024168,0.024168,0.056731,6460472.000000,2.750
18,0.023618,0.023618,0.054132,7009113.000000,2.759
19,0.023110,0.023110,0.051574,7568873.000000,2.767
20,0.022642,0.022642,0.049078,8139608.000000,2.773
21,0.022211,0.022211,0.046693,8720918.000000,2.786
22,0.021814,0.021814,0.044420,9312188.000000,2.797
23,0.021447,0.021447,0.042252,9912744.000000,2.806
24,0.021110,0.021110,0.040194,10521829.000000,2.815
25,0.020800,0.020800,0.038252,11138801.000000,2.815
26,0.020513,0.020513,0.036426,11763138.000000,2.816
27,0.020247,0.020247,0.034717,12394415.000000,2.828
28,0.020000,0.020000,0.033125,13032091.000000,2.837
29,0.019771,0.019771,0.031647,13675162.000000,2.846
30,0.019557,0.019557,0.030278,14322432.000000,2.847
31,0.019358,0.019358,0.029010,14973026.000000,2.854
32,0.019173,0.019173,0.027836,15626219.000000,2.859
33,0.019000,0.019000,0.026746,16280935.000000,2.863
34,0.018839,0.018839,0.025730,16935826.000000,2.871
35,0.018687,0.018687,0.024780,17589408.000000,2.871
36,0.018544,0.018544,0.023900,18240638.000000,2.872
37,0.018409,0.018409,0.023815,18888874.000000,2.881
38,0.018282,0.018282,0.023738,19533116.000000,2.890
39,0.018161,0.018161,0.023669,20172498.000000,2.892
40,0.018045,0.018045,0.023606,20806530.000000,2.896
41,0.017936,0.017936,0.023545,21434670.000000,2.900
42,0.017831,0.017831,0.023483,22056776.000000,2.903
43,0.017730,0.017730,0.023421,22672948.000000,2.905
44,0.017634,0.017634,0.023357,23283306.000000,2.904
45,0.017541,0.017541,0.023291,23887974.000000,2.910
46,0.017452,0.017452,0.023226,24486982.000000,2.910
47,0.017366,0.017366,0.023164,25080892.000000,2.918
48,0.017283,0.017283,0.023105,25670298.000000,2.918
49,0.017203,0.017203,0.023050,26255726.000000,2.921
50,0.017125,0.017125,0.022997,26837538.000000,2.924
51,0.017050,0.017050,0.022943,27415742.000000,2.926
52,0.016978,0.016978,0.022887,27990744.000000,2.924
53,0.016907,0.016907,0.022831,28562840.000000,2.933
54,0.016838,0.016838,0.022774,29132316.000000,2.928
55,0.016771,0.016771,0.022717,29699530.000000,2.937
56,0.016706,0.016706,0.022660,30265040.000000,2.940
57,0.016642,0.016642,0.022603,30828638.000000,2.939
58,0.016579,0.016579,0.022548,31391166.000000,2.940
59,0.016518,0.016518,0.022494,31952196.000000,2.940
60,0.016458,0.016458,0.022440,32512780.000000,2.941
61,0.016400,0.016400,0.022388,33072794.000000,2.939
62,0.016342,0.016342,0.022336,33633288.000000,2.939
63,0.016285,0.016285,0.022286,34193924.000000,2.939
64,0.016229,0.016229,0.022236,34755044.000000,2.943
65,0.016174,0.016174,0.022185,35317384.000000,2.959
66,0.016119,0.016119,0.022134,35880092.000000,2.959
67,0.016066,0.016066,0.022083,36445232.000000,2.960
68,0.016013,0.016013,0.022032,37011900.000000,2.959
69,0.015960,0.015960,0.021983,37581356.000000,2.960
70,0.015908,0.015908,0.021935,38152856.000000,2.959
71,0.015856,0.015856,0.021888,38727200.000000,2.959
72,0.015805,0.015805,0.021840,39303744.000000,2.961
73,0.015755,0.015755,0.021792,39882872.000000,2.959
74,0.015704,0.015704,0.021745,40465760.000000,2.959
75,0.015655,0.015655,0.021698,41050988.000000,2.959
76,0.015605,0.015605,0.021651,41639964.000000,2.953
77,0.015556,0.015556,0.021604,42231824.000000,2.960
78,0.015507,0.015507,0.021556,42826964.000000,2.960
79,0.015459,0.015459,0.021512,43424808.000000,2.960
80,0.015411,0.015411,0.021465,44026572.000000,2.960
81,0.015363,0.015363,0.021418,44631604.000000,2.958
82,0.015316,0.015316,0.021372,45239616.000000,2.959
83,0.015269,0.015269,0.021325,45851560.000000,2.959
84,0.015222,0.015222,0.021275,46466120.000000,2.961
85,0.015176,0.015176,0.021228,47083800.000000,2.959
86,0.015130,0.015130,0.021179,47705424.000000,2.958
87,0.015084,0.015084,0.021129,48329732.000000,2.960
88,0.015038,0.015038,0.021080,48957400.000000,2.960
89,0.014993,0.014993,0.021028,49589140.000000,2.961
90,0.014948,0.014948,0.020974,50224044.000000,2.959
91,0.014903,0.014903,0.020921,50862100.000000,2.957
92,0.014858,0.014858,0.020862,51503804.000000,2.959
93,0.014814,0.014814,0.020805,52149804.000000,2.963
94,0.014769,0.014769,0.020747,52797944.000000,2.978
95,0.014726,0.014726,0.020688,53451204.000000,2.979
96,0.014682,0.014682,0.020632,54106444.000000,2.980
97,0.014638,0.014638,0.020575,54766572.000000,2.977
98,0.014595,0.014595,0.020520,55428804.000000,2.978
99,0.014552,0.014552,0.020462,56095188.000000,2.963
100,0.014509,0.014509,0.020403,56765660.000000,2.978
101,0.014466,0.014466,0.020345,57438684.000000,2.978
102,0.014424,0.014424,0.020286,58116628.000000,2.977
103,0.014382,0.014382,0.020228,58797796.000000,2.961
104,0.014339,0.014339,0.020174,59482320.000000,2.979
105,0.014297,0.014297,0.020119,60171720.000000,2.980
106,0.014255,0.014255,0.020065,60863444.000000,2.979
107,0.014213,0.014213,0.020010,61560120.000000,2.980
108,0.014172,0.014172,0.019953,62259992.000000,2.979
109,0.014130,0.014130,0.019900,62964148.000000,2.977
110,0.014089,0.014089,0.019843,63671788.000000,2.980
111,0.014047,0.014047,0.019790,64383376.000000,2.981
112,0.014006,0.014006,0.019736,65098748.000000,2.979
113,0.013965,0.013965,0.019681,65817556.000000,2.980
114,0.013924,0.013924,0.019632,66541500.000000,2.978
115,0.013883,0.013883,0.019581,67267832.000000,2.979
116,0.013842,0.013842,0.019535,67999664.000000,2.980
117,0.013801,0.013801,0.019482,68734296.000000,2.980
118,0.013761,0.013761,0.019430,69473320.000000,2.980
119,0.013720,0.013720,0.019380,70216360.000000,2.979
120,0.013680,0.013680,0.019326,70962784.000000,2.979
121,0.013640,0.013640,0.019277,71712960.000000,2.978
122,0.013600,0.013600,0.019220,72466864.000000,2.980
123,0.013560,0.013560,0.019173,73223848.000000,2.980
124,0.013520,0.013520,0.019123,73985016.000000,2.980
125,0.013480,0.013480,0.019070,74748632.000000,2.979
126,0.013441,0.013441,0.019022,75517440.000000,2.979
127,0.013402,0.013402,0.018969,76286632.000000,2.978
128,0.013363,0.013363,0.018921,77061688.000000,2.980
129,0.013324,0.013324,0.018867,77837568.000000,2.979
130,0.013285,0.013285,0.018823,78618320.000000,2.978
131,0.013246,0.013246,0.018770,79400760.000000,2.979
132,0.013208,0.013208,0.018719,80186784.000000,2.979
133,0.013170,0.013170,0.018669,80975688.000000,2.981
134,0.013132,0.013132,0.018619,81766264.000000,2.977
135,0.013094,0.013094,0.018565,82560824.000000,2.979
136,0.013056,0.013056,0.018519,83356464.000000,2.980
137,0.013019,0.013019,0.018470,84155656.000000,2.979
138,0.012981,0.012981,0.018422,84956472.000000,2.980
139,0.012944,0.012944,0.018376,85759992.000000,2.979
140,0.012907,0.012907,0.018324,86565992.000000,2.980
141,0.012870,0.012870,0.018279,87374328.000000,2.977
142,0.012833,0.012833,0.018234,88185608.000000,2.979
143,0.012796,0.012796,0.018179,88998128.000000,2.980
144,0.012759,0.012759,0.018141,89814344.000000,2.979
145,0.012723,0.012723,0.018091,90632120.000000,2.979
146,0.012687,0.012687,0.018050,91452400.000000,2.979
147,0.012651,0.012651,0.018010,92274696.000000,2.978
148,0.012615,0.012615,0.017957,93099368.000000,2.980
149,0.012579,0.012579,0.017919,93926040.000000,2.980
150,0.012543,0.012543,0.017871,94755344.000000,2.979
151,0.012508,0.012508,0.017825,95586456.000000,2.990
152,0.012473,0.012473,0.017783,96418888.000000,2.981
153,0.012437,0.012437,0.017739,97254272.000000,2.979
154,0.012402,0.012402,0.017697,98090408.000000,2.980
155,0.012367,0.012367,0.017656,98929344.000000,2.977
156,0.012333,0.012333,0.017614,99768856.000000,2.980
157,0.012299,0.012299,0.017570,100610368.000000,2.980
158,0.012264,0.012264,0.017523,101453376.000000,2.980
159,0.012230,0.012230,0.017482,102296760.000000,2.979
160,0.012196,0.012196,0.017434,103142616.000000,2.978
161,0.012162,0.012162,0.017395,103988440.000000,2.979
162,0.012128,0.012128,0.017346,104835800.000000,2.979
163,0.012095,0.012095,0.017306,105683104.000000,2.980
164,0.012062,0.012062,0.017262,106531912.000000,2.979
165,0.012029,0.012029,0.017213,107380496.000000,2.981
166,0.011997,0.011997,0.017178,108229976.000000,2.978
167,0.011964,0.011964,0.017125,109080264.000000,2.981
168,0.011932,0.011932,0.017084,109930800.000000,2.977
169,0.011900,0.011900,0.017038,110781368.000000,2.981
170,0.011868,0.011868,0.016995,111633024.000000,2.989
171,0.011837,0.011837,0.016950,112483488.000000,2.987
172,0.011805,0.011805,0.016905,113334968.000000,2.980
173,0.011774,0.011774,0.016862,114185384.000000,2.978
174,0.011743,0.011743,0.016814,115036464.000000,2.979
175,0.011713,0.011713,0.016765,115886800.000000,2.980
176,0.011682,0.011682,0.016720,116736656.000000,2.979
177,0.011652,0.011652,0.016674,117586184.000000,2.997
178,0.011623,0.011623,0.016621,118435640.000000,2.982
179,0.011594,0.011594,0.016586,119284360.000000,2.996
180,0.011564,0.011564,0.016529,120133096.000000,2.982
181,0.011535,0.011535,0.016487,120980240.000000,2.995
182,0.011506,0.011506,0.016441,121828472.000000,2.982
183,0.011477,0.011477,0.016390,122675096.000000,2.997
184,0.011448,0.011448,0.016352,123522360.000000,2.982
185,0.011420,0.011420,0.016294,124368592.000000,2.997
186,0.011392,0.011392,0.016254,125214264.000000,2.983
187,0.011364,0.011364,0.016209,126060472.000000,2.997
188,0.011337,0.011337,0.016156,126904680.000000,2.997
189,0.011309,0.011309,0.016104,127749848.000000,2.985
190,0.011281,0.011281,0.016068,128593952.000000,2.994
191,0.011254,0.011254,0.016007,129437992.000000,2.980
192,0.011227,0.011227,0.015968,130281488.000000,2.998
193,0.011201,0.011201,0.015925,131124568.000000,2.997
194,0.011174,0.011174,0.015872,131967600.000000,2.989
195,0.011148,0.011148,0.015835,132809712.000000,2.993
196,0.011121,0.011121,0.015789,133652352.000000,2.996
197,0.011095,0.011095,0.015743,134494160.000000,2.997
198,0.011069,0.011069,0.015703,135335872.000000,2.983
199,0.011043,0.011043,0.015662,136176896.000000,2.998
200,0.011017,0.011017,0.015617,137017600.000000,2.999
201,0.010992,0.010992,0.015578,137857648.000000,2.982
202,0.010967,0.010967,0.015537,138697536.000000,2.998
203,0.010942,0.010942,0.015495,139536448.000000,2.998
204,0.010917,0.010917,0.015454,140375152.000000,2.997
205,0.010892,0.010892,0.015414,141213088.000000,2.998
206,0.010867,0.010867,0.015374,142050400.000000,2.984
207,0.010843,0.010843,0.015328,142887120.000000,2.997
208,0.010819,0.010819,0.015297,143722640.000000,2.998
209,0.010794,0.010794,0.015255,144558224.000000,2.999
210,0.010770,0.010770,0.015213,145392064.000000,2.982
211,0.010746,0.010746,0.015177,146226448.000000,2.997
212,0.010723,0.010723,0.015136,147058224.000000,2.998
213,0.010699,0.010699,0.015098,147891152.000000,2.998
214,0.010676,0.010676,0.015059,148721296.000000,2.999
215,0.010653,0.010653,0.015025,149551888.000000,2.989
216,0.010630,0.010630,0.014983,150379984.000000,2.998
217,0.010607,0.010607,0.014948,151209616.000000,2.994
218,0.010584,0.010584,0.014915,152036032.000000,3.002
219,0.010562,0.010562,0.014875,152863936.000000,2.997
220,0.010540,0.010540,0.014844,153688992.000000,2.997
221,0.010517,0.010517,0.014806,154514640.000000,2.997
222,0.010495,0.010495,0.014766,155338208.000000,2.999
223,0.010473,0.010473,0.014739,156161984.000000,2.998
224,0.010451,0.010451,0.014700,156983472.000000,3.000
225,0.010430,0.010430,0.014667,157804816.000000,2.999
226,0.010408,0.010408,0.014639,158625056.000000,2.990
227,0.010387,0.010387,0.014597,159444848.000000,2.997
228,0.010365,0.010365,0.014573,160263632.000000,2.998
229,0.010345,0.010345,0.014533,161079968.000000,2.999
230,0.010324,0.010324,0.014507,161897936.000000,2.998
231,0.010303,0.010303,0.014468,162711792.000000,2.998
232,0.010282,0.010282,0.014444,163527536.000000,2.985
233,0.010261,0.010261,0.014406,164340288.000000,2.996
234,0.010240,0.010240,0.014376,165153360.000000,2.998
235,0.010220,0.010220,0.014350,165965264.000000,2.998
236,0.010200,0.010200,0.014315,166775392.000000,2.999
237,0.010180,0.010180,0.014289,167585488.000000,3.000
238,0.010160,0.010160,0.014260,168394048.000000,2.999
239,0.010140,0.010140,0.014228,169202112.000000,2.998
240,0.010121,0.010121,0.014202,170008064.000000,2.999
241,0.010101,0.010101,0.014174,170813920.000000,2.999
242,0.010081,0.010081,0.014143,171617584.000000,2.999
243,0.010062,0.010062,0.014120,172420928.000000,3.000
244,0.010043,0.010043,0.014093,173222192.000000,3.000
245,0.010024,0.010024,0.014068,174022592.000000,3.000
246,0.010005,0.010005,0.014045,174821488.000000,3.000
247,0.009987,0.009987,0.014014,175619008.000000,3.000
248,0.009968,0.009968,0.013991,176415488.000000,2.998
249,0.009950,0.009950,0.013964,177210816.000000,2.999
250,0.009932,0.009932,0.013939,178004448.000000,3.002
251,0.009914,0.009914,0.013916,178796832.000000,2.998
252,0.009896,0.009896,0.013890,179587408.000000,3.011
253,0.009878,0.009878,0.013865,180376112.000000,2.995
254,0.009861,0.009861,0.013840,181163744.000000,3.006
255,0.009843,0.009843,0.013820,181949456.000000,2.999
256,0.009826,0.009826,0.013791,182733776.000000,3.000
257,0.009808,0.009808,0.013773,183516368.000000,3.000
258,0.009791,0.009791,0.013754,184297952.000000,3.000
259,0.009774,0.009774,0.013728,185077632.000000,3.000
260,0.009757,0.009757,0.013709,185856768.000000,3.000
261,0.009741,0.009741,0.013689,186633344.000000,3.001
262,0.009724,0.009724,0.013663,187410112.000000,3.006
263,0.009707,0.009707,0.013642,188183136.000000,2.998
264,0.009691,0.009691,0.013619,188956432.000000,2.997
265,0.009675,0.009675,0.013591,189727888.000000,3.005
266,0.009659,0.009659,0.013573,190497072.000000,3.003
267,0.009643,0.009643,0.013546,191266160.000000,3.001
268,0.009627,0.009627,0.013530,192032304.000000,3.001
269,0.009612,0.009612,0.013497,192797408.000000,3.000
270,0.009596,0.009596,0.013490,193562448.000000,3.001
271,0.009580,0.009580,0.013453,194322912.000000,3.002
272,0.009565,0.009565,0.013436,195085728.000000,3.009
273,0.009549,0.009549,0.013410,195843472.000000,3.001
274,0.009534,0.009534,0.013388,196602624.000000,3.007
275,0.009518,0.009518,0.013370,197358704.000000,3.001
276,0.009503,0.009503,0.013349,198114128.000000,3.003
277,0.009488,0.009488,0.013325,198867536.000000,3.004
278,0.009474,0.009474,0.013301,199620192.000000,3.001
279,0.009459,0.009459,0.013282,200371264.000000,3.003
280,0.009445,0.009445,0.013258,201121040.000000,3.010
281,0.009431,0.009431,0.013236,201869456.000000,3.002
282,0.009417,0.009417,0.013220,202616832.000000,3.001
283,0.009403,0.009403,0.013188,203361984.000000,3.007
284,0.009388,0.009388,0.013174,204106864.000000,3.010
285,0.009373,0.009373,0.013143,204848896.000000,3.001
286,0.009359,0.009359,0.013130,205590848.000000,3.006
287,0.009345,0.009345,0.013107,206330928.000000,3.007
288,0.009331,0.009331,0.013077,207069808.000000,3.002
289,0.009317,0.009317,0.013069,207807296.000000,3.001
290,0.009303,0.009303,0.013038,208543920.000000,3.008
291,0.009290,0.009290,0.013023,209278000.000000,3.008
292,0.009277,0.009277,0.013000,210013152.000000,3.001
293,0.009264,0.009264,0.012982,210744000.000000,3.008
294,0.009250,0.009250,0.012959,211476560.000000,3.007
295,0.009237,0.009237,0.012943,212204544.000000,3.001
296,0.009223,0.009223,0.012922,212933664.000000,3.007
297,0.009210,0.009210,0.012900,213660352.000000,3.009
298,0.009197,0.009197,0.012890,214386096.000000,3.001
299,0.009184,0.009184,0.012864,215111120.000000,3.001
300,0.009171,0.009171,0.012848,215833296.000000,3.013
