frame_idx,psnr,ssim,lpips,psnr_temporal
0,44.554081,0.987638,,
1,44.284100,0.986433,,47.772480
2,44.039917,0.985412,,47.697191
3,44.224739,0.986414,,47.467061
4,44.340172,0.986455,,47.535921
5,43.702820,0.985820,,47.339502
6,43.366417,0.985551,,46.651180
7,42.347176,0.984246,,45.829472
8,41.531559,0.983029,,44.883099
9,40.929943,0.982167,,44.171120
10,40.738121,0.982201,,43.678735
11,41.281342,0.982712,,43.768405
12,40.886173,0.982165,,43.890404
13,40.571247,0.982045,,43.438695
14,40.583412,0.982487,,43.254562
15,40.311806,0.982408,,42.948229
16,40.697998,0.982287,,43.125650
17,40.074268,0.981822,,43.056965
18,40.289516,0.981604,,42.978779
19,39.903656,0.980719,,42.682966
20,40.046001,0.980451,,42.540163
21,38.460590,0.977250,,41.718494
22,38.261868,0.976682,,40.902714
23,37.868076,0.976239,,40.526683
24,38.246933,0.976330,,40.606432
25,37.362740,0.975367,,40.261978
26,38.100895,0.976509,,40.282615
27,37.616070,0.975940,,40.371796
28,37.417645,0.975237,,39.959952
29,37.716354,0.975659,,40.052441
30,37.672161,0.976051,,40.185455
31,37.672642,0.975328,,40.176596
32,36.869995,0.973233,,39.782720
33,37.127594,0.975374,,39.464346
34,37.103199,0.975296,,39.488730
35,36.805847,0.975055,,39.362485
36,36.359783,0.974537,,38.943170
37,36.538006,0.974818,,38.944318
38,37.128029,0.975919,,39.232270
39,37.351791,0.976459,,39.780675
40,37.484024,0.976578,,39.720082
41,37.058624,0.977011,,39.641489
42,37.867603,0.978523,,39.777005
43,38.372425,0.979377,,40.508686
44,38.324463,0.979287,,40.673861
45,38.328762,0.978112,,40.697885
46,38.542278,0.979093,,40.765986
47,38.354572,0.979436,,40.926840
48,38.553806,0.977944,,40.945842
49,39.053200,0.978713,,41.128902
50,37.752537,0.976219,,40.762569
51,37.824394,0.975865,,40.207443
52,37.995678,0.975937,,40.390901
53,38.347237,0.977061,,40.629464
54,38.328423,0.977681,,40.813212
55,37.715538,0.976007,,40.438442
56,37.683208,0.975812,,39.967578
57,37.496002,0.976327,,40.036763
58,37.205444,0.976809,,39.732894
59,37.820595,0.976973,,39.914423
60,38.480255,0.978444,,40.563591
61,38.809662,0.978909,,41.059557
62,38.651005,0.977114,,41.322316
63,37.964710,0.977228,,40.681322
64,37.350689,0.975454,,40.079069
65,37.546406,0.976371,,39.924380
66,37.084900,0.975620,,39.766371
67,38.362385,0.977686,,40.085652
68,38.520996,0.978982,,40.899835
69,37.861702,0.978964,,40.642019
70,38.825584,0.980039,,40.734278
71,38.902622,0.980551,,41.319239
72,38.456635,0.979364,,41.150774
73,38.245625,0.979019,,40.758297
74,38.191662,0.977145,,40.775291
75,37.376236,0.975349,,40.302670
76,37.123543,0.976231,,39.733089
77,37.351971,0.976665,,39.695515
78,38.074413,0.977681,,40.234107
79,38.394722,0.978030,,40.837002
80,38.553413,0.979890,,40.955549
81,39.323929,0.980024,,41.504983
82,39.223957,0.980776,,41.943749
83,40.270798,0.981253,,42.431555
84,39.054855,0.980034,,42.308010
85,39.984699,0.981120,,42.120691
86,41.102959,0.982484,,43.226947
87,40.193630,0.981541,,43.358306
88,40.413002,0.981911,,43.030851
89,40.355347,0.982310,,43.243956
90,41.756020,0.983451,,43.677645
91,42.133404,0.984050,,44.877205
92,42.041378,0.983516,,45.160681
93,42.817856,0.985052,,45.502931
94,43.390663,0.985668,,46.122848
95,43.578609,0.986355,,46.664409
96,44.321274,0.986696,,47.317834
97,44.710079,0.986882,,47.826534
98,45.512367,0.987423,,48.751865
99,47.254925,0.989331,,50.157111
