epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.058068,0.058068,0.062983,0.000000,27.081
2,0.052308,0.052308,0.062202,68642.695312,26.988
3,0.047374,0.047374,0.065540,237186.500000,27.038
4,0.043209,0.043209,0.068549,469839.968750,27.091
5,0.039756,0.039756,0.071000,745776.937500,27.138
6,0.036930,0.036930,0.073243,1051836.875000,27.194
7,0.034622,0.034622,0.074886,1380161.250000,27.239
8,0.032725,0.032725,0.075730,1726447.500000,27.291
9,0.031150,0.031150,0.075814,2088443.125000,27.325
10,0.029823,0.029823,0.075215,2464698.750000,27.363
11,0.028690,0.028690,0.074036,2854155.000000,27.392
12,0.027707,0.027707,0.072387,3256169.250000,27.424
13,0.026842,0.026842,0.070378,3670366.750000,27.451
14,0.026072,0.026072,0.068106,4096536.750000,27.477
15,0.025377,0.025377,0.065659,4534611.500000,27.501
16,0.024744,0.024744,0.063109,4984687.000000,27.524
17,0.024163,0.024163,0.060513,5447073.000000,27.543
18,0.023627,0.023627,0.057915,5922144.500000,27.570
19,0.023133,0.023133,0.055349,6410125.500000,27.587
20,0.022677,0.022677,0.052848,6910962.000000,27.613
21,0.022258,0.022258,0.050431,7424110.000000,27.627
22,0.021871,0.021871,0.048113,7948729.000000,27.645
23,0.021516,0.021516,0.045906,8483855.000000,27.654
24,0.021188,0.021188,0.043816,9028593.000000,27.677
25,0.020887,0.020887,0.041844,9582291.000000,27.685
26,0.020609,0.020609,0.039985,10144478.000000,27.707
27,0.020352,0.020352,0.038233,10714678.000000,27.716
28,0.020115,0.020115,0.036584,11292278.000000,27.738
29,0.019895,0.019895,0.035039,11876417.000000,27.747
30,0.019690,0.019690,0.033592,12465936.000000,27.759
31,0.019500,0.019500,0.032233,13059546.000000,27.773
32,0.019324,0.019324,0.030952,13655993.000000,27.777
33,0.019159,0.019159,0.029747,14254126.000000,27.794
34,0.019006,0.019006,0.028614,14852918.000000,27.802
35,0.018863,0.018863,0.027546,15451442.000000,27.811
36,0.018728,0.018728,0.026540,16048859.000000,27.815
37,0.018602,0.018602,0.025593,16644374.000000,27.827
38,0.018483,0.018483,0.024700,17237210.000000,27.840
39,0.018370,0.018370,0.024144,17826638.000000,27.845
40,0.018264,0.018264,0.024069,18412090.000000,27.850
41,0.018162,0.018162,0.023994,18992972.000000,27.857
42,0.018066,0.018066,0.023924,19568868.000000,27.864
43,0.017975,0.017975,0.023862,20139440.000000,27.874
44,0.017888,0.017888,0.023808,20704364.000000,27.882
45,0.017804,0.017804,0.023763,21263570.000000,27.880
46,0.017724,0.017724,0.023721,21817188.000000,27.896
47,0.017648,0.017648,0.023679,22365406.000000,27.892
48,0.017574,0.017574,0.023634,22908076.000000,27.900
49,0.017504,0.017504,0.023587,23445444.000000,27.908
50,0.017435,0.017435,0.023540,23978000.000000,27.912
51,0.017370,0.017370,0.023496,24506006.000000,27.918
52,0.017306,0.017306,0.023455,25030090.000000,27.922
53,0.017244,0.017244,0.023417,25550032.000000,27.924
54,0.017185,0.017185,0.023380,26066492.000000,27.932
55,0.017127,0.017127,0.023342,26579280.000000,27.936
56,0.017070,0.017070,0.023303,27089706.000000,27.941
57,0.017016,0.017016,0.023263,27597710.000000,27.942
58,0.016962,0.016962,0.023225,28104006.000000,27.951
59,0.016910,0.016910,0.023188,28608406.000000,27.947
60,0.016859,0.016859,0.023151,29111394.000000,27.953
61,0.016809,0.016809,0.023114,29613404.000000,27.952
62,0.016760,0.016760,0.023075,30114048.000000,27.959
63,0.016712,0.016712,0.023035,30614774.000000,27.957
64,0.016665,0.016665,0.022994,31114666.000000,27.963
65,0.016619,0.016619,0.022954,31615184.000000,27.970
66,0.016574,0.016574,0.022914,32115246.000000,27.967
67,0.016529,0.016529,0.022876,32616458.000000,27.977
68,0.016485,0.016485,0.022839,33117712.000000,27.975
69,0.016442,0.016442,0.022803,33620024.000000,27.978
70,0.016399,0.016399,0.022766,34123180.000000,27.980
71,0.016357,0.016357,0.022728,34627080.000000,27.980
72,0.016315,0.016315,0.022687,35132396.000000,27.984
73,0.016274,0.016274,0.022645,35637968.000000,27.984
74,0.016234,0.016234,0.022603,36146032.000000,27.988
75,0.016194,0.016194,0.022561,36654480.000000,27.995
76,0.016154,0.016154,0.022520,37165544.000000,27.997
77,0.016115,0.016115,0.022483,37677984.000000,27.994
78,0.016076,0.016076,0.022445,38192396.000000,27.988
79,0.016037,0.016037,0.022408,38708916.000000,27.995
80,0.015999,0.015999,0.022369,39227316.000000,27.996
