frame_idx,psnr,ssim,lpips,psnr_temporal
0,44.080284,0.986941,,
1,43.860298,0.985907,,47.309084
2,43.566216,0.984740,,47.239114
3,43.470390,0.985489,,46.835926
4,43.358604,0.985265,,46.552639
5,43.006214,0.984917,,46.334286
6,42.405758,0.984347,,45.792079
7,41.166615,0.982772,,44.507282
8,40.421516,0.981221,,43.669543
9,40.356468,0.981148,,43.191482
10,40.035973,0.980889,,43.020607
11,40.026009,0.980693,,42.715507
12,39.984356,0.980236,,42.597259
13,39.432693,0.980424,,42.248542
14,39.619667,0.980942,,42.082683
15,39.329998,0.980698,,41.829068
16,38.925804,0.979609,,41.612480
17,38.553078,0.979617,,41.129497
18,38.908813,0.979168,,41.192380
19,38.744232,0.978285,,41.296184
20,39.372997,0.979551,,41.501165
21,37.918507,0.976263,,41.031185
22,37.700886,0.975463,,40.310669
23,37.097584,0.974474,,39.765464
24,37.159256,0.974037,,39.539568
25,36.369335,0.973006,,39.005947
26,37.557266,0.975186,,39.339604
27,37.414852,0.974739,,39.987335
28,36.602425,0.973526,,39.387722
29,36.897560,0.973831,,39.161343
30,36.590988,0.973796,,39.151810
31,36.565178,0.972835,,38.970070
32,35.691036,0.970182,,38.389953
33,36.237423,0.973221,,38.150207
34,36.451679,0.973639,,38.582596
35,35.663452,0.972621,,38.373497
36,35.476181,0.972712,,37.861233
37,35.769478,0.972637,,37.964909
38,36.125454,0.973673,,38.293772
39,36.110077,0.973667,,38.467101
40,36.159878,0.974529,,38.373607
41,36.226593,0.975672,,38.449974
42,37.188148,0.976950,,38.973087
43,37.459839,0.977478,,39.584483
44,36.663113,0.977024,,39.175521
45,37.316597,0.976198,,39.365378
46,37.372478,0.976819,,39.587795
47,37.409473,0.977273,,39.762637
48,37.365398,0.975929,,39.695097
49,37.843292,0.976709,,39.824609
50,36.302517,0.974125,,39.326037
51,36.648247,0.973531,,38.735147
52,37.287453,0.974275,,39.331769
53,37.070507,0.975288,,39.420825
54,36.917358,0.974768,,39.256487
55,36.658897,0.973671,,39.008333
56,36.810524,0.974327,,39.064573
57,36.383968,0.974493,,38.962065
58,35.732159,0.974462,,38.447052
59,36.890739,0.975351,,38.607328
60,37.406818,0.976220,,39.360111
61,37.444450,0.976794,,39.788219
62,36.882355,0.973966,,39.456964
63,36.356983,0.974391,,38.854540
64,36.164143,0.972849,,38.666158
65,36.444160,0.973190,,38.734104
66,35.487438,0.972228,,38.353199
67,36.230389,0.974164,,38.188227
68,36.816792,0.975927,,38.922394
69,35.505329,0.975783,,38.468263
70,37.227570,0.977298,,38.685443
71,36.782417,0.977387,,39.289986
72,37.053673,0.976862,,39.278285
73,36.863770,0.976532,,39.309774
74,36.547455,0.973752,,39.108220
75,35.402744,0.970874,,38.182996
76,34.770870,0.970724,,37.490059
77,35.433155,0.971277,,37.464394
78,35.813259,0.972910,,38.023556
79,35.722664,0.972871,,37.984774
80,36.008774,0.974977,,38.149383
81,36.289753,0.974319,,38.423165
82,36.501465,0.975520,,38.778309
83,37.133194,0.976098,,39.122582
84,36.608021,0.974993,,39.161838
85,36.011993,0.974761,,38.608307
86,37.234375,0.976645,,38.867639
87,36.273045,0.974962,,38.917566
88,35.716522,0.974229,,38.254759
89,35.905067,0.975186,,38.094996
90,37.401764,0.977161,,38.982301
91,37.630009,0.977808,,39.949079
92,37.688301,0.977161,,40.121838
93,38.474491,0.978773,,40.576720
94,38.260021,0.978071,,40.777177
95,38.174866,0.979460,,40.710036
96,39.306969,0.980653,,41.139301
97,39.362389,0.980964,,41.914945
98,40.098938,0.981820,,42.384865
99,40.482323,0.981683,,42.858347
100,40.431168,0.981585,,43.082785
101,40.085045,0.981662,,42.831101
102,39.735096,0.981775,,42.564065
103,39.235126,0.982021,,41.849903
104,40.367523,0.982637,,42.401400
105,39.322796,0.981764,,42.454334
106,39.744659,0.980923,,42.224479
107,39.510868,0.980546,,42.275855
108,40.156204,0.980118,,42.503109
109,39.900139,0.981079,,42.676599
110,41.375488,0.983361,,43.350012
111,41.680000,0.983944,,44.491660
112,42.517742,0.984915,,44.919547
113,42.874481,0.985250,,45.695675
114,43.529392,0.985445,,46.328231
115,43.213051,0.985285,,46.409143
116,43.416328,0.985342,,46.512475
117,43.899155,0.985841,,46.987599
118,44.517891,0.986432,,47.626455
119,45.910728,0.988317,,49.064614
