epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.187618,0.187618,0.208190,0.000000,41.249
2,0.175322,0.175322,0.208598,0.000000,40.206
3,0.164045,0.164045,0.216991,0.109602,41.685
4,0.153644,0.153644,0.225458,0.159229,41.421
5,0.144044,0.144044,0.233878,0.257968,41.619
6,0.135209,0.135209,0.242127,0.328496,41.238
7,0.127102,0.127102,0.250095,0.389044,40.750
8,0.119679,0.119679,0.257679,0.487597,40.998
9,0.112897,0.112897,0.264791,0.630556,44.056
10,0.106716,0.106716,0.271348,0.804737,42.258
11,0.101093,0.101093,0.277286,1.000120,41.418
12,0.095989,0.095989,0.282545,1.197057,41.571
13,0.091364,0.091364,0.287080,1.398708,41.897
14,0.087177,0.087177,0.290867,1.612377,41.814
15,0.083389,0.083389,0.293889,1.826604,41.967
16,0.079963,0.079963,0.296145,2.041381,42.190
17,0.076862,0.076862,0.297648,2.251377,42.304
18,0.074048,0.074048,0.298421,2.445340,42.418
19,0.071488,0.071488,0.298500,2.625093,42.519
20,0.069150,0.069150,0.297927,2.788923,42.659
21,0.067005,0.067004,0.296756,2.934700,42.767
22,0.065024,0.065025,0.295040,3.064138,42.831
23,0.063187,0.063187,0.292841,3.176767,42.925
24,0.061473,0.061473,0.290219,3.273511,43.035
25,0.059868,0.059868,0.287233,3.356217,43.095
26,0.058358,0.058359,0.283941,3.427084,43.260
27,0.056933,0.056933,0.280396,3.489170,43.357
28,0.055583,0.055583,0.276645,3.545341,43.406
29,0.054299,0.054299,0.272732,3.597239,43.470
30,0.053076,0.053076,0.268693,3.645956,43.602
31,0.051909,0.051909,0.264560,3.691694,43.666
32,0.050794,0.050794,0.260361,3.734468,43.705
33,0.049726,0.049726,0.256116,3.775142,43.799
34,0.048702,0.048702,0.251845,3.815714,43.827
35,0.047718,0.047718,0.247563,3.859279,43.841
36,0.046772,0.046772,0.243281,3.909128,43.927
37,0.045863,0.045863,0.239008,3.967236,44.087
38,0.044987,0.044987,0.234753,4.034441,44.073
39,0.044142,0.044142,0.230518,4.111537,44.088
40,0.043328,0.043328,0.226307,4.198754,44.099
41,0.042544,0.042544,0.222124,4.295361,44.115
42,0.041790,0.041790,0.217967,4.401340,44.191
43,0.041064,0.041064,0.213837,4.516930,44.254
44,0.040365,0.040365,0.209733,4.639639,44.262
45,0.039693,0.039693,0.205654,4.766871,44.282
46,0.039046,0.039046,0.201600,4.897918,44.298
47,0.038425,0.038425,0.197570,5.030879,44.335
48,0.037827,0.037827,0.193563,5.170790,44.384
49,0.037251,0.037251,0.189578,5.313820,44.412
50,0.036696,0.036696,0.185614,5.459788,44.450
51,0.036161,0.036161,0.181670,5.605580,44.459
52,0.035644,0.035644,0.177745,5.749004,44.503
53,0.035145,0.035145,0.173838,5.900213,44.515
54,0.034663,0.034663,0.169949,6.053227,44.542
55,0.034197,0.034197,0.166079,6.207858,44.576
56,0.033747,0.033747,0.162229,6.358266,44.604
57,0.033312,0.033312,0.158401,6.506427,44.598
58,0.032891,0.032891,0.154597,6.661820,44.631
59,0.032483,0.032483,0.150819,6.827717,44.642
60,0.032087,0.032087,0.147072,7.005912,44.687
61,0.031703,0.031703,0.143357,7.200519,44.695
62,0.031330,0.031330,0.139679,7.406217,44.701
63,0.030970,0.030970,0.136042,7.623863,44.745
64,0.030620,0.030620,0.132452,7.845463,44.798
65,0.030279,0.030279,0.128912,8.074945,44.766
66,0.029949,0.029949,0.125428,8.312616,44.787
