epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.187470,0.187470,0.207426,0.000000,40.751
2,0.175279,0.175279,0.208658,0.000000,40.587
3,0.164086,0.164086,0.217415,0.104806,40.690
4,0.153765,0.153765,0.226242,0.154586,40.783
5,0.144240,0.144240,0.234919,0.252108,40.880
6,0.135475,0.135475,0.243302,0.318973,40.959
7,0.127432,0.127432,0.251281,0.376825,41.039
8,0.120068,0.120068,0.258764,0.473637,41.127
9,0.113340,0.113340,0.265670,0.614359,41.203
10,0.107207,0.107207,0.271930,0.784338,41.287
11,0.101627,0.101627,0.277486,0.975137,41.369
12,0.096561,0.096561,0.282295,1.168265,41.441
13,0.091969,0.091969,0.286325,1.366612,41.522
14,0.087811,0.087811,0.289566,1.577373,41.594
15,0.084050,0.084050,0.292014,1.789204,41.671
16,0.080649,0.080649,0.293683,2.002163,41.737
17,0.077571,0.077571,0.294594,2.211310,41.806
18,0.074779,0.074779,0.294780,2.405638,41.873
19,0.072237,0.072237,0.294283,2.586691,41.930
20,0.069915,0.069915,0.293154,2.751842,41.990
21,0.067783,0.067783,0.291448,2.899157,42.044
22,0.065813,0.065813,0.289225,3.031041,42.099
23,0.063983,0.063983,0.286546,3.146728,42.147
24,0.062275,0.062275,0.283474,3.247013,42.199
25,0.060674,0.060674,0.280068,3.333807,42.241
26,0.059167,0.059167,0.276387,3.408629,42.289
27,0.057743,0.057743,0.272482,3.474481,42.326
28,0.056395,0.056395,0.268399,3.533984,42.362
29,0.055113,0.055113,0.264175,3.589457,42.403
30,0.053892,0.053892,0.259851,3.642031,42.438
31,0.052727,0.052727,0.255451,3.691064,42.469
32,0.051614,0.051614,0.251004,3.736596,42.504
33,0.050547,0.050547,0.246531,3.779704,42.533
34,0.049524,0.049524,0.242047,3.822012,42.562
35,0.048542,0.048542,0.237567,3.865258,42.587
36,0.047597,0.047597,0.233102,3.912360,42.612
37,0.046688,0.046688,0.228660,3.966118,42.635
38,0.045813,0.045813,0.224248,4.028247,42.662
39,0.044969,0.044969,0.219868,4.100201,42.677
40,0.044155,0.044155,0.215525,4.182027,42.769
41,0.043371,0.043371,0.211218,4.272601,42.865
42,0.042616,0.042616,0.206948,4.371794,42.790
43,0.041888,0.041888,0.202716,4.480763,42.886
44,0.041188,0.041188,0.198519,4.599402,42.999
45,0.040513,0.040513,0.194359,4.725229,42.896
46,0.039864,0.039864,0.190236,4.855981,42.869
47,0.039240,0.039240,0.186147,4.991777,42.913
48,0.038639,0.038639,0.182095,5.137378,43.046
49,0.038061,0.038061,0.178079,5.287377,43.100
50,0.037503,0.037503,0.174099,5.442023,43.110
51,0.036964,0.036964,0.170155,5.594890,43.110
52,0.036444,0.036444,0.166247,5.741510,42.992
53,0.035940,0.035940,0.162376,5.893283,43.018
54,0.035454,0.035454,0.158543,6.047728,43.111
55,0.034984,0.034984,0.154749,6.206059,43.191
56,0.034529,0.034529,0.150996,6.370615,43.104
57,0.034090,0.034090,0.147288,6.533848,43.035
58,0.033664,0.033664,0.143626,6.704215,43.152
59,0.033252,0.033252,0.140015,6.888406,43.231
60,0.032854,0.032854,0.136457,7.082107,43.201
61,0.032468,0.032468,0.132957,7.288924,43.231
62,0.032095,0.032095,0.129518,7.502268,43.267
63,0.031735,0.031735,0.126144,7.717152,43.212
64,0.031385,0.031385,0.122840,7.932559,43.264
65,0.031047,0.031047,0.120389,8.152695,43.283
66,0.030719,0.030719,0.117966,8.374330,43.242
67,0.030400,0.030400,0.115551,8.596299,43.290
68,0.030092,0.030092,0.113145,8.820067,43.281
69,0.029793,0.029793,0.110752,9.040575,43.194
70,0.029502,0.029502,0.108374,9.257397,43.166
71,0.029222,0.029222,0.106014,9.458305,43.285
72,0.028948,0.028948,0.103675,9.652845,43.265
73,0.028683,0.028683,0.101360,9.858292,43.166
74,0.028426,0.028426,0.099073,10.073068,43.245
75,0.028176,0.028176,0.096817,10.292985,43.297
76,0.027934,0.027934,0.094594,10.499336,43.365
77,0.027698,0.027698,0.092408,10.655870,43.282
78,0.027468,0.027468,0.090263,10.788311,43.336
79,0.027245,0.027245,0.088165,10.899208,43.349
80,0.027028,0.027029,0.086118,10.973233,43.282
81,0.026818,0.026818,0.084123,11.009727,43.348
82,0.026614,0.026614,0.082186,11.018223,43.367
83,0.026417,0.026417,0.080307,11.009515,43.349
84,0.026224,0.026224,0.078487,10.998579,43.384
85,0.026038,0.026038,0.076726,10.984673,43.321
86,0.025856,0.025856,0.075024,10.964921,43.391
87,0.025679,0.025679,0.073381,10.955835,43.354
88,0.025507,0.025507,0.072112,10.947556,43.350
89,0.025339,0.025339,0.071000,10.946197,43.377
90,0.025175,0.025175,0.069924,10.924644,43.377
91,0.025018,0.025018,0.068875,10.906468,43.361
92,0.024864,0.024864,0.067852,10.870495,43.356
93,0.024715,0.024715,0.066851,10.816925,43.382
94,0.024569,0.024569,0.065865,10.774530,43.374
95,0.024427,0.024427,0.064897,10.723861,43.380
96,0.024290,0.024290,0.063954,10.680939,43.416
97,0.024153,0.024153,0.063022,10.620770,43.323
98,0.024022,0.024022,0.062109,10.542347,43.346
99,0.023893,0.023893,0.061212,10.463188,43.387
100,0.023767,0.023767,0.060335,10.365547,43.364
101,0.023646,0.023646,0.059492,10.265789,43.397
102,0.023524,0.023524,0.058669,10.173044,43.441
103,0.023407,0.023407,0.057859,10.076196,43.391
104,0.023292,0.023292,0.057074,9.984069,43.316
105,0.023181,0.023181,0.056312,9.877010,43.409
106,0.023070,0.023070,0.055551,9.781574,43.436
107,0.022963,0.022963,0.054802,9.721249,43.448
108,0.022857,0.022857,0.054061,9.647843,43.463
109,0.022752,0.022752,0.053322,9.580877,43.492
110,0.022652,0.022652,0.052582,9.524461,43.453
111,0.022552,0.022552,0.051851,9.448240,43.425
112,0.022454,0.022454,0.051145,9.370577,43.502
113,0.022359,0.022359,0.050473,9.283845,43.461
114,0.022265,0.022265,0.049834,9.211535,43.497
115,0.022172,0.022172,0.049228,9.159412,43.514
116,0.022081,0.022081,0.048635,9.117483,43.449
117,0.021992,0.021992,0.048043,9.074533,43.482
118,0.021904,0.021904,0.047455,9.038938,43.469
119,0.021818,0.021818,0.046867,9.009065,43.491
120,0.021733,0.021733,0.046289,8.981781,43.503
121,0.021648,0.021648,0.045722,8.963085,43.510
122,0.021566,0.021566,0.045162,8.945175,43.470
123,0.021486,0.021486,0.044620,8.929817,43.491
124,0.021407,0.021407,0.044091,8.907806,43.519
125,0.021329,0.021329,0.043582,8.896088,43.489
126,0.021253,0.021253,0.043102,8.873164,43.526
127,0.021178,0.021177,0.042634,8.845222,43.488
128,0.021103,0.021103,0.042164,8.815969,43.462
