epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.213957,0.213957,0.236577,0.000000,26.488
2,0.200941,0.200941,0.237229,0.000000,26.437
3,0.189014,0.189014,0.241542,0.125678,26.501
4,0.178520,0.178520,0.246507,0.195987,26.538
5,0.169364,0.169364,0.251484,0.309499,26.660
6,0.161273,0.161273,0.256398,0.415579,26.926
7,0.153999,0.153999,0.261168,0.497868,27.114
8,0.147384,0.147384,0.265725,0.616494,27.226
9,0.141341,0.141341,0.270004,0.781766,27.311
10,0.135814,0.135814,0.273942,0.976063,27.383
11,0.130758,0.130758,0.277495,1.192237,27.513
12,0.126129,0.126129,0.280640,1.403975,27.600
13,0.121885,0.121885,0.283360,1.618002,27.724
14,0.117987,0.117987,0.285651,1.849061,27.814
15,0.114399,0.114398,0.287515,2.084918,27.957
16,0.111088,0.111088,0.288964,2.326947,28.064
17,0.108027,0.108027,0.290018,2.570125,28.201
18,0.105193,0.105193,0.290688,2.800378,28.365
19,0.102563,0.102563,0.291000,3.019185,28.485
20,0.100118,0.100118,0.290968,3.225328,28.539
21,0.097842,0.097842,0.290610,3.416602,28.565
22,0.095721,0.095721,0.289946,3.595540,28.645
23,0.093739,0.093739,0.288998,3.762142,28.684
24,0.091885,0.091885,0.287795,3.916337,28.753
25,0.090144,0.090144,0.286355,4.059286,28.794
26,0.088504,0.088504,0.284700,4.192642,28.834
27,0.086956,0.086956,0.282850,4.318299,28.891
28,0.085490,0.085490,0.280825,4.436785,28.966
29,0.084097,0.084097,0.278649,4.549491,29.054
30,0.082772,0.082772,0.276345,4.658308,29.101
31,0.081507,0.081507,0.273931,4.764230,29.159
32,0.080296,0.080296,0.271424,4.867896,29.210
33,0.079133,0.079133,0.268842,4.969912,29.282
34,0.078014,0.078014,0.266196,5.071822,29.372
35,0.076936,0.076936,0.263492,5.176960,29.408
36,0.075894,0.075894,0.260737,5.289607,29.449
37,0.074886,0.074886,0.257939,5.415178,29.524
38,0.073909,0.073909,0.255108,5.554320,29.544
39,0.072960,0.072960,0.252250,5.707741,29.626
40,0.072037,0.072037,0.249365,5.875937,29.676
41,0.071139,0.071139,0.246457,6.057855,29.687
42,0.070265,0.070265,0.243532,6.253119,29.732
43,0.069413,0.069413,0.240599,6.463041,29.775
44,0.068582,0.068582,0.237654,6.688076,29.801
45,0.067772,0.067772,0.234700,6.926936,29.871
46,0.066981,0.066981,0.231733,7.179796,29.884
47,0.066208,0.066208,0.228754,7.445312,29.903
48,0.065455,0.065455,0.225763,7.726030,29.912
49,0.064719,0.064719,0.222758,8.017262,29.925
50,0.064002,0.064002,0.219736,8.319551,29.935
51,0.063301,0.063301,0.216697,8.632602,29.957
52,0.062618,0.062618,0.213644,8.956894,29.952
53,0.061950,0.061950,0.210573,9.282297,29.981
54,0.061300,0.061300,0.207483,9.614388,29.993
55,0.060665,0.060665,0.204373,9.943153,30.021
56,0.060046,0.060046,0.201245,10.277393,30.050
57,0.059444,0.059444,0.198098,10.622612,30.030
58,0.058858,0.058858,0.194931,10.980063,30.035
59,0.058287,0.058287,0.191741,11.348572,30.061
60,0.057731,0.057731,0.188525,11.715160,30.076
61,0.057188,0.057188,0.185282,12.089003,30.083
62,0.056657,0.056657,0.182009,12.475897,30.101
63,0.056139,0.056139,0.178703,12.857244,30.115
64,0.055633,0.055633,0.175364,13.243417,30.142
65,0.055140,0.055140,0.171991,13.630164,30.130
66,0.054659,0.054659,0.168581,14.026420,30.147
67,0.054188,0.054188,0.165134,14.428286,30.158
68,0.053728,0.053728,0.161652,14.832664,30.173
69,0.053280,0.053280,0.158133,15.237795,30.163
70,0.052839,0.052839,0.154583,15.634954,30.203
71,0.052411,0.052411,0.151001,16.026640,30.236
72,0.051992,0.051992,0.147390,16.399504,30.248
73,0.051582,0.051582,0.143761,16.760057,30.261
74,0.051182,0.051182,0.140125,17.102898,30.277
75,0.050791,0.050791,0.136508,17.435257,30.309
76,0.050409,0.050409,0.132945,17.760813,30.311
77,0.050035,0.050035,0.129466,18.092897,30.306
78,0.049671,0.049671,0.126077,18.415812,30.330
79,0.049313,0.049313,0.122764,18.728451,30.342
80,0.048963,0.048963,0.119513,19.011492,30.374
81,0.048623,0.048623,0.116326,19.277451,30.361
82,0.048287,0.048287,0.113218,19.533005,30.379
83,0.047961,0.047961,0.110201,19.773266,30.362
84,0.047643,0.047643,0.107280,19.982765,30.391
85,0.047331,0.047331,0.104467,20.184481,30.391
86,0.047027,0.047027,0.101772,20.374119,30.399
87,0.046732,0.046732,0.099208,20.540241,30.429
88,0.046439,0.046439,0.096773,20.697960,30.447
89,0.046155,0.046155,0.094464,20.834187,30.441
90,0.045879,0.045879,0.092265,20.971970,30.463
91,0.045606,0.045606,0.090164,21.104153,30.480
92,0.045342,0.045342,0.088153,21.256840,30.467
93,0.045083,0.045083,0.086225,21.417278,30.476
94,0.044829,0.044829,0.084386,21.575813,30.502
95,0.044582,0.044582,0.082631,21.744587,30.502
96,0.044342,0.044342,0.080963,21.917526,30.526
97,0.044104,0.044104,0.079370,22.085823,30.531
98,0.043874,0.043874,0.077854,22.269981,30.547
99,0.043649,0.043649,0.076429,22.412468,30.549
100,0.043426,0.043426,0.075078,22.526505,30.535
101,0.043209,0.043209,0.073799,22.632938,30.542
102,0.042998,0.042998,0.072602,22.682323,30.557
103,0.042790,0.042790,0.071473,22.716715,30.562
104,0.042584,0.042584,0.070408,22.753807,30.578
105,0.042385,0.042385,0.069386,22.782095,30.599
106,0.042189,0.042189,0.068401,22.826927,30.604
