frame_idx,psnr,ssim,lpips,psnr_temporal
0,22.466942,0.724812,0.665058,
1,21.974922,0.706894,0.682311,33.075722
2,22.337219,0.730095,0.663057,32.160633
3,22.330439,0.744077,0.652888,32.432847
4,22.682770,0.775485,0.623515,32.550148
5,22.801552,0.791220,0.602232,32.737576
6,22.742390,0.794612,0.598687,32.849758
7,22.925615,0.800540,0.596410,32.772422
8,23.125074,0.814088,0.571251,33.068805
9,23.156595,0.826198,0.543247,32.925006
10,22.849243,0.831705,0.522061,32.025913
11,22.626114,0.835970,0.511582,31.352066
12,22.521570,0.837256,0.508398,31.331833
13,22.600285,0.843647,0.497370,31.412455
14,22.543713,0.847606,0.482576,31.511700
15,22.764044,0.851584,0.465859,31.573657
16,22.759047,0.857526,0.446831,30.869569
17,22.771275,0.857167,0.441737,30.932438
18,22.941801,0.858757,0.438783,31.103173
19,23.127253,0.858775,0.438722,31.667606
20,23.372452,0.860941,0.434935,31.850092
21,23.269442,0.860115,0.431406,32.468963
22,23.195684,0.860595,0.423708,34.008087
23,23.244020,0.864164,0.408096,32.900416
24,23.051048,0.865044,0.396997,31.944238
25,22.514626,0.865286,0.388979,31.580639
26,22.376118,0.865845,0.380188,31.354513
27,22.341000,0.867998,0.375813,31.263232
28,21.464102,0.867979,0.371431,30.893454
29,21.218010,0.866912,0.366294,31.557231
30,20.718815,0.864829,0.364992,31.300921
31,20.764973,0.863565,0.361798,31.517206
32,20.909737,0.865524,0.359314,31.973683
33,20.904537,0.866899,0.351208,32.519985
34,21.065971,0.870381,0.346599,32.825668
35,21.008259,0.868724,0.343967,33.216497
36,20.942657,0.866727,0.342615,33.497521
37,20.838814,0.864505,0.347047,31.818020
38,20.627565,0.861937,0.347804,30.987315
39,20.660172,0.865179,0.344405,30.858933
40,20.810221,0.867540,0.341951,30.820298
41,20.843239,0.868847,0.338287,30.896965
42,20.846670,0.868303,0.337984,30.999689
43,21.068295,0.871525,0.332096,31.205087
44,21.107166,0.870122,0.334398,31.123049
45,21.117378,0.867865,0.335069,31.097275
46,21.216648,0.868186,0.335506,31.491914
47,21.240845,0.868638,0.337198,31.577317
48,21.446764,0.873082,0.333022,31.650160
49,21.373264,0.872526,0.334001,33.049048
50,21.314350,0.872660,0.332174,33.360687
51,21.025429,0.868954,0.332487,32.219155
52,20.947826,0.866540,0.335177,31.815249
53,20.426199,0.869702,0.332404,30.940534
54,20.013912,0.870677,0.327022,30.817397
55,19.893829,0.871114,0.323123,31.077995
56,18.911703,0.866577,0.328772,30.763152
57,18.535736,0.864061,0.334284,30.938262
58,18.551624,0.863067,0.331557,30.833081
59,18.797447,0.865546,0.330986,31.095878
60,18.911617,0.866654,0.330548,31.772113
61,19.011139,0.868417,0.331339,32.307715
62,19.021400,0.866910,0.335020,32.899154
63,19.027460,0.866356,0.333207,34.078667
64,19.204233,0.866835,0.331691,31.930666
65,19.127705,0.864049,0.333532,31.182076
66,19.178898,0.864132,0.332622,30.941074
67,19.154140,0.864492,0.336199,30.851534
68,19.332354,0.867930,0.331419,30.818009
69,19.364887,0.868677,0.327022,31.133740
70,19.534130,0.871038,0.322655,30.924013
71,19.535307,0.868842,0.330935,30.789439
72,19.652782,0.868905,0.326604,30.882103
73,19.763060,0.868580,0.325660,31.037403
74,19.877748,0.870291,0.324781,31.250776
75,20.062811,0.872596,0.326495,31.567770
76,20.024326,0.870769,0.330805,32.570505
77,20.108673,0.873828,0.326560,34.367229
78,20.189264,0.874888,0.324022,33.045363
79,20.190971,0.873043,0.323126,32.141223
80,20.205647,0.872711,0.321462,31.686140
81,20.164993,0.873164,0.323609,31.590232
82,20.198307,0.876532,0.316168,31.395973
83,20.170509,0.878603,0.313802,31.515880
84,20.164015,0.877430,0.316588,31.574600
85,20.241199,0.874617,0.320171,31.473828
86,20.280199,0.872180,0.323892,31.558960
87,20.376799,0.874552,0.317162,32.083884
88,20.421583,0.875260,0.318028,32.501117
89,20.459272,0.876358,0.318572,33.128493
90,20.413994,0.873803,0.318609,33.391926
91,20.329819,0.871507,0.320800,33.956426
92,20.375261,0.873012,0.318634,32.000609
93,20.355188,0.872728,0.318891,30.865423
94,20.239269,0.872155,0.317889,30.801250
95,20.082911,0.870586,0.321994,30.997225
96,20.137615,0.873052,0.317151,31.462518
97,20.206995,0.874970,0.311879,31.381985
98,20.315521,0.876198,0.309446,31.502797
99,20.443157,0.876502,0.308621,31.566273
100,20.495918,0.875098,0.310725,31.389777
101,20.586670,0.877245,0.308094,31.667674
102,20.627710,0.876969,0.310919,31.867304
103,20.752102,0.877658,0.310028,31.829155
104,20.742622,0.877008,0.308460,32.036118
105,20.684244,0.876706,0.309556,32.336003
106,20.766848,0.878275,0.304938,31.231703
107,20.884800,0.879666,0.301870,30.941953
108,20.888321,0.880910,0.302086,31.332387
109,20.743549,0.878943,0.308526,31.652333
110,20.599403,0.876933,0.314106,32.678645
111,20.610928,0.876242,0.314807,32.605100
112,20.727345,0.876545,0.313995,31.732298
113,20.858421,0.875201,0.311818,31.057539
114,20.946041,0.873033,0.312434,31.235342
115,20.992325,0.874059,0.309522,31.582993
116,21.006973,0.875191,0.312723,31.825916
117,20.985001,0.876065,0.311059,31.800903
118,20.992180,0.874052,0.311473,33.442687
119,21.013031,0.874256,0.312140,32.913230
120,21.036228,0.875000,0.305980,31.569749
121,20.968323,0.875157,0.303082,30.848826
122,20.880272,0.874640,0.303348,30.791295
123,20.712833,0.874370,0.305335,31.083909
124,20.526955,0.872160,0.310973,32.574423
125,20.613388,0.873763,0.306971,33.482571
126,20.841923,0.876531,0.303069,32.307407
127,20.995197,0.877219,0.298024,31.540498
128,20.956589,0.874848,0.300736,31.492759
129,20.955574,0.872874,0.304968,31.775324
130,21.135378,0.875893,0.299820,31.558493
131,21.230354,0.875770,0.300962,31.882839
132,21.333544,0.876339,0.298779,32.880245
133,21.412930,0.875684,0.299920,32.730212
134,21.470394,0.873147,0.301965,32.620731
135,21.577862,0.875812,0.294462,31.474560
136,21.388189,0.874204,0.294563,30.925890
137,21.032724,0.872211,0.301989,31.401717
138,20.770901,0.870923,0.306484,32.274203
139,20.846605,0.870183,0.307872,33.800645
140,21.232880,0.873648,0.299235,31.645465
141,21.373941,0.876178,0.296052,30.913677
142,21.267462,0.873801,0.296445,31.524050
143,21.244070,0.873090,0.299867,31.783753
144,21.277920,0.874534,0.300284,31.795814
145,21.182175,0.874284,0.298624,32.502584
146,21.045219,0.872354,0.299513,32.430121
147,21.053883,0.872110,0.297498,31.636661
148,21.186464,0.871767,0.295521,30.760260
149,21.184315,0.872115,0.297753,30.836422
150,21.025829,0.874451,0.298614,31.188241
151,20.751808,0.873711,0.303636,32.146466
152,20.663054,0.871802,0.305400,33.952688
153,20.925484,0.872119,0.305011,33.231336
154,21.172068,0.864645,0.316715,31.162725
155,21.282408,0.867209,0.308595,31.075636
156,21.240845,0.868154,0.309760,31.487624
157,21.319735,0.869251,0.310272,31.611686
158,21.388706,0.868478,0.310933,31.799807
159,21.363117,0.867023,0.315101,33.001678
160,21.452026,0.869578,0.311296,32.776855
161,21.465099,0.869962,0.310315,32.137412
162,21.429098,0.868274,0.309290,31.483162
163,21.323963,0.867233,0.309633,31.238576
164,21.044296,0.865308,0.315464,31.295225
165,20.790550,0.865407,0.316260,32.574504
166,20.891243,0.866675,0.316060,33.500402
167,21.180298,0.868971,0.311561,32.293316
168,21.314657,0.869177,0.308462,31.436981
169,21.190300,0.865250,0.310560,31.519856
170,21.154402,0.866449,0.309768,31.868429
171,21.263325,0.868769,0.309994,31.733602
172,21.288364,0.867760,0.309477,31.611900
173,21.159773,0.864447,0.309913,31.334740
174,20.956984,0.861294,0.310710,29.427040
175,20.958740,0.862559,0.308282,28.414471
