frame_idx,psnr,ssim,lpips,psnr_temporal
0,18.187119,0.514875,0.781985,
1,17.714361,0.497759,0.791597,30.654413
2,17.257870,0.484511,0.797826,30.515228
3,17.016399,0.482603,0.795524,30.445817
4,16.795198,0.478858,0.796230,30.744005
5,16.664579,0.476326,0.796507,31.296237
6,16.643921,0.475294,0.798232,31.652398
7,16.690300,0.475772,0.803313,31.850010
8,16.669065,0.476110,0.800768,32.304418
9,16.546869,0.473682,0.801376,32.334958
10,16.350918,0.471143,0.802072,31.057025
11,16.205942,0.470419,0.803661,30.389802
12,16.216587,0.471945,0.804011,30.543809
13,16.290319,0.475415,0.803274,30.741203
14,16.316423,0.476651,0.803275,30.942251
15,16.404041,0.476278,0.804211,31.041942
16,16.322939,0.476319,0.803404,30.241895
17,16.276667,0.473642,0.806817,30.353557
18,16.321627,0.474573,0.806302,30.527420
19,16.434847,0.475084,0.806985,31.008345
20,16.540447,0.476528,0.807498,31.327519
21,16.565598,0.475950,0.808089,32.002418
22,16.577305,0.475313,0.810028,33.402737
23,16.580070,0.476096,0.808263,32.461972
24,16.562870,0.476193,0.806433,31.434778
25,16.505859,0.477120,0.807812,30.981082
26,16.537548,0.479493,0.808121,30.681936
27,16.601936,0.482389,0.810850,30.780505
28,16.314516,0.480693,0.813146,30.486732
29,16.183086,0.478129,0.813118,31.005333
30,15.933567,0.473829,0.814038,30.779353
31,15.899925,0.472721,0.814440,30.833265
32,15.801572,0.472087,0.816235,31.310770
33,15.700159,0.472847,0.815291,31.881383
34,15.672551,0.473227,0.817204,32.332936
35,15.615979,0.472165,0.816553,32.863992
36,15.514261,0.470985,0.817644,33.196148
37,15.385376,0.470933,0.820189,31.374423
38,15.279198,0.471016,0.819637,30.320804
39,15.253107,0.471555,0.818307,30.197360
40,15.309285,0.472869,0.819555,30.321154
41,15.308714,0.473196,0.819974,30.473390
42,15.383364,0.474899,0.821398,30.760500
43,15.394124,0.475129,0.819766,30.918162
44,15.384483,0.474261,0.821067,30.791582
45,15.393106,0.472324,0.821639,30.740118
46,15.451468,0.471796,0.822102,31.104741
47,15.517522,0.471701,0.824273,31.150396
48,15.599437,0.473802,0.822965,31.188045
49,15.659763,0.475176,0.823086,32.747885
50,15.715756,0.476072,0.821080,33.257994
51,15.724820,0.476470,0.820086,31.982051
52,15.722706,0.475611,0.822143,31.387826
53,15.496665,0.475975,0.822444,30.501728
54,15.378052,0.477990,0.821943,30.458673
55,15.328909,0.479360,0.823570,30.825959
56,14.940991,0.474519,0.829079,30.583783
57,14.749996,0.472720,0.829629,30.614161
58,14.740200,0.473517,0.827025,30.346291
59,14.760458,0.474558,0.826873,30.525391
60,14.731446,0.474578,0.827657,31.181952
61,14.721905,0.474607,0.829058,31.857539
62,14.681960,0.473226,0.830265,32.576905
63,14.615565,0.473486,0.830277,33.571393
64,14.559137,0.473789,0.830446,31.477149
65,14.467655,0.472781,0.829604,30.753541
66,14.438007,0.472284,0.827820,30.379366
67,14.427084,0.472817,0.832056,30.341814
68,14.494504,0.475114,0.831780,30.434235
69,14.569580,0.477209,0.830710,30.817382
70,14.666482,0.479698,0.828814,30.663428
71,14.657881,0.477443,0.833291,30.507538
72,14.629778,0.476408,0.828443,30.504606
73,14.693829,0.476540,0.827567,30.658516
74,14.777092,0.477491,0.825828,30.773569
75,14.863880,0.479458,0.827855,31.196203
76,14.889170,0.479270,0.830148,32.278850
77,14.909596,0.480770,0.830951,34.042777
78,14.971544,0.482086,0.828919,32.824299
79,15.051334,0.482778,0.826549,31.776498
80,15.122561,0.484094,0.827439,31.151242
81,15.157251,0.485807,0.830880,31.187485
82,15.204880,0.490374,0.828212,31.032936
83,15.226624,0.492663,0.828204,31.293691
84,15.198210,0.490801,0.830496,31.312623
85,15.176861,0.488704,0.829661,31.150601
86,15.131886,0.486804,0.835029,31.147653
87,15.046221,0.486166,0.833192,31.687580
88,15.005603,0.484913,0.834185,32.175675
89,15.007409,0.484751,0.834123,32.930091
90,14.991491,0.484283,0.834446,33.262452
91,14.943090,0.483079,0.835816,33.803794
92,14.863544,0.483057,0.834204,31.666376
93,14.733691,0.482333,0.832667,30.371993
94,14.667957,0.482325,0.831339,30.394748
95,14.626908,0.482384,0.834373,30.686222
96,14.587426,0.482696,0.833989,31.238045
97,14.640488,0.484898,0.832546,31.256529
98,14.715415,0.485646,0.832448,31.355236
99,14.745066,0.486098,0.833735,31.330562
100,14.746677,0.484677,0.838588,31.172725
101,14.774198,0.484960,0.835377,31.447773
102,14.867052,0.486319,0.834019,31.615019
103,14.982138,0.488599,0.834004,31.536745
104,15.089409,0.490180,0.833980,31.787213
105,15.125884,0.490884,0.835656,32.051761
106,15.087485,0.492225,0.832477,30.891715
107,15.041808,0.491256,0.833174,30.548006
108,14.953699,0.489625,0.833933,31.055798
109,14.906974,0.489224,0.835719,31.552969
110,14.858092,0.489070,0.837804,32.697851
111,14.831036,0.489078,0.836539,32.518879
112,14.820291,0.489087,0.835220,31.472147
113,14.759676,0.486364,0.837172,30.649573
114,14.670370,0.482144,0.841398,30.830311
115,14.599099,0.482237,0.837596,31.329859
116,14.613983,0.481143,0.840328,31.653793
117,14.629660,0.482308,0.840006,31.710891
118,14.608339,0.481811,0.841319,33.355711
119,14.552593,0.481038,0.842476,32.923299
120,14.493366,0.481826,0.839450,31.413205
121,14.443031,0.483469,0.838297,30.449547
122,14.466484,0.485540,0.837241,30.420920
123,14.496387,0.486932,0.838254,30.879825
124,14.513781,0.487165,0.841812,32.512014
125,14.504036,0.487832,0.839568,33.453379
126,14.452809,0.486336,0.839128,32.246621
127,14.397890,0.484621,0.838411,31.395913
128,14.368412,0.482186,0.839973,31.270703
129,14.374856,0.480497,0.842414,31.522359
130,14.431927,0.481796,0.839532,31.280346
131,14.506481,0.482375,0.840318,31.632827
132,14.548841,0.482015,0.838552,32.620096
133,14.586994,0.481876,0.838198,32.531185
134,14.624599,0.482215,0.836600,32.345627
135,14.591320,0.483214,0.833596,31.122729
136,14.581335,0.483711,0.834192,30.701399
137,14.608671,0.485320,0.836806,31.317106
138,14.599154,0.485016,0.836735,32.257300
139,14.577937,0.484424,0.837869,33.786159
140,14.542140,0.484763,0.836360,31.529435
141,14.479369,0.483716,0.837250,30.754509
142,14.451360,0.481136,0.836552,31.321685
143,14.467372,0.481017,0.838047,31.609187
144,14.505074,0.480886,0.837960,31.639692
145,14.464260,0.480700,0.839811,32.348645
146,14.414648,0.480397,0.839488,32.298199
147,14.355540,0.480507,0.839087,31.382691
148,14.328080,0.479432,0.837563,30.426729
149,14.365625,0.481128,0.838671,30.538943
150,14.418241,0.484447,0.838354,30.973867
151,14.474868,0.486656,0.839473,32.073728
152,14.498943,0.486151,0.840046,33.884268
153,14.500988,0.484896,0.841172,33.140259
154,14.471168,0.480344,0.842124,31.017160
155,14.445679,0.479600,0.841199,30.883472
156,14.472349,0.479084,0.842409,31.195717
157,14.592704,0.479229,0.843211,31.206444
158,14.691633,0.479309,0.843522,31.518014
159,14.743557,0.479501,0.844825,32.828061
160,14.751202,0.480472,0.841163,32.665973
161,14.729714,0.480246,0.840248,31.969632
162,14.743181,0.479792,0.838894,31.230645
163,14.799627,0.480435,0.837489,31.009859
164,14.856174,0.480865,0.839503,31.200438
165,14.880192,0.482288,0.839426,32.567628
166,14.877120,0.482748,0.839568,33.470282
167,14.839367,0.482324,0.838535,32.203994
168,14.771160,0.480170,0.838244,31.297529
169,14.712218,0.477936,0.839876,31.350471
170,14.674438,0.478323,0.839945,31.656481
171,14.691301,0.477869,0.840690,31.524081
172,14.698831,0.476817,0.840986,31.445706
173,14.660473,0.475092,0.842588,31.143448
174,14.564624,0.473298,0.842844,29.235724
175,14.537769,0.474242,0.840310,28.144112
176,14.560876,0.475374,0.839781,27.625605
177,14.569287,0.477263,0.838255,27.489913
178,14.578541,0.477779,0.842136,27.918790
179,14.608101,0.477699,0.843239,28.849831
180,14.667338,0.476895,0.841785,29.325188
181,14.674115,0.475416,0.842896,29.112550
182,14.705258,0.475356,0.841627,28.742258
183,14.769482,0.475063,0.841425,28.738823
184,14.877404,0.476653,0.841851,29.387844
185,14.947077,0.476603,0.842815,30.059507
186,14.964176,0.475550,0.844121,30.990468
187,15.015142,0.475391,0.843068,32.340911
188,14.956572,0.474831,0.847611,31.163923
189,15.005880,0.474068,0.848380,31.134937
190,15.083622,0.474286,0.848183,30.865420
191,15.131182,0.474181,0.848419,30.988443
192,15.174813,0.475017,0.847554,31.810100
193,15.174442,0.474882,0.848107,32.650661
194,15.132298,0.475267,0.846712,31.530295
195,15.041683,0.472475,0.845733,30.615811
196,14.917297,0.468602,0.848432,30.590048
197,14.863339,0.467889,0.847899,30.569044
198,14.888893,0.467644,0.849501,30.223274
199,14.931166,0.467774,0.850770,30.093616
200,14.988370,0.468838,0.850603,30.801021
201,15.023240,0.469902,0.850813,30.429253
202,15.074854,0.471528,0.848685,29.845865
203,15.107951,0.471868,0.848564,29.487377
204,15.059393,0.471648,0.849321,29.992703
205,15.035728,0.471380,0.848429,30.537857
206,14.964438,0.470490,0.848905,30.390120
207,14.907012,0.469168,0.846203,30.428859
208,14.818098,0.467169,0.847430,30.040727
209,14.709856,0.465050,0.847424,29.615450
210,14.745961,0.465724,0.844746,29.262458
211,14.843834,0.467934,0.845302,28.729041
212,14.918379,0.470936,0.845184,28.757954
213,14.889538,0.469997,0.841878,29.591882
214,14.875108,0.468636,0.842947,29.954077
215,14.781495,0.468387,0.838654,28.703562
216,14.560455,0.464281,0.838312,27.935045
217,14.454966,0.465508,0.838097,27.891183
218,14.367048,0.464534,0.839384,28.056267
219,14.313793,0.463629,0.841195,28.444813
220,14.263291,0.464871,0.839319,28.768020
221,14.237230,0.463816,0.839224,28.649389
222,14.251543,0.465513,0.837860,28.153212
223,14.311970,0.464348,0.836234,27.797996
224,14.358814,0.465475,0.834859,27.473982
225,14.339763,0.462775,0.838416,27.225320
226,14.216478,0.460823,0.838375,27.497680
227,14.081306,0.459415,0.838545,29.137569
228,13.994800,0.460804,0.837221,28.810987
229,13.892000,0.459780,0.838182,27.740016
230,13.789896,0.460198,0.837266,27.204261
231,13.693566,0.461019,0.836445,27.332202
232,13.659769,0.459032,0.837702,28.103299
233,13.724541,0.459561,0.840092,28.472576
234,13.793096,0.460336,0.841904,28.814475
235,13.931538,0.461764,0.837771,28.616310
236,14.075803,0.462033,0.836927,28.047942
237,14.187299,0.461592,0.833731,27.294825
238,14.286245,0.462758,0.830840,26.719387
239,14.378307,0.463952,0.829242,26.999330
240,14.450675,0.464131,0.830426,28.369976
241,14.493275,0.464820,0.831140,29.641643
242,14.503414,0.465001,0.824127,28.264627
243,14.557036,0.466865,0.819475,27.325769
244,14.579257,0.468506,0.815148,27.147569
245,14.596561,0.468543,0.810776,27.682570
246,14.571166,0.466565,0.814387,28.082340
247,14.544037,0.467415,0.814776,29.355854
