epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.169505,0.169505,0.195150,0.000000,11.147
2,0.160097,0.160097,0.192352,0.000000,9.574
3,0.151087,0.151087,0.195207,0.058346,9.454
4,0.142814,0.142814,0.198259,0.123685,9.516
5,0.135681,0.135681,0.201243,0.229331,9.585
6,0.129676,0.129676,0.204047,0.221458,9.643
7,0.124592,0.124592,0.206592,0.240460,9.719
8,0.120222,0.120222,0.208827,0.281627,9.772
9,0.116406,0.116406,0.210704,0.345091,9.833
10,0.113026,0.113026,0.212187,0.410739,9.878
11,0.109995,0.109994,0.213260,0.486218,9.921
12,0.107245,0.107245,0.213920,0.560276,9.981
13,0.104726,0.104726,0.214178,0.633752,10.014
14,0.102401,0.102401,0.214055,0.716603,10.046
15,0.100241,0.100241,0.213586,0.798554,10.070
16,0.098222,0.098222,0.212796,0.885417,10.096
17,0.096328,0.096328,0.211711,0.976544,10.123
18,0.094544,0.094544,0.210358,1.063802,10.142
19,0.092859,0.092859,0.208772,1.152952,10.161
20,0.091260,0.091260,0.206988,1.243005,10.183
21,0.089733,0.089733,0.205036,1.334162,10.195
22,0.088267,0.088267,0.202948,1.431334,10.218
23,0.086856,0.086856,0.200754,1.532674,10.244
24,0.085495,0.085495,0.198480,1.638736,10.251
25,0.084181,0.084181,0.196146,1.750805,10.263
26,0.082912,0.082912,0.193771,1.869342,10.276
27,0.081684,0.081684,0.191371,1.995297,10.288
28,0.080494,0.080494,0.188966,2.130860,10.293
29,0.079339,0.079339,0.186562,2.276688,10.302
30,0.078217,0.078217,0.184164,2.430728,10.308
31,0.077127,0.077127,0.181781,2.591167,10.317
32,0.076068,0.076068,0.179418,2.757876,10.325
33,0.075036,0.075036,0.177084,2.931234,10.332
34,0.074032,0.074031,0.174790,3.110291,10.338
35,0.073053,0.073053,0.172540,3.295302,10.338
36,0.072099,0.072099,0.170332,3.487378,10.347
37,0.071168,0.071168,0.168159,3.686648,10.354
38,0.070259,0.070259,0.166016,3.892572,10.359
39,0.069370,0.069369,0.163898,4.107872,10.362
40,0.068499,0.068499,0.161807,4.333670,10.365
41,0.067647,0.067647,0.159746,4.568711,10.369
42,0.066812,0.066812,0.157712,4.811051,10.371
43,0.065996,0.065996,0.155704,5.061985,10.376
44,0.065198,0.065198,0.153719,5.324251,10.381
45,0.064418,0.064418,0.151754,5.599978,10.381
46,0.063654,0.063654,0.149813,5.890790,10.384
47,0.062908,0.062908,0.147894,6.193376,10.386
48,0.062180,0.062180,0.145997,6.508910,10.387
49,0.061469,0.061469,0.144121,6.832694,10.391
50,0.060776,0.060776,0.142267,7.160666,10.392
51,0.060099,0.060099,0.140436,7.499819,10.394
52,0.059438,0.059438,0.138623,7.842649,10.398
53,0.058794,0.058794,0.136826,8.197849,10.402
54,0.058164,0.058164,0.135044,8.567492,10.402
55,0.057550,0.057550,0.133279,8.943750,10.406
56,0.056951,0.056951,0.131529,9.330647,10.406
57,0.056366,0.056366,0.129795,9.724974,10.407
58,0.055797,0.055797,0.128075,10.128153,10.411
59,0.055243,0.055243,0.126367,10.546961,10.414
60,0.054703,0.054702,0.124670,10.972950,10.417
61,0.054175,0.054175,0.122990,11.400881,10.423
62,0.053662,0.053662,0.121325,11.836508,10.419
63,0.053163,0.053163,0.119676,12.273506,10.422
64,0.052676,0.052676,0.118037,12.708952,10.425
65,0.052201,0.052201,0.116408,13.148289,10.426
66,0.051740,0.051740,0.114788,13.597949,10.429
67,0.051288,0.051288,0.113174,14.055758,10.431
68,0.050849,0.050849,0.111567,14.515329,10.434
69,0.050420,0.050420,0.109965,14.962248,10.439
70,0.050003,0.050003,0.108364,15.380789,10.437
71,0.049597,0.049597,0.106764,15.755844,10.438
72,0.049203,0.049203,0.105160,16.098843,10.445
73,0.048817,0.048817,0.103556,16.421421,10.446
74,0.048442,0.048442,0.101952,16.727558,10.447
75,0.048077,0.048077,0.100348,17.022518,10.445
76,0.047717,0.047717,0.098744,17.308025,10.448
77,0.047370,0.047370,0.097136,17.581682,10.445
78,0.047026,0.047026,0.095523,17.850649,10.451
79,0.046693,0.046693,0.093912,18.102879,10.454
80,0.046365,0.046365,0.092309,18.342085,10.455
81,0.046049,0.046049,0.090731,18.562439,10.456
82,0.045736,0.045736,0.089189,18.768993,10.456
83,0.045432,0.045432,0.087686,18.966558,10.458
84,0.045132,0.045132,0.086214,19.148401,10.460
85,0.044842,0.044842,0.084790,19.334572,10.462
86,0.044557,0.044557,0.083417,19.507721,10.463
87,0.044276,0.044276,0.082096,19.653660,10.466
88,0.044005,0.044005,0.080827,19.791658,10.462
89,0.043737,0.043737,0.079602,19.925804,10.467
90,0.043475,0.043475,0.078420,20.039499,10.468
91,0.043218,0.043218,0.077285,20.143604,10.469
92,0.042967,0.042967,0.076217,20.247295,10.470
93,0.042721,0.042721,0.075198,20.336853,10.471
94,0.042481,0.042481,0.074205,20.421867,10.471
95,0.042243,0.042243,0.073236,20.502052,10.474
96,0.042014,0.042014,0.072280,20.566475,10.475
97,0.041786,0.041786,0.071334,20.635582,10.477
98,0.041560,0.041560,0.070403,20.711586,10.479
99,0.041343,0.041343,0.069495,20.785658,10.479
100,0.041128,0.041128,0.068604,20.860931,10.480
101,0.040913,0.040913,0.067712,20.934261,10.484
102,0.040707,0.040707,0.066826,20.990070,10.483
103,0.040503,0.040503,0.065968,21.033777,10.483
104,0.040304,0.040304,0.065146,21.064798,10.484
105,0.040108,0.040108,0.064380,21.094921,10.486
106,0.039913,0.039913,0.063671,21.110710,10.489
107,0.039722,0.039722,0.062986,21.140232,10.489
108,0.039537,0.039537,0.062285,21.164949,10.493
109,0.039353,0.039353,0.061547,21.178492,10.493
110,0.039172,0.039172,0.060823,21.188374,10.495
111,0.038994,0.038994,0.060113,21.210165,10.492
112,0.038819,0.038819,0.059413,21.220352,10.496
113,0.038648,0.038648,0.058703,21.240530,10.494
114,0.038479,0.038479,0.058032,21.267803,10.499
115,0.038312,0.038312,0.057406,21.310802,10.497
116,0.038148,0.038148,0.056804,21.375633,10.499
117,0.037986,0.037986,0.056205,21.431698,10.498
118,0.037827,0.037827,0.055630,21.491436,10.502
119,0.037671,0.037671,0.055046,21.548763,10.501
120,0.037516,0.037516,0.054467,21.607382,10.499
121,0.037365,0.037365,0.053890,21.673744,10.504
122,0.037214,0.037214,0.053283,21.735838,10.503
123,0.037068,0.037068,0.052687,21.799755,10.504
124,0.036921,0.036921,0.052264,21.863411,10.509
125,0.036778,0.036778,0.052084,21.929165,10.506
126,0.036637,0.036637,0.051880,21.999756,10.508
127,0.036497,0.036497,0.051714,22.074692,10.510
128,0.036359,0.036359,0.051544,22.133972,10.509
129,0.036225,0.036225,0.051335,22.196905,10.510
130,0.036090,0.036090,0.051210,22.260983,10.509
131,0.035959,0.035959,0.050986,22.312935,10.511
132,0.035831,0.035831,0.050787,22.358307,10.514
133,0.035701,0.035701,0.050654,22.430677,10.515
134,0.035573,0.035573,0.050451,22.498117,10.513
135,0.035448,0.035448,0.050246,22.540388,10.517
136,0.035325,0.035325,0.050073,22.596809,10.515
137,0.035205,0.035205,0.049906,22.652855,10.519
138,0.035084,0.035084,0.049728,22.716829,10.520
139,0.034964,0.034964,0.049546,22.790188,10.521
140,0.034848,0.034848,0.049389,22.842571,10.518
141,0.034733,0.034733,0.049233,22.907297,10.519
142,0.034618,0.034618,0.049069,22.980186,10.523
143,0.034505,0.034505,0.048917,23.054800,10.524
144,0.034392,0.034392,0.048783,23.132729,10.523
145,0.034282,0.034282,0.048661,23.191555,10.521
146,0.034173,0.034173,0.048476,23.251354,10.525
147,0.034064,0.034064,0.048350,23.326170,10.525
148,0.033958,0.033958,0.048205,23.390430,10.526
149,0.033852,0.033852,0.048065,23.443863,10.524
150,0.033749,0.033749,0.047994,23.518932,10.526
151,0.033648,0.033648,0.047811,23.606544,10.526
152,0.033544,0.033544,0.047745,23.677696,10.527
153,0.033444,0.033444,0.047578,23.742525,10.529
154,0.033345,0.033345,0.047461,23.795559,10.530
155,0.033247,0.033247,0.047380,23.861748,10.531
156,0.033151,0.033151,0.047227,23.915005,10.532
157,0.033054,0.033054,0.047143,23.991871,10.533
158,0.032958,0.032958,0.046979,24.057077,10.533
159,0.032865,0.032865,0.046884,24.118626,10.536
160,0.032772,0.032772,0.046791,24.194920,10.537
161,0.032681,0.032681,0.046724,24.269756,10.537
162,0.032590,0.032590,0.046589,24.362335,10.537
163,0.032500,0.032500,0.046446,24.435423,10.536
164,0.032411,0.032411,0.046333,24.516455,10.537
165,0.032323,0.032323,0.046249,24.612226,10.536
166,0.032236,0.032236,0.046129,24.699245,10.535
167,0.032150,0.032150,0.045997,24.774075,10.536
168,0.032065,0.032065,0.045896,24.863758,10.537
169,0.031981,0.031981,0.045788,24.948700,10.538
170,0.031896,0.031896,0.045675,25.030933,10.542
171,0.031812,0.031812,0.045631,25.116741,10.540
172,0.031731,0.031731,0.045482,25.207939,10.541
173,0.031650,0.031650,0.045388,25.292561,10.544
174,0.031570,0.031570,0.045295,25.385983,10.545
175,0.031490,0.031490,0.045213,25.466476,10.545
176,0.031412,0.031412,0.045098,25.550037,10.543
177,0.031335,0.031335,0.045036,25.649185,10.545
178,0.031258,0.031258,0.044905,25.753050,10.545
179,0.031182,0.031182,0.044837,25.827850,10.544
180,0.031106,0.031106,0.044744,25.904768,10.547
181,0.031031,0.031031,0.044659,25.978951,10.548
182,0.030956,0.030956,0.044536,26.049217,10.547
183,0.030883,0.030883,0.044434,26.150822,10.548
184,0.030811,0.030811,0.044394,26.237057,10.551
185,0.030739,0.030739,0.044280,26.312359,10.547
186,0.030669,0.030669,0.044187,26.390541,10.549
187,0.030597,0.030597,0.044113,26.473915,10.546
188,0.030526,0.030526,0.043977,26.561352,10.547
189,0.030457,0.030457,0.043915,26.641914,10.548
190,0.030388,0.030388,0.043821,26.698526,10.546
191,0.030321,0.030321,0.043744,26.774963,10.545
192,0.030254,0.030254,0.043688,26.847771,10.546
193,0.030186,0.030186,0.043589,26.933029,10.544
194,0.030120,0.030120,0.043486,26.994310,10.545
195,0.030055,0.030055,0.043395,27.059727,10.547
196,0.029989,0.029989,0.043309,27.132818,10.549
197,0.029926,0.029926,0.043281,27.200054,10.548
198,0.029862,0.029862,0.043178,27.275394,10.550
199,0.029799,0.029799,0.043125,27.321564,10.550
200,0.029735,0.029735,0.043001,27.380938,10.550
201,0.029671,0.029671,0.042941,27.455729,10.549
202,0.029610,0.029610,0.042876,27.492973,10.551
203,0.029550,0.029550,0.042820,27.557129,10.553
204,0.029489,0.029489,0.042720,27.627079,10.552
205,0.029428,0.029428,0.042630,27.684448,10.553
206,0.029367,0.029367,0.042535,27.749195,10.554
207,0.029308,0.029308,0.042505,27.809963,10.554
208,0.029249,0.029249,0.042384,27.874092,10.554
209,0.029192,0.029192,0.042300,27.943031,10.554
210,0.029134,0.029134,0.042237,28.005264,10.554
211,0.029076,0.029076,0.042148,28.069670,10.556
212,0.029018,0.029018,0.042078,28.131487,10.558
213,0.028961,0.028961,0.041999,28.181763,10.559
214,0.028905,0.028905,0.041909,28.250093,10.562
215,0.028849,0.028849,0.041868,28.330755,10.559
216,0.028793,0.028793,0.041791,28.371643,10.558
217,0.028739,0.028739,0.041711,28.426754,10.563
218,0.028684,0.028684,0.041608,28.490700,10.561
219,0.028631,0.028631,0.041521,28.543158,10.562
220,0.028578,0.028578,0.041485,28.603008,10.564
221,0.028525,0.028525,0.041391,28.664091,10.565
222,0.028471,0.028471,0.041309,28.720167,10.566
223,0.028418,0.028418,0.041242,28.762407,10.565
224,0.028366,0.028366,0.041135,28.822289,10.563
225,0.028316,0.028316,0.041110,28.894135,10.565
226,0.028266,0.028266,0.040990,28.952679,10.566
227,0.028215,0.028215,0.040960,28.994835,10.566
228,0.028164,0.028164,0.040863,29.038738,10.569
229,0.028114,0.028114,0.040793,29.085739,10.570
230,0.028065,0.028065,0.040706,29.155140,10.573
231,0.028016,0.028016,0.040638,29.206238,10.570
232,0.027968,0.027968,0.040542,29.259544,10.573
233,0.027919,0.027919,0.040501,29.318275,10.572
234,0.027870,0.027870,0.040414,29.369730,10.576
235,0.027823,0.027823,0.040369,29.411549,10.573
236,0.027776,0.027776,0.040298,29.442112,10.572
237,0.027729,0.027729,0.040206,29.496895,10.574
238,0.027683,0.027683,0.040157,29.560488,10.572
239,0.027635,0.027635,0.040051,29.627148,10.574
240,0.027590,0.027590,0.040031,29.660810,10.575
241,0.027545,0.027545,0.039930,29.712284,10.575
242,0.027499,0.027499,0.039904,29.763935,10.576
243,0.027454,0.027453,0.039808,29.809956,10.578
244,0.027409,0.027409,0.039793,29.881329,10.578
245,0.027365,0.027365,0.039706,29.916088,10.578
246,0.027321,0.027321,0.039666,29.950651,10.580
247,0.027278,0.027278,0.039573,29.995115,10.580
248,0.027235,0.027235,0.039539,30.057526,10.579
249,0.027191,0.027191,0.039440,30.094482,10.577
250,0.027148,0.027148,0.039399,30.135067,10.581
251,0.027105,0.027105,0.039310,30.172359,10.583
252,0.027062,0.027062,0.039278,30.215633,10.583
253,0.027020,0.027020,0.039223,30.261200,10.582
254,0.026979,0.026979,0.039177,30.297668,10.584
255,0.026938,0.026938,0.039102,30.331024,10.581
256,0.026897,0.026897,0.039039,30.355976,10.582
257,0.026855,0.026855,0.038991,30.372303,10.585
258,0.026814,0.026814,0.038918,30.418251,10.584
259,0.026774,0.026774,0.038850,30.447826,10.583
260,0.026734,0.026734,0.038773,30.476395,10.585
261,0.026695,0.026695,0.038756,30.515892,10.587
262,0.026655,0.026655,0.038666,30.535135,10.586
263,0.026616,0.026616,0.038660,30.546251,10.587
264,0.026577,0.026577,0.038572,30.588970,10.585
265,0.026538,0.026538,0.038540,30.632240,10.582
266,0.026498,0.026498,0.038472,30.671597,10.583
267,0.026460,0.026460,0.038410,30.701265,10.584
268,0.026421,0.026421,0.038353,30.743956,10.585
269,0.026384,0.026384,0.038274,30.769794,10.588
270,0.026347,0.026347,0.038244,30.802589,10.585
271,0.026310,0.026310,0.038162,30.829796,10.586
272,0.026273,0.026273,0.038120,30.854570,10.589
273,0.026236,0.026236,0.038057,30.881582,10.585
274,0.026198,0.026198,0.038053,30.905994,10.589
275,0.026162,0.026162,0.037973,30.954199,10.587
276,0.026127,0.026127,0.037922,30.987911,10.588
277,0.026090,0.026090,0.037839,31.024204,10.591
278,0.026054,0.026054,0.037785,31.045391,10.591
279,0.026017,0.026017,0.037729,31.080067,10.594
280,0.025982,0.025982,0.037670,31.113546,10.592
281,0.025948,0.025948,0.037650,31.135548,10.592
282,0.025913,0.025913,0.037586,31.165493,10.592
283,0.025878,0.025878,0.037577,31.189480,10.593
284,0.025844,0.025844,0.037486,31.220959,10.590
285,0.025809,0.025809,0.037457,31.240923,10.594
286,0.025775,0.025775,0.037371,31.258711,10.592
287,0.025741,0.025741,0.037357,31.274309,10.593
288,0.025707,0.025707,0.037281,31.295475,10.593
289,0.025673,0.025673,0.037231,31.305847,10.597
290,0.025640,0.025640,0.037152,31.341061,10.595
291,0.025607,0.025607,0.037131,31.370003,10.592
292,0.025575,0.025575,0.037098,31.404020,10.594
293,0.025542,0.025542,0.037003,31.411177,10.591
294,0.025510,0.025510,0.036972,31.432030,10.594
295,0.025478,0.025478,0.036904,31.463215,10.593
296,0.025446,0.025446,0.036893,31.487598,10.595
297,0.025414,0.025414,0.036794,31.501381,10.596
298,0.025382,0.025382,0.036796,31.528727,10.597
299,0.025351,0.025351,0.036709,31.563625,10.596
300,0.025321,0.025321,0.036663,31.583372,10.595
301,0.025290,0.025290,0.036606,31.592541,10.596
302,0.025258,0.025258,0.036542,31.613253,10.597
303,0.025225,0.025226,0.036515,31.637510,10.595
304,0.025195,0.025195,0.036434,31.663111,10.596
305,0.025166,0.025166,0.036406,31.681221,10.597
306,0.025136,0.025136,0.036335,31.710766,10.596
307,0.025106,0.025106,0.036294,31.723724,10.599
308,0.025075,0.025075,0.036248,31.731525,10.598
309,0.025045,0.025045,0.036227,31.750401,10.599
310,0.025015,0.025015,0.036152,31.768795,10.598
311,0.024986,0.024986,0.036106,31.800159,10.600
312,0.024957,0.024957,0.036068,31.796299,10.604
313,0.024929,0.024929,0.036025,31.819225,10.602
314,0.024900,0.024900,0.036012,31.866146,10.603
315,0.024872,0.024872,0.035930,31.880825,10.605
316,0.024843,0.024843,0.035880,31.888264,10.605
317,0.024813,0.024813,0.035830,31.886208,10.605
318,0.024785,0.024785,0.035789,31.912624,10.604
319,0.024756,0.024756,0.035827,31.940178,10.606
320,0.024728,0.024728,0.035703,31.984203,10.605
321,0.024700,0.024700,0.035652,31.986452,10.605
322,0.024673,0.024673,0.035604,32.000549,10.607
323,0.024646,0.024646,0.035576,32.024582,10.607
324,0.024619,0.024619,0.035567,32.037945,10.605
325,0.024591,0.024591,0.035482,32.061508,10.607
326,0.024562,0.024562,0.035405,32.058464,10.604
327,0.024535,0.024535,0.035402,32.082935,10.604
328,0.024510,0.024510,0.035341,32.112194,10.607
329,0.024485,0.024485,0.035321,32.115654,10.608
330,0.024458,0.024458,0.035233,32.125710,10.610
331,0.024430,0.024430,0.035189,32.143921,10.608
332,0.024404,0.024404,0.035167,32.165722,10.607
333,0.024378,0.024378,0.035124,32.187698,10.610
334,0.024352,0.024352,0.035131,32.193607,10.613
335,0.024326,0.024326,0.035048,32.211472,10.610
336,0.024299,0.024299,0.035003,32.217827,10.611
337,0.024274,0.024274,0.034958,32.237461,10.612
338,0.024250,0.024250,0.034907,32.253757,10.611
339,0.024224,0.024224,0.034885,32.268646,10.610
340,0.024199,0.024199,0.034826,32.287140,10.612
341,0.024174,0.024174,0.034808,32.297432,10.611
342,0.024150,0.024150,0.034745,32.316254,10.611
343,0.024124,0.024124,0.034718,32.324654,10.612
344,0.024100,0.024100,0.034662,32.347652,10.610
345,0.024075,0.024075,0.034634,32.363800,10.612
346,0.024050,0.024050,0.034627,32.390728,10.614
347,0.024026,0.024026,0.034552,32.385643,10.613
348,0.024003,0.024003,0.034522,32.396049,10.614
349,0.023979,0.023979,0.034460,32.413971,10.615
350,0.023956,0.023956,0.034450,32.418594,10.615
351,0.023933,0.023933,0.034416,32.425900,10.616
352,0.023909,0.023909,0.034378,32.431946,10.617
353,0.023885,0.023885,0.034315,32.453983,10.615
354,0.023861,0.023861,0.034274,32.449902,10.613
355,0.023837,0.023837,0.034251,32.472084,10.616
356,0.023814,0.023814,0.034206,32.479809,10.614
357,0.023792,0.023792,0.034164,32.480560,10.616
358,0.023768,0.023768,0.034140,32.488731,10.616
359,0.023745,0.023745,0.034081,32.519371,10.617
360,0.023723,0.023723,0.034078,32.518959,10.618
361,0.023701,0.023701,0.033996,32.535080,10.616
362,0.023680,0.023680,0.034019,32.558525,10.614
363,0.023657,0.023657,0.033967,32.575180,10.614
364,0.023633,0.023633,0.033946,32.574680,10.617
365,0.023610,0.023610,0.033889,32.584602,10.618
366,0.023587,0.023587,0.033887,32.612049,10.619
367,0.023566,0.023566,0.033835,32.616718,10.620
368,0.023546,0.023546,0.033781,32.628113,10.619
369,0.023524,0.023524,0.033758,32.643883,10.618
370,0.023503,0.023503,0.033703,32.659294,10.617
371,0.023481,0.023481,0.033698,32.657120,10.614
372,0.023459,0.023459,0.033640,32.685471,10.614
373,0.023437,0.023437,0.033671,32.706619,10.614
374,0.023417,0.023417,0.033588,32.715164,10.615
375,0.023397,0.023397,0.033598,32.731003,10.615
376,0.023377,0.023377,0.033540,32.750435,10.613
377,0.023356,0.023356,0.033498,32.750599,10.614
378,0.023335,0.023335,0.033456,32.773293,10.615
379,0.023313,0.023313,0.033438,32.769730,10.615
380,0.023292,0.023292,0.033384,32.784302,10.614
381,0.023272,0.023272,0.033361,32.808311,10.615
382,0.023251,0.023251,0.033331,32.818100,10.616
383,0.023232,0.023232,0.033289,32.831718,10.614
384,0.023212,0.023212,0.033279,32.853958,10.617
385,0.023192,0.023192,0.033245,32.864914,10.617
386,0.023172,0.023172,0.033220,32.878113,10.617
387,0.023152,0.023152,0.033173,32.892811,10.618
388,0.023132,0.023132,0.033172,32.894516,10.617
389,0.023112,0.023112,0.033144,32.915237,10.620
390,0.023092,0.023092,0.033104,32.911903,10.621
391,0.023074,0.023074,0.033079,32.927689,10.622
392,0.023054,0.023054,0.033067,32.949554,10.622
393,0.023034,0.023034,0.033010,32.973221,10.622
394,0.023015,0.023015,0.033022,32.974716,10.622
395,0.022996,0.022996,0.032948,32.976624,10.623
396,0.022978,0.022978,0.032945,32.980217,10.624
397,0.022959,0.022959,0.032878,32.984146,10.624
398,0.022939,0.022939,0.032909,33.004738,10.626
399,0.022920,0.022920,0.032843,33.015945,10.624
400,0.022901,0.022901,0.032820,33.013237,10.629
401,0.022882,0.022882,0.032791,33.016640,10.712
402,0.022865,0.022865,0.032758,33.031998,10.712
403,0.022847,0.022847,0.032760,33.045414,10.722
404,0.022829,0.022829,0.032717,33.045185,10.729
405,0.022811,0.022811,0.032717,33.061272,10.722
406,0.022792,0.022792,0.032697,33.058010,10.759
407,0.022773,0.022773,0.032639,33.066444,10.767
408,0.022755,0.022755,0.032618,33.080254,10.769
409,0.022737,0.022737,0.032593,33.068375,10.770
410,0.022718,0.022718,0.032583,33.091583,10.773
411,0.022700,0.022700,0.032545,33.090431,10.774
412,0.022683,0.022683,0.032547,33.097961,10.773
413,0.022666,0.022666,0.032481,33.102100,10.775
414,0.022648,0.022648,0.032508,33.100811,10.772
415,0.022631,0.022631,0.032433,33.117188,10.775
416,0.022613,0.022613,0.032439,33.115471,10.773
417,0.022595,0.022595,0.032384,33.106590,10.772
418,0.022577,0.022577,0.032378,33.107903,10.772
419,0.022561,0.022561,0.032342,33.112915,10.772
420,0.022544,0.022544,0.032307,33.119255,10.772
421,0.022527,0.022527,0.032319,33.121742,10.771
422,0.022510,0.022510,0.032264,33.117218,10.772
423,0.022494,0.022494,0.032277,33.131691,10.772
424,0.022475,0.022475,0.032211,33.136406,10.772
425,0.022458,0.022458,0.032214,33.134331,10.772
426,0.022441,0.022440,0.032159,33.136642,10.769
427,0.022423,0.022423,0.032150,33.138954,10.749
428,0.022406,0.022406,0.032119,33.137772,10.773
429,0.022391,0.022391,0.032117,33.141186,10.772
430,0.022375,0.022375,0.032100,33.132793,10.771
431,0.022358,0.022358,0.032065,33.137032,10.768
432,0.022343,0.022343,0.032057,33.141796,10.763
433,0.022327,0.022327,0.032007,33.149933,10.772
434,0.022310,0.022310,0.031993,33.143364,10.772
435,0.022293,0.022293,0.031953,33.158073,10.771
436,0.022277,0.022277,0.031965,33.150547,10.771
437,0.022260,0.022260,0.031911,33.156193,10.769
438,0.022244,0.022244,0.031915,33.146706,10.769
439,0.022228,0.022228,0.031858,33.146873,10.772
440,0.022211,0.022211,0.031861,33.165028,10.772
441,0.022195,0.022195,0.031813,33.160889,10.773
442,0.022180,0.022180,0.031826,33.153946,10.773
443,0.022164,0.022164,0.031777,33.142700,10.771
444,0.022149,0.022149,0.031794,33.165253,10.771
445,0.022133,0.022133,0.031731,33.156769,10.774
446,0.022117,0.022117,0.031742,33.157486,10.774
447,0.022102,0.022102,0.031691,33.144554,10.727
448,0.022087,0.022087,0.031666,33.152969,10.774
449,0.022072,0.022072,0.031641,33.145210,10.777
450,0.022057,0.022057,0.031615,33.160706,10.778
451,0.022042,0.022042,0.031614,33.150780,10.777
452,0.022027,0.022027,0.031586,33.159874,10.761
453,0.022012,0.022012,0.031566,33.163635,10.749
454,0.021995,0.021995,0.031553,33.155560,10.778
455,0.021980,0.021980,0.031504,33.152161,10.778
456,0.021965,0.021965,0.031496,33.161339,10.777
457,0.021951,0.021951,0.031451,33.161884,10.779
458,0.021937,0.021937,0.031458,33.158810,10.779
459,0.021922,0.021922,0.031419,33.152397,10.780
460,0.021907,0.021907,0.031428,33.172943,10.683
461,0.021892,0.021892,0.031374,33.159218,10.639
462,0.021878,0.021878,0.031358,33.166115,10.649
463,0.021864,0.021864,0.031305,33.180786,10.643
464,0.021849,0.021849,0.031304,33.180351,10.644
465,0.021835,0.021835,0.031268,33.178169,10.646
466,0.021819,0.021819,0.031257,33.160748,10.645
467,0.021804,0.021804,0.031239,33.145065,10.642
468,0.021790,0.021790,0.031216,33.161095,10.644
469,0.021776,0.021776,0.031217,33.164928,10.642
470,0.021763,0.021763,0.031183,33.142471,10.642
471,0.021749,0.021749,0.031180,33.151375,10.644
472,0.021735,0.021735,0.031135,33.142506,10.643
473,0.021721,0.021721,0.031133,33.149826,10.648
474,0.021708,0.021708,0.031059,33.141705,10.644
475,0.021693,0.021693,0.031096,33.129753,10.648
476,0.021679,0.021679,0.031035,33.119373,10.645
477,0.021665,0.021665,0.031053,33.127831,10.647
478,0.021651,0.021651,0.030995,33.116440,10.642
479,0.021638,0.021638,0.031016,33.109348,10.647
480,0.021624,0.021624,0.030966,33.117462,10.646
481,0.021610,0.021610,0.030948,33.099133,10.648
482,0.021597,0.021597,0.030953,33.092361,10.646
483,0.021583,0.021583,0.030902,33.097382,10.646
484,0.021569,0.021569,0.030924,33.083557,10.647
485,0.021556,0.021556,0.030885,33.073650,10.646
486,0.021543,0.021543,0.030874,33.059353,10.647
487,0.021529,0.021529,0.030828,33.062809,10.650
488,0.021516,0.021516,0.030806,33.076942,10.649
489,0.021503,0.021503,0.030796,33.074318,10.647
490,0.021490,0.021490,0.030786,33.055176,10.645
491,0.021477,0.021477,0.030778,33.047260,10.646
492,0.021464,0.021464,0.030728,33.053711,10.648
493,0.021450,0.021450,0.030745,33.037037,10.651
494,0.021438,0.021438,0.030673,33.034988,10.647
495,0.021426,0.021426,0.030717,33.010262,10.646
496,0.021412,0.021412,0.030645,33.006363,10.650
497,0.021399,0.021399,0.030674,33.003670,10.647
498,0.021386,0.021386,0.030616,32.999249,10.648
499,0.021373,0.021373,0.030611,32.981567,10.647
500,0.021360,0.021360,0.030572,32.976021,10.646
501,0.021347,0.021347,0.030556,32.978733,10.646
502,0.021335,0.021335,0.030545,32.974327,10.648
503,0.021322,0.021322,0.030525,32.976376,10.651
504,0.021310,0.021310,0.030514,32.961178,10.652
505,0.021298,0.021298,0.030506,32.953598,10.651
506,0.021286,0.021286,0.030480,32.935791,10.648
507,0.021273,0.021273,0.030480,32.928177,10.652
508,0.021261,0.021261,0.030447,32.919853,10.650
509,0.021248,0.021248,0.030460,32.931366,10.649
510,0.021235,0.021235,0.030388,32.925911,10.650
511,0.021224,0.021224,0.030396,32.919182,10.650
512,0.021211,0.021211,0.030325,32.904190,10.647
513,0.021199,0.021199,0.030351,32.894875,10.653
514,0.021187,0.021187,0.030312,32.884136,10.654
515,0.021174,0.021174,0.030294,32.881588,10.651
516,0.021162,0.021162,0.030286,32.875584,10.652
517,0.021150,0.021150,0.030259,32.863609,10.653
518,0.021138,0.021138,0.030246,32.849007,10.653
519,0.021126,0.021126,0.030252,32.852798,10.652
520,0.021115,0.021115,0.030197,32.830971,10.652
521,0.021103,0.021103,0.030231,32.821507,10.655
522,0.021092,0.021092,0.030168,32.829903,10.657
523,0.021080,0.021080,0.030187,32.815903,10.654
524,0.021068,0.021068,0.030118,32.802429,10.655
525,0.021056,0.021056,0.030132,32.801743,10.657
526,0.021044,0.021044,0.030086,32.777588,10.655
527,0.021032,0.021032,0.030098,32.766922,10.654
528,0.021020,0.021020,0.030045,32.756294,10.658
529,0.021009,0.021009,0.030062,32.780071,10.655
530,0.020998,0.020998,0.030008,32.772888,10.656
531,0.020986,0.020986,0.030031,32.745304,10.656
532,0.020975,0.020975,0.029990,32.746346,10.655
533,0.020964,0.020964,0.029979,32.740944,10.657
534,0.020953,0.020953,0.029948,32.736053,10.658
535,0.020941,0.020941,0.029943,32.727131,10.660
