frame_idx,psnr,ssim,lpips,psnr_temporal
0,39.759312,0.990387,0.009734,
1,40.387096,0.989787,0.008650,44.944974
2,40.075485,0.986572,0.014187,44.441561
3,40.346848,0.988423,0.011276,45.333119
4,40.005585,0.988260,0.011516,45.212856
5,40.132370,0.988275,0.010964,45.001857
6,40.166718,0.988461,0.010230,44.919097
7,39.919571,0.988135,0.009743,44.791414
8,40.021996,0.988521,0.009255,44.631746
9,39.771481,0.988169,0.009969,44.541571
10,39.773502,0.988100,0.010475,44.147522
11,39.954296,0.988159,0.010360,44.110290
12,39.557484,0.987446,0.010519,43.951582
13,39.822651,0.987898,0.010683,43.751093
14,39.687515,0.987945,0.011301,43.824653
15,39.482712,0.987466,0.009727,43.916391
16,39.799866,0.988050,0.010444,43.539021
17,39.395721,0.987025,0.011896,43.580969
18,39.382526,0.987085,0.011977,43.132489
19,39.135906,0.986833,0.012192,43.237262
20,39.062263,0.986597,0.012466,42.885205
21,39.148354,0.986799,0.011015,42.967726
22,38.806377,0.986416,0.010632,43.175729
23,38.977180,0.986438,0.011601,42.822594
24,38.896515,0.986341,0.012384,42.745819
25,38.860977,0.986351,0.013046,42.623974
26,38.915936,0.986371,0.012478,42.609811
27,38.269825,0.985795,0.012737,42.522707
28,38.466434,0.985544,0.012784,42.000776
29,38.270706,0.984908,0.013195,42.384633
30,38.286266,0.984602,0.014081,42.019935
31,38.390358,0.984629,0.014486,42.154976
32,38.337845,0.984152,0.013860,42.501728
33,38.305492,0.984382,0.013444,42.350206
34,38.203545,0.984034,0.013885,42.121674
35,38.052979,0.984196,0.013892,41.931946
36,38.062862,0.983826,0.013651,41.926326
37,37.871243,0.983426,0.015361,41.927623
38,37.753265,0.983434,0.015101,41.566643
39,37.933392,0.983535,0.015249,41.543215
40,37.666847,0.983005,0.016449,41.450185
41,37.500160,0.983053,0.016980,41.144199
42,37.372242,0.982728,0.016722,41.334647
43,37.621483,0.983204,0.016367,41.020089
44,37.663609,0.983372,0.015911,41.278963
45,37.788414,0.983440,0.015229,41.374725
46,37.777809,0.983161,0.016150,41.600262
47,37.679558,0.982887,0.015676,41.508865
48,37.896797,0.984021,0.014224,41.494106
49,37.669247,0.983357,0.015590,41.634990
50,37.551197,0.983176,0.015594,41.317138
51,37.768799,0.983232,0.015482,41.296783
52,37.071518,0.982417,0.018177,41.202183
53,37.220989,0.981889,0.017511,40.823808
54,37.299286,0.982373,0.016561,40.749401
55,36.801418,0.981944,0.018159,40.642138
56,36.955463,0.980547,0.018238,40.316361
57,36.871906,0.980586,0.018320,40.688623
58,36.831741,0.981225,0.018000,40.506159
59,36.983826,0.980620,0.019128,40.401434
60,37.171329,0.980886,0.017486,40.655494
61,37.156960,0.981127,0.017023,40.937177
62,36.827282,0.980839,0.017100,40.841520
63,36.759083,0.980942,0.017612,41.129137
64,36.696213,0.979998,0.017777,40.403554
65,36.966770,0.980680,0.018941,40.382299
66,36.799919,0.980237,0.019495,40.482486
67,36.683052,0.979719,0.019791,40.310887
68,36.785358,0.980497,0.019681,40.227032
69,36.629292,0.980258,0.018764,40.255783
70,36.903877,0.980792,0.020819,40.166330
71,36.444286,0.979694,0.021765,40.075736
72,36.640877,0.979833,0.021648,39.930731
73,36.701286,0.980095,0.019564,40.204730
74,36.426243,0.979247,0.020601,39.978587
75,36.554611,0.979859,0.019480,39.862684
76,36.684406,0.980168,0.019643,40.226771
77,36.902710,0.980746,0.019017,40.485441
78,36.952766,0.980808,0.018704,40.497102
79,36.990093,0.981006,0.019507,40.546106
80,37.059875,0.981162,0.018475,40.568827
81,36.710266,0.980357,0.019886,40.356279
82,36.622604,0.980939,0.020269,40.020103
83,36.950191,0.982191,0.018584,40.320318
84,37.075069,0.981947,0.018751,40.375189
85,37.139374,0.981664,0.019114,40.548955
86,36.928883,0.980853,0.019156,40.536987
87,37.005260,0.981288,0.018089,40.389739
88,36.995304,0.981273,0.018217,40.532953
89,36.968189,0.981151,0.017963,40.574034
90,36.829521,0.981254,0.017804,40.390121
91,36.623817,0.980386,0.017826,40.641830
92,36.614372,0.979884,0.017993,40.132782
93,36.883049,0.980390,0.017856,40.191121
94,36.809261,0.980719,0.018542,40.269874
95,36.471542,0.980049,0.020501,40.086469
96,36.613430,0.980410,0.020920,40.086511
97,36.595234,0.980513,0.019730,40.103867
98,36.713879,0.980635,0.019868,40.037249
99,36.768551,0.980724,0.020445,40.056095
100,36.495621,0.980007,0.021414,40.051271
101,36.426796,0.980250,0.020922,39.823102
102,36.377205,0.979672,0.021471,39.767730
103,36.203049,0.979351,0.022936,39.521091
104,36.207726,0.979687,0.019918,39.555756
105,35.758888,0.978686,0.021182,39.502258
106,35.833344,0.978607,0.021782,38.936021
107,36.078747,0.979161,0.020993,39.118660
108,35.963226,0.978377,0.021334,39.322360
109,35.611774,0.978617,0.024004,38.836072
110,35.693760,0.978958,0.023064,39.025429
111,35.905106,0.979104,0.022132,39.121548
112,35.909904,0.978275,0.022721,39.099083
113,35.982479,0.978090,0.023660,39.041841
114,35.649914,0.977283,0.025701,39.100106
115,35.634285,0.977053,0.023323,38.998797
