epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.090494,0.090494,0.119697,0.000000,7.164
2,0.086223,0.086223,0.113645,0.000000,6.972
3,0.082383,0.082383,0.107904,0.048201,7.024
4,0.078899,0.078899,0.102433,0.100111,6.998
5,0.075736,0.075736,0.098573,0.225412,7.013
6,0.072870,0.072870,0.096396,0.300157,7.027
7,0.070263,0.070263,0.096417,0.381823,7.051
8,0.067876,0.067876,0.096348,0.514677,7.048
9,0.065672,0.065672,0.096188,0.705951,7.072
10,0.063622,0.063622,0.095938,0.936615,7.081
11,0.061704,0.061704,0.095623,1.205909,7.102
12,0.059901,0.059901,0.095325,1.502710,7.094
13,0.058200,0.058200,0.094954,1.832057,7.121
14,0.056591,0.056591,0.094514,2.206924,7.115
15,0.055066,0.055066,0.094010,2.623361,7.127
16,0.053619,0.053619,0.093446,3.083392,7.115
17,0.052244,0.052244,0.092827,3.581861,7.130
18,0.050936,0.050936,0.092157,4.107312,7.131
19,0.049692,0.049693,0.091443,4.659510,7.140
20,0.048509,0.048509,0.090688,5.235987,7.125
21,0.047381,0.047381,0.089897,5.834870,7.133
22,0.046306,0.046306,0.089074,6.455702,7.123
23,0.045280,0.045280,0.088224,7.093253,7.130
24,0.044300,0.044300,0.087351,7.742391,7.121
25,0.043362,0.043362,0.086460,8.397815,7.126
26,0.042465,0.042465,0.085552,9.055856,7.116
27,0.041606,0.041606,0.084631,9.713007,7.122
28,0.040782,0.040782,0.083698,10.363911,7.113
29,0.039992,0.039992,0.082754,11.002945,7.120
30,0.039235,0.039235,0.081802,11.624176,7.108
31,0.038508,0.038508,0.080845,12.222511,7.116
32,0.037811,0.037811,0.079882,12.794564,7.105
33,0.037141,0.037141,0.078916,13.337791,7.113
34,0.036498,0.036498,0.077948,13.848477,7.115
35,0.035879,0.035879,0.076978,14.322984,7.123
36,0.035283,0.035283,0.076006,14.761065,7.108
37,0.034709,0.034709,0.075033,15.164528,7.116
38,0.034156,0.034156,0.074059,15.535995,7.103
39,0.033622,0.033622,0.073085,15.878659,7.115
40,0.033107,0.033107,0.072112,16.193769,7.106
41,0.032609,0.032609,0.071141,16.479788,7.109
42,0.032128,0.032128,0.070176,16.734060,7.093
43,0.031664,0.031664,0.069220,16.956284,7.103
44,0.031216,0.031216,0.068273,17.148918,7.091
45,0.030783,0.030783,0.067338,17.311806,7.093
46,0.030365,0.030365,0.066415,17.445305,7.086
